batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,0.687653,19892.31,0.487113,28081.76,0.474346,28837.62,0.367293,37242.76,19
1,16774745,16774844,100,14553,0.674560,21574.07,0.423613,34354.51,0.450720,32288.33,0.344683,42221.38,17
2,16774845,16774944,100,13931,0.676028,20607.12,0.413055,33726.74,0.427397,32594.97,0.334409,41658.60,15
3,16774945,16775044,100,13901,0.712064,19522.13,0.474794,29277.97,0.480370,28938.08,0.380220,36560.43,14
4,16775045,16775144,100,14066,0.723650,19437.58,0.490495,28677.16,0.506796,27754.76,0.378306,37181.58,19
5,16775145,16775244,100,13375,0.648162,20635.27,0.426153,31385.47,0.444804,30069.45,0.358308,37328.18,18
6,16775245,16775344,100,14060,0.734594,19139.84,0.477628,29437.15,0.502882,27958.82,0.360035,39051.71,26
7,16775345,16775444,100,13097,0.647080,20240.15,0.455991,28722.04,0.453039,28909.23,0.355224,36869.66,23
8,16775445,16775544,100,13416,0.680430,19716.94,0.400754,33476.93,0.438122,30621.64,0.365268,36729.16,19
9,16775545,16775644,100,14084,0.679058,20740.49,0.447539,31469.90,0.452537,31122.35,0.355324,39637.12,19
10,16775645,16775744,100,14225,0.664746,21399.15,0.443722,32058.36,0.456906,31133.32,0.343791,41376.86,12
11,16775745,16775844,100,14412,0.663945,21706.63,0.462323,31173.02,0.448809,32111.68,0.342870,42033.46,14
12,16775845,16775944,100,13180,0.663720,19857.77,0.450789,29237.65,0.447674,29441.08,0.323702,40716.50,15
13,16775945,16776044,100,14450,0.695074,20789.16,0.425983,33921.58,0.450718,32059.98,0.352330,41012.65,15
14,16776045,16776144,100,14110,0.799683,17644.48,0.658696,21421.11,0.527000,26774.20,0.402356,35068.47,19
15,16776145,16776244,100,13388,0.681702,19639.07,0.459459,29138.64,0.459407,29141.94,0.374312,35767.00,18
16,16776245,16776344,100,14314,0.761230,18803.78,0.553610,25855.74,0.509738,28081.08,0.418213,34226.55,22
17,16776345,16776444,100,14382,0.692747,20760.83,0.465458,30898.63,0.478738,30041.50,0.392338,36657.17,11
18,16776445,16776544,100,14191,0.751573,18881.73,0.539768,26290.91,0.522465,27161.60,0.442480,32071.52,31
19,16776545,16776644,100,14870,0.827356,17972.91,0.569540,26108.79,0.613069,24255.00,0.480804,30927.35,28
20,16776645,16776744,100,14874,0.771196,19286.92,0.539938,27547.63,0.567194,26223.81,0.444563,33457.59,25
21,16776745,16776844,100,15018,0.704177,21327.03,0.505763,29693.76,0.515281,29145.27,0.394283,38089.40,16
22,16776845,16776944,100,16167,0.711034,22737.32,0.450648,35874.99,0.511055,31634.56,0.412158,39225.29,28
23,16776945,16777044,100,15610,0.719992,21680.78,0.492702,31682.47,0.500186,31208.38,0.389148,40113.27,13
24,16777045,16777144,100,15393,0.737095,20883.34,0.504599,30505.42,0.517376,29752.05,0.438619,35094.23,37
25,16777145,16777244,100,15575,0.822926,18926.36,0.478099,32576.96,0.545520,28550.72,0.486119,32039.50,36
26,16777245,16777344,100,15004,0.765006,19612.92,0.508778,29490.26,0.531024,28254.85,0.443038,33866.19,34
27,16777345,16777444,100,15907,0.773218,20572.46,0.508295,31294.80,0.525847,30250.27,0.428317,37138.35,31
28,16777445,16777544,100,17133,0.676551,25324.04,0.441478,38808.24,0.451871,37915.65,0.353174,48511.43,30
29,16777545,16777644,100,15750,0.719610,21886.85,0.471593,33397.42,0.493350,31924.57,0.406954,38702.13,34
30,16777645,16777744,100,16020,0.694031,23082.54,0.433368,36966.25,0.453825,35299.98,0.371610,43109.74,27
31,16777745,16777844,100,17300,0.597675,28945.48,0.478912,36123.56,0.495210,34934.71,0.405159,42699.33,34
32,16777845,16777944,100,15673,0.618508,25340.02,0.363506,43116.26,0.386652,40535.14,0.317680,49335.87,18
33,16777945,16778044,100,14808,0.593674,24942.99,0.348466,42494.84,0.366694,40382.45,0.313944,47167.63,19
34,16778045,16778144,100,17223,0.646414,26643.91,0.409691,42038.98,0.442505,38921.63,0.399566,43104.30,28
35,16778145,16778244,100,14729,0.623906,23607.74,0.408110,36090.73,0.425977,34576.95,0.352552,41778.19,18
36,16778245,16778344,100,14230,0.635230,22401.33,0.425001,33482.27,0.425517,33441.68,0.332375,42813.07,24
37,16778345,16778444,100,14563,0.619648,23502.05,0.423240,34408.41,0.440612,33051.78,0.330340,44084.91,19
38,16778445,16778544,100,14766,0.635591,23231.93,0.439263,33615.40,0.447714,32980.86,0.368357,40086.08,29
39,16778545,16778644,100,15804,0.636442,24831.80,0.422489,37406.92,0.440827,35850.81,0.339199,46592.10,24
40,16778645,16778744,100,16064,0.655185,24518.28,0.447419,35903.67,0.452035,35537.07,0.373707,42985.56,28
41,16778745,16778844,100,15896,0.658707,24132.13,0.473385,33579.46,0.490234,32425.36,0.399819,39757.96,42
42,16778845,16778944,100,14379,0.693365,20738.01,0.474827,30282.63,0.485880,29593.71,0.439433,32721.74,25
43,16778945,16779044,100,14535,0.713205,20379.84,0.511526,28414.99,0.517122,28107.47,0.401944,36161.73,21
44,16779045,16779144,100,15203,0.722997,21027.75,0.499628,30428.66,0.518963,29294.94,0.430484,35316.07,43
45,16779145,16779244,100,15017,0.746941,20104.66,0.570487,26323.12,0.572981,26208.56,0.478018,31415.13,56
46,16779245,16779344,100,14849,0.755170,19663.13,0.495186,29986.73,0.507227,29274.85,0.405604,36609.61,21
47,16779345,16779444,100,14417,0.704113,20475.40,0.500265,28818.70,0.511599,28180.29,0.422164,34150.24,38
48,16779445,16779544,100,13748,0.654340,21010.50,0.441991,31104.73,0.455930,30153.73,0.381958,35993.53,20
49,16779545,16779644,100,14524,0.680975,21328.26,0.473625,30665.58,0.475200,30564.00,0.369621,39294.27,13
50,18581726,18581825,100,14635,0.924917,15823.03,0.850550,17206.52,0.743774,19676.67,0.573168,25533.53,17
51,18581826,18581925,100,14705,0.763724,19254.33,0.586325,25079.93,0.605933,24268.35,0.452595,32490.43,19
52,18581926,18582025,100,13744,0.787744,17447.30,0.668772,20551.11,0.657676,20897.82,0.500321,27470.36,26
53,18582026,18582125,100,13339,0.934917,14267.58,0.924374,14430.31,0.876243,15222.94,0.453165,29435.17,17
54,18582126,18582225,100,13302,0.851801,15616.33,0.723553,18384.27,0.699894,19005.74,0.419177,31733.63,18
55,18582226,18582325,100,15419,0.850686,18125.38,0.790321,19509.80,0.713347,21615.00,0.486800,31674.18,14
56,18582326,18582425,100,15541,0.854157,18194.55,0.729451,21305.06,0.719178,21609.39,0.573238,27110.90,26
57,18582426,18582525,100,14202,0.695109,20431.34,0.529280,26832.69,0.548995,25869.11,0.425561,33372.44,12
58,18582526,18582625,100,13584,0.751571,18074.13,0.540669,25124.44,0.541241,25097.87,0.419059,32415.51,19
59,18582626,18582725,100,14206,0.799493,17768.75,0.598739,23726.55,0.585057,24281.41,0.492932,28819.41,18
60,18582726,18582825,100,14594,0.934134,15623.02,0.868769,16798.49,0.775141,18827.54,0.595776,24495.78,25
61,18582826,18582925,100,14306,1.441819,9922.19,1.623119,8813.89,1.447890,9880.58,0.875525,16339.92,36
62,18582926,18583025,100,14637,0.903506,16200.23,0.715747,20449.95,0.700854,20884.52,0.515958,28368.61,26
63,18583026,18583125,100,19445,0.966094,20127.44,0.826550,23525.49,0.800446,24292.72,0.549648,35377.16,23
64,18583126,18583225,100,22352,0.857009,26081.42,0.709125,31520.54,0.707306,31601.60,0.422440,52911.72,29
65,18583226,18583325,100,15072,1.116459,13499.82,1.102210,13674.35,1.014730,14853.22,0.519518,29011.51,27
66,18583326,18583425,100,15082,0.915170,16479.99,0.751864,20059.47,0.698823,21582.01,0.495232,30454.44,33
67,18583426,18583525,100,15003,0.812569,18463.67,0.608006,24675.73,0.562032,26694.21,0.432263,34708.07,24
68,18583526,18583625,100,15544,1.209127,12855.56,1.202303,12928.52,1.085715,14316.83,0.491405,31631.75,24
69,18583626,18583725,100,15573,1.004307,15506.22,0.922329,16884.42,0.866615,17969.93,0.614633,25337.08,43
70,18583726,18583825,100,14916,0.839602,17765.56,0.648024,23017.66,0.655570,22752.71,0.506991,29420.63,30
71,18583826,18583925,100,14683,1.525492,9625.09,1.696195,8656.44,1.441946,10182.77,0.780097,18822.02,33
72,18583926,18584025,100,15413,1.303873,11820.94,1.185585,13000.34,1.162355,13260.15,0.673934,22870.20,24
73,18584026,18584125,100,14890,1.134487,13124.87,1.043312,14271.86,0.955465,15584.04,0.458839,32451.50,36
74,18584126,18584225,100,15759,1.107648,14227.45,0.958232,16445.91,0.903396,17444.18,0.609483,25856.36,20
75,18584226,18584325,100,15407,1.004463,15338.54,0.784302,19644.22,0.754332,20424.70,0.521497,29543.81,26
76,18584326,18584425,100,14274,1.191684,11978.00,1.095280,13032.28,1.016188,14046.61,0.696043,20507.36,33
77,18584426,18584525,100,15126,1.122517,13475.07,1.014402,14911.25,0.943918,16024.70,0.628668,24060.41,25
78,18584526,18584625,100,15285,1.080514,14146.04,0.931811,16403.53,0.917103,16666.61,0.628066,24336.61,31
79,18584626,18584725,100,15843,1.216428,13024.20,1.147188,13810.29,1.071835,14781.19,0.492452,32171.65,19
80,18584726,18584825,100,15299,1.019469,15006.84,0.884329,17300.13,0.865130,17684.05,0.693484,22061.08,26
81,18584826,18584925,100,15405,1.062841,14494.17,0.927166,16615.15,0.893521,17240.79,0.576313,26730.29,41
82,18584926,18585025,100,16427,0.900320,18245.73,0.649851,25278.10,0.674334,24360.32,0.614476,26733.34,29
83,18585026,18585125,100,16389,0.842731,19447.48,0.590924,27734.55,0.572949,28604.66,0.407186,40249.39,18
84,18585126,18585225,100,16604,0.780800,21265.36,0.548013,30298.53,0.556434,29840.02,0.452691,36678.40,22
85,18585226,18585325,100,16370,0.784726,20860.77,0.528922,30949.76,0.559549,29255.71,0.433046,37801.96,15
86,18585326,18585425,100,17024,0.766938,22197.36,0.502713,33864.25,0.560669,30363.74,0.466639,36482.13,22
87,18585426,18585525,100,15987,0.837681,19084.83,0.540375,29585.00,0.566283,28231.48,0.449536,35563.37,28
88,18585526,18585625,100,16127,0.801537,20120.09,0.605443,26636.71,0.613230,26298.46,0.450778,35775.94,32
89,18585626,18585725,100,16163,2.463617,6560.68,3.102593,5209.51,2.809962,5752.04,0.524248,30830.84,17
90,18585726,18585825,100,17010,0.844979,20130.69,0.664623,25593.47,0.659098,25808.02,0.566645,30018.81,23
91,18585826,18585925,100,16515,0.839577,19670.62,0.749325,22039.84,0.721474,22890.62,0.640822,25771.60,30
92,18585926,18586025,100,16042,0.894199,17940.08,0.756948,21193.01,0.752183,21327.25,0.459955,34877.34,15
93,18586026,18586125,100,15510,1.099823,14102.27,1.071346,14477.12,0.994203,15600.44,0.486181,31901.69,19
94,18586126,18586225,100,15436,0.898988,17170.41,0.754569,20456.70,0.731643,21097.71,0.530208,29113.09,24
95,18586226,18586325,100,15203,0.966896,15723.51,0.907078,16760.41,0.835389,18198.70,0.490791,30976.55,27
96,18586326,18586425,100,15333,0.799610,19175.59,0.581180,26382.54,0.586059,26162.89,0.466603,32860.91,26
97,18586426,18586525,100,15430,0.837924,18414.55,0.539553,28597.73,0.611534,25231.64,0.497339,31025.10,39
98,18586526,18586625,100,15149,0.943300,16059.58,0.721469,20997.43,0.721411,20999.13,0.523576,28933.74,33
99,18586626,18586725,100,15848,0.776893,20399.20,0.545005,29078.65,0.547599,28940.91,0.467469,33901.72,19
