batch_idx,k,m,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,2,30,50,5000,0.529118,9449.68,0.195715,25547.34,0.197810,25276.82,0.117674,42490.39,25
1,2,30,50,5000,0.533272,9376.07,0.194667,25684.87,0.196287,25472.91,0.115195,43404.78,25
2,2,30,50,5000,0.533768,9367.37,0.195882,25525.58,0.198558,25181.52,0.122402,40848.90,25
3,2,30,50,5000,0.524670,9529.80,0.196573,25435.88,0.195211,25613.25,0.117252,42643.19,25
4,2,30,50,5000,0.530064,9432.82,0.196096,25497.72,0.196593,25433.26,0.129814,38516.57,25
5,2,30,50,5000,0.529639,9440.39,0.193756,25805.71,0.196661,25424.45,0.115926,43130.88,25
6,2,30,50,5000,0.524688,9529.47,0.196631,25428.37,0.196322,25468.37,0.120847,41374.72,25
7,2,30,50,5000,0.527673,9475.57,0.195474,25578.89,0.194708,25679.49,0.121112,41284.01,25
8,2,30,50,5000,0.529328,9445.93,0.196861,25398.59,0.196509,25444.17,0.122593,40785.36,25
9,2,30,50,5000,0.529138,9449.33,0.195748,25543.08,0.198020,25250.03,0.127902,39092.35,25
10,2,30,50,5000,0.531932,9399.70,0.196350,25464.69,0.196508,25444.25,0.121981,40990.08,25
11,2,30,50,5000,0.529604,9441.01,0.197044,25375.04,0.198548,25182.87,0.117087,42703.15,25
12,2,30,50,5000,0.528653,9458.01,0.194533,25702.56,0.194300,25733.44,0.115790,43181.62,25
13,2,30,50,5000,0.527110,9485.68,0.197237,25350.18,0.198261,25219.33,0.117408,42586.43,25
14,2,30,50,5000,0.531098,9414.47,0.194588,25695.29,0.196819,25404.09,0.118414,42224.72,25
15,2,30,50,5000,0.527919,9471.15,0.194657,25686.26,0.198361,25206.51,0.121024,41314.29,25
16,2,30,50,5000,0.526095,9503.99,0.196444,25452.60,0.194399,25720.33,0.119309,41908.00,25
17,2,30,50,5000,0.529988,9434.18,0.200992,24876.58,0.195021,25638.21,0.121606,41116.32,26
18,2,30,50,5000,0.527303,9482.22,0.196383,25460.51,0.193694,25813.87,0.114573,43640.41,25
19,2,30,50,5000,0.531318,9410.56,0.197078,25370.62,0.195274,25605.08,0.123522,40478.65,25
20,2,30,50,5000,0.527144,9485.08,0.195607,25561.51,0.194893,25655.10,0.120884,41361.80,25
21,2,30,50,5000,0.527757,9474.05,0.201170,24854.59,0.194702,25680.27,0.123138,40605.00,25
22,2,30,50,5000,0.526028,9505.21,0.197071,25371.51,0.194202,25746.33,0.129956,38474.55,25
