batch_idx,k,m,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,1,10,50,5000,0.527645,9476.06,0.000000,0.00,0.000000,0.00,0.102625,48721.14,50
1,1,10,50,5000,0.529343,9445.67,0.000000,0.00,0.000000,0.00,0.101407,49306.28,50
2,1,10,50,5000,0.532604,9387.84,0.000000,0.00,0.000000,0.00,0.101607,49209.10,50
3,1,10,50,5000,0.528077,9468.31,0.000000,0.00,0.000000,0.00,0.100566,49718.44,50
4,1,10,50,5000,0.527488,9478.89,0.000000,0.00,0.000000,0.00,0.101005,49502.54,50
5,1,10,50,5000,0.528983,9452.11,0.000000,0.00,0.000000,0.00,0.101073,49469.10,50
6,1,10,50,5000,0.526319,9499.95,0.000000,0.00,0.000000,0.00,0.098261,50884.78,50
7,1,10,50,5000,0.529756,9438.31,0.000000,0.00,0.000000,0.00,0.101924,49056.25,50
8,1,10,50,5000,0.531363,9409.77,0.000000,0.00,0.000000,0.00,0.100070,49965.13,50
9,1,10,50,5000,0.528262,9465.00,0.000000,0.00,0.000000,0.00,0.101904,49065.58,50
10,1,10,50,5000,0.526078,9504.29,0.000000,0.00,0.000000,0.00,0.099347,50328.73,50
11,1,10,50,5000,0.527661,9475.79,0.000000,0.00,0.000000,0.00,0.098538,50741.85,50
12,1,10,50,5000,0.528493,9460.86,0.000000,0.00,0.000000,0.00,0.097996,51022.63,50
13,1,10,50,5000,0.529699,9439.32,0.000000,0.00,0.000000,0.00,0.098791,50612.07,50
14,1,10,50,5000,0.527034,9487.05,0.000000,0.00,0.000000,0.00,0.100751,49627.13,50
15,1,10,50,5000,0.524832,9526.87,0.000000,0.00,0.000000,0.00,0.099853,50073.50,50
16,1,10,50,5000,0.527945,9470.68,0.000000,0.00,0.000000,0.00,0.100859,49574.13,50
17,1,10,50,5000,0.527931,9470.94,0.000000,0.00,0.000000,0.00,0.098675,50671.29,50
18,1,10,50,5000,0.529133,9449.43,0.000000,0.00,0.000000,0.00,0.100463,49769.66,50
19,1,10,50,5000,0.529623,9440.67,0.000000,0.00,0.000000,0.00,0.101398,49310.64,50
20,1,10,50,5000,0.525744,9510.34,0.000000,0.00,0.000000,0.00,0.100684,49660.56,50
21,1,10,50,5000,0.526404,9498.42,0.000000,0.00,0.000000,0.00,0.099275,50365.28,50
22,1,10,50,5000,0.532429,9390.92,0.000000,0.00,0.000000,0.00,0.097660,51197.86,50
23,1,10,50,5000,0.531127,9413.94,0.000000,0.00,0.000000,0.00,0.100267,49866.65,50
24,1,10,50,5000,0.526318,9499.96,0.000000,0.00,0.000000,0.00,0.100025,49987.75,50
25,1,10,50,5000,0.530133,9431.59,0.000000,0.00,0.000000,0.00,0.099566,50217.72,50
26,1,10,50,5000,0.528212,9465.89,0.000000,0.00,0.000000,0.00,0.100994,49507.73,50
27,1,10,50,5000,0.531038,9415.53,0.000000,0.00,0.000000,0.00,0.099772,50114.13,50
28,1,10,50,5000,0.524809,9527.28,0.000000,0.00,0.000000,0.00,0.098279,50875.77,50
29,1,10,50,5000,0.529525,9442.42,0.000000,0.00,0.000000,0.00,0.098625,50696.89,50
30,1,10,50,5000,0.530319,9428.28,0.000000,0.00,0.000000,0.00,0.098919,50546.41,50
31,1,10,50,5000,0.529821,9437.15,0.000000,0.00,0.000000,0.00,0.102385,48835.21,50
32,1,10,50,5000,0.529462,9443.55,0.000000,0.00,0.000000,0.00,0.100283,49858.90,50
33,1,10,50,5000,0.527568,9477.44,0.000000,0.00,0.000000,0.00,0.101112,49450.04,50
34,1,10,50,5000,0.527881,9471.83,0.000000,0.00,0.000000,0.00,0.101139,49437.10,50
35,1,10,50,5000,0.527438,9479.79,0.000000,0.00,0.000000,0.00,0.101450,49285.22,50
36,1,10,50,5000,0.528366,9463.13,0.000000,0.00,0.000000,0.00,0.099625,50187.97,50
37,1,10,50,5000,0.528066,9468.51,0.000000,0.00,0.000000,0.00,0.099397,50303.20,50
38,1,10,50,5000,0.527220,9483.71,0.000000,0.00,0.000000,0.00,0.100971,49518.97,50
39,1,10,50,5000,0.531529,9406.82,0.000000,0.00,0.000000,0.00,0.102770,48652.50,50
40,1,10,50,5000,0.529074,9450.48,0.000000,0.00,0.000000,0.00,0.099696,50152.69,50
41,1,10,50,5000,0.530682,9421.83,0.000000,0.00,0.000000,0.00,0.099579,50211.18,50
42,1,10,50,5000,0.528057,9468.68,0.000000,0.00,0.000000,0.00,0.101052,49479.24,50
43,1,10,50,5000,0.529288,9446.66,0.000000,0.00,0.000000,0.00,0.100408,49796.68,50
44,1,10,50,5000,0.525594,9513.05,0.000000,0.00,0.000000,0.00,0.099147,50430.18,50
45,1,10,50,5000,0.527133,9485.27,0.000000,0.00,0.000000,0.00,0.101168,49422.79,50
46,1,10,50,5000,0.530653,9422.36,0.000000,0.00,0.000000,0.00,0.098280,50874.91,50
47,1,10,50,5000,0.528195,9466.19,0.000000,0.00,0.000000,0.00,0.099635,50183.27,50
48,1,10,50,5000,0.524440,9533.97,0.000000,0.00,0.000000,0.00,0.100310,49845.40,50
49,1,10,50,5000,0.528938,9452.91,0.000000,0.00,0.000000,0.00,0.097830,51109.00,50
50,1,10,50,5000,0.548729,9111.96,0.000000,0.00,0.000000,0.00,0.098981,50514.58,50
51,1,10,50,5000,0.527763,9473.95,0.000000,0.00,0.000000,0.00,0.099448,50277.32,50
52,1,10,50,5000,0.525331,9517.81,0.000000,0.00,0.000000,0.00,0.100301,49849.91,50
53,1,10,50,5000,0.526303,9500.22,0.000000,0.00,0.000000,0.00,0.099077,50466.01,50
54,1,10,50,5000,0.528418,9462.21,0.000000,0.00,0.000000,0.00,0.099596,50202.63,50
55,1,10,50,5000,0.532558,9388.65,0.000000,0.00,0.000000,0.00,0.099058,50475.29,50
56,1,10,50,5000,0.529643,9440.32,0.000000,0.00,0.000000,0.00,0.099849,50075.86,50
57,1,10,50,5000,0.531958,9399.24,0.000000,0.00,0.000000,0.00,0.098964,50523.53,50
58,1,10,50,5000,0.526608,9494.74,0.000000,0.00,0.000000,0.00,0.100608,49698.06,50
59,1,10,50,5000,0.534470,9355.06,0.000000,0.00,0.000000,0.00,0.098440,50792.30,50
60,1,10,50,5000,0.528423,9462.12,0.000000,0.00,0.000000,0.00,0.099983,50008.64,50
61,1,10,50,5000,0.527398,9480.50,0.000000,0.00,0.000000,0.00,0.099536,50233.27,50
62,1,10,50,5000,0.530561,9423.99,0.000000,0.00,0.000000,0.00,0.099112,50448.13,50
63,1,10,50,5000,0.548648,9113.32,0.000000,0.00,0.000000,0.00,0.097940,51051.43,50
64,1,10,50,5000,0.550365,9084.89,0.000000,0.00,0.000000,0.00,0.098420,50802.48,50
65,1,10,50,5000,0.528128,9467.40,0.000000,0.00,0.000000,0.00,0.100532,49735.36,50
66,1,10,50,5000,0.525691,9511.29,0.000000,0.00,0.000000,0.00,0.099550,50225.87,50
67,1,10,50,5000,0.530730,9420.99,0.000000,0.00,0.000000,0.00,0.102879,48600.76,50
68,1,10,50,5000,0.528735,9456.53,0.000000,0.00,0.000000,0.00,0.099256,50375.03,50
