batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,0.668184,20471.91,0.489190,27962.56,0.463539,29509.91,0.350570,39019.32,19
1,16774745,16774844,100,14553,0.651198,22348.04,0.433378,33580.41,0.433756,33551.10,0.332156,43813.73,20
2,16774845,16774944,100,13931,0.640103,21763.69,0.402627,34600.25,0.416027,33485.78,0.324285,42959.10,22
3,16774945,16775044,100,13901,0.670947,20718.48,0.472606,29413.49,0.460358,30196.05,0.327827,42403.52,16
4,16775045,16775144,100,14066,0.684530,20548.40,0.483792,29074.48,0.479573,29330.25,0.354161,39716.36,23
5,16775145,16775244,100,13375,0.635124,21058.87,0.408729,32723.43,0.427132,31313.52,0.330748,40438.63,19
6,16775245,16775344,100,14060,0.732017,19207.21,0.484779,29002.90,0.485584,28954.85,0.352636,39871.18,23
7,16775345,16775444,100,13097,0.630871,20760.17,0.444249,29481.19,0.442934,29568.76,0.319277,41020.85,25
8,16775445,16775544,100,13416,0.656982,20420.65,0.394982,33966.07,0.413519,32443.46,0.344915,38896.58,19
9,16775545,16775644,100,14084,0.653637,21547.14,0.414712,33960.93,0.431015,32676.35,0.337189,41768.92,23
10,16775645,16775744,100,14225,0.639851,22231.73,0.435508,32663.01,0.441800,32197.83,0.311175,45713.76,17
11,16775745,16775844,100,14412,0.636124,22655.97,0.439335,32804.13,0.431683,33385.61,0.335917,42903.50,19
12,16775845,16775944,100,13180,0.635220,20748.73,0.447304,29465.43,0.423155,31146.97,0.311367,42329.45,16
13,16775945,16776044,100,14450,0.666933,21666.33,0.422287,34218.47,0.422753,34180.74,0.325714,44364.10,25
14,16776045,16776144,100,14110,0.805271,17522.05,0.582670,24216.13,0.510982,27613.49,0.356129,39620.48,20
15,16776145,16776244,100,13388,0.656466,20394.03,0.440719,30377.60,0.438625,30522.69,0.351187,38122.11,19
