batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,0.669956,20417.76,0.338154,40452.00,0.360289,37966.71,0.288007,47495.41,27
1,16774745,16774844,100,14553,0.649022,22422.98,0.302346,48133.66,0.339601,42853.19,0.263889,55148.23,30
2,16774845,16774944,100,13931,0.628316,22171.96,0.283237,49184.89,0.317851,43828.75,0.248075,56156.49,32
3,16774945,16775044,100,13901,0.663117,20963.11,0.332492,41808.54,0.358957,38726.09,0.281398,49399.79,29
4,16775045,16775144,100,14066,0.678278,20737.81,0.350505,40130.62,0.374570,37552.40,0.283686,49582.92,29
5,16775145,16775244,100,13375,0.626855,21336.67,0.297384,44975.49,0.337193,39665.71,0.262898,50875.24,30
6,16775245,16775344,100,14060,0.708878,19834.15,0.341469,41175.06,0.374548,37538.61,0.282975,49686.39,32
7,16775345,16775444,100,13097,0.624786,20962.39,0.303403,43167.03,0.336885,38876.78,0.248572,52688.93,29
8,16775445,16775544,100,13416,0.649708,20649.29,0.287519,46661.21,0.327929,40911.35,0.269273,49822.98,30
9,16775545,16775644,100,14084,0.654023,21534.42,0.299691,46995.13,0.342898,41073.46,0.274019,51397.81,44
10,16775645,16775744,100,14225,0.644365,22076.01,0.305983,46489.59,0.343404,41423.55,0.284202,50052.39,42
11,16775745,16775844,100,14412,0.637602,22603.44,0.315210,45721.85,0.346985,41534.95,0.267820,53812.28,29
12,16775845,16775944,100,13180,0.632989,20821.84,0.307779,42822.93,0.339870,38779.52,0.262925,50128.32,28
13,16775945,16776044,100,14450,0.669619,21579.43,0.303313,47640.54,0.337416,42825.44,0.261461,55266.35,32
14,16776045,16776144,100,14110,0.771514,18288.72,0.394524,35764.59,0.391272,36061.84,0.294523,47907.91,36
15,16776145,16776244,100,13388,0.657841,20351.44,0.320722,41743.38,0.347570,38518.91,0.273441,48961.24,27
16,16776245,16776344,100,14314,0.716675,19972.79,0.366262,39081.27,0.375869,38082.43,0.289616,49424.12,31
17,16776345,16776444,100,14382,0.680067,21147.92,0.322690,44569.10,0.353750,40655.82,0.291574,49325.47,35
18,16776445,16776544,100,14191,0.723688,19609.27,0.370840,38267.19,0.403692,35153.05,0.324943,43672.24,31
19,16776545,16776644,100,14870,0.795426,18694.38,0.405407,36679.19,0.455596,32638.54,0.345551,43032.66,35
20,16776645,16776744,100,14874,0.744350,19982.54,0.374789,39686.34,0.426071,34909.69,0.328861,45228.85,44
21,16776745,16776844,100,15018,0.681900,22023.77,0.342057,43905.02,0.384771,39030.98,0.285303,52638.81,32
22,16776845,16776944,100,16167,0.692155,23357.49,0.323095,50037.90,0.381698,42355.51,0.313326,51598.05,31
23,16776945,16777044,100,15610,0.698560,22345.98,0.342599,45563.52,0.376173,41496.84,0.297801,52417.50,31
24,16777045,16777144,100,15393,0.723491,21276.01,0.350442,43924.55,0.394163,39052.35,0.340662,45185.49,33
25,16777145,16777244,100,15575,0.816267,19080.78,0.358532,43441.09,0.424475,36692.35,0.344523,45207.46,39
26,16777245,16777344,100,15004,0.767751,19542.78,0.366773,40908.15,0.414363,36209.79,0.336096,44642.02,34
27,16777345,16777444,100,15907,0.774323,20543.10,0.357190,44533.66,0.398526,39914.61,0.322942,49256.60,33
28,16777445,16777544,100,17133,0.673636,25433.60,0.310367,55202.31,0.350445,48889.28,0.282700,60604.84,38
29,16777545,16777644,100,15750,0.704101,22368.96,0.327847,48040.71,0.381338,41301.91,0.316527,49758.73,43
30,16777645,16777744,100,16020,0.679024,23592.69,0.309813,51708.63,0.343436,46646.27,0.281173,56975.61,36
