batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,0.662232,20655.89,0.476097,28731.57,0.458627,29825.96,0.350529,39023.92,49
1,16774745,16774844,100,14553,0.655886,22188.31,0.431401,33734.27,0.431181,33751.51,0.341847,42571.66,42
2,16774845,16774944,100,13931,0.615576,22630.83,0.402523,34609.21,0.407253,34207.24,0.330593,42139.48,40
3,16774945,16775044,100,13901,0.656716,21167.46,0.473629,29349.95,0.455630,30509.39,0.345637,40218.55,38
4,16775045,16775144,100,14066,0.676106,20804.43,0.480017,29303.12,0.479760,29318.85,0.396172,35504.76,38
5,16775145,16775244,100,13375,0.628622,21276.71,0.417983,31998.94,0.434112,30810.00,0.341584,39155.80,47
6,16775245,16775344,100,14060,0.706859,19890.80,0.484923,28994.28,0.483196,29097.95,0.337961,41602.40,42
7,16775345,16775444,100,13097,0.628421,20841.13,0.441514,29663.86,0.433849,30187.93,0.332945,39336.77,40
8,16775445,16775544,100,13416,0.653499,20529.48,0.387055,34661.77,0.416600,32203.52,0.401167,33442.40,46
9,16775545,16775644,100,14084,0.648956,21702.55,0.421436,33419.11,0.437478,32193.59,0.358808,39252.21,52
10,16775645,16775744,100,14225,0.645062,22052.15,0.429392,33128.22,0.441797,32198.02,0.407741,34887.37,42
11,16775745,16775844,100,14412,0.639582,22533.46,0.441958,32609.41,0.421513,34191.08,0.330170,43650.26,34
12,16775845,16775944,100,13180,0.638324,20647.82,0.431065,30575.42,0.427203,30851.86,0.334990,39344.41,35
13,16775945,16776044,100,14450,0.667453,21649.46,0.418834,34500.57,0.435529,33178.07,0.328331,44010.46,39
14,16776045,16776144,100,14110,0.776623,18168.41,0.583089,24198.72,0.509970,27668.29,0.388217,36345.61,53
15,16776145,16776244,100,13388,0.656889,20380.92,0.449589,29778.33,0.443225,30205.89,0.357662,37431.98,39
16,16776245,16776344,100,14314,0.732217,19548.86,0.527655,27127.58,0.480388,29796.76,0.369613,38726.97,37
17,16776345,16776444,100,14382,0.666215,21587.62,0.452751,31765.77,0.458898,31340.27,0.358405,40127.81,24
18,16776445,16776544,100,14191,0.720049,19708.38,0.504356,28136.87,0.519683,27307.02,0.411110,34518.71,57
19,16776545,16776644,100,14870,0.796751,18663.30,0.583028,25504.78,0.595515,24969.99,0.497481,29890.59,54
20,16776645,16776744,100,14874,0.741756,20052.41,0.536633,27717.27,0.543696,27357.19,0.457695,32497.60,64
21,16776745,16776844,100,15018,0.683271,21979.57,0.480561,31250.95,0.491885,30531.50,0.409904,36637.83,34
22,16776845,16776944,100,16167,0.690220,23422.97,0.441226,36641.10,0.495557,32623.90,0.403385,40078.29,41
23,16776945,16777044,100,15610,0.702589,22217.83,0.484838,32196.30,0.480747,32470.28,0.389687,40057.83,55
24,16777045,16777144,100,15393,0.719161,21404.10,0.495745,31050.21,0.496939,30975.63,0.438080,35137.42,59
25,16777145,16777244,100,15575,0.822553,18934.95,0.475514,32754.01,0.543353,28664.63,0.483723,32198.19,69
26,16777245,16777344,100,15004,0.768520,19523.24,0.496111,30243.22,0.523041,28686.07,0.451022,33266.70,65
27,16777345,16777444,100,15907,0.770829,20636.22,0.503104,31617.69,0.516176,30817.01,0.482563,32963.57,54
28,16777445,16777544,100,17133,0.670303,25560.07,0.425787,40238.45,0.440672,38879.28,0.369891,46319.00,55
29,16777545,16777644,100,15750,0.706746,22285.23,0.468373,33627.07,0.489816,32154.90,0.415150,37938.09,68
30,16777645,16777744,100,16020,0.675735,23707.53,0.435420,36792.09,0.442230,36225.46,0.361207,44351.31,47
31,16777745,16777844,100,17300,0.595275,29062.22,0.462530,37402.97,0.485639,35623.16,0.405667,42645.78,53
32,16777845,16777944,100,15673,0.618963,25321.39,0.358391,43731.53,0.371679,42168.16,0.317763,49322.99,46
33,16777945,16778044,100,14808,0.573910,25801.95,0.350370,42263.84,0.363592,40726.99,0.296119,50006.92,32
34,16778045,16778144,100,17223,0.640617,26885.01,0.406182,42402.15,0.435632,39535.65,0.348648,49399.39,44
35,16778145,16778244,100,14729,0.625817,23535.65,0.403818,36474.33,0.417916,35243.92,0.344727,42726.59,43
36,16778245,16778344,100,14230,0.624666,22780.16,0.426607,33356.19,0.410864,34634.33,0.344698,41282.54,47
37,16778345,16778444,100,14563,0.615082,23676.52,0.422469,34471.18,0.435359,33450.59,0.340508,42768.47,43
38,16778445,16778544,100,14766,0.635193,23246.48,0.428185,34485.13,0.436098,33859.37,0.365122,40441.31,65
39,16778545,16778644,100,15804,0.635001,24888.15,0.424827,37200.99,0.427859,36937.42,0.374718,42175.70,67
40,16778645,16778744,100,16064,0.659401,24361.51,0.429509,37400.87,0.437321,36732.74,0.370951,43304.91,53
41,16778745,16778844,100,15896,0.650685,24429.63,0.470478,33786.92,0.470632,33775.84,0.397343,40005.72,58
42,16778845,16778944,100,14379,0.688107,20896.45,0.475774,30222.35,0.478464,30052.44,0.426017,33752.18,37
43,16778945,16779044,100,14535,0.716980,20272.54,0.501294,28994.95,0.509563,28524.47,0.435183,33399.76,53
44,16779045,16779144,100,15203,0.718886,21148.00,0.498080,30523.21,0.518210,29337.54,0.423295,35915.87,72
45,16779145,16779244,100,15017,0.751353,19986.61,0.561024,26767.15,0.569823,26353.80,0.459765,32662.33,71
46,16779245,16779344,100,14849,0.758823,19568.48,0.491746,30196.51,0.503781,29475.12,0.425039,34935.58,52
47,16779345,16779444,100,14417,0.701962,20538.16,0.494580,29149.98,0.500272,28818.34,0.426883,33772.75,67
48,16779445,16779544,100,13748,0.644292,21338.15,0.442829,31045.87,0.449627,30576.47,0.401976,34201.01,57
49,16779545,16779644,100,14524,0.661284,21963.32,0.456312,31829.09,0.466432,31138.48,0.350420,41447.43,41
50,18581726,18581825,100,14635,0.897563,16305.26,0.798347,18331.62,0.736102,19881.77,0.491304,29788.09,55
