batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,0.667975,20478.31,0.340109,40219.41,0.366171,37356.83,0.281693,48559.94,17
1,16774745,16774844,100,14553,0.654721,22227.80,0.302605,48092.35,0.340242,42772.48,0.268426,54215.98,18
2,16774845,16774944,100,13931,0.619382,22491.79,0.285093,48864.78,0.320636,43448.05,0.241261,57742.52,21
3,16774945,16775044,100,13901,0.666304,20862.86,0.328858,42270.48,0.360035,38610.18,0.265465,52364.66,17
4,16775045,16775144,100,14066,0.681807,20630.46,0.337761,41644.87,0.375428,37466.53,0.279771,50276.78,19
5,16775145,16775244,100,13375,0.635522,21045.70,0.294314,45444.66,0.334944,39931.99,0.262585,50935.88,18
6,16775245,16775344,100,14060,0.722457,19461.38,0.353464,39777.77,0.375108,37482.56,0.268351,52393.98,23
7,16775345,16775444,100,13097,0.631349,20744.46,0.305338,42893.39,0.335179,39074.69,0.253990,51565.00,18
8,16775445,16775544,100,13416,0.665227,20167.54,0.289671,46314.57,0.333098,40276.46,0.267101,50228.19,16
9,16775545,16775644,100,14084,0.678517,20757.04,0.304457,46259.40,0.343059,41054.15,0.252880,55694.33,15
10,16775645,16775744,100,14225,0.654008,21750.50,0.309743,45925.15,0.346320,41074.78,0.286455,49658.68,15
11,16775745,16775844,100,14412,0.647582,22255.11,0.321526,44823.70,0.351713,40976.63,0.264498,54488.07,20
12,16775845,16775944,100,13180,0.644471,20450.89,0.305381,43159.25,0.343333,38388.43,0.241534,54567.82,17
13,16775945,16776044,100,14450,0.669761,21574.86,0.303509,47609.81,0.342283,42216.52,0.250443,57697.86,20
14,16776045,16776144,100,14110,0.774721,18213.02,0.392890,35913.34,0.393088,35895.29,0.282612,49927.05,18
15,16776145,16776244,100,13388,0.661839,20228.49,0.320952,41713.42,0.346096,38682.86,0.276210,48470.34,17
16,16776245,16776344,100,14314,0.721407,19841.79,0.373628,38310.86,0.379108,37757.01,0.327963,43645.15,19
17,16776345,16776444,100,14382,0.672097,21398.71,0.320846,44825.24,0.355624,40441.61,0.285440,50385.30,22
18,16776445,16776544,100,14191,0.724500,19587.31,0.371015,38249.14,0.404966,35042.43,0.316591,44824.40,22
19,16776545,16776644,100,14870,0.805265,18465.97,0.402894,36907.99,0.454439,32721.69,0.339978,43738.08,27
20,16776645,16776744,100,14874,0.745359,19955.48,0.374630,39703.15,0.430821,34524.77,0.306089,48593.78,17
21,16776745,16776844,100,15018,0.678695,22127.77,0.351452,42731.26,0.386675,38838.80,0.280898,53464.24,21
22,16776845,16776944,100,16167,0.687326,23521.58,0.319709,50567.93,0.378589,42703.28,0.321463,50291.99,20
23,16776945,16777044,100,15610,0.704391,22160.99,0.345125,45230.04,0.374997,41627.03,0.290290,53773.77,16
24,16777045,16777144,100,15393,0.725272,21223.77,0.350804,43879.17,0.393702,39098.07,0.314288,48977.43,19
25,16777145,16777244,100,15575,0.822393,18938.64,0.355780,43777.07,0.424043,36729.76,0.343696,45316.21,24
26,16777245,16777344,100,15004,0.770842,19464.42,0.361077,41553.46,0.402077,37316.23,0.319156,47011.49,23
27,16777345,16777444,100,15907,0.779821,20398.27,0.359167,44288.53,0.401588,39610.26,0.310604,51213.17,20
28,16777445,16777544,100,17133,0.679722,25205.91,0.317555,53952.93,0.353412,48478.82,0.273528,62637.13,24
29,16777545,16777644,100,15750,0.714110,22055.42,0.333184,47271.13,0.385025,40906.42,0.351840,44764.63,23
30,16777645,16777744,100,16020,0.687055,23316.92,0.312711,51229.49,0.348348,45988.50,0.312416,51277.77,23
31,16777745,16777844,100,17300,0.597169,28970.03,0.322886,53579.36,0.360991,47923.62,0.292548,59135.64,32
32,16777845,16777944,100,15673,0.620627,25253.48,0.265423,59049.06,0.300622,52135.29,0.241463,64908.54,15
33,16777945,16778044,100,14808,0.586858,25232.66,0.260663,56809.01,0.285854,51802.74,0.242188,61142.70,20
34,16778045,16778144,100,17223,0.654614,26310.15,0.298930,57615.44,0.342064,50350.22,0.268364,64177.81,24
35,16778145,16778244,100,14729,0.632115,23301.14,0.292452,50363.79,0.333553,44157.85,0.267554,55050.49,18
36,16778245,16778344,100,14230,0.636158,22368.66,0.307985,46203.49,0.327849,43404.18,0.253079,56227.55,19
37,16778345,16778444,100,14563,0.622736,23385.51,0.310482,46904.44,0.339336,42916.22,0.246109,59172.88,17
38,16778445,16778544,100,14766,0.643544,22944.83,0.313351,47122.85,0.352439,41896.64,0.282294,52307.13,18
39,16778545,16778644,100,15804,0.649032,24350.11,0.306487,51564.99,0.342034,46205.96,0.262067,60305.14,17
40,16778645,16778744,100,16064,0.659969,24340.52,0.314045,51151.89,0.345198,46535.55,0.280361,57297.51,24
41,16778745,16778844,100,15896,0.665960,23869.30,0.336028,47305.58,0.376588,42210.63,0.297811,53376.06,23
42,16778845,16778944,100,14379,0.701375,20501.15,0.336803,42692.58,0.373986,38447.94,0.290057,49572.93,16
43,16778945,16779044,100,14535,0.740838,19619.67,0.360066,40367.58,0.400431,36298.40,0.301948,48137.49,17
44,16779045,16779144,100,15203,0.731502,20783.26,0.361049,42107.89,0.402028,37815.80,0.317511,47881.76,17
45,16779145,16779244,100,15017,0.758499,19798.31,0.395018,38015.99,0.444529,33781.85,0.344257,43621.44,37
46,16779245,16779344,100,14849,0.763081,19459.28,0.344697,43078.44,0.389119,38160.59,0.318069,46684.89,18
47,16779345,16779444,100,14417,0.706684,20400.90,0.351943,40964.04,0.390165,36950.99,0.304187,47395.20,19
48,16779445,16779544,100,13748,0.649364,21171.48,0.311399,44149.14,0.353808,38857.25,0.270608,50804.17,15
49,16779545,16779644,100,14524,0.672244,21605.25,0.330240,43980.20,0.365498,39737.53,0.274888,52836.05,19
50,18581726,18581825,100,14635,0.890756,16429.86,0.537888,27208.29,0.574811,25460.53,0.411321,35580.51,17
51,18581826,18581925,100,14705,0.752770,19534.52,0.403865,36410.64,0.453980,32391.33,0.346467,42442.70,17
52,18581926,18582025,100,13744,0.782901,17555.21,0.452644,30363.84,0.479568,28659.11,0.356688,38532.27,22
53,18582026,18582125,100,13339,0.916502,14554.24,0.615525,21670.91,0.648814,20559.05,0.331400,40250.39,22
54,18582126,18582225,100,13302,0.816691,16287.67,0.473211,28110.09,0.509691,26098.16,0.315793,42122.49,23
55,18582226,18582325,100,15419,0.841937,18313.72,0.543175,28386.82,0.556391,27712.55,0.353330,43639.10,18
56,18582326,18582425,100,15541,0.829715,18730.52,0.498415,31180.83,0.541555,28696.97,0.433961,35811.98,24
57,18582426,18582525,100,14202,0.701673,20240.20,0.374298,37943.02,0.411110,34545.53,0.313547,45294.70,19
58,18582526,18582625,100,13584,0.755886,17970.95,0.377240,36008.93,0.412880,32900.57,0.300811,45157.94,23
59,18582626,18582725,100,14206,0.792304,17929.99,0.403742,35185.80,0.438332,32409.25,0.307143,46252.02,19
60,18582726,18582825,100,14594,0.938921,15543.38,0.563177,25913.69,0.580733,25130.32,0.414865,35177.71,18
61,18582826,18582925,100,14306,1.446323,9891.29,1.063784,13448.22,1.101705,12985.33,0.666621,21460.46,30
62,18582926,18583025,100,14637,0.905156,16170.69,0.505361,28963.43,0.534197,27399.99,0.475297,30795.47,17
63,18583026,18583125,100,19445,0.965646,20136.78,0.560820,34672.44,0.605766,32099.83,0.439510,44242.50,21
64,18583126,18583225,100,22352,0.854337,26162.98,0.486218,45971.10,0.535754,41720.64,0.338476,66037.21,26
65,18583226,18583325,100,15072,1.122825,13423.28,0.732263,20582.77,0.769193,19594.56,0.497081,30321.02,19
66,18583326,18583425,100,15082,0.915978,16465.46,0.508451,29662.62,0.542422,27804.90,0.342810,43995.24,27
67,18583426,18583525,100,15003,0.805139,18634.04,0.401211,37394.28,0.422993,35468.68,0.303635,49411.27,25
68,18583526,18583625,100,15544,1.183260,13136.58,0.789314,19693.05,0.830184,18723.55,0.379749,40932.27,30
69,18583626,18583725,100,15573,0.988678,15751.34,0.617547,25217.53,0.649910,23961.77,0.528255,29480.10,28
70,18583726,18583825,100,14916,0.820227,18185.20,0.443185,33656.35,0.484909,30760.44,0.372844,40006.03,33
71,18583826,18583925,100,14683,1.495576,9817.62,1.095541,13402.51,1.072456,13691.00,0.552614,26570.08,31
72,18583926,18584025,100,15413,1.266803,12166.85,0.792202,19455.90,0.837778,18397.47,0.520189,29629.59,23
73,18584026,18584125,100,14890,1.100812,13526.38,0.684020,21768.36,0.705176,21115.31,0.367125,40558.36,31
74,18584126,18584225,100,15759,1.075799,14648.65,0.632300,24923.29,0.661088,23837.98,0.404503,38958.96,28
75,18584226,18584325,100,15407,0.961211,16028.74,0.515993,29858.91,0.557068,27657.29,0.350304,43981.74,24
76,18584326,18584425,100,14274,1.138542,12537.09,0.712142,20043.75,0.757899,18833.65,0.380563,37507.61,31
77,18584426,18584525,100,15126,1.084829,13943.22,0.685422,22068.16,0.720263,21000.67,0.402244,37604.03,25
78,18584526,18584625,100,15285,1.044214,14637.80,0.636604,24010.20,0.667782,22889.22,0.434689,35163.08,29
79,18584626,18584725,100,15843,1.178737,13440.65,0.752177,21062.85,0.788520,20092.06,0.439530,36045.29,28
80,18584726,18584825,100,15299,1.010720,15136.73,0.593793,25764.89,0.635466,24075.26,0.380037,40256.63,20
81,18584826,18584925,100,15405,1.053431,14623.64,0.623850,24693.45,0.679545,22669.60,0.347099,44382.17,30
82,18584926,18585025,100,16427,0.873159,18813.29,0.439128,37408.19,0.497368,33027.86,0.336167,48865.66,22
83,18585026,18585125,100,16389,0.828502,19781.48,0.408464,40123.50,0.431083,38018.20,0.288509,56805.95,19
84,18585126,18585225,100,16604,0.769869,21567.31,0.388293,42761.54,0.423252,39229.60,0.321475,51649.39,23
85,18585226,18585325,100,16370,0.776456,21082.97,0.373627,43813.77,0.416237,39328.57,0.362457,45163.95,19
86,18585326,18585425,100,17024,0.764745,22261.01,0.359945,47296.14,0.421912,40349.64,0.337546,50434.66,22
87,18585426,18585525,100,15987,0.816225,19586.51,0.386533,41360.00,0.432021,37005.18,0.341438,46822.58,23
88,18585526,18585625,100,16127,0.778198,20723.51,0.415621,38802.18,0.456442,35331.96,0.334721,48180.45,25
89,18585626,18585725,100,16163,2.444846,6611.05,2.067611,7817.23,2.109201,7663.09,0.587157,27527.55,17
90,18585726,18585825,100,17010,0.832242,20438.76,0.455660,37330.44,0.497150,34215.00,0.376289,45204.56,18
91,18585826,18585925,100,16515,0.823342,20058.49,0.490897,33642.50,0.541430,30502.54,0.382857,43136.27,16
92,18585926,18586025,100,16042,0.877566,18280.11,0.519583,30874.75,0.554073,28952.84,0.430951,37224.67,19
93,18586026,18586125,100,15510,1.083848,14310.13,0.713954,21724.10,0.748084,20732.97,0.380455,40767.02,19
94,18586126,18586225,100,15436,0.889790,17347.92,0.512002,30148.30,0.545065,28319.53,0.414322,37256.07,18
95,18586226,18586325,100,15203,0.963373,15781.01,0.596013,25507.85,0.633776,23987.97,0.370950,40983.92,19
96,18586326,18586425,100,15333,0.791398,19374.57,0.396143,38705.77,0.441456,34732.77,0.332321,46139.17,18
97,18586426,18586525,100,15430,0.828027,18634.66,0.385130,40064.44,0.455794,33852.98,0.356667,43261.65,18
98,18586526,18586625,100,15149,0.943288,16059.79,0.488151,31033.44,0.535589,28284.75,0.359971,42083.99,21
99,18586626,18586725,100,15848,0.772191,20523.41,0.382680,41413.24,0.420543,37684.64,0.341360,46426.13,20
