batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,50,5000,8,10,0.521188,9593.46,0.145542,34354.45,0.107399,46555.23,0.088873,56259.78,0.143234,34907.96,0.140912,35483.20,0.138399,36127.42,0.533272,0.028890,0.025074,0.140912,0.728148,0.011461,50,301685,301685,1812000,2287,0,0,0,3006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14384733532405489990,14384733532405489990,14384733532405489990,13444918521666521518,13444918521666521518,13444918521666521518
1,50,5000,8,10,0.523684,9547.75,0.142142,35176.21,0.104586,47807.56,0.087496,57145.48,0.142807,35012.21,0.143396,34868.51,0.139335,35884.62,0.533041,0.024300,0.017532,0.143396,0.718269,0.010149,50,301749,301749,1812000,2254,0,0,0,3073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8455943532288277766,8455943532288277766,8455943532288277766,5195523339742708224,5195523339742708224,5195523339742708224
2,50,5000,8,10,0.520200,9611.69,0.144183,34678.08,0.103533,48293.87,0.088743,56342.68,0.141050,35448.47,0.140139,35678.92,0.138479,36106.55,0.533719,0.022397,0.018118,0.140139,0.714373,0.010561,50,301928,301928,1812000,2248,0,0,0,2963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11462743772406667364,11462743772406667364,11462743772406667364,10548875697584620252,10548875697584620252,10548875697584620252
3,50,5000,8,10,0.524068,9540.74,0.143832,34762.85,0.105543,47373.98,0.088572,56451.20,0.140237,35654.04,0.142187,35165.06,0.137858,36269.10,0.538076,0.020062,0.020074,0.142187,0.720399,0.010585,50,301949,301949,1812000,2273,0,0,0,3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9126919199476045832,9126919199476045832,9126919199476045832,11664862221624514165,11664862221624514165,11664862221624514165
4,50,5000,8,10,0.529940,9435.04,0.143815,34766.93,0.102563,48750.67,0.088803,56304.46,0.141319,35380.96,0.142613,35059.90,0.141181,35415.49,0.540628,0.019807,0.017447,0.142613,0.720495,0.010190,50,301860,301860,1812000,2271,0,0,0,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147037152682551790,1147037152682551790,1147037152682551790,5505860223016095344,5505860223016095344,5505860223016095344
5,50,5000,8,10,0.520916,9598.47,0.146151,34211.18,0.105587,47354.37,0.089202,56052.60,0.141669,35293.64,0.143510,34840.84,0.141327,35379.00,0.535476,0.021608,0.016291,0.143510,0.716885,0.010425,50,301717,301717,1812000,2222,0,0,0,2943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5800275559314802661,5800275559314802661,5800275559314802661,17085268179357655348,17085268179357655348,17085268179357655348
6,50,5000,8,10,0.522140,9575.98,0.144310,34647.52,0.104341,47919.68,0.089429,55909.99,0.141633,35302.49,0.142995,34966.24,0.139620,35811.50,0.537033,0.021260,0.019846,0.142995,0.721134,0.010472,50,301855,301855,1812000,2226,0,0,0,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9976114693931354146,9976114693931354146,9976114693931354146,4072968869607930656,4072968869607930656,4072968869607930656
7,50,5000,8,10,0.522302,9573.01,0.145297,34412.22,0.103122,48486.34,0.088401,56560.23,0.142406,35110.81,0.142615,35059.41,0.136935,36513.77,0.534983,0.021611,0.016502,0.142615,0.715711,0.010554,50,301792,301792,1812000,2277,0,0,0,2872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16457861453410766066,16457861453410766066,16457861453410766066,12566931443400049139,12566931443400049139,12566931443400049139
8,50,5000,8,10,0.521411,9589.36,0.143692,34796.68,0.102103,48970.12,0.088531,56477.10,0.142467,35095.80,0.142261,35146.78,0.137551,36350.15,0.533785,0.021834,0.016985,0.142261,0.714864,0.010155,50,301920,301920,1812000,2259,0,0,0,3111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10690124964925849529,10690124964925849529,10690124964925849529,11415760947652459179,11415760947652459179,11415760947652459179
9,50,5000,8,10,0.520895,9598.86,0.140389,35615.32,0.103486,48315.74,0.087902,56881.45,0.143557,34829.49,0.143871,34753.40,0.137698,36311.39,0.533989,0.023256,0.016511,0.143871,0.717626,0.010672,50,301869,301869,1812000,2232,0,0,0,2921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7313346503561186216,7313346503561186216,7313346503561186216,5371986200903068102,5371986200903068102,5371986200903068102
