batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,50,5000,8,10,0.522637,9566.87,0.197485,25318.35,0.129835,38510.36,0.103369,48370.62,0.193793,25800.66,0.125234,39925.38,0.313707,15938.42,0.525386,0.024146,0.029595,0.125234,0.704360,0.041952,28,312185,413650,1828000,4645,1394,148,0,6641,1504,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1716982935688158895,1716982935688158895,1716982935688158895,6787542813268770463,6787542813268770463,6787542813268770463
1,50,5000,8,10,0.525527,9514.26,0.198431,25197.61,0.122596,40784.44,0.103284,48410.43,0.199252,25093.84,0.124726,40087.97,0.307238,16274.00,0.524983,0.020477,0.024144,0.124726,0.694329,0.042162,26,312249,413689,1828000,4673,1391,130,0,6505,1481,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13675645326968635396,13675645326968635396,13675645326968635396,7241824543713361062,7241824543713361062,7241824543713361062
2,50,5000,8,10,0.524325,9536.07,0.197014,25378.89,0.123743,40406.35,0.101925,49055.81,0.195148,25621.64,0.127897,39094.01,0.309223,16169.58,0.525843,0.020035,0.024023,0.127897,0.697798,0.041917,28,312423,413823,1828000,4807,1425,140,0,6464,1494,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17587353517309689549,17587353517309689549,17587353517309689549,14404815015071841365,14404815015071841365,14404815015071841365
3,50,5000,8,10,0.523660,9548.17,0.198937,25133.58,0.128112,39028.34,0.103548,48286.56,0.197136,25363.14,0.120644,41444.26,0.309366,16162.08,0.528629,0.020416,0.025395,0.120644,0.695084,0.041317,26,312449,413869,1828000,4686,1415,159,0,6342,1525,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14685840401080105985,14685840401080105985,14685840401080105985,18096857248784182181,18096857248784182181,18096857248784182181
4,50,5000,8,10,0.522577,9567.97,0.198417,25199.52,0.125948,39698.89,0.103532,48294.19,0.199146,25107.24,0.135667,36855.03,0.309045,16178.90,0.524026,0.020717,0.022020,0.135667,0.702430,0.041800,27,312360,413820,1828000,4713,1380,132,0,6738,1549,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9102534321113959622,9102534321113959622,9102534321113959622,16991453707422704020,16991453707422704020,16991453707422704020
5,50,5000,8,10,0.523706,9547.34,0.196651,25425.81,0.124095,40291.75,0.099940,50029.89,0.193047,25900.37,0.122544,40801.63,0.307417,16264.53,0.525454,0.022267,0.023329,0.122544,0.693593,0.041918,26,312212,413667,1828000,4696,1394,126,0,6329,1486,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8848396434103577648,8848396434103577648,8848396434103577648,14908896843304603794,14908896843304603794,14908896843304603794
6,50,5000,8,10,0.525008,9523.66,0.201496,24814.41,0.123911,40351.45,0.101003,49503.26,0.197178,25357.80,0.122587,40787.31,0.308236,16221.31,0.522741,0.026861,0.025303,0.122587,0.697492,0.041938,26,312355,413755,1828000,4611,1365,125,0,6258,1551,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15193411943015377729,15193411943015377729,15193411943015377729,8035719917281183117,8035719917281183117,8035719917281183117
7,50,5000,8,10,0.523094,9558.52,0.195115,25625.87,0.125639,39796.56,0.100729,49638.06,0.194741,25675.06,0.117928,42398.77,0.307539,16258.11,0.526821,0.020736,0.022471,0.117928,0.687957,0.042191,26,312287,413722,1828000,4681,1369,120,0,6380,1509,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912856651334409521,912856651334409521,912856651334409521,1159192387792642336,1159192387792642336,1159192387792642336
8,50,5000,8,10,0.522559,9568.29,0.197569,25307.65,0.124478,40167.90,0.104033,48061.52,0.197366,25333.65,0.133301,37509.10,0.308950,16183.87,0.524484,0.019839,0.020865,0.133301,0.698489,0.041849,30,312420,413810,1828000,4716,1400,136,0,6374,1548,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10423659344653871608,10423659344653871608,10423659344653871608,3319951955902395886,3319951955902395886,3319951955902395886
9,50,5000,8,10,0.521192,9593.40,0.197133,25363.62,0.125205,39934.64,0.104624,47790.13,0.195356,25594.33,0.135947,36779.06,0.306612,16307.25,0.522837,0.020892,0.021905,0.135947,0.701581,0.041389,28,312364,413784,1828000,4657,1374,138,0,6466,1598,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14282284409916919832,14282284409916919832,14282284409916919832,4529763256895598524,4529763256895598524,4529763256895598524
