batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,50,5000,8,10,0.527234,9483.45,0.196375,25461.50,0.121710,41081.16,0.089309,55985.17,0.198046,25246.70,0.116785,42813.77,0.196569,25436.38,0.529179,0.022587,0.030422,0.116785,0.698973,0.010821,25,312185,312185,1828000,4732,1392,141,1226,5266,1396,45,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7494463908619718504,7494463908619718504,7494463908619718504,13612956264145817414,13612956264145817414,13612956264145817414
1,50,5000,8,10,0.529813,9437.29,0.198800,25150.87,0.119950,41684.11,0.091380,54716.85,0.198265,25218.80,0.121719,41078.30,0.197250,25348.60,0.526660,0.018987,0.027459,0.121719,0.694825,0.009925,25,312249,312249,1828000,4718,1393,128,1229,5360,1397,44,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725288352214133947,725288352214133947,725288352214133947,8535488543145632918,8535488543145632918,8535488543145632918
2,50,5000,8,10,0.528527,9460.25,0.199554,25055.87,0.119446,41859.80,0.089863,55639.99,0.201449,24820.21,0.122900,40683.47,0.197322,25339.27,0.526498,0.021630,0.023755,0.122900,0.694784,0.010276,26,312423,312423,1828000,4861,1431,145,1242,5434,1424,44,1267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17162052396484600175,17162052396484600175,17162052396484600175,9355613568329967604,9355613568329967604,9355613568329967604
3,50,5000,8,10,0.528642,9458.19,0.197895,25265.91,0.119215,41941.06,0.091500,54644.61,0.198889,25139.65,0.113162,44184.56,0.196815,25404.54,0.530150,0.020719,0.026285,0.113162,0.690315,0.010378,25,312449,312449,1828000,4838,1420,146,1213,5264,1391,35,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1734261621782619971,1734261621782619971,1734261621782619971,2155597314955153983,2155597314955153983,2155597314955153983
4,50,5000,8,10,0.526397,9498.53,0.200955,24881.22,0.115923,43132.06,0.091548,54616.05,0.198818,25148.66,0.130007,38459.38,0.193744,25807.20,0.525553,0.020636,0.022441,0.130007,0.698638,0.010321,25,312360,312360,1828000,4678,1393,132,1261,5243,1403,53,1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9205298599913246553,9205298599913246553,9205298599913246553,3107873924816363735,3107873924816363735,3107873924816363735
5,50,5000,8,10,0.527104,9485.80,0.201734,24785.06,0.116254,43009.18,0.089752,55709.15,0.198279,25216.95,0.121606,41116.24,0.197089,25369.24,0.526097,0.019943,0.023056,0.121606,0.690703,0.009948,25,312212,312212,1828000,4702,1410,116,1235,5193,1370,46,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18041500974636981628,18041500974636981628,18041500974636981628,17520636878576433595,17520636878576433595,17520636878576433595
6,50,5000,8,10,0.527261,9482.97,0.198618,25174.01,0.116395,42957.15,0.089869,55636.75,0.197338,25337.18,0.120759,41404.82,0.195831,25532.21,0.530372,0.019844,0.026455,0.120759,0.697431,0.009896,25,312355,312355,1828000,4509,1394,124,1231,5231,1361,34,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7937112143429406964,7937112143429406964,7937112143429406964,1399931912408469132,1399931912408469132,1399931912408469132
7,50,5000,8,10,0.527998,9469.74,0.196902,25393.40,0.114015,43853.89,0.090297,55373.05,0.200124,24984.51,0.122577,40790.65,0.194378,25723.03,0.527364,0.020247,0.022565,0.122577,0.692753,0.010258,25,312287,312287,1828000,4640,1390,123,1241,5113,1364,31,1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7062019043452464900,7062019043452464900,7062019043452464900,1891382438370213401,1891382438370213401,1891382438370213401
8,50,5000,8,10,0.531128,9413.93,0.195986,25512.04,0.117235,42649.26,0.090031,55536.21,0.199201,25100.33,0.122296,40884.42,0.195631,25558.32,0.532404,0.020811,0.023646,0.122296,0.699157,0.010631,24,312420,312420,1828000,4767,1413,134,1224,5325,1383,41,1289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7516935567851557086,7516935567851557086,7516935567851557086,13379700430870714992,13379700430870714992,13379700430870714992
9,50,5000,8,10,0.526154,9502.92,0.197579,25306.36,0.115362,43341.99,0.092132,54269.76,0.197015,25378.75,0.128527,38902.35,0.196727,25415.95,0.529633,0.022638,0.022560,0.128527,0.703359,0.010328,25,312364,312364,1828000,4669,1392,132,1249,5211,1405,50,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18177158645218708548,18177158645218708548,18177158645218708548,6940707264831663093,6940707264831663093,6940707264831663093
