batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade
0,100,13679,8,10,0.661825,20668.61,0.333773,40982.96,0.262396,52131.11,0.307032,44552.39,0.376751,36307.82,0.279735,48899.85,0.471863,28989.35,0.668880,0.155439,0.298711,0.279735,1.402766,0.157238,17,1705005,1824315,8602654,6663,0,0,0,11526,0,0,0,7319,0,0,0,3388,0,0,0,4083,0,0,0,75,0,0,0,16290181522686356851,12660389987259375045,12660389987259375045,8413649451118563891,14794073097919835386,15887818022966254384,0,0,0,0,0,0
1,100,14553,8,10,0.664380,21904.62,0.296167,49137.77,0.228651,63647.12,0.284099,51225.01,0.353370,41183.43,0.276991,52539.62,0.502675,28951.10,0.661768,0.122055,0.249115,0.276991,1.309928,0.167389,18,1672070,2024275,9646121,5740,0,0,0,9561,0,0,0,7688,0,0,0,3178,0,0,0,3891,0,0,0,60,0,0,0,10661044271286872451,14843584958465260910,14843584958465260910,1424694399152275178,16828959023218025746,286984776628687817,0,0,0,0,0,0
2,100,13931,8,10,0.628068,22180.72,0.283203,49190.88,0.216954,64211.89,0.267046,52167.10,0.335788,41487.51,0.254426,54754.63,0.444106,31368.63,0.629587,0.113384,0.236748,0.254426,1.234145,0.163348,20,1641096,1705306,9350358,5289,0,0,0,9202,0,0,0,6211,0,0,0,2997,0,0,0,3585,0,0,0,66,0,0,0,1490727333569002472,4402424285216853895,4402424285216853895,1049501024281994910,11379884959634897697,4357915444581620703,0,0,0,0,0,0
3,100,13901,8,10,0.669924,20750.13,0.328317,42340.15,0.233402,59558.25,0.289492,48018.58,0.380006,36580.97,0.273436,50838.30,0.481619,28863.06,0.679514,0.112369,0.260225,0.273436,1.325544,0.155192,16,1633112,1785472,9060965,5501,0,0,0,8902,0,0,0,6343,0,0,0,3199,0,0,0,3931,0,0,0,69,0,0,0,14500193851064682657,5002308453480877089,5002308453480877089,15915446536853492252,1209229680543053029,275238337536773818,0,0,0,0,0,0
4,100,14066,8,10,0.683906,20567.15,0.334103,42100.78,0.258406,54433.78,0.317076,44361.61,0.394200,35682.39,0.293537,47918.96,0.517623,27174.24,0.697940,0.112741,0.235331,0.293537,1.339549,0.164636,19,1714123,1880068,8801525,7189,0,0,0,11429,0,0,0,6737,0,0,0,3559,0,0,0,3898,0,0,0,150,0,0,0,4350232754016254307,16059151523650557020,16864411614876087059,14740570392512317464,8400727237666163206,11263940046570397026,0,0,0,0,0,0
5,100,13375,8,10,0.629733,21239.17,0.291335,45909.35,0.248511,53820.62,0.297944,44891.01,0.356443,37523.55,0.273276,48943.20,0.430683,31055.31,0.643641,0.130500,0.251849,0.273276,1.299267,0.158624,17,1601759,1667209,9867979,5140,0,0,0,10268,0,0,0,7141,0,0,0,3186,0,0,0,4287,0,0,0,74,0,0,0,4028395905601630330,18130115087217178391,18130115087217178391,13137333110564342947,10805370404555557031,9757921840800006188,0,0,0,0,0,0
6,100,14060,8,10,0.707657,19868.37,0.341833,41131.14,0.264493,53158.22,0.314562,44697.09,0.388692,36172.57,0.284423,49433.42,0.524663,26798.15,0.722002,0.115586,0.230790,0.284423,1.352801,0.165682,24,1766426,1926201,9969365,6973,0,0,0,11522,0,0,0,7626,0,0,0,3662,0,0,0,4137,0,0,0,103,0,0,0,11317186355931760512,15031582686461311345,15031582686461311345,15493272146988416672,11619693326004522256,14461460683636258410,0,0,0,0,0,0
7,100,13097,8,10,0.625981,20922.36,0.298488,43877.86,0.212680,61580.73,0.264662,49485.82,0.347909,37644.91,0.252581,51852.65,0.480410,27262.11,0.639643,0.106839,0.208170,0.252581,1.207233,0.143408,20,1530842,1677852,10708072,5819,0,0,0,9333,0,0,0,6262,0,0,0,2672,0,0,0,3181,0,0,0,77,0,0,0,13285527963487704739,4382038379163290352,4382038379163290352,4689998498545166420,12013248727030501728,2487966954266182801,0,0,0,0,0,0
8,100,13416,8,10,0.651558,20590.64,0.280002,47913.96,0.239291,56065.71,0.303772,44164.75,0.347807,38573.07,0.273437,49064.27,0.440244,30474.01,0.670444,0.115584,0.240846,0.273437,1.300311,0.152630,17,1733666,1773871,8974075,5140,0,0,0,9837,0,0,0,8075,0,0,0,3571,0,0,0,4497,0,0,0,68,0,0,0,9282029056521524698,3812576794807007700,3812576794807007700,16858406457088217404,5454329036141077365,2500018394892371479,0,0,0,0,0,0
9,100,14084,8,10,0.654005,21535.00,0.298622,47163.23,0.232152,60667.18,0.296254,47540.23,0.354600,39718.00,0.275241,51169.71,0.454471,30989.87,0.671753,0.110243,0.237473,0.275241,1.294710,0.168408,16,1679023,1805543,9257711,5152,0,0,0,9170,0,0,0,6937,0,0,0,3046,0,0,0,3830,0,0,0,78,0,0,0,6442074769590520297,16936450751885753835,16936450751885753835,2889596036050776807,16989835258011770885,3507736507723744895,0,0,0,0,0,0
10,100,14225,8,10,0.641820,22163.55,0.304482,46718.61,0.227318,62577.60,0.274475,51826.14,0.354855,40086.78,0.281113,50602.46,0.488818,29100.79,0.655757,0.108910,0.231116,0.281113,1.276897,0.166238,16,1589401,1735256,10192203,6190,0,0,0,9630,0,0,0,6498,0,0,0,2777,0,0,0,3379,0,0,0,50,0,0,0,15307593580181666499,14425788877480096252,14425788877480096252,10380199479191706710,15427712834080495307,8333532001654697994,0,0,0,0,0,0
11,100,14412,8,10,0.639280,22544.12,0.311639,46245.78,0.243523,59181.23,0.287421,50142.42,0.361951,39817.55,0.268841,53607.96,0.496794,29010.04,0.651855,0.125892,0.236741,0.268841,1.283329,0.173391,19,1715076,1899111,8908297,7623,0,0,0,11288,0,0,0,6596,0,0,0,2997,0,0,0,3686,0,0,0,75,0,0,0,15765767866173500617,15863504748350047107,15863504748350047107,8253787167374055303,379519511887576875,10601985899244325359,0,0,0,0,0,0
12,100,13180,8,10,0.641429,20547.87,0.302120,43625.12,0.214160,61542.69,0.271447,48554.69,0.363851,36223.66,0.263754,49970.78,0.470223,28029.23,0.647506,0.127675,0.257040,0.263754,1.295976,0.142711,18,1701789,1783149,8842488,5067,0,0,0,8325,0,0,0,6615,0,0,0,2698,0,0,0,3542,0,0,0,64,0,0,0,10465434070103503433,18260015632367671100,18260015632367671100,1370316325450726977,16733598801833239680,9645000892826799909,0,0,0,0,0,0
13,100,14450,8,10,0.669793,21573.81,0.294792,49017.53,0.248030,58259.00,0.300400,48102.52,0.364155,39680.95,0.270542,53411.23,0.481979,29980.58,0.682082,0.115243,0.239596,0.270542,1.307463,0.184684,20,1739653,1871123,9592941,6803,0,0,0,10490,0,0,0,8444,0,0,0,3755,0,0,0,4066,0,0,0,73,0,0,0,17232320025699932700,5912932714344454193,5912932714344454193,8509657285768987762,8792246570341496361,13218426876910226091,0,0,0,0,0,0
14,100,14110,8,10,0.774308,18222.73,0.389207,36253.17,0.915503,15412.29,0.893993,15783.11,0.463859,30418.76,0.325601,43335.23,0.585625,24093.91,0.789835,0.141755,0.274758,0.325601,1.531950,0.166744,19,1869792,2012122,9045153,7381,0,0,0,0,0,0,0,0,0,0,0,4138,0,0,0,4204,0,0,0,105,0,0,0,5693410859241076737,3369918934485571140,5693410859241076737,13817315250285446360,11997866903163722404,720024417129573569,0,0,0,0,0,0
15,100,13388,8,10,0.655773,20415.61,0.314344,42590.23,0.258333,51824.63,0.311998,42910.59,0.372743,35917.47,0.283244,47266.74,0.462258,28962.16,0.672405,0.112622,0.279320,0.283244,1.347591,0.149834,15,1683091,1772536,8443671,5596,0,0,0,10511,0,0,0,7116,0,0,0,3725,0,0,0,4660,0,0,0,55,0,0,0,12623392605028902801,16382584326935043948,16382584326935043948,9767861672858594256,15134116130569089859,14345301329366278973,0,0,0,0,0,0
16,100,14314,8,10,0.715251,20012.54,0.365346,39179.32,0.297855,48056.97,0.324365,44129.26,0.395895,36156.09,0.327086,43762.16,0.527660,27127.33,0.730406,0.120382,0.236095,0.327086,1.413970,0.169616,19,1749442,1874177,11725657,6888,0,0,0,11641,0,0,0,8395,0,0,0,4287,0,0,0,5145,0,0,0,173,0,0,0,2441452051690704883,4743912956221617228,4743912956221617228,1903491953041522788,3494547249410131220,1691612302393833971,0,0,0,0,0,0
17,100,14382,8,10,0.670216,21458.74,0.318637,45136.00,0.827833,17373.07,0.847699,16965.93,0.390313,36847.37,0.303351,47410.38,0.476991,30151.48,0.684889,0.122602,0.252544,0.303351,1.363386,0.171614,20,1849014,1970549,8682847,7562,0,0,0,0,0,0,0,0,0,0,0,4499,0,0,0,4524,0,0,0,97,0,0,0,14841087524433724176,11066600469467807426,14841087524433724176,3010830788711583772,6617322195134755251,2598644740625238609,0,0,0,0,0,0
18,100,14191,8,10,0.722131,19651.57,0.361869,39215.87,0.285532,49700.23,0.341619,41540.39,0.420379,33757.63,0.333013,42614.02,0.540183,26270.70,0.739286,0.119546,0.253171,0.333013,1.445016,0.162813,20,1822273,2140843,8115586,7456,0,0,0,12995,0,0,0,8175,0,0,0,4186,0,0,0,4638,0,0,0,88,0,0,0,14032979804786766536,7926734587855905079,7926734587855905079,11481927878235779113,3447530671439641652,9473792812407917069,0,0,0,0,0,0
19,100,14870,8,10,0.791673,18783.01,0.403955,36811.05,0.322335,46132.18,0.406697,36562.88,0.476876,31182.10,0.357591,41583.78,0.607021,24496.68,0.814081,0.127501,0.249284,0.357591,1.548457,0.181949,28,1939160,2057835,9397807,8508,0,0,0,14543,0,0,0,7995,0,0,0,4889,0,0,0,4455,0,0,0,174,0,0,0,1549004920965126961,13223983116289662379,13223983116289662379,15271184425258728223,11868994361510510745,9201632259386352061,0,0,0,0,0,0
