batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade
0,100,14635,8,10,0.916152,15974.42,0.538596,27172.52,0.450196,32508.03,0.400682,36525.22,0.584000,25059.92,0.406521,36000.62,0.695702,21036.31,0.930493,0.092697,0.265784,0.406521,1.695495,0.131420,17,1364490,1522115,22094225,9196,0,0,0,16742,0,0,0,10155,0,0,0,6499,0,0,0,7646,0,0,0,112,0,0,0,18111129282136864069,16261080356400210771,16261080356400210771,11107107755229032479,1686577448755981014,13998759589344530472,0,0,0,0,0,0
1,100,14705,8,10,0.765151,19218.44,0.403119,36478.10,0.332664,44203.73,0.385016,38193.21,0.464754,31640.36,0.339116,43362.71,0.586440,25075.03,0.768903,0.094637,0.211269,0.339116,1.413925,0.135516,18,1293124,1594229,20187281,8594,0,0,0,14787,0,0,0,10122,0,0,0,5441,0,0,0,6853,0,0,0,95,0,0,0,9000018135908271896,6723795891784292468,6723795891784292468,5259523344058782267,15106143509740430466,543999619787832013,0,0,0,0,0,0
2,100,13744,8,10,0.780233,17615.25,0.465745,29509.73,0.378910,36272.44,0.377989,36360.85,0.490435,28024.10,0.316612,43409.58,0.594680,23111.57,0.799675,0.121718,0.205284,0.316612,1.443290,0.118048,20,1223696,1529836,23846738,8368,0,0,0,14737,0,0,0,11159,0,0,0,6448,0,0,0,7252,0,0,0,100,0,0,0,10220326392778295776,5065984277857055916,5065984277857055916,9561297146667156146,17943086846060482588,15371272752846035524,0,0,0,0,0,0
3,100,13339,8,10,0.916979,14546.68,0.609117,21898.91,0.563720,23662.46,0.420207,31743.89,0.662129,20145.62,0.326156,40897.64,0.731155,18243.73,0.926574,0.100431,0.192942,0.326156,1.546103,0.113622,23,1253935,1335310,27449382,9011,0,0,0,16225,0,0,0,10477,0,0,0,6341,0,0,0,7119,0,0,0,77,0,0,0,3519313317099163269,15508550740924659546,15508550740924659546,3335811462863732833,6076003680742104346,15636102076014755420,0,0,0,0,0,0
4,100,13302,8,10,0.819535,16231.15,0.471200,28230.08,0.398540,33376.85,0.404477,32886.88,0.519839,25588.68,0.303866,43775.93,0.604101,22019.48,0.839592,0.072290,0.186357,0.303866,1.402105,0.109728,23,1151260,1203280,22869434,8334,0,0,0,15050,0,0,0,10468,0,0,0,6651,0,0,0,7158,0,0,0,79,0,0,0,12581275282157189482,15050661091968202056,15050661091968202056,158337216414622080,16879437751058758951,4145420137469622692,0,0,0,0,0,0
5,100,15419,8,10,0.849436,18152.04,0.530937,29041.11,0.385995,39946.07,0.388034,39736.21,0.561689,27451.12,0.354577,43485.64,0.685301,22499.62,0.857150,0.098490,0.211939,0.354577,1.522156,0.152546,19,1300063,1584908,20117251,10590,0,0,0,15819,0,0,0,10811,0,0,0,5774,0,0,0,6887,0,0,0,71,0,0,0,15384952364892125095,10207557416939216461,10207557416939216461,6446403440801708138,11061526707500124870,15866029428626349704,0,0,0,0,0,0
6,100,15541,8,10,0.827916,18771.24,0.492224,31573.03,0.413570,37577.72,0.391803,39665.37,0.546639,28430.10,0.420724,36938.71,0.686194,22648.11,0.835220,0.107395,0.220186,0.420724,1.583525,0.155546,20,1338269,1653914,11734392,8998,0,0,0,15586,0,0,0,10218,0,0,0,6107,0,0,0,6907,0,0,0,74,0,0,0,13420583423186344780,2294733371085494131,2294733371085494131,13377165188986900438,7173819610202122944,9204883952495109808,0,0,0,0,0,0
7,100,14202,8,10,0.693140,20489.36,0.368912,38497.00,0.298165,47631.38,0.328532,43228.73,0.422059,33649.30,0.324543,43759.97,0.533942,26598.37,0.700776,0.095135,0.223405,0.324543,1.343859,0.120919,18,1254664,1514349,13564975,7590,0,0,0,13566,0,0,0,9181,0,0,0,5458,0,0,0,6555,0,0,0,81,0,0,0,14267620282648399980,8887842914046754239,8887842914046754239,10580157487357107558,10934139502665798560,10898962654354700499,0,0,0,0,0,0
8,100,13584,8,10,0.761287,17843.47,0.368020,36911.03,0.289102,46986.83,0.328680,41329.00,0.417603,32528.47,0.303112,44815.09,0.527395,25756.80,0.763512,0.090964,0.202938,0.303112,1.360526,0.117332,24,1251355,1296385,17832872,7254,0,0,0,12814,0,0,0,9473,0,0,0,5470,0,0,0,5892,0,0,0,109,0,0,0,12177246722060402814,1716622752997557053,1716622752997557053,13266003745347935784,10431724659537467259,5862423406687823184,0,0,0,0,0,0
9,100,14206,8,10,0.785914,18075.76,0.399075,35597.31,0.298178,47642.65,0.336757,42184.76,0.443765,32012.47,0.303142,46862.57,0.572315,24821.99,0.794360,0.091349,0.205800,0.303142,1.394651,0.127515,19,1260365,1351650,15988339,7748,0,0,0,13395,0,0,0,9319,0,0,0,5189,0,0,0,6102,0,0,0,74,0,0,0,17025451624199801075,5153805153840347514,5153805153840347514,2134703549142460168,9605605563476972892,1534503592302865617,0,0,0,0,0,0
