batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade
0,100,18072,8,10,1.011698,17863.03,0.444071,40696.22,0.390047,46332.91,0.468459,38577.56,0.534006,33842.34,0.423208,42702.36,0.750811,24069.97,0.911078,0.150988,0.335318,0.423208,1.820592,0.267996,20,2130932,3240912,9699106,11545,3671,2804,35,18557,3881,3592,46,9169,4995,3698,0,4883,2234,1459,0,5323,2688,1638,1,221,0,0,0,1430532967664384526,12413065869334957254,12413065869334957254,1461490428528529658,2259519614404274831,16166866146743104358,1381,1172,0,0,1607,983
1,100,17248,8,10,0.916225,18825.06,0.430780,40038.99,0.369455,46684.92,0.440767,39131.78,0.510615,33778.89,0.454684,37934.00,0.646472,26680.20,0.917577,0.140438,0.293561,0.454684,1.806260,0.253308,19,2059574,2205004,9045600,10535,3446,2553,59,17254,3660,3386,68,9872,5412,4027,0,4937,2274,1494,0,4618,2361,1554,1,204,0,0,0,4130579488724180108,10428086648867717756,10428086648867717756,992257602238164445,4421934307489061907,10001545694717847885,1467,1228,0,0,1419,948
2,100,17320,8,10,1.116553,15512.03,0.648982,26687.95,0.523001,33116.56,0.517823,33447.75,0.714917,24226.59,0.548256,31591.11,0.875367,19785.99,1.131914,0.159016,0.294668,0.548256,2.133853,0.250944,21,2149430,2314675,8755758,12578,3808,2933,56,18389,3921,3630,74,11177,6165,4774,0,6012,2668,1841,0,6425,3102,2031,1,189,0,0,0,7898889672829380152,13739408183138436041,13739408183138436041,12172058767698627269,8239538218113529793,9848535875795032510,1591,1403,0,0,1878,1248
3,100,17430,8,10,0.905928,19239.94,0.466165,37390.20,0.400766,43491.77,0.467764,37262.36,0.541757,32173.09,0.410996,42409.21,0.686416,25392.77,0.915848,0.144086,0.289305,0.410996,1.760234,0.252621,21,2121121,2296546,7997905,12211,3827,2928,63,19627,3987,3696,72,10667,5935,4554,0,5522,2519,1627,0,5718,2747,1820,0,257,0,0,0,9211652975767646501,13063786808960319444,13063786808960319444,6737284926146220251,13270574854966571966,15619100615596586961,1628,1420,0,0,1566,1038
4,100,17481,8,10,1.022447,17097.22,0.553904,31559.61,1.090536,16029.74,1.056774,16541.85,0.624546,27989.94,0.482143,36256.90,0.769985,22703.05,1.050013,0.128880,0.286581,0.482143,1.947616,0.255169,20,2085754,2241304,8501489,11478,3662,2839,28,0,0,0,0,0,0,0,0,5502,2454,1626,0,6066,2987,2072,1,252,0,0,0,12131714585237044430,4038005661376506925,12131714585237044430,9622113061257539236,3784389400447845272,15292687672863287833,0,0,0,0,1761,1218
5,100,16498,8,10,0.909868,18132.30,0.480107,34363.14,0.398740,41375.35,0.452931,36425.01,0.551320,29924.52,0.400867,41155.78,0.663168,24877.55,0.928536,0.125520,0.291995,0.400867,1.746918,0.218938,18,1989120,2099795,8771725,10895,3532,2696,41,18175,3814,3584,52,9943,5474,4144,0,6071,2681,1797,0,5922,2983,1934,0,213,0,0,0,124904962644781975,9743398882811414120,9743398882811414120,4529552303737285659,14134946355974111296,83862109412190468,1581,1366,0,0,1979,1286
6,100,16403,8,10,0.942140,17410.36,0.479157,34233.01,0.388418,42230.28,0.457330,35866.84,0.563018,29134.06,0.410434,39964.99,0.703310,23322.58,0.953723,0.123158,0.287117,0.410434,1.774432,0.226131,18,1996279,2146014,7947003,10672,3353,2544,35,16315,3440,3213,42,9153,5009,3785,0,4923,2126,1377,0,5328,2612,1735,1,209,0,0,0,11061162961821425992,10301620130713651826,10301620130713651826,11369676348735476538,11427798950736981384,2895021414066339196,1264,1083,0,0,1554,1054
7,100,17219,8,10,0.908656,18949.97,0.467442,36836.68,0.384406,44793.74,0.470135,36625.66,0.549064,31360.65,0.429112,40127.06,0.688376,25013.96,0.926941,0.126882,0.275012,0.429112,1.757946,0.242125,22,2059526,2240441,8618595,11839,3543,2771,33,18258,3654,3429,51,9732,5335,4007,0,5325,2380,1553,0,5972,2753,1878,3,198,0,0,0,4346904379706324807,13026902075663190717,13026902075663190717,3141527499080803412,5660357036107218793,12078405730224226247,1347,1143,0,0,1594,1081
8,100,16400,8,10,0.938044,17483.18,0.493458,33234.84,0.369662,44364.87,0.431780,37982.35,0.578520,28348.18,0.400194,40980.10,0.709364,23119.31,0.953994,0.128010,0.249032,0.400194,1.731230,0.222716,25,1972866,2098376,8632083,10191,3376,2552,48,16323,3464,3203,66,9386,5234,3939,0,5081,2270,1487,0,5251,2603,1717,2,166,0,0,0,9066251284379413628,2154059633709946844,2154059633709946844,5578647540093607609,12940574610629372433,5131294450007558655,1326,1139,0,0,1531,1020
9,100,16675,8,10,0.983184,16960.20,0.511444,32603.74,0.411992,40474.07,0.460306,36225.87,0.574118,29044.55,0.431932,38605.63,0.734794,22693.44,1.004243,0.143679,0.271562,0.431932,1.851416,0.235277,24,2066686,2221001,8482509,10520,3395,2586,43,17597,3657,3441,58,9424,5096,3839,0,5321,2386,1601,0,5687,2781,1875,1,211,0,0,0,9690714261063681671,15230943299641145650,15230943299641145650,1777303770272914945,4739318279646135636,14357341235718536801,1255,1066,0,0,1619,1089
10,100,17175,8,10,0.922834,18611.15,0.462218,37157.82,0.401876,42737.10,0.465762,36875.04,0.539607,31828.70,0.416971,41189.87,0.707586,24272.68,0.936653,0.141252,0.284853,0.416971,1.779728,0.236334,23,2040386,2584916,8513351,10662,3445,2607,33,17102,3652,3395,42,9703,5234,3963,0,5372,2390,1644,0,6040,2902,2076,0,173,0,0,0,7492563281631761603,5033384789185522564,5033384789185522564,16763330670668123676,15834393511376087961,6047593932763814773,1299,1143,0,0,1772,1267
11,100,17921,8,10,0.917465,19533.17,0.455379,39354.06,0.379099,47272.61,0.451834,39662.79,0.518575,34558.17,0.375375,47741.56,0.723657,24764.50,0.931591,0.134319,0.281400,0.375375,1.722685,0.251999,20,2111794,2594649,8314334,12129,3918,2985,43,17995,4142,3763,59,10394,5740,4530,0,4816,2229,1464,0,5280,2578,1661,2,181,0,0,0,2491875668951503182,14699982648759344177,14699982648759344177,778999604140187300,2215082669636682652,4605631442435494788,1507,1306,0,0,1613,1018
12,100,16987,8,10,0.929620,18273.06,0.465476,36493.82,0.384068,44229.13,0.461916,36775.06,0.540224,31444.37,0.403460,42103.30,0.694381,24463.50,0.945767,0.125843,0.283394,0.403460,1.758463,0.233647,21,2065211,2310976,8340850,10393,3442,2606,40,17249,3616,3331,54,8725,4690,3481,0,4982,2228,1491,0,4943,2489,1675,0,182,0,0,0,12497154053472034141,12676623284844050995,12676623284844050995,11683425151731416422,17953444244696650415,14664255576014933869,1138,963,0,0,1550,1049
13,100,15859,8,10,1.051625,15080.46,0.512018,30973.55,0.378994,41845.04,0.433074,36619.60,0.577047,27483.04,0.417881,37951.01,0.780264,20325.18,1.041002,0.135026,0.293874,0.417881,1.887783,0.222022,19,2137978,2305768,8739109,9062,3040,2239,63,14329,3369,3102,82,8780,4911,3748,0,4633,2180,1448,0,5732,2878,1947,0,176,0,0,0,4936276234304797675,5108429322599425090,5108429322599425090,16962774697707941805,9849078346395829172,5935379699802335054,1439,1220,0,0,1805,1222
14,100,16527,8,10,1.384742,11935.08,0.740284,22325.22,0.494682,33409.37,0.516816,31978.47,0.776724,21277.84,0.430091,38426.71,1.075832,15362.06,1.392285,0.127024,0.273390,0.430091,2.222791,0.230924,23,1951887,2084717,8474442,9249,3035,2227,65,11131,3292,2901,66,10229,5533,4371,0,4874,2250,1453,0,5310,2591,1759,0,222,0,0,0,4498985342474570422,16671188957242065597,16671188957242065597,8733327509953192242,6467973754385835528,17033091007579086946,1426,1283,0,0,1587,1089
15,100,17001,8,10,1.319423,12885.18,0.714607,23790.70,0.465802,36498.33,0.543307,31291.69,0.741660,22922.91,0.397684,42750.01,1.074640,15820.18,1.334149,0.127066,0.264983,0.397684,2.123883,0.242172,21,1994338,2283358,8381152,11374,3793,2874,42,10573,3397,2899,32,10254,5546,4492,0,4623,2082,1341,0,5312,2543,1724,0,158,0,0,0,6245922439938972308,13270407928430701178,13270407928430701178,16354472107837423680,18295945146909249628,3006283563637803566,1520,1364,0,0,1611,1086
16,100,16078,8,10,1.382791,11627.21,0.747464,21510.05,0.527046,30505.87,0.581261,27660.56,0.759143,21179.14,0.377543,42585.89,1.085111,14816.92,1.367508,0.121605,0.271657,0.377543,2.138313,0.215865,18,1908527,2049567,9077299,9241,3194,2377,49,10339,3106,2732,48,9401,5207,4055,0,4763,2196,1439,0,5212,2594,1716,0,133,0,0,0,12415473380632260829,9680002158339358741,9680002158339358741,6507142326095602646,15728630708002662589,566007126441162266,1511,1310,0,0,1752,1170
17,100,16639,8,10,1.393845,11937.48,0.700639,23748.33,0.489887,33965.00,0.536976,30986.48,0.759433,21909.77,0.419320,39680.94,1.073904,15493.93,1.386977,0.130046,0.255726,0.419320,2.192068,0.252453,30,2069676,2241281,9854623,8918,3031,2099,52,9042,2784,2270,51,10588,6387,5229,0,4867,2264,1410,0,5277,2884,1770,0,169,0,0,0,12953889967018965222,6479305178860945379,6479305178860945379,9915522878828262370,9479116530413707720,5114126962491109899,2327,2092,0,0,1656,990
18,100,16464,8,10,1.078309,15268.36,0.561874,29301.92,0.421507,39059.82,0.460868,35723.92,0.619180,26590.00,0.396047,41570.80,0.813262,20244.41,1.103550,0.114733,0.256124,0.396047,1.870454,0.236488,29,1965884,2096819,9454712,10060,3387,2512,57,15442,3569,3284,60,9820,5504,4196,0,4955,2303,1501,0,5087,2530,1573,0,159,0,0,0,8562143461666359035,6393202080229524428,6393202080229524428,12629285274995561239,283286168435958262,15969896431071408216,1623,1410,0,0,1414,862
19,100,15786,8,10,1.428854,11048.02,0.768896,20530.74,0.496182,31814.92,0.544457,28994.02,0.807724,19543.81,0.414375,38095.96,1.161317,13593.19,1.442573,0.127998,0.270195,0.414375,2.255140,0.209987,18,1982115,2183520,8498128,8623,2896,2106,69,10195,3131,2756,47,8588,4816,3797,0,3772,1745,1105,0,4620,2425,1629,0,122,0,0,0,2690607873717337775,16557226182013594291,16557226182013594291,16286267447282853336,9245802244936678608,18366260033610819173,1511,1355,0,0,1652,1113
