batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade
0,100,13679,8,10,0.662184,20657.39,0.333886,40969.04,0.260910,52428.09,0.312130,43824.73,0.379774,36018.75,0.283267,48290.17,0.479746,28512.98,0.664552,0.155512,0.296276,0.283267,1.399606,0.156618,17,1705005,1824315,8602654,6746,0,0,0,11500,0,0,0,6944,0,0,0,3429,0,0,0,4271,0,0,0,75,0,0,0,16290181522686356851,12660389987259375045,12660389987259375045,8413649451118563891,14794073097919835386,15887818022966254384,0,0,0,0,0,0
1,100,14553,8,10,0.668385,21773.36,0.299134,48650.43,0.229081,63527.86,0.284929,51075.96,0.353203,41202.91,0.269583,53983.33,0.508879,28598.17,0.668087,0.111349,0.255467,0.269583,1.304486,0.168337,18,1672070,2024275,9646121,5701,0,0,0,9564,0,0,0,7489,0,0,0,3143,0,0,0,3897,0,0,0,60,0,0,0,10661044271286872451,14843584958465260910,14843584958465260910,1424694399152275178,16828959023218025746,286984776628687817,0,0,0,0,0,0
2,100,13931,8,10,0.618376,22528.37,0.280318,49697.12,0.209442,66514.79,0.273450,50945.26,0.334063,41701.73,0.257944,54007.91,0.444459,31343.71,0.630597,0.110738,0.236392,0.257944,1.235671,0.158096,20,1641096,1705306,9350358,5309,0,0,0,8945,0,0,0,6283,0,0,0,2961,0,0,0,3556,0,0,0,66,0,0,0,1490727333569002472,4402424285216853895,4402424285216853895,1049501024281994910,11379884959634897697,4357915444581620703,0,0,0,0,0,0
3,100,13901,8,10,0.670970,20717.77,0.327208,42483.72,0.235687,58980.77,0.285245,48733.56,0.378693,36707.79,0.272529,51007.43,0.486391,28579.88,0.683049,0.110094,0.261853,0.272529,1.327525,0.155442,16,1633112,1785472,9060965,5562,0,0,0,8903,0,0,0,6306,0,0,0,3274,0,0,0,4066,0,0,0,69,0,0,0,14500193851064682657,5002308453480877089,5002308453480877089,15915446536853492252,1209229680543053029,275238337536773818,0,0,0,0,0,0
4,100,14066,8,10,0.676299,20798.49,0.335194,41963.82,0.258657,54380.82,0.318781,44124.33,0.398070,35335.46,0.295997,47520.71,0.522346,26928.51,0.697403,0.109208,0.234353,0.295997,1.336962,0.164928,19,1714123,1880068,8801525,7141,0,0,0,11309,0,0,0,6671,0,0,0,3515,0,0,0,3764,0,0,0,150,0,0,0,4350232754016254307,16059151523650557020,16864411614876087059,14740570392512317464,8400727237666163206,11263940046570397026,0,0,0,0,0,0
5,100,13375,8,10,0.624423,21419.78,0.297857,44904.03,0.250958,53295.76,0.300346,44531.96,0.350697,38138.30,0.270394,49464.93,0.426645,31349.27,0.639704,0.117038,0.250657,0.270394,1.277793,0.148748,17,1601759,1667209,9867979,5273,0,0,0,10319,0,0,0,7479,0,0,0,3246,0,0,0,4264,0,0,0,74,0,0,0,4028395905601630330,18130115087217178391,18130115087217178391,13137333110564342947,10805370404555557031,9757921840800006188,0,0,0,0,0,0
6,100,14060,8,10,0.714317,19683.13,0.339447,41420.32,0.264905,53075.59,0.313835,44800.68,0.393344,35744.75,0.286531,49069.80,0.531305,26463.16,0.731218,0.112883,0.227634,0.286531,1.358265,0.165831,24,1766426,1926201,9969365,6924,0,0,0,11660,0,0,0,7496,0,0,0,3756,0,0,0,4195,0,0,0,103,0,0,0,11317186355931760512,15031582686461311345,15031582686461311345,15493272146988416672,11619693326004522256,14461460683636258410,0,0,0,0,0,0
7,100,13097,8,10,0.630055,20787.07,0.301947,43375.20,0.210790,62132.90,0.266605,49125.17,0.348481,37583.15,0.253325,51700.45,0.488375,26817.51,0.642510,0.100240,0.208804,0.253325,1.204878,0.142835,20,1530842,1677852,10708072,5896,0,0,0,9012,0,0,0,6225,0,0,0,2565,0,0,0,3330,0,0,0,77,0,0,0,13285527963487704739,4382038379163290352,4382038379163290352,4689998498545166420,12013248727030501728,2487966954266182801,0,0,0,0,0,0
8,100,13416,8,10,0.655024,20481.68,0.284571,47144.57,0.240911,55688.69,0.305529,43910.72,0.348494,38497.12,0.276505,48519.84,0.441384,30395.28,0.670672,0.112515,0.239824,0.276505,1.299517,0.153704,17,1733666,1773871,8974075,5049,0,0,0,9834,0,0,0,8214,0,0,0,3552,0,0,0,4449,0,0,0,68,0,0,0,9282029056521524698,3812576794807007700,3812576794807007700,16858406457088217404,5454329036141077365,2500018394892371479,0,0,0,0,0,0
9,100,14084,8,10,0.651784,21608.40,0.300832,46816.85,0.234297,60111.82,0.297205,47388.19,0.351954,40016.56,0.277250,50798.95,0.459127,30675.64,0.671081,0.110228,0.236261,0.277250,1.294821,0.170317,16,1679023,1805543,9257711,5295,0,0,0,9267,0,0,0,6920,0,0,0,3029,0,0,0,3858,0,0,0,78,0,0,0,6442074769590520297,16936450751885753835,16936450751885753835,2889596036050776807,16989835258011770885,3507736507723744895,0,0,0,0,0,0
10,100,14225,8,10,0.647996,21952.31,0.305141,46617.79,0.227189,62613.17,0.273579,51996.00,0.356744,39874.49,0.280755,50667.02,0.492598,28877.51,0.659683,0.106354,0.234573,0.280755,1.281364,0.166002,16,1589401,1735256,10192203,6158,0,0,0,9920,0,0,0,6700,0,0,0,2783,0,0,0,3578,0,0,0,50,0,0,0,15307593580181666499,14425788877480096252,14425788877480096252,10380199479191706710,15427712834080495307,8333532001654697994,0,0,0,0,0,0
11,100,14412,8,10,0.646385,22296.30,0.313341,45994.69,0.242060,59539.00,0.293392,49122.02,0.366906,39279.77,0.270235,53331.44,0.495420,29090.50,0.655609,0.119201,0.234983,0.270235,1.280028,0.173666,19,1715076,1899111,8908297,7693,0,0,0,11719,0,0,0,6637,0,0,0,2993,0,0,0,3766,0,0,0,75,0,0,0,15765767866173500617,15863504748350047107,15863504748350047107,8253787167374055303,379519511887576875,10601985899244325359,0,0,0,0,0,0
12,100,13180,8,10,0.643546,20480.29,0.307177,42906.88,0.216531,60868.84,0.270165,48784.94,0.365686,36041.81,0.264635,49804.49,0.473354,27843.85,0.649890,0.127432,0.259108,0.264635,1.301065,0.142409,18,1701789,1783149,8842488,5134,0,0,0,8527,0,0,0,6839,0,0,0,2743,0,0,0,3518,0,0,0,64,0,0,0,10465434070103503433,18260015632367671100,18260015632367671100,1370316325450726977,16733598801833239680,9645000892826799909,0,0,0,0,0,0
13,100,14450,8,10,0.667033,21663.08,0.298458,48415.54,0.248191,58221.19,0.299354,48270.68,0.364716,39619.84,0.273900,52756.47,0.485711,29750.23,0.681244,0.116689,0.237493,0.273900,1.309325,0.186893,20,1739653,1871123,9592941,6858,0,0,0,10728,0,0,0,8549,0,0,0,3710,0,0,0,3970,0,0,0,73,0,0,0,17232320025699932700,5912932714344454193,5912932714344454193,8509657285768987762,8792246570341496361,13218426876910226091,0,0,0,0,0,0
14,100,14110,8,10,0.777523,18147.38,0.395642,35663.57,0.911518,15479.67,0.903130,15623.45,0.465719,30297.22,0.327485,43086.01,0.583530,24180.43,0.792684,0.135670,0.268935,0.327485,1.524774,0.166434,19,1869792,2012122,9045153,7433,0,0,0,0,0,0,0,0,0,0,0,4190,0,0,0,4245,0,0,0,105,0,0,0,5693410859241076737,3369918934485571140,5693410859241076737,13817315250285446360,11997866903163722404,4877035424183897894,0,0,0,0,0,0
15,100,13388,8,10,0.660029,20283.97,0.316643,42281.04,0.261156,51264.44,0.316504,42299.64,0.370895,36096.49,0.285164,46948.37,0.464154,28843.89,0.678401,0.125640,0.281451,0.285164,1.370656,0.153620,15,1683091,1772536,8443671,5586,0,0,0,10683,0,0,0,7073,0,0,0,3707,0,0,0,4683,0,0,0,55,0,0,0,12623392605028902801,16382584326935043948,16382584326935043948,9767861672858594256,15134116130569089859,14345301329366278973,0,0,0,0,0,0
16,100,14314,8,10,0.722546,19810.50,0.366404,39066.15,0.306888,46642.48,0.329427,43451.17,0.407913,35090.79,0.334372,42808.66,0.532155,26898.16,0.734964,0.116818,0.236379,0.334372,1.422532,0.172905,19,1749442,1874177,11725657,7038,0,0,0,12170,0,0,0,8436,0,0,0,4385,0,0,0,5259,0,0,0,173,0,0,0,2441452051690704883,4743912956221617228,4743912956221617228,1903491953041522788,3494547249410131220,1691612302393833971,0,0,0,0,0,0
17,100,14382,8,10,0.674437,21324.45,0.322011,44663.13,0.837611,17170.26,0.854204,16836.72,0.393592,36540.41,0.305365,47097.69,0.478398,30062.82,0.690044,0.119232,0.252304,0.305365,1.366946,0.171623,20,1849014,1970549,8682847,7447,0,0,0,0,0,0,0,0,0,0,0,4431,0,0,0,4557,0,0,0,97,0,0,0,14841087524433724176,11066600469467807426,14841087524433724176,3010830788711583772,6617322195134755251,2598644740625238609,0,0,0,0,0,0
18,100,14191,8,10,0.724127,19597.40,0.367129,38653.99,0.292198,48566.46,0.340741,41647.45,0.425461,33354.43,0.337781,42012.40,0.544036,26084.69,0.739521,0.117365,0.250191,0.337781,1.444858,0.163461,20,1822273,2140843,8115586,7520,0,0,0,13368,0,0,0,8209,0,0,0,4279,0,0,0,4561,0,0,0,88,0,0,0,14032979804786766536,7926734587855905079,7926734587855905079,11481927878235779113,3447530671439641652,9473792812407917069,0,0,0,0,0,0
19,100,14870,8,10,0.793978,18728.47,0.406806,36553.03,0.327698,45377.17,0.391928,37940.68,0.477592,31135.37,0.352213,42218.73,0.612405,24281.31,0.813242,0.124814,0.245477,0.352213,1.535746,0.181438,28,1939160,2057835,9397807,8330,0,0,0,14357,0,0,0,7968,0,0,0,4901,0,0,0,4549,0,0,0,174,0,0,0,1549004920965126961,13223983116289662379,13223983116289662379,15271184425258728223,11868994361510510745,9201632259386352061,0,0,0,0,0,0
