batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade
0,100,13679,8,10,0.654070,20913.66,0.327580,41757.72,0.263739,51865.67,0.692021,19766.75,0.213576,64047.39,0.676783,20211.81,0.475806,28749.11,0.660374,0.138221,0.270653,0.676783,1.746031,0.125282,19,1324369,1448784,8602654,6732,0,0,0,11458,0,0,0,0,0,0,0,0,0,0,0,644,0,0,0,105,0,0,0,16290181522686356851,12660389987259375045,12660389987259375045,8413649451118563891,14474267452867875047,4071082038174601821,0,0,0,0,0,0
1,100,14553,8,10,0.649642,22401.56,0.295697,49215.99,0.230571,63117.10,0.654071,22249.87,0.159661,91149.54,0.624858,23290.11,0.499833,29115.73,0.655644,0.103706,0.228300,0.624858,1.612507,0.131377,18,1279853,1641343,9646121,5721,0,0,0,9972,0,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,68,0,0,0,10661044271286872451,14843584958465260910,14843584958465260910,1424694399152275178,18312673181337756617,2800294051974372679,0,0,0,0,0,0
2,100,13931,8,10,0.627937,22185.36,0.283172,49196.19,0.213985,65102.82,0.641875,21703.60,0.177793,78355.38,0.468411,29740.97,0.439964,31663.98,0.645831,0.089592,0.220039,0.468411,1.423873,0.127310,21,1256591,1326266,9350358,5231,0,0,0,9037,0,0,0,0,0,0,0,0,0,0,0,1982,0,0,0,86,0,0,0,1490727333569002472,4402424285216853895,4402424285216853895,1049501024281994910,610628523767655590,2539034738150290684,0,0,0,0,0,0
3,100,13901,8,10,0.672898,20658.40,0.323462,42975.73,0.236753,58715.15,0.693357,20048.83,0.191917,72432.17,0.665463,20889.23,0.474758,29280.19,0.679627,0.096856,0.226036,0.665463,1.667982,0.125272,17,1244041,1401151,9060965,5446,0,0,0,9127,0,0,0,0,0,0,0,0,0,0,0,975,0,0,0,84,0,0,0,14500193851064682657,5002308453480877089,5002308453480877089,15915446536853492252,16494525344714872859,859205285200062744,0,0,0,0,0,0
4,100,14066,8,10,0.692858,20301.43,0.331979,42370.15,0.257728,54576.89,0.705474,19938.38,0.186433,75447.95,0.656471,21426.70,0.518928,27105.88,0.700824,0.101513,0.218147,0.656471,1.676954,0.134638,19,1320041,1489381,8801525,7324,0,0,0,11147,0,0,0,0,0,0,0,0,0,0,0,787,0,0,0,164,0,0,0,4350232754016254307,16059151523650557020,16864411614876087059,14740570392512317464,16569350386022419208,13396446810120057935,0,0,0,0,0,0
5,100,13375,8,10,0.630944,21198.40,0.294084,45480.19,0.245052,54580.31,0.655098,20416.80,0.163513,81798.02,0.629110,21260.19,0.427103,31315.66,0.644211,0.090955,0.215048,0.629110,1.579324,0.121374,16,1227287,1292737,9867979,5207,0,0,0,10200,0,0,0,0,0,0,0,0,0,0,0,1278,0,0,0,97,0,0,0,4028395905601630330,18130115087217178391,18130115087217178391,13137333110564342947,13602484774368897472,13733571769277934869,0,0,0,0,0,0
6,100,14060,8,10,0.714695,19672.73,0.334598,42020.61,0.267799,52502.14,0.724798,19398.51,0.123477,113867.60,0.580917,24203.10,0.523855,26839.51,0.722969,0.096277,0.210896,0.580917,1.611059,0.135418,22,1368622,1529337,9969365,6896,0,0,0,11266,0,0,0,0,0,0,0,0,0,0,0,1896,0,0,0,110,0,0,0,11317186355931760512,15031582686461311345,15031582686461311345,15493272146988416672,1161999412389312144,2847093830339689770,0,0,0,0,0,0
7,100,13097,8,10,0.634353,20646.24,0.300018,43654.10,0.212494,61634.70,0.656939,19936.39,0.137266,95413.61,0.572525,22875.87,0.476450,27488.70,0.642783,0.088158,0.206708,0.572525,1.510173,0.116907,18,1176126,1327476,10708072,5822,0,0,0,9188,0,0,0,0,0,0,0,0,0,0,0,1635,0,0,0,89,0,0,0,13285527963487704739,4382038379163290352,4382038379163290352,4689998498545166420,8396910708107957723,13969450206830234843,0,0,0,0,0,0
8,100,13416,8,10,0.652599,20557.80,0.279515,47997.35,0.237160,56569.31,0.665361,20163.50,0.142972,93836.61,0.612517,21903.08,0.424369,31613.97,0.666009,0.095992,0.215461,0.612517,1.589979,0.125621,17,1348583,1390348,8974075,5158,0,0,0,9653,0,0,0,0,0,0,0,0,0,0,0,770,0,0,0,84,0,0,0,9282029056521524698,3812576794807007700,3812576794807007700,16858406457088217404,13919956014658863888,2690850827300496450,0,0,0,0,0,0
9,100,14084,8,10,0.653061,21566.12,0.297251,47380.85,0.232366,60611.32,0.674978,20865.85,0.137209,102646.46,0.561657,25075.82,0.454026,31020.23,0.666327,0.091478,0.210867,0.561657,1.530329,0.138526,16,1285455,1414345,9257711,5201,0,0,0,9252,0,0,0,0,0,0,0,0,0,0,0,1434,0,0,0,94,0,0,0,6442074769590520297,16936450751885753835,16936450751885753835,2889596036050776807,3466581366278970818,11527199335877782775,0,0,0,0,0,0
