batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade
0,100,14635,8,10,0.894191,16366.75,0.545450,26831.08,0.461514,31710.82,0.399726,36612.62,0.577230,25353.85,0.409115,35772.30,0.696915,20999.71,0.917470,0.082545,0.196569,0.409115,1.605700,0.131814,17,1362790,1522115,22094225,9604,3087,2365,65,16249,3842,3680,68,11157,5881,4260,44,7249,2921,2071,9,8168,3570,2654,9,112,0,0,0,18111129282136864069,16261080356400210771,16261080356400210771,11107107755229032479,17002849082332210599,13998759589344530472,2062,1617,0,0,2386,1781
1,100,14705,8,10,0.758884,19377.13,0.408772,35973.63,0.336935,43643.42,0.391282,37581.58,0.448856,32761.03,0.325612,45161.07,0.586841,25057.89,0.759211,0.090308,0.166975,0.325612,1.342107,0.135251,16,1292719,1594229,20187281,8679,2699,2038,35,14926,2900,2777,53,10649,5543,4110,25,5597,2254,1567,1,7183,3273,2357,4,95,0,0,0,9000018135908271896,6723795891784292468,6723795891784292468,5259523344058782267,16085647587321390003,543999619787832013,1852,1463,0,0,2259,1665
2,100,13744,8,10,0.774826,17738.17,0.455044,30203.69,0.377438,36413.95,0.383917,35799.37,0.481988,28515.23,0.311982,44053.85,0.603260,22782.88,0.786693,0.113300,0.161267,0.311982,1.373242,0.117914,19,1223306,1529836,23846738,8280,2791,2148,33,14809,3286,3176,59,11468,6084,4547,30,6603,2706,1974,6,7786,3430,2597,6,100,0,0,0,10220326392778295776,5065984277857055916,5065984277857055916,9561297146667156146,5973643696825544829,15371272752846035524,2112,1669,0,0,2324,1781
3,100,13339,8,10,0.915267,14573.89,0.616409,21639.85,0.517919,25754.99,0.419992,31760.11,0.647173,20611.19,0.320113,41669.63,0.728727,18304.53,0.921365,0.082526,0.145729,0.320113,1.469733,0.114392,23,1253025,1335310,27449382,9051,2948,2309,40,15943,4009,3870,63,11242,5758,4344,19,6494,2680,1910,5,7411,3316,2433,6,77,0,0,0,3519313317099163269,15508550740924659546,15508550740924659546,3335811462863732833,15644236368391066105,15636102076014755420,1941,1565,0,0,2052,1520
4,100,13302,8,10,0.813850,16344.53,0.475914,27950.45,0.411539,32322.61,0.416520,31936.04,0.511942,25983.42,0.305892,43485.87,0.604300,22012.23,0.839046,0.063152,0.150926,0.305892,1.359017,0.110035,23,1149835,1203280,22869434,8377,2782,2105,74,14898,3468,3335,85,11475,6182,4695,48,6562,2721,1913,2,7485,3361,2451,11,79,0,0,0,12581275282157189482,15050661091968202056,15050661091968202056,158337216414622080,9247876486325448674,4145420137469622692,2312,1907,0,0,2089,1538
5,100,15419,8,10,0.834869,18468.76,0.544949,28294.37,0.383819,40172.63,0.387332,39808.18,0.551703,27947.99,0.363633,42402.62,0.692188,22275.74,0.849372,0.083032,0.166795,0.363633,1.462832,0.154963,17,1299358,1584908,20117251,10865,3569,2714,44,15639,3805,3469,38,11307,5815,4458,28,6082,2489,1826,2,7457,3249,2385,6,71,0,0,0,15384952364892125095,10207557416939216461,10207557416939216461,6446403440801708138,16964728810591424325,15866029428626349704,2311,1808,0,0,2214,1611
6,100,15541,8,10,0.825798,18819.38,0.498889,31151.22,0.427055,36391.08,0.387433,40112.75,0.538507,28859.40,0.405667,38309.79,0.686553,22636.26,0.835575,0.092186,0.167000,0.405667,1.500428,0.156374,22,1338474,1653914,11734392,9169,2933,2175,61,15057,3555,3332,62,10118,5294,3904,33,6190,2573,1824,1,7181,3278,2315,4,74,0,0,0,13420583423186344780,2294733371085494131,2294733371085494131,13377165188986900438,4204373222295864140,9204883952495109808,1804,1412,0,0,2188,1580
7,100,14202,8,10,0.686216,20696.11,0.376865,37684.54,0.302517,46946.14,0.320974,44246.59,0.407507,34850.97,0.308647,46013.76,0.529073,26843.20,0.697927,0.083031,0.164960,0.308647,1.254564,0.121351,19,1254039,1514349,13564975,7369,2472,1791,33,13663,2801,2670,50,9766,5047,3727,17,5547,2268,1523,3,6658,2942,2163,3,81,0,0,0,14267620282648399980,8887842914046754239,8887842914046754239,10580157487357107558,17079993739909343811,10898962654354700499,1739,1371,0,0,2071,1527
8,100,13584,8,10,0.742394,18297.55,0.381836,35575.45,0.300468,45209.50,0.327662,41457.38,0.408493,33253.96,0.288949,47011.72,0.528586,25698.76,0.754162,0.081023,0.156965,0.288949,1.281099,0.118659,23,1250955,1296385,17832872,7522,2553,1907,41,12963,2704,2561,50,9639,5103,3734,22,5474,2340,1597,0,6067,2786,1951,1,109,0,0,0,12177246722060402814,1716622752997557053,1716622752997557053,13266003745347935784,133170640730503100,5862423406687823184,1870,1452,0,0,1827,1312
9,100,14206,8,10,0.778183,18255.35,0.402085,35330.86,0.304090,46716.47,0.334773,42434.72,0.430994,32960.99,0.300731,47238.20,0.573531,24769.36,0.792926,0.078525,0.159853,0.300731,1.332036,0.128350,20,1259935,1351650,15988339,7869,2653,1977,39,13793,2870,2722,56,9872,5071,3735,40,5301,2245,1532,0,6190,2915,2114,4,74,0,0,0,17025451624199801075,5153805153840347514,5153805153840347514,2134703549142460168,6088961663506169187,1534503592302865617,1730,1311,0,0,1918,1390
