batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,100,18072,8,10,1.023587,17655.56,0.445202,40592.82,0.402233,44929.15,0.468755,38553.16,0.507551,35606.27,0.418572,43175.35,0.529258,34145.95,0.914425,0.119229,0.213592,0.418572,1.665818,0.073062,20,1623720,1623395,9699106,11661,3644,496,3161,18557,3723,83,4006,11893,6614,184,741,5833,2575,203,1203,6657,3411,100,888,5503,3186,390,282,1430532967664384526,12413065869334957254,12413065869334957254,1461490428528529658,9507841367315337645,16659574379267968746
1,100,17248,8,10,0.900749,19148.52,0.434572,39689.67,0.371837,46385.87,0.442784,38953.55,0.480202,35918.24,0.379265,45477.46,0.512691,33642.10,0.936613,0.089554,0.195859,0.379265,1.601290,0.071956,22,1569055,1568735,9045600,10635,3468,537,2942,17428,3616,78,3726,11935,6788,200,676,5688,2583,234,1189,6854,3334,93,965,5925,3426,397,309,4130579488724180108,10428086648867717756,10428086648867717756,992257602238164445,4151821341689671611,15776793106919785917
2,100,17320,8,10,1.116124,15517.99,0.654873,26447.88,0.522295,33161.36,0.512927,33766.97,0.684907,25288.11,0.513609,33722.13,0.713746,24266.33,1.129850,0.128044,0.204945,0.513609,1.976449,0.073990,17,1645453,1645243,8755758,12889,3807,596,3467,17851,3883,85,4040,12718,7250,181,791,6822,2989,243,1442,8228,4026,101,1118,6294,3665,451,304,7898889672829380152,13739408183138436041,13739408183138436041,12172058767698627269,5094375558008665146,17655974532425933836
3,100,17430,8,10,0.917504,18997.20,0.466608,37354.69,0.401657,43395.19,0.460177,37876.74,0.509281,34224.69,0.390529,44631.75,0.541627,32180.84,0.914565,0.110013,0.202505,0.390529,1.617612,0.071291,18,1620257,1619987,7997905,12411,3886,595,3511,19416,3995,67,4331,12374,7001,231,809,6528,2979,244,1309,7819,3897,95,1012,6526,3876,420,350,9211652975767646501,13063786808960319444,13063786808960319444,6737284926146220251,10576942809682011697,16190094574097013479
4,100,17481,8,10,1.031058,16954.43,0.556434,31416.11,1.109466,15756.23,1.069567,16344.00,0.595669,29346.85,0.461964,37840.64,0.626306,27911.29,1.035236,0.147243,0.203043,0.461964,1.847485,0.075787,20,1585891,1585711,8501489,11550,3595,468,3137,0,0,0,0,0,0,0,0,6640,2917,230,1361,8138,3867,106,1118,6306,3616,414,340,12131714585237044430,4038005661376506925,12131714585237044430,9622113061257539236,9505877569484508775,6037301671212638169
5,100,16498,8,10,0.926629,17804.32,0.483121,34148.80,0.409456,40292.47,0.455365,36230.29,0.528724,31203.44,0.385499,42796.46,0.552145,29879.86,0.940711,0.112967,0.189712,0.385499,1.628889,0.068810,18,1512415,1512195,8771725,10633,3480,533,2830,18078,3678,59,3823,12659,7026,194,814,6736,2883,205,1341,7852,3866,91,944,6599,3708,445,384,124904962644781975,9743398882811414120,9743398882811414120,4529552303737285659,16515589616974050249,5096876248106876122
6,100,16403,8,10,0.976550,16796.89,0.487234,33665.52,0.383376,42785.71,0.459617,35688.44,0.533084,30770.02,0.395243,41501.10,0.561784,29198.06,0.961843,0.101115,0.190888,0.395243,1.649089,0.069286,20,1518607,1518277,7947003,10762,3402,453,2921,16650,3554,63,3741,11390,6306,221,697,5801,2585,229,1181,7003,3363,104,953,5631,3340,422,298,11061162961821425992,10301620130713651826,10301620130713651826,11369676348735476538,7635391910831837668,15655650009127285439
7,100,17219,8,10,0.924742,18620.34,0.468992,36714.94,0.389330,44227.21,0.467369,36842.42,0.516523,33336.34,0.407007,42306.35,0.549853,31315.65,0.927110,0.102188,0.180139,0.407007,1.616444,0.069039,21,1558545,1558425,8618595,11731,3539,483,3148,18439,3612,71,3923,11941,6591,140,750,6418,2848,225,1247,7986,3827,91,1166,6177,3630,387,309,4346904379706324807,13026902075663190717,13026902075663190717,3141527499080803412,4020179955589655655,15310563659615271146
8,100,16400,8,10,0.953127,17206.53,0.509152,32210.45,0.383217,42795.55,0.422739,38794.63,0.547750,29940.67,0.389172,42140.70,0.587791,27901.06,0.961074,0.099457,0.169267,0.389172,1.618970,0.067050,25,1496154,1495899,8632083,10495,3425,503,2744,16288,3448,96,3548,11032,6236,135,686,6141,2658,218,1266,6581,3209,107,937,5706,3336,390,305,9066251284379413628,2154059633709946844,2154059633709946844,5578647540093607609,11679376382692854419,10051354822973894109
9,100,16675,8,10,1.043593,15978.46,0.514588,32404.59,0.420471,39657.89,0.455006,36647.86,0.555256,30031.19,0.423955,39332.01,0.580334,28733.47,1.025637,0.096352,0.193949,0.423955,1.739893,0.070296,19,1555888,1555708,8482509,10922,3403,460,2913,17332,3591,71,3723,11088,6200,194,734,6289,2809,243,1244,7185,3574,101,891,5698,3220,399,375,9690714261063681671,15230943299641145650,15230943299641145650,1777303770272914945,8244220736083130527,16473800831415896283
10,100,17175,8,10,0.943659,18200.43,0.464191,36999.85,0.410385,41850.97,0.470374,36513.47,0.513802,33427.29,0.392333,43776.58,0.534687,32121.58,0.958293,0.100086,0.197256,0.392333,1.647968,0.070216,20,1527943,1527758,8513351,10811,3396,478,2909,18046,3637,79,3768,11531,6405,195,761,6168,2730,189,1297,6956,3354,77,951,5819,3294,335,344,7492563281631761603,5033384789185522564,5033384789185522564,16763330670668123676,14361255041839425377,249605814702187695
11,100,17921,8,10,0.940593,19052.87,0.459102,39034.94,0.382725,46824.72,0.443079,40446.47,0.485760,36892.74,0.379536,47218.14,0.527046,34002.75,0.943560,0.101457,0.202701,0.379536,1.627253,0.071274,19,1590450,1590345,8314334,11895,3851,482,3271,18195,4153,90,4125,12911,7217,220,747,5762,2602,236,1143,7142,3363,126,1050,5388,3232,397,281,2491875668951503182,14699982648759344177,14699982648759344177,778999604140187300,17300249812676621151,9398239059587663505
12,100,16987,8,10,0.957497,17741.04,0.476359,35660.11,0.401561,42302.43,0.455972,37254.49,0.508161,33428.40,0.397248,42761.71,0.534399,31787.11,0.960988,0.102962,0.194773,0.397248,1.655970,0.069099,23,1552358,1552163,8340850,10020,3375,510,2763,16804,3493,80,3598,11352,6284,135,731,5951,2663,212,1199,7266,3589,93,930,5539,3303,353,329,12497154053472034141,12676623284844050995,12676623284844050995,11683425151731416422,10420998731611265943,11237155487346504557
13,100,15859,8,10,1.048505,15125.35,0.518926,30561.18,0.382186,41495.49,0.417027,38028.68,0.549399,28866.09,0.444714,35661.09,0.576701,27499.51,1.052986,0.129972,0.221858,0.444714,1.849530,0.074748,18,1652335,1652130,8739109,8918,3032,443,2546,14136,3259,53,3371,10775,6027,157,695,5364,2473,196,1115,6960,3386,84,796,5103,3027,419,333,4936276234304797675,5108429322599425090,5108429322599425090,16962774697707941805,8853635876802129340,4168871940646443417
14,100,16527,8,10,1.417508,11659.19,0.758120,21799.97,0.497520,33218.75,0.512815,32227.99,0.748140,22090.80,0.414598,39862.71,0.783154,21103.13,1.397765,0.105385,0.187386,0.414598,2.105134,0.067743,24,1467057,1466857,8474442,9224,3061,518,2728,11085,3312,62,2706,12391,6781,74,749,5664,2592,183,1165,6609,3229,93,970,5190,3100,384,334,4498985342474570422,16671188957242065597,16671188957242065597,8733327509953192242,6745979827381636003,12204256080312744858
15,100,17001,8,10,1.348692,12605.54,0.715156,23772.45,0.474573,35823.77,0.530608,32040.58,0.710139,23940.37,0.385408,44111.65,0.750324,22658.21,1.340770,0.104978,0.189805,0.385408,2.020961,0.067266,21,1510552,1510352,8381152,11304,3724,451,3088,10994,3471,45,2868,13310,7350,172,675,5265,2451,205,1053,6933,3398,93,880,4987,3074,370,258,6245922439938972308,13270407928430701178,13270407928430701178,16354472107837423680,16116411721811726635,11970406413152429761
16,100,16078,8,10,1.379682,11653.41,0.747289,21515.11,0.533560,30133.47,0.567447,28333.91,0.731894,21967.67,0.343294,46834.52,0.766326,20980.63,1.367016,0.097916,0.199276,0.343294,2.007501,0.064572,18,1441649,1441564,9077299,9225,3179,466,2622,10616,3146,47,2548,11448,6517,142,686,5472,2506,203,1111,6709,3318,82,857,5374,3141,399,348,12415473380632260829,9680002158339358741,9680002158339358741,6507142326095602646,3558028753452026808,1154912377528675403
17,100,16639,8,10,1.369199,12152.36,0.699932,23772.30,0.487304,34145.02,0.528976,31455.11,0.721506,23061.47,0.402807,41307.59,0.783410,21239.20,1.384158,0.103269,0.178233,0.402807,2.068466,0.070036,28,1579517,1579257,9854623,8759,2967,570,2937,9005,2725,63,2686,12661,7723,250,597,5509,2616,270,1107,6712,3525,153,885,5574,3298,495,366,12953889967018965222,6479305178860945379,6479305178860945379,9915522878828262370,9880588371882520278,9503935584890130005
18,100,16464,8,10,1.099689,14971.50,0.566456,29064.93,0.428575,38415.71,0.466481,35294.02,0.591590,27830.06,0.382839,43005.07,0.609825,26997.93,1.109745,0.097974,0.163829,0.382839,1.754387,0.066738,32,1486333,1486028,9454712,9936,3270,524,2878,15700,3514,80,3634,12285,6834,184,769,5691,2587,216,1078,6000,3027,134,864,5747,3357,426,304,8562143461666359035,6393202080229524428,6393202080229524428,12629285274995561239,1824879054723697730,2369661550738378297
19,100,15786,8,10,1.473164,10715.71,0.767684,20563.14,0.509491,30983.88,0.527792,29909.54,0.776373,20333.02,0.402718,39198.62,0.809262,19506.65,1.484960,0.075730,0.188241,0.402718,2.151650,0.065616,18,1540794,1540629,8498128,8755,2901,446,2614,10446,3115,52,2519,11108,6351,213,627,4404,2057,206,908,6246,3178,63,700,4458,2673,393,279,2690607873717337775,16557226182013594291,16557226182013594291,16286267447282853336,14469850128911952203,14488330869942843807
20,100,16216,8,10,1.531438,10588.74,0.811754,19976.49,0.547769,29603.71,0.589826,27492.87,0.802143,20215.85,0.342021,47412.31,0.828513,19572.42,1.559485,0.081617,0.185021,0.342021,2.168144,0.066767,24,1438830,1438495,9680067,7997,2699,424,2449,9653,3029,51,2319,10553,6006,126,595,4289,1995,162,913,5881,2993,80,676,4615,2696,362,343,12059197753762712816,18106720067092589957,18106720067092589957,8206271846093208036,18076367727049549922,15043506615466252327
