batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,100,13679,8,10,1.188386,11510.57,0.544793,25108.60,0.343302,39845.40,0.322710,42387.85,0.512730,26678.78,0.424787,32202.03,0.517754,26419.89,1.213483,0.070974,0.097584,0.424787,1.806828,0.040856,63,1227086,1226766,9639324,7762,2700,539,2074,13416,2952,89,2675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15150218905186805536,15150218905186805536,15150218905186805536,3094420441999745370,3094420441999745370,3094420441999745370
1,100,14553,8,10,1.280632,11363.92,0.580946,25050.54,0.336787,43211.26,0.298426,48765.81,0.530355,27440.12,0.468572,31058.22,0.540792,26910.55,1.313997,0.079037,0.086768,0.468572,1.948374,0.041885,67,1249080,1248850,9974468,9636,3124,537,2703,13535,3322,56,3228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17096052834954143421,17096052834954143421,17096052834954143421,5429844924437012226,5429844924437012226,5429844924437012226
2,100,13931,8,10,1.249818,11146.43,0.539408,25826.48,0.289381,48140.71,0.265634,52444.28,0.511031,27260.60,0.447274,31146.48,0.524564,26557.29,1.261334,0.071067,0.073639,0.447274,1.853314,0.040126,73,1216128,1215928,9679692,5955,2167,489,1947,9238,2178,58,2372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518436228155931259,518436228155931259,518436228155931259,14479615041055475082,14479615041055475082,14479615041055475082
3,100,13901,8,10,1.275048,10902.33,0.611998,22714.13,0.311236,44663.89,0.293902,47298.04,0.574241,24207.60,0.470273,29559.43,0.577986,24050.76,1.300116,0.073873,0.084493,0.470273,1.928754,0.041426,57,1238536,1238291,9646196,7771,2519,507,2422,11199,2473,69,2811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15579845665816099158,15579845665816099158,15579845665816099158,1083301832157030495,1083301832157030495,1083301832157030495
4,100,14066,8,10,1.137909,12361.27,0.499940,28135.35,0.333531,42173.04,0.309840,45397.67,0.479277,29348.37,0.434144,32399.41,0.486206,28930.11,1.158866,0.070821,0.070497,0.434144,1.734328,0.039188,73,1202819,1202619,9775528,7729,2513,430,2439,13693,2698,51,3123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7749848384870186181,7749848384870186181,7749848384870186181,5443659291576945602,5443659291576945602,5443659291576945602
5,100,13375,8,10,1.220999,10954.15,0.554204,24133.71,0.329923,40539.77,0.296439,45118.84,0.514188,26011.89,0.471448,28370.05,0.527264,25366.80,1.257222,0.070264,0.078515,0.471448,1.877450,0.039304,75,1167153,1166993,9500412,6170,2245,485,1787,10943,2523,63,2332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18045400339019391363,18045400339019391363,18045400339019391363,14890605639112882845,14890605639112882845,14890605639112882845
6,100,14060,8,10,1.412974,9950.64,0.756091,18595.64,0.502358,27987.99,0.421465,33359.86,0.687315,20456.41,0.546985,25704.55,0.711260,19767.73,1.442098,0.070090,0.088632,0.546985,2.147805,0.040709,52,1255397,1255142,9881200,7976,2523,519,2361,10894,2430,69,2469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354141889231138499,1354141889231138499,1354141889231138499,8539904589954054492,8539904589954054492,8539904589954054492
7,100,13097,8,10,1.439140,9100.57,0.862054,15192.79,0.529065,24755.00,0.472780,27702.09,0.799090,16389.90,0.603987,21684.26,0.824021,15894.01,1.466903,0.062319,0.087025,0.603987,2.220233,0.037106,36,1141958,1141753,8844708,6976,2331,489,2165,4635,1556,61,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12390903076544736500,12390903076544736500,12390903076544736500,12599918758453410495,12599918758453410495,12599918758453410495
8,100,13416,8,10,1.166374,11502.32,0.499636,26851.53,0.303490,44205.79,0.289502,46341.69,0.478248,28052.42,0.444481,30183.52,0.484356,27698.62,1.199089,0.067728,0.074981,0.444481,1.786279,0.039699,79,1214705,1214345,9679264,5735,2011,492,1725,10509,2226,58,2293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13775435290495664620,13775435290495664620,13775435290495664620,841522158167959671,841522158167959671,841522158167959671
9,100,14084,8,10,1.198946,11746.99,0.499806,28178.93,0.311761,45175.62,0.267588,52633.12,0.456742,30835.81,0.418353,33665.32,0.471755,29854.47,1.239750,0.066771,0.074344,0.418353,1.799218,0.040331,82,1230186,1230006,9799248,6375,2262,492,1918,9744,2370,72,2432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3142439534162956067,3142439534162956067,3142439534162956067,5745783249168866442,5745783249168866442,5745783249168866442
