batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,100,14635,8,10,0.911383,16058.01,0.534451,27383.25,0.448271,32647.68,0.385329,37980.57,0.574810,25460.57,0.413646,35380.49,0.696496,21012.34,0.934528,0.071490,0.194425,0.413646,1.614089,0.131285,17,1362790,1522115,22094225,9367,0,0,0,16081,0,0,0,10340,0,0,0,6758,0,0,0,7637,0,0,0,112,0,0,0,18111129282136864069,16261080356400210771,16261080356400210771,11107107755229032479,17002849082332210599,13998759589344530472
1,100,14705,8,10,0.758389,19389.78,0.407981,36043.36,0.328823,44720.10,0.379588,38739.38,0.449911,32684.27,0.327794,44860.47,0.588296,24995.91,0.800415,0.067195,0.173049,0.327794,1.368454,0.135135,16,1292719,1594229,20187281,8751,0,0,0,14908,0,0,0,10073,0,0,0,5488,0,0,0,7072,0,0,0,95,0,0,0,9000018135908271896,6723795891784292468,6723795891784292468,5259523344058782267,16085647587321390003,543999619787832013
2,100,13744,8,10,0.783602,17539.52,0.449343,30586.89,0.364240,37733.40,0.379579,36208.57,0.483271,28439.51,0.311449,44129.16,0.598306,22971.54,0.803069,0.070821,0.152234,0.311449,1.337573,0.117653,19,1223306,1529836,23846738,8278,0,0,0,14553,0,0,0,11288,0,0,0,6398,0,0,0,7610,0,0,0,100,0,0,0,10220326392778295776,5065984277857055916,5065984277857055916,9561297146667156146,5973643696825544829,15371272752846035524
3,100,13339,8,10,0.917315,14541.35,0.617975,21585.00,0.522782,25515.42,0.424794,31401.10,0.650558,20503.94,0.311991,42754.50,0.740507,18013.34,0.952998,0.062366,0.154974,0.311991,1.482329,0.114505,23,1253025,1335310,27449382,9092,0,0,0,15139,0,0,0,10378,0,0,0,6491,0,0,0,7045,0,0,0,77,0,0,0,3519313317099163269,15508550740924659546,15508550740924659546,3335811462863732833,15644236368391066105,15636102076014755420
4,100,13302,8,10,0.823707,16148.94,0.467944,28426.46,0.395973,33593.20,0.402332,33062.23,0.508037,26183.11,0.303166,43876.96,0.618892,21493.26,0.833195,0.071997,0.137667,0.303166,1.346024,0.109775,23,1149835,1203280,22869434,8136,0,0,0,14699,0,0,0,10412,0,0,0,6423,0,0,0,6794,0,0,0,79,0,0,0,12581275282157189482,15050661091968202056,15050661091968202056,158337216414622080,9247876486325448674,4145420137469622692
5,100,15419,8,10,0.853509,18065.43,0.537104,28707.65,0.391316,39402.97,0.394350,39099.76,0.553146,27875.08,0.368860,41801.79,0.700770,22002.95,0.888944,0.066637,0.171634,0.368860,1.496075,0.153039,17,1299358,1584908,20117251,10822,0,0,0,15560,0,0,0,10593,0,0,0,5802,0,0,0,6963,0,0,0,71,0,0,0,15384952364892125095,10207557416939216461,10207557416939216461,6446403440801708138,16964728810591424325,15866029428626349704
6,100,15541,8,10,0.828534,18757.23,0.487859,31855.52,0.416503,37313.07,0.365027,42574.97,0.533461,29132.43,0.423587,36689.07,0.701764,22145.61,0.850612,0.085505,0.160185,0.423587,1.519889,0.156322,22,1338474,1653914,11734392,8985,0,0,0,15352,0,0,0,9567,0,0,0,6070,0,0,0,7008,0,0,0,74,0,0,0,13420583423186344780,2294733371085494131,2294733371085494131,13377165188986900438,4204373222295864140,5411727045378159588
7,100,14202,8,10,0.694787,20440.80,0.368851,38503.37,0.297018,47815.21,0.322630,44019.52,0.404269,35130.04,0.313144,45352.95,0.540909,26255.79,0.706880,0.080584,0.161903,0.313144,1.262512,0.120740,19,1254039,1514349,13564975,7510,0,0,0,13743,0,0,0,9070,0,0,0,5406,0,0,0,6179,0,0,0,81,0,0,0,14267620282648399980,8887842914046754239,8887842914046754239,10580157487357107558,17079993739909343811,10898962654354700499
8,100,13584,8,10,0.750640,18096.55,0.374202,36301.25,0.289262,46960.91,0.325961,41673.67,0.407879,33303.99,0.292139,46498.41,0.536886,25301.46,0.765625,0.079255,0.154820,0.292139,1.291839,0.116820,23,1250955,1296385,17832872,7316,0,0,0,13099,0,0,0,9361,0,0,0,5369,0,0,0,5930,0,0,0,109,0,0,0,12177246722060402814,1716622752997557053,1716622752997557053,13266003745347935784,133170640730503100,5862423406687823184
9,100,14206,8,10,0.797530,17812.49,0.399775,35535.01,0.304933,46587.35,0.338544,41962.03,0.435158,32645.58,0.309114,45957.12,0.584183,24317.72,0.815022,0.075072,0.158330,0.309114,1.357539,0.128544,20,1259935,1351650,15988339,7822,0,0,0,13607,0,0,0,9297,0,0,0,5302,0,0,0,6049,0,0,0,74,0,0,0,17025451624199801075,5153805153840347514,5153805153840347514,2134703549142460168,6088961663506169187,1534503592302865617
