batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,100,14635,8,10,0.901743,16229.68,0.529802,27623.54,0.443778,32978.22,0.395455,37008.01,0.567163,25803.88,0.405572,36084.85,0.708275,20662.88,0.918579,0.086196,0.192420,0.405572,1.602767,0.133274,17,1362790,1522115,22094225,9293,0,0,0,15964,0,0,0,10934,0,0,0,6910,0,0,0,7851,0,0,0,112,0,0,0,18111129282136864069,16261080356400210771,16261080356400210771,11107107755229032479,17002849082332210599,5791267321375710732
1,100,14705,8,10,0.781673,18812.21,0.403195,36471.21,0.325936,45116.25,0.383739,38320.36,0.447994,32824.11,0.331441,44366.91,0.586793,25059.94,0.792751,0.103388,0.171980,0.331441,1.399560,0.136187,16,1292719,1594229,20187281,8703,0,0,0,14975,0,0,0,10433,0,0,0,5507,0,0,0,7049,0,0,0,95,0,0,0,9000018135908271896,6723795891784292468,6723795891784292468,5259523344058782267,16085647587321390003,543999619787832013
2,100,13744,8,10,0.792330,17346.30,0.453576,30301.43,0.374366,36712.78,0.380905,36082.51,0.481606,28537.83,0.359074,38276.19,0.596940,23024.08,0.806988,0.094612,0.165351,0.359074,1.426025,0.117403,19,1223306,1529836,23846738,8342,0,0,0,14903,0,0,0,11479,0,0,0,6432,0,0,0,7144,0,0,0,100,0,0,0,10220326392778295776,5065984277857055916,5065984277857055916,9561297146667156146,5973643696825544829,15371272752846035524
3,100,13339,8,10,0.932913,14298.23,0.606858,21980.41,0.509473,26181.95,0.421447,31650.46,0.646883,20620.42,0.316230,42181.30,0.733450,18186.65,0.935039,0.083415,0.145156,0.316230,1.479840,0.114051,23,1253025,1335310,27449382,9121,0,0,0,15696,0,0,0,10805,0,0,0,6633,0,0,0,7111,0,0,0,77,0,0,0,3519313317099163269,15508550740924659546,15508550740924659546,3335811462863732833,15644236368391066105,15636102076014755420
4,100,13302,8,10,0.835627,15918.59,0.473945,28066.54,0.377750,35213.73,0.413273,32186.97,0.512660,25947.01,0.307051,43321.82,0.608691,21853.45,0.836212,0.078036,0.140735,0.307051,1.362034,0.110025,23,1149835,1203280,22869434,8249,0,0,0,14730,0,0,0,11152,0,0,0,6729,0,0,0,7250,0,0,0,79,0,0,0,12581275282157189482,15050661091968202056,15050661091968202056,158337216414622080,9247876486325448674,4145420137469622692
5,100,15419,8,10,0.849031,18160.70,0.528317,29185.12,0.390424,39492.93,0.386523,39891.50,0.547834,28145.37,0.352145,43785.88,0.695954,22155.20,0.861374,0.080805,0.164472,0.352145,1.458796,0.155408,17,1299358,1584908,20117251,10596,0,0,0,16130,0,0,0,10696,0,0,0,6040,0,0,0,6891,0,0,0,71,0,0,0,15384952364892125095,10207557416939216461,10207557416939216461,6446403440801708138,16964728810591424325,15866029428626349704
6,100,15541,8,10,0.840524,18489.65,0.506282,30696.32,0.425908,36489.09,0.360373,43124.78,0.537659,28904.93,0.410654,37844.48,0.694490,22377.56,0.852316,0.085881,0.160902,0.410654,1.509754,0.156407,22,1338474,1653914,11734392,9005,0,0,0,14894,0,0,0,10057,0,0,0,6258,0,0,0,6947,0,0,0,74,0,0,0,13420583423186344780,2294733371085494131,2294733371085494131,13377165188986900438,4204373222295864140,5411727045378159588
7,100,14202,8,10,0.711057,19973.08,0.366408,38760.09,0.303372,46813.77,0.327887,43313.69,0.408885,34733.51,0.308694,46006.78,0.533879,26601.54,0.715457,0.082495,0.168505,0.308694,1.275150,0.120817,19,1254039,1514349,13564975,7382,0,0,0,13414,0,0,0,9435,0,0,0,5450,0,0,0,6369,0,0,0,81,0,0,0,14267620282648399980,8887842914046754239,8887842914046754239,10580157487357107558,17079993739909343811,10898962654354700499
8,100,13584,8,10,0.761263,17844.04,0.368760,36836.97,0.296656,45790.47,0.329348,41245.17,0.400667,33903.51,0.288693,47053.49,0.529709,25644.26,0.761398,0.086255,0.160195,0.288693,1.296541,0.117392,23,1250955,1296385,17832872,7226,0,0,0,13234,0,0,0,9948,0,0,0,5470,0,0,0,6067,0,0,0,109,0,0,0,12177246722060402814,1716622752997557053,1716622752997557053,13266003745347935784,133170640730503100,5862423406687823184
9,100,14206,8,10,0.788123,18025.11,0.392472,36196.19,0.299547,47424.90,0.338403,41979.56,0.428793,33130.21,0.302965,46889.96,0.574141,24743.05,0.800498,0.078939,0.156329,0.302965,1.338731,0.127982,20,1259935,1351650,15988339,7755,0,0,0,13502,0,0,0,9634,0,0,0,5356,0,0,0,6034,0,0,0,74,0,0,0,17025451624199801075,5153805153840347514,5153805153840347514,2134703549142460168,6088961663506169187,1534503592302865617
10,100,14594,8,10,0.933211,15638.48,0.571686,25528.00,0.422049,34578.96,0.455684,32026.60,0.576296,25323.79,0.393464,37091.11,0.704104,20727.04,0.943916,0.091423,0.178945,0.393464,1.607747,0.136501,19,1402976,1480196,14229602,8459,0,0,0,14758,0,0,0,10042,0,0,0,6311,0,0,0,7281,0,0,0,120,0,0,0,4501445705733826870,15603775671172433616,15603775671172433616,6527801541459544938,1391262927409702520,10709881025494314401
11,100,14306,8,10,1.444921,9900.89,1.054576,13565.64,0.954782,14983.53,0.983074,14552.31,1.095522,13058.61,0.655594,21821.43,1.203105,11890.90,1.457967,0.085982,0.151011,0.655594,2.350554,0.131096,32,1349453,1401163,14228816,7693,0,0,0,12869,0,0,0,10995,0,0,0,5635,0,0,0,6453,0,0,0,75,0,0,0,990859956850139487,913926792460518183,913926792460518183,1378853760927812122,3569536526772453383,10288965020626515981
12,100,14637,8,10,0.931348,15715.94,0.500887,29222.15,0.448061,32667.39,0.365901,40002.58,0.529739,27630.58,0.470431,31114.03,0.675756,21660.17,0.943462,0.066250,0.182997,0.470431,1.663141,0.132242,16,1265386,1341531,18734012,6928,0,0,0,11734,0,0,0,10255,0,0,0,5056,0,0,0,5860,0,0,0,105,0,0,0,2103018990469387510,117629602573646687,117629602573646687,6250066733135269418,8410551323661117459,2077510851075441274
13,100,19445,8,10,0.979549,19850.97,0.559918,34728.30,0.495420,39249.52,0.470630,41316.93,0.597444,32546.99,0.428987,45327.66,0.857407,22678.84,0.982447,0.094577,0.199271,0.428987,1.705283,0.177409,21,1391350,2262845,18248307,8591,0,0,0,14088,0,0,0,11289,0,0,0,5948,0,0,0,6758,0,0,0,131,0,0,0,7343182963142953200,924954449231131932,924954449231131932,138585247719086455,15121404104835025610,12183795547907409118
14,100,22352,8,10,0.865935,25812.57,0.482795,46297.06,0.404779,55220.29,0.393641,56782.68,0.526082,42487.67,0.395825,56469.37,0.791910,28225.44,0.868734,0.098029,0.196129,0.395825,1.558717,0.180680,24,1275482,2230667,14920000,7054,0,0,0,11874,0,0,0,12492,0,0,0,6260,0,0,0,7233,0,0,0,97,0,0,0,10170295632724050886,2071752296048682208,2071752296048682208,7669484729134688637,3262950162255834510,5627327707463828446
15,100,15072,8,10,1.126046,13384.89,0.722277,20867.33,0.617102,24423.82,0.584958,25765.96,0.763155,19749.59,0.609394,24732.78,0.889162,16950.80,1.160131,0.071911,0.175130,0.609394,2.016566,0.147497,21,1342120,1399910,15092793,8185,0,0,0,13492,0,0,0,11690,0,0,0,6560,0,0,0,7307,0,0,0,148,0,0,0,5493572768155614155,1463268662115167736,1463268662115167736,721759537484126554,1377623914583955810,9800935836073866878
16,100,15082,8,10,0.930948,16200.69,0.497018,30344.96,0.391053,38567.68,0.406805,37074.27,0.531588,28371.62,0.329928,45713.01,0.691410,21813.39,0.929493,0.087766,0.158752,0.329928,1.505939,0.142156,27,1286744,1370534,19379538,7662,0,0,0,12430,0,0,0,9582,0,0,0,5034,0,0,0,5286,0,0,0,97,0,0,0,4523094465018548120,8632848498711948121,8632848498711948121,440177877989909235,17102644498762300557,15806710221527271290
17,100,15003,8,10,0.808606,18554.16,0.386455,38822.08,0.290653,51618.28,0.337719,44424.54,0.417503,35935.08,0.300731,49888.51,0.562565,26668.92,0.821062,0.087154,0.175801,0.300731,1.384747,0.148954,25,1430142,1538557,16900797,7823,0,0,0,13078,0,0,0,11083,0,0,0,5792,0,0,0,6688,0,0,0,82,0,0,0,13583197461880909231,9022071813311972273,9022071813311972273,8969137145660063436,12486491501027800837,3833984465342592287
