batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade
0,100,18072,8,10,1.028745,17567.03,0.436083,41441.68,0.384832,46960.79,0.450842,40085.02,0.504928,35791.22,0.420003,43028.31,0.756022,23904.05,0.911095,0.109037,0.215675,0.420003,1.655809,0.207733,20,1623720,2705410,9699106,11573,0,0,0,18740,0,0,0,11604,0,0,0,5802,0,0,0,6897,0,0,0,242,0,0,0,1430532967664384526,12413065869334957254,12413065869334957254,1461490428528529658,9507841367315337645,14819708939222048278,0,0,0,0,0,0
1,100,17248,8,10,0.895203,19267.13,0.418835,41180.94,0.359262,48009.51,0.436844,39483.23,0.477366,36131.60,0.374264,46085.16,0.661990,26054.78,0.892415,0.107776,0.188222,0.374264,1.562677,0.197477,22,1569055,1690185,9045600,10445,0,0,0,16763,0,0,0,11717,0,0,0,5712,0,0,0,6634,0,0,0,207,0,0,0,4130579488724180108,10428086648867717756,10428086648867717756,992257602238164445,4151821341689671611,10618034756388649362,0,0,0,0,0,0
2,100,17320,8,10,1.129751,15330.81,0.644724,26864.22,0.508987,34028.36,0.518398,33410.64,0.678987,25508.57,0.513122,33754.18,0.879890,19684.27,1.132715,0.111509,0.207716,0.513122,1.965062,0.195880,17,1645453,1784243,8755758,12292,0,0,0,17886,0,0,0,12728,0,0,0,6652,0,0,0,8140,0,0,0,178,0,0,0,7898889672829380152,13739408183138436041,13739408183138436041,12172058767698627269,5094375558008665146,14048009188646292182,0,0,0,0,0,0
3,100,17430,8,10,0.914617,19057.16,0.452090,38554.23,0.396570,43951.91,0.454853,38320.09,0.497250,35052.77,0.387072,45030.35,0.698932,24938.04,0.913005,0.109440,0.198812,0.387072,1.608330,0.196935,18,1620257,1765077,7997905,12365,0,0,0,19569,0,0,0,12099,0,0,0,6609,0,0,0,7652,0,0,0,264,0,0,0,9211652975767646501,13063786808960319444,13063786808960319444,6737284926146220251,10576942809682011697,2693169927934114308,0,0,0,0,0,0
4,100,17481,8,10,1.029348,16982.59,0.548438,31874.17,1.147567,15233.09,1.065667,16403.81,0.593046,29476.62,0.457782,38186.29,0.774281,22577.08,1.027276,0.101999,0.192525,0.457782,1.779582,0.200553,20,1585891,1713676,8501489,11213,0,0,0,0,0,0,0,0,0,0,0,6511,0,0,0,8211,0,0,0,257,0,0,0,12131714585237044430,4038005661376506925,12131714585237044430,9622113061257539236,9505877569484508775,3228345204642697068,0,0,0,0,0,0
5,100,16498,8,10,0.924348,17848.26,0.472432,34921.46,0.397717,41481.78,0.455134,36248.65,0.516554,31938.57,0.390517,42246.53,0.672352,24537.73,0.936308,0.093445,0.190256,0.390517,1.610527,0.172166,18,1512415,1598660,8771725,10574,0,0,0,17448,0,0,0,12231,0,0,0,6801,0,0,0,7769,0,0,0,215,0,0,0,124904962644781975,9743398882811414120,9743398882811414120,4529552303737285659,16515589616974050249,3288729658500030241,0,0,0,0,0,0
6,100,16403,8,10,0.963594,17022.73,0.481315,34079.56,0.372782,44001.65,0.458812,35751.06,0.527739,31081.63,0.395293,41495.85,0.720748,22758.31,0.977036,0.118313,0.194386,0.395293,1.685028,0.177510,20,1518607,1636897,7947003,10240,0,0,0,16521,0,0,0,11263,0,0,0,5846,0,0,0,7108,0,0,0,189,0,0,0,11061162961821425992,10301620130713651826,10301620130713651826,11369676348735476538,7635391910831837668,995006849725366061,0,0,0,0,0,0
7,100,17219,8,10,0.914790,18822.91,0.459156,37501.40,0.381044,45188.96,0.461185,37336.41,0.509669,33784.70,0.405596,42453.54,0.700828,24569.53,0.931030,0.094172,0.181646,0.405596,1.612444,0.188410,21,1558545,1710125,8618595,11842,0,0,0,18251,0,0,0,11834,0,0,0,6365,0,0,0,7812,0,0,0,192,0,0,0,4346904379706324807,13026902075663190717,13026902075663190717,3141527499080803412,4020179955589655655,13851720993492955383,0,0,0,0,0,0
8,100,16400,8,10,0.971338,16883.92,0.494907,33137.54,0.375305,43697.78,0.416374,39387.65,0.547511,29953.75,0.386311,42452.86,0.721361,22734.80,0.969144,0.092517,0.174505,0.386311,1.622478,0.174510,25,1496154,1599639,8632083,10131,0,0,0,16579,0,0,0,10855,0,0,0,6030,0,0,0,6372,0,0,0,167,0,0,0,9066251284379413628,2154059633709946844,2154059633709946844,5578647540093607609,11679376382692854419,5324986273561466848,0,0,0,0,0,0
9,100,16675,8,10,1.015732,16416.74,0.502862,33160.21,0.398720,41821.35,0.446886,37313.73,0.547834,30438.04,0.416045,40079.78,0.752776,22151.35,1.025660,0.088284,0.190865,0.416045,1.720855,0.182418,19,1555888,1684063,8482509,10800,0,0,0,17104,0,0,0,11387,0,0,0,6446,0,0,0,6821,0,0,0,254,0,0,0,9690714261063681671,15230943299641145650,15230943299641145650,1777303770272914945,8244220736083130527,14482907684010082884,0,0,0,0,0,0
