batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,100,14635,8,10,0.890021,16443.43,0.535415,27333.94,0.448878,32603.53,0.393979,37146.69,0.564888,25907.80,0.404748,36158.33,0.610470,23973.33,0.915137,0.082992,0.191015,0.404748,1.593891,0.066914,17,1362790,1362660,22094225,9318,0,0,0,16538,0,0,0,11633,0,0,0,7149,0,0,0,8213,0,0,0,6516,0,0,0,18111129282136864069,16261080356400210771,16261080356400210771,11107107755229032479,17002849082332210599,16304859313574688114
1,100,14705,8,10,0.756917,19427.50,0.403517,36442.13,0.323588,45443.56,0.383124,38381.85,0.443374,33166.13,0.324937,45254.95,0.484496,30351.14,0.799837,0.070484,0.177292,0.324937,1.372549,0.057513,16,1292719,1292599,20187281,8716,0,0,0,15061,0,0,0,10651,0,0,0,5562,0,0,0,7142,0,0,0,5415,0,0,0,9000018135908271896,6723795891784292468,6723795891784292468,5259523344058782267,16085647587321390003,3792432781819520507
2,100,13744,8,10,0.775604,17720.39,0.447966,30680.89,0.369097,37236.82,0.374073,36741.47,0.477401,28789.21,0.309486,44409.06,0.513729,26753.39,0.789935,0.078935,0.151138,0.309486,1.329494,0.055119,19,1223306,1223061,23846738,8363,0,0,0,14728,0,0,0,11566,0,0,0,6564,0,0,0,7742,0,0,0,6464,0,0,0,10220326392778295776,5065984277857055916,5065984277857055916,9561297146667156146,5973643696825544829,14098657745519194450
3,100,13339,8,10,0.929830,14345.64,0.609044,21901.55,0.513853,25958.78,0.417263,31967.85,0.643443,20730.68,0.314391,42428.02,0.664588,20071.09,0.928760,0.083253,0.151280,0.314391,1.477684,0.060887,23,1253025,1252830,27449382,9005,0,0,0,15281,0,0,0,10929,0,0,0,6660,0,0,0,7236,0,0,0,6072,0,0,0,3519313317099163269,15508550740924659546,15508550740924659546,3335811462863732833,15644236368391066105,9894658307761273365
4,100,13302,8,10,0.829600,16034.24,0.468663,28382.86,0.393371,33815.41,0.402667,33034.70,0.505948,26291.23,0.303021,43897.95,0.521054,25529.03,0.852675,0.070472,0.145524,0.303021,1.371692,0.052302,23,1149835,1149755,22869434,8329,0,0,0,15082,0,0,0,11660,0,0,0,6657,0,0,0,7724,0,0,0,6095,0,0,0,12581275282157189482,15050661091968202056,15050661091968202056,158337216414622080,9247876486325448674,6796308383949088673
5,100,15419,8,10,0.832396,18523.64,0.531398,29015.91,0.374826,41136.42,0.379048,40678.26,0.540801,28511.40,0.357028,43187.13,0.560899,27489.80,0.849989,0.097535,0.174183,0.357028,1.478735,0.056749,17,1299358,1299118,20117251,10393,0,0,0,15353,0,0,0,11234,0,0,0,6076,0,0,0,7425,0,0,0,5580,0,0,0,15384952364892125095,10207557416939216461,10207557416939216461,6446403440801708138,16964728810591424325,15561950384603535778
6,100,15541,8,10,0.825644,18822.87,0.495216,31382.29,0.421710,36852.32,0.409224,37976.80,0.536056,28991.37,0.402931,38569.89,0.551690,28169.80,0.838480,0.091820,0.160444,0.402931,1.493674,0.061949,22,1338474,1338379,11734392,9090,0,0,0,15318,0,0,0,10837,0,0,0,6184,0,0,0,7163,0,0,0,6286,0,0,0,13420583423186344780,2294733371085494131,2294733371085494131,13377165188986900438,4204373222295864140,2963770727154761596
7,100,14202,8,10,0.687807,20648.25,0.370223,38360.69,0.294259,48263.62,0.321459,44179.81,0.402648,35271.52,0.306065,46401.93,0.423812,33510.16,0.701512,0.081796,0.162482,0.306065,1.251854,0.056575,19,1254039,1253954,13564975,7390,0,0,0,13486,0,0,0,9646,0,0,0,5678,0,0,0,6453,0,0,0,5219,0,0,0,14267620282648399980,8887842914046754239,8887842914046754239,10580157487357107558,17079993739909343811,9448549679955320903
8,100,13584,8,10,0.744148,18254.43,0.370865,36627.87,0.292418,46454.12,0.328630,41335.20,0.394731,34413.31,0.285685,47548.94,0.422295,32167.07,0.760625,0.080477,0.154565,0.285685,1.281351,0.056810,23,1250955,1250775,17832872,7138,0,0,0,13290,0,0,0,9839,0,0,0,5428,0,0,0,6065,0,0,0,5570,0,0,0,12177246722060402814,1716622752997557053,1716622752997557053,13266003745347935784,133170640730503100,16750595362417587324
9,100,14206,8,10,0.776520,18294.44,0.395973,35876.23,0.296389,47930.22,0.328744,43213.00,0.425749,33367.05,0.296945,47840.45,0.455632,31178.69,0.789574,0.082540,0.154949,0.296945,1.324009,0.056571,20,1259935,1259725,15988339,7774,0,0,0,13346,0,0,0,9852,0,0,0,5340,0,0,0,6135,0,0,0,5434,0,0,0,17025451624199801075,5153805153840347514,5153805153840347514,2134703549142460168,6088961663506169187,7819365605233129104
