batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,100,14635,8,10,0.887413,16491.75,0.543533,26925.70,0.460438,31784.93,0.396115,36946.34,0.570127,25669.72,0.406612,35992.54,0.613623,23850.16,0.908290,0.084162,0.192687,0.406612,1.591752,0.067411,17,1362790,1362660,22094225,9457,3121,459,58,16238,3631,59,60,11048,5827,240,45,7082,2883,288,4,8146,3566,111,7,6492,3640,494,9,18111129282136864069,16261080356400210771,16261080356400210771,11107107755229032479,17002849082332210599,14952159286879993935
1,100,14705,8,10,0.746886,19688.41,0.409130,35942.10,0.335078,43885.29,0.376225,39085.66,0.448202,32808.89,0.322805,45553.79,0.487656,30154.47,0.752973,0.107339,0.176809,0.322805,1.359926,0.057649,16,1292719,1292599,20187281,8652,2608,391,39,15133,2909,44,50,10690,5584,124,29,5521,2253,255,2,7294,3306,72,3,5376,2920,401,2,9000018135908271896,6723795891784292468,6723795891784292468,5259523344058782267,16085647587321390003,3792432781819520507
2,100,13744,8,10,0.769684,17856.68,0.457681,30029.66,0.379624,36204.22,0.380345,36135.64,0.480485,28604.41,0.308526,44547.37,0.514595,26708.36,0.790624,0.072614,0.152036,0.308526,1.323801,0.055050,19,1223306,1223061,23846738,8460,2804,418,34,14835,3282,67,65,11370,5969,142,34,6519,2695,291,8,7811,3443,124,10,6453,3537,492,9,10220326392778295776,5065984277857055916,5065984277857055916,9561297146667156146,5973643696825544829,14098657745519194450
3,100,13339,8,10,0.909623,14664.31,0.616020,21653.50,0.522659,25521.40,0.418506,31872.92,0.646627,20628.59,0.308363,43257.49,0.664690,20067.99,0.913767,0.100238,0.158290,0.308363,1.480658,0.058393,23,1253025,1252830,27449382,9063,2872,445,36,15984,3973,53,57,11281,5712,117,13,6669,2716,278,5,7546,3325,124,3,5971,3285,427,5,3519313317099163269,15508550740924659546,15508550740924659546,3335811462863732833,15644236368391066105,9894658307761273365
4,100,13302,8,10,0.807948,16463.93,0.473200,28110.73,0.400864,33183.34,0.399549,33292.54,0.508529,26157.82,0.297819,44664.75,0.520843,25539.36,0.814912,0.072321,0.135853,0.297819,1.320904,0.050820,23,1149835,1149745,22869434,8320,2743,519,73,14976,3366,69,82,11304,6025,142,51,6839,2801,295,6,7545,3411,107,13,5990,3224,480,5,12581275282157189482,15050661091968202056,15050661091968202056,158337216414622080,9247876486325448674,6796308383949088673
5,100,15419,8,10,0.837615,18408.23,0.537785,28671.30,0.392162,39317.91,0.386540,39889.80,0.548778,28096.95,0.358926,42958.66,0.564492,27314.84,0.839867,0.091197,0.169957,0.358926,1.459947,0.057703,17,1299358,1299118,20117251,10749,3547,435,47,16020,4015,44,48,11101,5771,183,29,6084,2467,254,3,7320,3173,106,3,5594,2932,440,6,15384952364892125095,10207557416939216461,10207557416939216461,6446403440801708138,16964728810591424325,13315154814766232993
6,100,15541,8,10,0.813825,19096.24,0.496398,31307.54,0.420109,36992.75,0.387178,40139.11,0.536241,28981.35,0.418647,37121.94,0.550540,28228.66,0.824143,0.092897,0.158243,0.418647,1.493931,0.062417,22,1338474,1338374,11734392,9092,2927,472,54,15545,3627,61,65,10309,5338,96,31,6361,2626,235,1,7089,3232,94,8,6153,3212,391,2,13420583423186344780,2294733371085494131,2294733371085494131,13377165188986900438,4204373222295864140,7162620344939125573
7,100,14202,8,10,0.685414,20720.32,0.369031,38484.53,0.296480,47902.11,0.321631,44156.15,0.404998,35066.81,0.309205,45930.62,0.423888,33504.15,0.692853,0.081460,0.161125,0.309205,1.244643,0.056868,19,1254039,1253949,13564975,7400,2480,410,35,13440,2729,51,53,9825,5117,129,18,5479,2280,242,3,6575,2929,122,3,5184,2872,419,1,14267620282648399980,8887842914046754239,8887842914046754239,10580157487357107558,17079993739909343811,9448549679955320903
8,100,13584,8,10,0.736545,18442.86,0.376024,36125.31,0.298015,45581.67,0.323385,42005.65,0.400215,33941.75,0.284477,47750.73,0.420392,32312.73,0.750353,0.080022,0.151933,0.284477,1.266785,0.057425,23,1250955,1250770,17832872,7367,2503,406,41,13151,2655,61,49,9764,5145,102,23,5525,2369,246,0,6265,2936,92,2,5414,3011,435,3,12177246722060402814,1716622752997557053,1716622752997557053,13266003745347935784,133170640730503100,16750595362417587324
9,100,14206,8,10,0.776634,18291.75,0.401660,35368.23,0.297695,47719.93,0.332321,42747.84,0.428344,33164.89,0.292622,48547.31,0.457993,31017.93,0.785004,0.083736,0.156830,0.292622,1.318192,0.057537,20,1259935,1259725,15988339,7859,2625,375,41,13251,2801,62,51,9820,5046,84,38,5318,2263,209,1,6133,2866,94,4,5344,2937,427,7,17025451624199801075,5153805153840347514,5153805153840347514,2134703549142460168,6088961663506169187,7819365605233129104
