batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,50,5000,8,1000,0.515567,9698.07,0.252361,19812.89,0.152723,32738.97,0.136403,36656.07,0.245365,20377.83,0.153624,32547.00,0.246178,20310.52,0.527176,0.025239,0.171338,0.153624,0.877376,0.011290,1,322675,322675,1844000,7638,0,0,0,11144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6819445568429427888,6819445568429427888,6819445568429427888,11348631597501526438,11348631597501526438,11348631597501526438
1,50,5000,8,1000,0.515729,9695.01,0.252022,19839.53,0.147500,33898.32,0.134108,37283.38,0.249728,20021.76,0.144476,34607.72,0.246538,20280.87,0.525470,0.021995,0.126451,0.144476,0.818392,0.010519,4,322739,322739,1844000,7433,0,0,0,11046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4943982939821925178,4943982939821925178,4943982939821925178,9393770980819087044,9393770980819087044,9393770980819087044
2,50,5000,8,1000,0.517390,9663.89,0.250133,19989.36,0.151616,32978.10,0.137096,36470.79,0.253619,19714.61,0.142347,35125.32,0.246949,20247.07,0.525795,0.021544,0.140934,0.142347,0.830620,0.010600,3,322923,322923,1844000,7629,0,0,0,11331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9065896289365471448,9065896289365471448,9065896289365471448,4613736544503689390,4613736544503689390,4613736544503689390
3,50,5000,8,1000,0.516004,9689.85,0.251889,19850.04,0.152947,32691.09,0.138473,36108.13,0.248633,20109.98,0.137748,36298.12,0.247367,20212.92,0.527132,0.021825,0.131927,0.137748,0.818632,0.010206,4,322939,322939,1844000,7679,0,0,0,11125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5789525175684403557,5789525175684403557,5789525175684403557,10241705072809142270,10241705072809142270,10241705072809142270
4,50,5000,8,1000,0.517388,9663.92,0.253106,19754.53,0.158947,31457.06,0.144111,34695.56,0.251414,19887.49,0.158956,31455.27,0.248583,20114.02,0.526883,0.020644,0.141135,0.158956,0.847617,0.010781,4,322860,322860,1844000,7585,0,0,0,11805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12148275394907964397,12148275394907964397,12148275394907964397,9517315778164932697,9517315778164932697,9517315778164932697
5,50,5000,8,1000,0.523016,9559.94,0.254287,19662.84,0.150005,33332.33,0.131340,38069.21,0.251844,19853.57,0.155017,32254.57,0.248334,20134.19,0.527141,0.020433,0.131292,0.155017,0.833883,0.010550,6,322712,322712,1844000,7690,0,0,0,11301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12422171449225269148,12422171449225269148,12422171449225269148,17302834354036456246,17302834354036456246,17302834354036456246
6,50,5000,8,1000,0.516056,9688.86,0.253731,19705.89,0.151462,33011.66,0.137672,36318.28,0.249276,20058.05,0.149936,33347.59,0.244926,20414.30,0.527473,0.019176,0.153717,0.149936,0.850302,0.011004,1,322850,322850,1844000,7308,0,0,0,11187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17199771606179039863,17199771606179039863,17199771606179039863,13786331775004272426,13786331775004272426,13786331775004272426
7,50,5000,8,1000,0.518287,9647.16,0.253507,19723.29,0.145614,34337.42,0.134180,37263.50,0.248603,20112.35,0.151162,33077.00,0.249488,20041.06,0.526283,0.022152,0.121251,0.151162,0.820848,0.010078,7,322777,322777,1844000,7798,0,0,0,11056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6858776553388082757,6858776553388082757,6858776553388082757,17185786600620435675,17185786600620435675,17185786600620435675
8,50,5000,8,1000,0.515993,9690.06,0.253860,19695.90,0.157549,31736.19,0.142591,35065.45,0.250235,19981.22,0.148731,33617.80,0.244134,20480.57,0.526104,0.020535,0.140860,0.148731,0.836231,0.010146,3,322920,322920,1844000,7548,0,0,0,11524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10927250938701376367,10927250938701376367,10927250938701376367,9299248715586186078,9299248715586186078,9299248715586186078
9,50,5000,8,1000,0.520358,9608.76,0.252481,19803.46,0.155043,32249.04,0.137388,36393.23,0.249463,20043.08,0.147640,33866.05,0.249374,20050.18,0.532520,0.022404,0.113743,0.147640,0.816308,0.010713,8,322864,322864,1844000,7746,0,0,0,11903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5522912322080722412,5522912322080722412,5522912322080722412,18207129203071433750,18207129203071433750,18207129203071433750
