batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,100,14635,8,10,0.899012,16278.99,0.540266,27088.51,0.453406,32277.91,0.394432,37103.94,0.568557,25740.62,0.395155,37036.06,0.000000,0.00,0.920079,0.076845,0.244219,0.395155,1.636298,0.000000,10,1362790,0,22094225,9250,0,0,0,16118,0,0,0,11329,0,0,0,7096,0,0,0,8707,0,0,0,0,0,0,0,18111129282136864069,16261080356400210771,16261080356400210771,11107107755229032479,4323718302181806358,0
1,100,14705,8,10,0.752015,19554.14,0.404281,36373.22,0.329617,44612.44,0.377790,38923.73,0.444569,33076.98,0.327296,44928.73,0.000000,0.00,0.758179,0.112188,0.227900,0.327296,1.425563,0.000000,11,1292719,0,20187281,8613,0,0,0,14877,0,0,0,10775,0,0,0,5459,0,0,0,6322,0,0,0,0,0,0,0,9000018135908271896,6723795891784292468,6723795891784292468,5259523344058782267,5530909983597602329,0
2,100,13744,8,10,0.796461,17256.35,0.450759,30490.80,0.372400,36906.53,0.375551,36596.85,0.478293,28735.55,0.366700,37480.24,0.000000,0.00,0.809250,0.072949,0.196743,0.366700,1.445643,0.000000,12,1223306,0,23846738,8218,0,0,0,14740,0,0,0,11371,0,0,0,6633,0,0,0,7495,0,0,0,0,0,0,0,10220326392778295776,5065984277857055916,5065984277857055916,9561297146667156146,10379684098734770339,0
3,100,13339,8,10,0.928935,14359.46,0.614321,21713.41,0.528252,25251.21,0.420208,31743.81,0.648360,20573.46,0.316534,42140.87,0.000000,0.00,0.943586,0.092575,0.207561,0.316534,1.560255,0.000000,11,1253025,0,27449382,8952,0,0,0,14752,0,0,0,11080,0,0,0,6598,0,0,0,7392,0,0,0,0,0,0,0,3519313317099163269,15508550740924659546,15508550740924659546,3335811462863732833,6720022482412953214,0
4,100,13302,8,10,0.826813,16088.27,0.472605,28146.13,0.375146,35458.16,0.409486,32484.60,0.507275,26222.47,0.287046,46341.02,0.000000,0.00,0.831748,0.075527,0.176123,0.287046,1.370443,0.000000,18,1149835,0,22869434,8296,0,0,0,14380,0,0,0,11523,0,0,0,6718,0,0,0,7396,0,0,0,0,0,0,0,12581275282157189482,15050661091968202056,15050661091968202056,158337216414622080,17913783778633168650,0
5,100,15419,8,10,0.846578,18213.32,0.539313,28590.10,0.385949,39950.85,0.384948,40054.75,0.545214,28280.66,0.357802,43093.66,0.000000,0.00,0.860711,0.094884,0.219686,0.357802,1.533083,0.000000,12,1299358,0,20117251,10577,0,0,0,15633,0,0,0,11238,0,0,0,6033,0,0,0,8062,0,0,0,0,0,0,0,15384952364892125095,10207557416939216461,10207557416939216461,6446403440801708138,8936249039540736909,0
6,100,15541,8,10,0.833128,18653.79,0.492586,31549.80,0.427315,36368.93,0.388127,40040.99,0.528196,29422.77,0.420653,36944.98,0.000000,0.00,0.844470,0.087218,0.224328,0.420653,1.576669,0.000000,10,1338474,0,11734392,9032,0,0,0,15681,0,0,0,10397,0,0,0,6124,0,0,0,6864,0,0,0,0,0,0,0,13420583423186344780,2294733371085494131,2294733371085494131,13377165188986900438,13013737020435930673,0
7,100,14202,8,10,0.701927,20232.87,0.365742,38830.64,0.303196,46841.00,0.320783,44272.86,0.398450,35643.10,0.308366,46055.67,0.000000,0.00,0.708692,0.080091,0.198828,0.308366,1.295978,0.000000,12,1254039,0,13564975,7371,0,0,0,13490,0,0,0,9613,0,0,0,5507,0,0,0,6920,0,0,0,0,0,0,0,14267620282648399980,8887842914046754239,8887842914046754239,10580157487357107558,14635681415062819543,0
8,100,13584,8,10,0.750059,18110.57,0.371235,36591.39,0.297516,45658.04,0.328083,41404.15,0.395915,34310.41,0.362829,37439.11,0.000000,0.00,0.762473,0.079914,0.194044,0.362829,1.399260,0.000000,17,1250955,0,17832872,7316,0,0,0,12932,0,0,0,9962,0,0,0,5508,0,0,0,5561,0,0,0,0,0,0,0,12177246722060402814,1716622752997557053,1716622752997557053,13266003745347935784,10818697009568455618,0
9,100,14206,8,10,0.790375,17973.74,0.397704,35720.00,0.301064,47186.06,0.345936,41065.35,0.428764,33132.41,0.283556,50099.46,0.000000,0.00,0.805025,0.075194,0.202172,0.283556,1.365948,0.000000,11,1259935,0,15988339,7807,0,0,0,13657,0,0,0,9729,0,0,0,5391,0,0,0,6175,0,0,0,0,0,0,0,17025451624199801075,5153805153840347514,5153805153840347514,2134703549142460168,6421837571272658544,0
