batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,100,18072,8,10,1.004869,17984.43,0.430165,42011.81,0.385443,46886.27,0.450930,40077.17,0.498959,36219.44,0.405462,44571.33,0.517281,34936.54,0.912426,0.121656,0.289881,0.405462,1.729425,0.073167,11,1623720,1623395,9699106,11536,0,0,0,18271,0,0,0,11564,0,0,0,5820,0,0,0,7084,0,0,0,5434,0,0,0,1430532967664384526,12413065869334957254,12413065869334957254,1461490428528529658,17925328993631774230,16659574379267968746
1,100,17248,8,10,0.880439,19590.23,0.417550,41307.62,0.356234,48417.68,0.428408,40260.69,0.471187,36605.41,0.368389,46820.12,0.499451,34533.92,0.924816,0.082257,0.272580,0.368389,1.648042,0.070784,11,1569055,1568740,9045600,10479,0,0,0,16557,0,0,0,11658,0,0,0,5682,0,0,0,6359,0,0,0,5922,0,0,0,4130579488724180108,10428086648867717756,10428086648867717756,992257602238164445,14337242648266972451,14362756178887396247
2,100,17320,8,10,1.107509,15638.70,0.647482,26749.78,0.510897,33901.15,0.500732,34589.33,0.675189,25652.08,0.478602,36188.76,0.703945,24604.20,1.130826,0.109072,0.269136,0.478602,1.987636,0.074574,10,1645453,1645243,8755758,12655,0,0,0,18368,0,0,0,13059,0,0,0,6697,0,0,0,8011,0,0,0,6274,0,0,0,7898889672829380152,13739408183138436041,13739408183138436041,12172058767698627269,15890041725934338728,17655974532425933836
3,100,17430,8,10,0.920615,18933.00,0.456011,38222.76,0.397341,43866.64,0.452490,38520.17,0.495538,35173.86,0.379976,45871.31,0.533115,32694.61,0.909926,0.139523,0.282306,0.379976,1.711732,0.073596,10,1620257,1620007,7997905,12229,0,0,0,19319,0,0,0,12369,0,0,0,6563,0,0,0,7967,0,0,0,6401,0,0,0,9211652975767646501,13063786808960319444,13063786808960319444,6737284926146220251,4583731410145496927,16190094574097013479
4,100,17481,8,10,1.027171,17018.59,0.548385,31877.23,1.108473,15770.34,1.071195,16319.15,0.589603,29648.76,0.420651,41556.97,0.613948,28473.11,1.025863,0.116830,0.266494,0.420651,1.829838,0.075792,11,1585891,1585716,8501489,11385,0,0,0,0,0,0,0,0,0,0,0,6653,0,0,0,7900,0,0,0,6159,0,0,0,12131714585237044430,4038005661376506925,12131714585237044430,9622113061257539236,291925338886616689,13723888653497823307
5,100,16498,8,10,0.920495,17922.97,0.470988,35028.51,0.392642,42017.92,0.449269,36721.89,0.515494,32004.27,0.377915,43655.37,0.544567,30295.63,0.926396,0.101119,0.245245,0.377915,1.650675,0.068060,11,1512415,1512190,8771725,10800,0,0,0,17904,0,0,0,12696,0,0,0,6826,0,0,0,7827,0,0,0,6446,0,0,0,124904962644781975,9743398882811414120,9743398882811414120,4529552303737285659,16300726348599639588,5096876248106876122
6,100,16403,8,10,0.942958,17395.26,0.470873,34835.33,0.383684,42751.32,0.449854,36462.93,0.525556,31210.77,0.385444,42556.14,0.550636,29789.21,0.947262,0.102156,0.233332,0.385444,1.668194,0.067500,14,1518607,1518282,7947003,10405,0,0,0,16371,0,0,0,11324,0,0,0,5904,0,0,0,7675,0,0,0,5721,0,0,0,11061162961821425992,10301620130713651826,10301620130713651826,11369676348735476538,5573997866277988904,15655650009127285439
7,100,17219,8,10,0.910497,18911.64,0.460546,37388.22,0.384526,44779.84,0.456274,37738.33,0.506039,34027.02,0.392165,43907.50,0.536032,32123.06,0.946447,0.088593,0.258982,0.392165,1.686188,0.070281,14,1558545,1558425,8618595,11547,0,0,0,18130,0,0,0,12126,0,0,0,6382,0,0,0,7280,0,0,0,6012,0,0,0,4346904379706324807,13026902075663190717,13026902075663190717,3141527499080803412,523083744844228767,15310563659615271146
8,100,16400,8,10,0.940429,17438.85,0.493288,33246.28,0.360928,45438.40,0.410815,39920.63,0.538832,30436.21,0.373615,43895.44,0.576529,28446.07,0.952667,0.096144,0.224110,0.373615,1.646537,0.066812,15,1496154,1495889,8632083,10408,0,0,0,16610,0,0,0,10805,0,0,0,6110,0,0,0,6841,0,0,0,5722,0,0,0,9066251284379413628,2154059633709946844,2154059633709946844,5578647540093607609,3420282886122155595,10051354822973894109
9,100,16675,8,10,0.983576,16953.45,0.502849,33161.03,0.393545,42371.24,0.446063,37382.58,0.540984,30823.49,0.389471,42814.44,0.566639,29427.92,1.000293,0.095815,0.242867,0.389471,1.728446,0.067673,12,1555888,1555713,8482509,10635,0,0,0,17112,0,0,0,11357,0,0,0,6452,0,0,0,7515,0,0,0,5795,0,0,0,9690714261063681671,15230943299641145650,15230943299641145650,1777303770272914945,7963893139593691380,16473800831415896283
