batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,50,5000,8,50,0.519062,9632.76,0.254300,19661.78,0.154684,32323.93,0.141400,35360.73,0.248867,20091.04,0.164465,30401.53,0.246643,20272.22,0.527092,0.024371,0.031108,0.164465,0.747035,0.010637,27,322675,322675,1844000,7609,0,0,0,11456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15244649870844732859,15244649870844732859,15244649870844732859,6196114145813343021,6196114145813343021,6196114145813343021
1,50,5000,8,50,0.519873,9617.73,0.248466,20123.50,0.148525,33664.39,0.132857,37634.41,0.249076,20074.19,0.170189,29379.03,0.249445,20044.52,0.527154,0.019202,0.025436,0.170189,0.741981,0.009983,26,322739,322739,1844000,7766,0,0,0,11239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000060831636555091,14000060831636555091,14000060831636555091,17059688925350277165,17059688925350277165,17059688925350277165
2,50,5000,8,50,0.516212,9685.94,0.248395,20129.23,0.148083,33764.93,0.139795,35766.68,0.246818,20257.82,0.164391,30415.33,0.245925,20331.43,0.525980,0.020712,0.023884,0.164391,0.734967,0.010367,26,322923,322923,1844000,7685,0,0,0,10840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7495531445579646150,7495531445579646150,7495531445579646150,9498630887041245616,9498630887041245616,9498630887041245616
3,50,5000,8,50,0.517093,9669.44,0.252869,19773.10,0.153497,32574.01,0.138969,35979.14,0.247620,20192.24,0.154473,32368.07,0.249373,20050.31,0.531165,0.019267,0.028599,0.154473,0.733505,0.010787,24,322939,322939,1844000,7734,0,0,0,11350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714068584614317801,714068584614317801,714068584614317801,6703983347970869874,6703983347970869874,6703983347970869874
4,50,5000,8,50,0.518602,9641.31,0.253854,19696.35,0.157362,31773.83,0.145459,34373.98,0.249739,20020.87,0.160467,31159.08,0.246298,20300.57,0.526606,0.020250,0.025867,0.160467,0.733190,0.010451,23,322860,322860,1844000,7778,0,0,0,11641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4383215165878744626,4383215165878744626,4383215165878744626,10953228258990774278,10953228258990774278,10953228258990774278
5,50,5000,8,50,0.518646,9640.50,0.250271,19978.34,0.150455,33232.51,0.132523,37729.30,0.247319,20216.84,0.163019,30671.34,0.243637,20522.37,0.526416,0.021161,0.022051,0.163019,0.732647,0.010459,28,322712,322712,1844000,7578,0,0,0,11007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5879356635698749099,5879356635698749099,5879356635698749099,17373097383423487105,17373097383423487105,17373097383423487105
6,50,5000,8,50,0.518752,9638.52,0.251424,19886.70,0.153044,32670.27,0.138705,36047.70,0.252061,19836.50,0.159319,31383.55,0.244885,20417.73,0.530680,0.020923,0.026774,0.159319,0.737696,0.010062,26,322850,322850,1844000,7713,0,0,0,11189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8462049772413023432,8462049772413023432,8462049772413023432,12953381822733112085,12953381822733112085,12953381822733112085
7,50,5000,8,50,0.519988,9615.60,0.251473,19882.85,0.149807,33376.30,0.139529,35834.73,0.248962,20083.37,0.155115,32234.17,0.247422,20208.41,0.527524,0.021962,0.024989,0.155115,0.729590,0.010700,24,322777,322777,1844000,7674,0,0,0,10859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6653871659079245511,6653871659079245511,6653871659079245511,17669632111023056729,17669632111023056729,17669632111023056729
8,50,5000,8,50,0.517133,9668.70,0.250884,19929.50,0.155783,32095.92,0.144999,34482.88,0.249256,20059.72,0.159660,31316.63,0.249872,20010.28,0.526708,0.021370,0.024410,0.159660,0.732147,0.010420,23,322920,322920,1844000,7495,0,0,0,11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15135694309200114690,15135694309200114690,15135694309200114690,12458700222923396787,12458700222923396787,12458700222923396787
9,50,5000,8,50,0.522164,9575.53,0.250228,19981.81,0.151388,33027.73,0.138020,36226.67,0.247894,20169.95,0.159856,31278.09,0.246010,20324.38,0.530049,0.023014,0.024020,0.159856,0.736939,0.010060,26,322864,322864,1844000,7703,0,0,0,11627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979173177144988669,1979173177144988669,1979173177144988669,9912856850203411335,9912856850203411335,9912856850203411335
