batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,100,18072,8,25,1.009869,17895.39,0.430621,41967.27,0.386294,46783.02,0.446262,40496.36,0.494674,36533.14,0.410555,44018.51,0.514333,35136.79,0.902804,0.114319,0.214138,0.410555,1.641815,0.074151,20,1623720,1623360,9699106,11624,0,0,0,18722,0,0,0,11814,0,0,0,5780,0,0,0,6919,0,0,0,5432,0,0,0,1430532967664384526,12413065869334957254,12413065869334957254,1461490428528529658,9507841367315337645,16659574379267968746
1,100,17248,8,25,0.887144,19442.16,0.420097,41057.22,0.358608,48097.10,0.432395,39889.48,0.466026,37010.80,0.371122,46475.23,0.502675,34312.45,0.924207,0.082885,0.194997,0.371122,1.573212,0.071241,22,1569055,1568750,9045600,10519,0,0,0,16818,0,0,0,11931,0,0,0,5684,0,0,0,6958,0,0,0,6007,0,0,0,4130579488724180108,10428086648867717756,10428086648867717756,992257602238164445,4151821341689671611,15776793106919785917
2,100,17320,8,25,1.120490,15457.52,0.641964,26979.73,0.509775,33975.77,0.500435,34609.91,0.672682,25747.67,0.508296,34074.65,0.705541,24548.54,1.122697,0.126215,0.206390,0.508296,1.963598,0.073926,17,1645453,1645263,8755758,12717,0,0,0,18376,0,0,0,12714,0,0,0,6757,0,0,0,8452,0,0,0,6172,0,0,0,7898889672829380152,13739408183138436041,13739408183138436041,12172058767698627269,5094375558008665146,17655974532425933836
3,100,17430,8,25,0.896187,19449.06,0.451421,38611.41,0.395497,44071.08,0.452564,38513.89,0.497255,35052.47,0.381177,45726.75,0.533987,32641.23,0.912026,0.104643,0.199748,0.381177,1.597595,0.071361,18,1620257,1620002,7997905,12206,0,0,0,20042,0,0,0,12671,0,0,0,6609,0,0,0,7696,0,0,0,6381,0,0,0,9211652975767646501,13063786808960319444,13063786808960319444,6737284926146220251,10576942809682011697,16190094574097013479
4,100,17481,8,25,1.017153,17186.21,0.545281,32058.68,1.088214,16063.93,1.054332,16580.16,0.580618,30107.56,0.448299,38994.10,0.615757,28389.45,1.017764,0.135506,0.202875,0.448299,1.804443,0.076239,20,1585891,1585706,8501489,11426,0,0,0,0,0,0,0,0,0,0,0,6628,0,0,0,7914,0,0,0,6141,0,0,0,12131714585237044430,4038005661376506925,12131714585237044430,9622113061257539236,9505877569484508775,6037301671212638169
5,100,16498,8,25,0.909906,18131.54,0.472408,34923.24,0.394167,41855.39,0.448003,36825.61,0.517765,31863.90,0.385925,42749.25,0.546038,30214.00,0.922285,0.109929,0.210558,0.385925,1.628697,0.068596,18,1512415,1512195,8771725,10588,0,0,0,17784,0,0,0,12473,0,0,0,6808,0,0,0,7921,0,0,0,6383,0,0,0,124904962644781975,9743398882811414120,9743398882811414120,4529552303737285659,6535646176626182826,5096876248106876122
6,100,16403,8,25,0.941802,17416.61,0.473543,34638.91,0.382639,42868.06,0.448571,36567.19,0.521513,31452.74,0.395819,41440.63,0.553513,29634.38,0.968013,0.092522,0.195502,0.395819,1.651856,0.068637,19,1518607,1518262,7947003,10458,0,0,0,16306,0,0,0,11490,0,0,0,5950,0,0,0,7043,0,0,0,5693,0,0,0,11061162961821425992,10301620130713651826,10301620130713651826,11369676348735476538,12914215512695945605,15655650009127285439
7,100,17219,8,25,0.908650,18950.09,0.454744,37865.30,0.381453,45140.56,0.452120,38085.06,0.507031,33960.45,0.394687,43626.96,0.534786,32197.92,0.922890,0.094822,0.182081,0.394687,1.594480,0.069766,21,1558545,1558435,8618595,11711,0,0,0,18477,0,0,0,11832,0,0,0,6233,0,0,0,7898,0,0,0,6050,0,0,0,4346904379706324807,13026902075663190717,13026902075663190717,3141527499080803412,4020179955589655655,15310563659615271146
8,100,16400,8,25,0.962351,17041.60,0.483387,33927.24,0.366932,44694.96,0.410268,39973.88,0.538825,30436.59,0.378208,43362.42,0.569581,28793.10,0.974375,0.095970,0.172426,0.378208,1.620979,0.067412,25,1496154,1495879,8632083,10339,0,0,0,16664,0,0,0,10993,0,0,0,6070,0,0,0,6607,0,0,0,5695,0,0,0,9066251284379413628,2154059633709946844,2154059633709946844,5578647540093607609,11679376382692854419,10051354822973894109
9,100,16675,8,25,0.975002,17102.53,0.506208,32941.01,0.400279,41658.48,0.447338,37276.05,0.539897,30885.54,0.406369,41034.10,0.566728,29423.27,0.991133,0.098886,0.175569,0.406369,1.671957,0.067737,19,1555888,1555713,8482509,10699,0,0,0,17722,0,0,0,11384,0,0,0,6326,0,0,0,7321,0,0,0,5770,0,0,0,9690714261063681671,15230943299641145650,15230943299641145650,1777303770272914945,8244220736083130527,16473800831415896283
10,100,17175,8,25,0.913766,18795.84,0.446748,38444.46,0.386991,44380.84,0.456681,37608.34,0.499751,34367.14,0.387048,44374.33,0.520027,33027.13,0.928599,0.099451,0.178242,0.387048,1.593340,0.067787,20,1527943,1527758,8513351,10753,0,0,0,16764,0,0,0,11174,0,0,0,6048,0,0,0,6924,0,0,0,5643,0,0,0,7492563281631761603,5033384789185522564,5033384789185522564,16763330670668123676,14361255041839425377,249605814702187695
11,100,17921,8,25,0.910740,19677.41,0.450101,39815.49,0.372674,48087.58,0.437818,40932.50,0.477068,37564.86,0.381846,46932.53,0.519586,34490.93,0.918982,0.102710,0.185933,0.381846,1.589471,0.069067,19,1590450,1590345,8314334,11911,0,0,0,18148,0,0,0,13102,0,0,0,5735,0,0,0,7005,0,0,0,5229,0,0,0,2491875668951503182,14699982648759344177,14699982648759344177,778999604140187300,17300249812676621151,2650721445662983680
