batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,5,500,8,10,0.050959,9811.82,0.024169,20687.31,0.023150,21598.37,0.021315,23457.65,0.024717,20229.21,0.019991,25010.96,0.023524,21255.34,0.053965,0.000837,0.003000,0.019991,0.077793,0.001436,3,32310,32310,184400,736,0,0,0,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9078333984656320072,9078333984656320072,9078333984656320072,18369128168799504690,18369128168799504690,18369128168799504690
1,5,500,8,10,0.051022,9799.60,0.024445,20454.26,0.019989,25013.24,0.019368,25815.99,0.024238,20628.97,0.020346,24574.85,0.024746,20205.14,0.054040,0.001444,0.001918,0.020346,0.077748,0.000985,4,32259,32259,184400,785,0,0,0,1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4722389509197939388,4722389509197939388,4722389509197939388,2230182008969806026,2230182008969806026,2230182008969806026
2,5,500,8,10,0.051585,9692.72,0.024317,20562.16,0.020388,24523.96,0.018450,27100.30,0.024551,20366.05,0.019983,25020.95,0.024679,20259.92,0.053063,0.001639,0.001939,0.019983,0.076624,0.000991,4,32265,32265,184400,804,0,0,0,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4358899585593728023,4358899585593728023,4358899585593728023,7898882044805075295,7898882044805075295,7898882044805075295
3,5,500,8,10,0.051936,9627.22,0.024355,20529.40,0.019831,25212.77,0.018526,26988.44,0.025171,19864.00,0.019924,25095.08,0.024005,20829.24,0.053604,0.001784,0.001929,0.019924,0.077241,0.000998,4,32315,32315,184400,783,0,0,0,1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16359724685583466045,16359724685583466045,16359724685583466045,18235420148071607622,18235420148071607622,18235420148071607622
4,5,500,8,10,0.051188,9767.88,0.025255,19798.28,0.020819,24016.25,0.019841,25200.85,0.025023,19981.63,0.021028,23777.85,0.024316,20562.68,0.053600,0.002145,0.001781,0.021028,0.078553,0.001002,4,32265,32265,184400,693,0,0,0,1427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15107613423447093414,15107613423447093414,15107613423447093414,16980518606597750074,16980518606597750074,16980518606597750074
5,5,500,8,10,0.051449,9718.44,0.025063,19949.79,0.019436,25724.96,0.019451,25706.03,0.025269,19786.88,0.020977,23836.01,0.024544,20371.36,0.053647,0.001251,0.002673,0.020977,0.078548,0.000991,4,32219,32219,184400,791,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10391184649249787850,10391184649249787850,10391184649249787850,11859643120746102320,11859643120746102320,11859643120746102320
6,5,500,8,10,0.051363,9734.61,0.025295,19767.11,0.019090,26191.48,0.018792,26606.46,0.025289,19771.46,0.020570,24306.95,0.023853,20961.40,0.054121,0.001098,0.001922,0.020570,0.077712,0.000990,4,32290,32290,184400,700,0,0,0,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11638450544650022674,11638450544650022674,11638450544650022674,3669554374952576321,3669554374952576321,3669554374952576321
7,5,500,8,10,0.051337,9739.64,0.024646,20287.40,0.019719,25355.83,0.018861,26509.34,0.024383,20506.41,0.020285,24649.33,0.024506,20403.32,0.053448,0.001932,0.001941,0.020285,0.077605,0.000993,4,32229,32229,184400,755,0,0,0,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13803634245956642115,13803634245956642115,13803634245956642115,6477898754899862904,6477898754899862904,6477898754899862904
8,5,500,8,10,0.051285,9749.35,0.024218,20645.54,0.019227,26005.09,0.019108,26167.44,0.024745,20206.39,0.019526,25607.07,0.024722,20224.57,0.054130,0.001724,0.001906,0.019526,0.077286,0.000991,4,32320,32320,184400,770,0,0,0,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9690967599809821778,9690967599809821778,9690967599809821778,11141769512652084098,11141769512652084098,11141769512652084098
9,5,500,8,10,0.050641,9873.37,0.024506,20402.77,0.021403,23360.82,0.020107,24866.62,0.025097,19922.59,0.020073,24909.13,0.024413,20480.78,0.053591,0.001718,0.001792,0.020073,0.077174,0.000992,4,32285,32285,184400,761,0,0,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10253127970295358565,10253127970295358565,10253127970295358565,3786906361358359924,3786906361358359924,3786906361358359924
