batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,20,3581,8,10,0.170050,21058.53,0.079857,44842.46,0.072187,49607.42,0.084979,42139.60,0.091741,39033.63,0.081633,43867.05,0.130773,27383.38,0.166034,0.022563,0.040918,0.081633,0.311148,0.040334,4,321271,348761,2019539,2070,0,0,0,3192,0,0,0,2087,0,0,0,1048,0,0,0,1668,0,0,0,43,0,0,0,17554680179821975904,480799813751158280,480799813751158280,641202001546944654,7567767271334217498,6968181071654552069
1,20,3457,8,10,0.324986,10637.37,0.122500,28220.32,0.081261,42542.10,0.095724,36114.08,0.132718,26047.65,0.089482,38633.32,0.186869,18499.62,0.232265,0.024363,0.041633,0.089482,0.387744,0.042556,4,367778,397053,1898021,2291,0,0,0,3281,0,0,0,1970,0,0,0,1080,0,0,0,1444,0,0,0,62,0,0,0,13115029974119982373,6992143374556064064,6992143374556064064,9652185741122260577,3357883935208999615,2739805335392892230
2,20,3457,8,10,0.158297,21838.70,0.078976,43772.71,0.070104,49312.77,0.080908,42727.42,0.090680,38123.18,0.075579,45740.15,0.125970,27442.97,0.170766,0.019818,0.037624,0.075579,0.303787,0.039600,5,330461,382326,1780166,2668,0,0,0,3775,0,0,0,1695,0,0,0,1084,0,0,0,1256,0,0,0,49,0,0,0,12255549477380423524,17347824269425375614,17347824269425375614,17230975503633110027,1428287893986977422,12762388903306821862
3,20,3344,8,10,0.173444,19279.98,0.080747,41413.28,0.074289,45013.63,0.083294,40146.91,0.094320,35453.93,0.077692,43041.65,0.125081,26734.72,0.174260,0.021026,0.036347,0.077692,0.309326,0.037492,4,321560,341280,1943196,2076,0,0,0,3679,0,0,0,1796,0,0,0,1306,0,0,0,1430,0,0,0,44,0,0,0,10647510117482847531,9643151559139622403,9643151559139622403,1721246989472889240,10047911329078108028,16895509789017006280
4,20,4233,8,10,0.182325,23216.80,0.093815,45120.93,0.077300,54760.95,0.095992,44097.49,0.106448,39765.76,0.089291,47407.00,0.225990,18730.93,0.184774,0.022215,0.036190,0.089291,0.332469,0.056168,4,338922,1295357,2058184,2545,0,0,0,3906,0,0,0,1910,0,0,0,1107,0,0,0,1400,0,0,0,42,0,0,0,4391353852542060984,12923800895606048518,12923800895606048518,8354617998789030081,1722044724538334607,5093207339235700520
5,20,3365,8,10,0.166386,20224.06,0.089859,37447.55,0.073882,45545.90,0.087242,38570.71,0.095684,35167.93,0.086037,39110.86,0.129208,26043.27,0.166759,0.031623,0.037248,0.086037,0.321667,0.035902,7,296801,316611,1838065,2134,0,0,0,3544,0,0,0,2009,0,0,0,1135,0,0,0,1499,0,0,0,49,0,0,0,12184275449070674345,8846048098463005458,8846048098463005458,17755835961529833940,9705200987913976670,1399757183138639259
6,20,3707,8,10,0.186598,19866.27,0.088317,41973.69,0.079209,46800.07,0.092789,39951.01,0.100888,36743.80,0.087134,42543.83,0.136368,27183.83,0.187937,0.022711,0.039283,0.087134,0.337064,0.049456,4,347046,375291,1808130,2429,0,0,0,3772,0,0,0,2009,0,0,0,1251,0,0,0,1556,0,0,0,36,0,0,0,5951870978562727527,1677888431700693894,1677888431700693894,4309133730144030349,10542549445733499342,1814987143721768315
7,20,3460,8,10,0.170789,20258.91,0.084156,41114.29,0.070593,49013.11,0.090326,38305.79,0.095471,36241.34,0.114849,30126.40,0.129276,26764.44,0.173868,0.020327,0.036852,0.114849,0.345896,0.045547,3,312826,336971,1738390,2233,0,0,0,3481,0,0,0,1997,0,0,0,1080,0,0,0,1017,0,0,0,22,0,0,0,4449137134751985120,10580372433126110944,10580372433126110944,6768876252126085456,9492065086153623076,1012089976434704658
8,20,3436,8,10,0.199451,17227.25,0.093392,36791.30,0.070596,48671.45,0.085479,40197.00,0.104885,32759.55,0.078164,43959.05,0.152600,22516.36,0.200007,0.020687,0.035970,0.078164,0.334828,0.040398,5,336525,361790,1930403,2060,0,0,0,3206,0,0,0,2064,0,0,0,1183,0,0,0,1519,0,0,0,54,0,0,0,1206229753922581163,15841357949867770487,15841357949867770487,1739032293593949591,6333966204591702981,1806903419921173587
9,20,3280,8,10,0.170462,19241.85,0.078671,41692.76,0.064035,51222.38,0.077087,42549.53,0.082780,39623.08,0.105993,30945.58,0.126848,25857.65,0.172456,0.018562,0.036943,0.105993,0.333952,0.035144,4,320339,347749,1730612,2013,0,0,0,3082,0,0,0,1672,0,0,0,1033,0,0,0,1022,0,0,0,17,0,0,0,4114368917043024431,16449314270858123450,16449314270858123450,7350411514777739781,6813187321012077919,447477166458786557
