batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,50,6989,8,10,0.571213,12235.37,0.254361,27476.69,0.177823,39303.08,0.151524,46124.66,0.240320,29082.11,0.207226,33726.47,0.387866,18019.09,0.578775,0.040068,0.052272,0.207226,0.878341,0.088391,35,605707,700587,4866580,4293,0,0,0,6720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3476563824499336429,3476563824499336429,3476563824499336429,15200431971007624194,15200431971007624194,15200431971007624194
1,50,6690,8,10,0.607427,11013.68,0.279614,23925.86,0.175371,38147.59,0.156924,42631.98,0.261961,25538.17,0.216886,30845.66,0.401415,16666.06,0.608811,0.043575,0.047948,0.216886,0.917220,0.080815,31,621379,673229,4772744,3440,0,0,0,6811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10603272714092645717,10603272714092645717,10603272714092645717,5761159389541779451,5761159389541779451,5761159389541779451
2,50,7072,8,10,0.648029,10913.09,0.307155,23024.20,0.172191,41070.75,0.144810,48836.27,0.285008,24813.30,0.241539,29278.94,0.420016,16837.47,0.654809,0.042954,0.048359,0.241539,0.987660,0.086246,32,627621,704501,4892640,4128,0,0,0,6015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627083677640450968,627083677640450968,627083677640450968,968356864525223812,968356864525223812,968356864525223812
3,50,7481,8,10,0.629480,11884.42,0.267931,27921.40,0.164759,45405.75,0.148024,50539.13,0.245462,30477.19,0.223999,33397.42,0.426985,17520.50,0.634959,0.035779,0.037059,0.223999,0.931797,0.100433,36,621459,923334,5081828,5457,0,0,0,7626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16535823242510956479,16535823242510956479,16535823242510956479,2313455629592635345,2313455629592635345,2313455629592635345
4,50,6855,8,10,0.649642,10551.97,0.301597,22729.00,0.140682,48726.97,0.135981,50411.50,0.279486,24527.15,0.240086,28552.29,0.424454,16150.18,0.653674,0.034210,0.037707,0.240086,0.965677,0.084702,33,596839,636539,4906812,3049,0,0,0,4151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11007202485841022962,11007202485841022962,11007202485841022962,4135875871157336263,4135875871157336263,4135875871157336263
5,50,7076,8,10,0.575777,12289.48,0.237668,29772.60,0.146070,48442.57,0.131806,53684.95,0.226647,31220.38,0.204452,34609.61,0.352420,20078.29,0.582078,0.035428,0.036611,0.204452,0.858570,0.088604,38,619289,656684,4772880,2839,0,0,0,4950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12958455954013688511,12958455954013688511,12958455954013688511,9048998284835604403,9048998284835604403,9048998284835604403
6,50,7277,8,10,0.647681,11235.48,0.307730,23647.37,0.156049,46632.83,0.144679,50297.49,0.281865,25817.28,0.239489,30385.54,0.439225,16567.81,0.654675,0.035480,0.042728,0.239489,0.972372,0.093274,32,633403,747568,4958516,4388,0,0,0,5882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008603675448931862,8008603675448931862,8008603675448931862,3455978990490605766,3455978990490605766,3455978990490605766
7,50,6624,8,10,0.614362,10781.92,0.297092,22296.12,0.150422,44036.25,0.142801,46386.32,0.282009,23488.58,0.229109,28912.02,0.409179,16188.50,0.620908,0.034539,0.041147,0.229109,0.925703,0.075305,27,605133,670998,4687680,3179,0,0,0,5082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18389321380492458203,18389321380492458203,18389321380492458203,7913619071373092485,7913619071373092485,7913619071373092485
8,50,7057,8,10,0.543383,12987.15,0.251723,28034.74,0.169912,41533.37,0.156353,45134.91,0.238601,29576.62,0.216752,32557.95,0.381447,18500.59,0.550485,0.038051,0.035936,0.216752,0.841224,0.088601,35,599631,718971,4911652,4602,0,0,0,7971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9209040104382841953,9209040104382841953,9209040104382841953,4653631279161211721,4653631279161211721,4653631279161211721
9,50,7009,8,10,0.586945,11941.50,0.249714,28068.08,0.154762,45288.88,0.145849,48056.64,0.236324,29658.42,0.215489,32525.95,0.363432,19285.59,0.589740,0.036947,0.034806,0.215489,0.876983,0.088406,39,603188,662763,4863876,2966,0,0,0,5285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5767212852351297570,5767212852351297570,5767212852351297570,8256325625970062867,8256325625970062867,8256325625970062867
10,50,6704,8,10,0.617005,10865.39,0.284141,23593.90,0.146512,45757.20,0.136973,48944.01,0.265585,25242.42,0.243520,27529.58,0.406020,16511.51,0.623290,0.033836,0.035501,0.243520,0.936146,0.078847,38,586747,625437,4750944,2722,0,0,0,5041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2778691264666042640,2778691264666042640,2778691264666042640,11037753917467948990,11037753917467948990,11037753917467948990
11,50,6671,8,10,0.598237,11151.11,0.262159,25446.39,0.172183,38743.73,0.155027,43031.33,0.242873,27467.05,0.219405,30404.89,0.381593,17481.97,0.599896,0.038399,0.036440,0.219405,0.894140,0.080763,34,580406,630111,4749468,3438,0,0,0,6048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677751538418407242,2677751538418407242,2677751538418407242,3659147364645023878,3659147364645023878,3659147364645023878
12,50,7300,8,10,0.588169,12411.39,0.259165,28167.43,0.165038,44232.33,0.155950,46809.84,0.241325,30249.61,0.213283,34226.78,0.399268,18283.48,0.589746,0.036620,0.039073,0.213283,0.878721,0.089655,35,630472,769077,5126352,4827,0,0,0,7721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6300270687787679736,6300270687787679736,6300270687787679736,11633963139403555835,11633963139403555835,11633963139403555835
13,50,6760,8,10,0.825305,8190.91,0.496940,13603.25,0.343194,19697.30,0.309320,21854.36,0.437416,15454.40,0.344059,19647.82,0.600472,11257.81,0.833409,0.035031,0.048442,0.344059,1.260941,0.082952,18,624925,671230,4754848,3238,0,0,0,3221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5929285406915775442,5929285406915775442,5929285406915775442,15890090354195497643,15890090354195497643,15890090354195497643
14,50,6207,8,10,0.777909,7979.08,0.462004,13434.96,0.296456,20937.36,0.285997,21703.03,0.434222,14294.52,0.312727,19848.00,0.576850,10760.16,0.788029,0.026250,0.044165,0.312727,1.171170,0.066524,18,580368,644963,4349308,3196,0,0,0,1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10017735517902047300,10017735517902047300,10017735517902047300,3102314785732151929,3102314785732151929,3102314785732151929
15,50,6890,8,10,0.664417,10370.00,0.388829,17719.85,0.242944,28360.39,0.184692,37305.36,0.369666,18638.44,0.299091,23036.45,0.508267,13555.86,0.670025,0.031475,0.043582,0.299091,1.044173,0.085401,22,561590,665110,4495400,3704,0,0,0,3752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13683836618440256741,13683836618440256741,13683836618440256741,1173555389140532928,1173555389140532928,1173555389140532928
16,50,6469,8,10,0.567928,11390.53,0.244370,26472.20,0.130548,49552.63,0.125513,51540.68,0.233958,27650.25,0.216036,29944.03,0.351036,18428.29,0.574965,0.033479,0.034955,0.216036,0.859436,0.075680,38,584500,613760,4601332,2396,0,0,0,4391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7695341129357160669,7695341129357160669,7695341129357160669,8359682066750310659,8359682066750310659,8359682066750310659
17,50,6947,8,10,0.599210,11593.59,0.252612,27500.63,0.173120,40128.34,0.162505,42749.35,0.241364,28782.29,0.220199,31548.76,0.370532,18748.72,0.603308,0.034137,0.036720,0.220199,0.894364,0.087427,40,630205,670160,5077932,3360,0,0,0,6666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8447759966964302882,8447759966964302882,8447759966964302882,3672749868537038303,3672749868537038303,3672749868537038303
18,50,7262,8,10,0.548379,13242.66,0.199530,36395.55,0.143442,50626.62,0.132571,54778.22,0.185350,39180.03,0.179490,40459.14,0.314798,23068.77,0.550631,0.036184,0.030662,0.179490,0.796968,0.095178,48,602655,711790,4956824,3851,0,0,0,5833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11447128538962730229,11447128538962730229,11447128538962730229,6119836332480847532,6119836332480847532,6119836332480847532
19,50,6822,8,10,0.656728,10387.86,0.302515,22550.93,0.169119,40338.44,0.135614,50304.69,0.270899,25182.85,0.241160,28288.33,0.406722,16773.12,0.660970,0.032446,0.039039,0.241160,0.973615,0.085920,37,627531,665051,4842424,2717,0,0,0,3882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8147616059601984741,8147616059601984741,8147616059601984741,7974346178235210327,7974346178235210327,7974346178235210327
20,50,6743,8,10,0.742029,9087.25,0.373263,18065.03,0.256279,26311.12,0.223937,30111.17,0.360075,18726.65,0.305225,22091.91,0.510715,13203.05,0.750689,0.028455,0.042301,0.305225,1.126671,0.084924,25,595601,684681,4788988,3708,0,0,0,3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9550737671545444440,9550737671545444440,9550737671545444440,6652109311039125270,6652109311039125270,6652109311039125270
21,50,7482,8,10,0.627495,11923.60,0.315775,23694.08,0.152625,49022.24,0.129234,57894.91,0.304550,24567.41,0.268930,27821.35,0.427787,17489.99,0.632002,0.036927,0.038800,0.268930,0.976659,0.092267,34,610795,693450,4883816,3834,0,0,0,4921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14844997399583591753,14844997399583591753,14844997399583591753,5424629995309992718,5424629995309992718,5424629995309992718
22,50,7153,8,10,0.634449,11274.34,0.324061,22072.97,0.168428,42469.23,0.141213,50653.90,0.305890,23384.21,0.252303,28350.79,0.428500,16693.11,0.639617,0.036440,0.047129,0.252303,0.975490,0.090128,25,626246,675511,4833700,3350,0,0,0,4503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8586528721005886230,8586528721005886230,8586528721005886230,1601258157042392787,1601258157042392787,1601258157042392787
23,50,7259,8,10,0.659476,11007.23,0.313637,23144.56,0.165680,43813.31,0.140251,51757.20,0.302786,23974.07,0.253105,28679.76,0.463321,15667.33,0.665093,0.034737,0.043177,0.253105,0.996113,0.097215,28,630584,783734,4868076,5617,0,0,0,6831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1539215919866432352,1539215919866432352,1539215919866432352,7002900012103200984,7002900012103200984,7002900012103200984
