batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,100,18072,8,10,1.018048,17751.62,0.434678,41575.65,0.382800,47210.05,0.455130,39707.33,0.500808,36085.69,0.405718,44543.22,0.520672,34708.98,0.910401,0.115486,0.214030,0.405718,1.645636,0.074700,20,1623720,1623370,9699106,11596,0,0,0,17727,0,0,0,12045,0,0,0,5737,0,0,0,6816,0,0,0,5542,0,0,0,1430532967664384526,12413065869334957254,12413065869334957254,1461490428528529658,9507841367315337645,16659574379267968746
1,100,17248,8,10,0.881746,19561.18,0.423085,40767.21,0.363048,47508.86,0.434947,39655.37,0.477969,36086.00,0.379641,45432.41,0.503833,34233.55,0.931038,0.081374,0.195338,0.379641,1.587391,0.071104,22,1569055,1568730,9045600,10545,0,0,0,17041,0,0,0,12164,0,0,0,5586,0,0,0,6860,0,0,0,5823,0,0,0,4130579488724180108,10428086648867717756,10428086648867717756,992257602238164445,4151821341689671611,14362756178887396247
2,100,17320,8,10,1.110016,15603.37,0.644430,26876.48,0.520670,33264.83,0.510122,33952.67,0.675775,25629.82,0.506149,34219.14,0.704010,24601.94,1.135594,0.105507,0.200978,0.506149,1.948228,0.074230,17,1645453,1645243,8755758,12549,0,0,0,17667,0,0,0,13029,0,0,0,6860,0,0,0,8201,0,0,0,6224,0,0,0,7898889672829380152,13739408183138436041,13739408183138436041,12172058767698627269,5094375558008665146,17655974532425933836
3,100,17430,8,10,0.907868,19198.82,0.454684,38334.34,0.390268,44661.58,0.451271,38624.21,0.497628,35026.17,0.386973,45041.95,0.530136,32878.35,0.910529,0.107683,0.200849,0.386973,1.606034,0.071997,18,1620257,1620007,7997905,12214,0,0,0,19629,0,0,0,12604,0,0,0,6526,0,0,0,7673,0,0,0,6448,0,0,0,9211652975767646501,13063786808960319444,13063786808960319444,6737284926146220251,10576942809682011697,16190094574097013479
4,100,17481,8,10,1.017068,17187.64,0.543154,32184.24,1.084740,16115.38,1.051890,16618.66,0.581664,30053.44,0.449756,38867.76,0.611001,28610.41,1.031396,0.142986,0.200490,0.449756,1.824628,0.075103,20,1585891,1585721,8501489,11499,0,0,0,0,0,0,0,0,0,0,0,6605,0,0,0,8060,0,0,0,6270,0,0,0,12131714585237044430,4038005661376506925,12131714585237044430,9622113061257539236,9505877569484508775,6037301671212638169
5,100,16498,8,10,0.910796,18113.82,0.472215,34937.48,0.393072,41971.91,0.458215,36004.90,0.516920,31915.99,0.387874,42534.43,0.537078,30718.05,0.927520,0.114186,0.197168,0.387874,1.626749,0.069004,18,1512415,1512195,8771725,10773,0,0,0,18064,0,0,0,12453,0,0,0,6736,0,0,0,7978,0,0,0,6268,0,0,0,124904962644781975,9743398882811414120,9743398882811414120,4529552303737285659,16515589616974050249,5096876248106876122
6,100,16403,8,10,0.957688,17127.71,0.473239,34661.13,0.380865,43067.71,0.450363,36421.72,0.529298,30990.11,0.387724,42305.89,0.554037,29606.33,0.961864,0.097138,0.190851,0.387724,1.637578,0.068067,20,1518607,1518282,7947003,10395,0,0,0,16266,0,0,0,11496,0,0,0,5870,0,0,0,7263,0,0,0,5802,0,0,0,11061162961821425992,10301620130713651826,10301620130713651826,11369676348735476538,7635391910831837668,15655650009127285439
7,100,17219,8,10,0.911773,18885.18,0.456764,37697.83,0.381393,45147.70,0.459467,37476.01,0.508660,33851.67,0.400892,42951.70,0.539366,31924.54,0.919943,0.103106,0.182014,0.400892,1.605955,0.070107,21,1558545,1558435,8618595,11591,0,0,0,18629,0,0,0,12050,0,0,0,6277,0,0,0,7808,0,0,0,6032,0,0,0,4346904379706324807,13026902075663190717,13026902075663190717,3141527499080803412,4020179955589655655,15310563659615271146
8,100,16400,8,10,0.941361,17421.58,0.484834,33825.99,0.360939,45436.99,0.425976,38499.86,0.537010,30539.47,0.383534,42760.28,0.574547,28544.23,0.953349,0.099310,0.168080,0.383534,1.604272,0.067720,25,1496154,1495889,8632083,10303,0,0,0,16771,0,0,0,10940,0,0,0,5979,0,0,0,6493,0,0,0,5673,0,0,0,9066251284379413628,2154059633709946844,2154059633709946844,5578647540093607609,11679376382692854419,10051354822973894109
9,100,16675,8,10,0.986794,16898.15,0.497837,33494.90,0.394144,42306.87,0.445084,37464.87,0.538389,30972.06,0.410382,40632.88,0.567412,29387.81,1.003525,0.102604,0.176887,0.410382,1.693398,0.069379,19,1555888,1555698,8482509,10526,0,0,0,17595,0,0,0,11258,0,0,0,6343,0,0,0,7163,0,0,0,5709,0,0,0,9690714261063681671,15230943299641145650,15230943299641145650,1777303770272914945,8244220736083130527,16473800831415896283
10,100,17175,8,10,0.921265,18642.85,0.451092,38074.26,0.381191,45056.14,0.461021,37254.28,0.503768,34093.05,0.383196,44820.45,0.524391,32752.25,0.937064,0.096125,0.178914,0.383196,1.595299,0.067850,20,1527943,1527758,8513351,10750,0,0,0,17373,0,0,0,11441,0,0,0,5973,0,0,0,6926,0,0,0,5690,0,0,0,7492563281631761603,5033384789185522564,5033384789185522564,16763330670668123676,14361255041839425377,249605814702187695
11,100,17921,8,10,0.913435,19619.34,0.450141,39812.01,0.372032,48170.60,0.440990,40638.13,0.477027,37568.12,0.373113,48031.05,0.514727,34816.53,0.925229,0.105062,0.185356,0.373113,1.588760,0.069453,19,1590450,1590345,8314334,11626,0,0,0,17753,0,0,0,12981,0,0,0,5757,0,0,0,7082,0,0,0,5333,0,0,0,2491875668951503182,14699982648759344177,14699982648759344177,778999604140187300,17300249812676621151,9398239059587663505
12,100,16987,8,10,0.922198,18420.12,0.455979,37253.90,0.370474,45852.12,0.450252,37727.80,0.503584,33732.21,0.389916,43565.80,0.519123,32722.51,0.941933,0.100171,0.178975,0.389916,1.610995,0.068661,23,1552358,1552153,8340850,10158,0,0,0,16559,0,0,0,11466,0,0,0,6033,0,0,0,7083,0,0,0,5479,0,0,0,12497154053472034141,12676623284844050995,12676623284844050995,11683425151731416422,10420998731611265943,11237155487346504557
13,100,15859,8,10,1.021503,15525.16,0.499026,31779.92,0.365495,43390.42,0.420093,37751.17,0.534894,29648.85,0.435474,36417.79,0.567289,27955.78,1.039080,0.105769,0.199944,0.435474,1.780267,0.073226,18,1652335,1652135,8739109,8931,0,0,0,14191,0,0,0,10767,0,0,0,5430,0,0,0,6822,0,0,0,5065,0,0,0,4936276234304797675,5108429322599425090,5108429322599425090,16962774697707941805,8853635876802129340,4168871940646443417
14,100,16527,8,10,1.369783,12065.41,0.748303,22085.97,0.482744,34235.57,0.508339,32511.78,0.746731,22132.48,0.405351,40772.09,0.772746,21387.38,1.385486,0.096437,0.172027,0.405351,2.059301,0.065780,24,1467057,1466852,8474442,9159,0,0,0,10865,0,0,0,12468,0,0,0,5707,0,0,0,6549,0,0,0,5191,0,0,0,4498985342474570422,16671188957242065597,16671188957242065597,8733327509953192242,6745979827381636003,12204256080312744858
15,100,17001,8,10,1.316322,12915.53,0.702754,24191.95,0.464861,36572.22,0.533751,31851.96,0.706830,24052.46,0.377385,45049.50,0.739705,22983.48,1.323681,0.098553,0.177719,0.377385,1.977339,0.067109,21,1510552,1510337,8381152,11172,0,0,0,10223,0,0,0,13203,0,0,0,5279,0,0,0,7088,0,0,0,4883,0,0,0,6245922439938972308,13270407928430701178,13270407928430701178,16354472107837423680,16116411721811726635,11970406413152429761
16,100,16078,8,10,1.336407,12030.77,0.742332,21658.76,0.524136,30675.23,0.564109,28501.60,0.731397,21982.58,0.337089,47696.67,0.759597,21166.49,1.360234,0.092873,0.184439,0.337089,1.974635,0.066500,18,1441649,1441559,9077299,9109,0,0,0,10484,0,0,0,11566,0,0,0,5507,0,0,0,6670,0,0,0,5211,0,0,0,12415473380632260829,9680002158339358741,9680002158339358741,6507142326095602646,3558028753452026808,1154912377528675403
17,100,16639,8,10,1.374683,12103.89,0.688068,24182.22,0.480327,34640.99,0.524732,31709.51,0.718773,23149.19,0.395685,42051.09,0.779938,21333.75,1.389338,0.102228,0.189338,0.395685,2.076589,0.071242,28,1579517,1579252,9854623,8781,0,0,0,8973,0,0,0,12597,0,0,0,5503,0,0,0,6588,0,0,0,5734,0,0,0,12953889967018965222,6479305178860945379,6479305178860945379,9915522878828262370,9880588371882520278,9503935584890130005
18,100,16464,8,10,1.081137,15228.41,0.552584,29794.55,0.418896,39303.28,0.455350,36156.76,0.585387,28124.98,0.377402,43624.55,0.604672,27227.99,1.084078,0.102638,0.160478,0.377402,1.724596,0.066469,32,1486333,1486028,9454712,9951,0,0,0,15462,0,0,0,12469,0,0,0,5751,0,0,0,5990,0,0,0,5651,0,0,0,8562143461666359035,6393202080229524428,6393202080229524428,12629285274995561239,1824879054723697730,2369661550738378297
19,100,15786,8,10,1.428856,11048.00,0.754958,20909.78,0.502844,31393.42,0.522353,30220.93,0.765858,20612.16,0.395942,39869.43,0.799396,19747.42,1.441798,0.092939,0.187901,0.395942,2.118581,0.066070,18,1540794,1540629,8498128,8578,0,0,0,10923,0,0,0,11232,0,0,0,4323,0,0,0,6184,0,0,0,4566,0,0,0,2690607873717337775,16557226182013594291,16557226182013594291,16286267447282853336,14469850128911952203,14488330869942843807
