batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups
0,100,18072,10000,2.617148,1.088774,0.883398,1.233722,2.517910,0.106094,0.199471,11065,6784,20
1,100,17248,10000,2.464032,1.028667,0.826304,0.884862,2.459612,0.099017,0.191268,9996,6678,22
2,100,17320,10000,2.758521,1.302143,0.995750,1.073289,2.771620,0.100144,0.197866,12089,8339,17
3,100,17430,10000,2.488012,1.121295,0.948457,0.934230,2.522584,0.111247,0.198845,11552,7320,18
4,100,17481,10000,2.608219,1.156910,1.922359,0.953642,2.612006,0.100999,0.189585,10791,7736,20
5,100,16498,10000,2.433998,1.064884,0.888228,0.893170,2.459307,0.095075,0.187845,9982,7790,18
6,100,16403,10000,2.461261,1.086105,0.845790,0.883135,2.480245,0.096610,0.176160,9960,6964,20
7,100,17219,10000,2.451905,1.069966,0.901741,0.970851,2.463869,0.102679,0.192764,11343,7816,21
8,100,16400,10000,2.437155,1.048033,0.843891,0.894398,2.456254,0.091174,0.165706,9874,6687,25
9,100,16675,10000,2.500662,1.079943,0.881713,0.918988,2.516787,0.100612,0.177150,9997,6690,19
10,100,17175,10000,2.395879,1.029171,0.876184,0.896609,2.419081,0.090933,0.176198,10307,6739,20
11,100,17921,10000,2.413173,1.041263,0.840284,0.874047,2.436441,0.096425,0.184752,10871,6928,19
12,100,16987,10000,2.429287,1.007113,0.848964,0.895096,2.455385,0.093235,0.183560,9578,6602,23
13,100,15859,10000,2.754045,1.197351,0.894580,1.114792,2.775707,0.105631,0.210401,8323,6125,18
14,100,16527,10000,2.836570,1.155464,0.808147,0.860567,2.849811,0.103946,0.176387,8844,6473,24
15,100,17001,10000,2.773807,1.102745,0.781086,0.814067,2.792774,0.092870,0.176827,9973,6450,21
16,100,16078,10000,2.760342,1.161615,0.827173,0.813158,2.799079,0.080147,0.184998,8296,6454,18
17,100,16639,10000,2.902867,1.093757,0.726054,0.837445,2.922902,0.115749,0.182734,8145,6141,28
18,100,16464,10000,2.525866,1.067239,0.830012,0.835610,2.540690,0.095640,0.158559,9394,5794,32
19,100,15786,10000,2.900503,1.224106,0.798087,0.834213,2.917995,0.093790,0.185105,7808,5982,18
