batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups
0,100,18072,50000,8.904084,3.748914,2.899355,4.607664,8.773187,0.147614,0.233962,13030,8813,30
1,100,17248,50000,8.570361,3.528115,2.708035,3.108243,8.563471,0.137624,0.215637,12054,8344,31
2,100,17320,50000,9.134524,4.253179,3.161873,3.428874,9.156360,0.096288,0.209514,13788,8537,39
3,100,17430,50000,8.687037,3.843203,3.058159,3.391807,8.679068,0.141688,0.196148,13556,8014,46
4,100,17481,50000,8.747344,3.790178,5.073744,3.162095,8.770675,0.110591,0.203935,13012,8800,29
5,100,16498,50000,8.398876,3.646792,2.888574,3.067680,8.440266,0.073355,0.190415,11887,8789,36
6,100,16403,50000,8.423300,3.621044,2.766901,3.098917,8.444515,0.112489,0.196923,11408,8055,35
7,100,17219,50000,8.451913,3.660540,2.986077,3.312318,8.524516,0.060396,0.211946,13004,9208,27
8,100,16400,50000,8.296779,3.527196,2.875071,3.040343,8.334237,0.076098,0.192982,11204,7492,29
9,100,16675,50000,8.433164,3.655490,2.890561,3.164449,8.437261,0.091034,0.197221,11488,7827,40
10,100,17175,50000,8.217234,3.477123,2.949873,3.145808,8.268531,0.083319,0.183197,11757,6453,50
11,100,17921,50000,8.357855,3.501438,2.736435,3.136027,8.354806,0.082099,0.202940,13258,7805,35
12,100,16987,50000,8.396852,3.495485,2.816024,3.028445,8.394472,0.077074,0.189725,11723,6957,40
13,100,15859,50000,9.441014,4.199403,3.012149,4.079938,9.432794,0.095525,0.262537,10270,7045,27
14,100,16527,50000,8.572520,3.343306,2.653317,2.788309,8.647399,0.024173,0.194974,10871,6575,38
15,100,17001,50000,8.514332,3.318733,2.479274,2.727282,8.530022,0.082317,0.211895,12790,7037,27
16,100,16078,50000,8.339882,3.291253,2.593870,2.873082,8.367802,0.116893,0.206232,10907,7868,31
17,100,16639,50000,8.951361,3.038550,2.190936,2.593398,8.990237,0.069248,0.180511,11395,7082,42
18,100,16464,50000,8.178640,3.382768,2.698363,2.822371,8.209663,0.087652,0.165571,11392,6251,48
19,100,15786,50000,8.685353,3.630413,2.569109,2.647995,8.738485,0.073492,0.214834,10326,6487,33
