batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,50,5000,24,10,0.521603,9585.83,0.314361,15905.29,0.180441,27709.90,0.146346,34165.52,0.281903,17736.63,0.162935,30687.01,0.266477,18763.32,0.533268,0.024827,0.050918,0.162935,0.771948,0.010867,18,322675,322675,1844000,7249,0,0,0,15518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12338689822688146434,12338689822688146434,12338689822688146434,16689086250303498772,16689086250303498772,16689086250303498772
1,50,5000,24,10,0.519737,9620.25,0.430584,11612.15,0.239484,20878.25,0.149858,33364.83,0.299493,16694.90,0.172401,29002.17,0.282442,17702.74,0.529533,0.020174,0.050769,0.172401,0.772878,0.010533,12,322739,322739,1844000,7026,0,0,0,19505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15710248005321469880,15710248005321469880,15710248005321469880,17569688969155265350,17569688969155265350,17569688969155265350
2,50,5000,24,10,0.516888,9673.28,0.432692,11555.55,0.240379,20800.44,0.159963,31257.27,0.301105,16605.52,0.184421,27111.94,0.281366,17770.43,0.528670,0.019547,0.046131,0.184421,0.778768,0.010553,14,322923,322923,1844000,6982,0,0,0,18935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14252576473679306319,14252576473679306319,14252576473679306319,8605292221608043961,8605292221608043961,8605292221608043961
3,50,5000,24,10,0.519847,9618.22,0.427944,11683.78,0.234284,21341.62,0.162231,30820.25,0.297617,16800.11,0.176930,28259.77,0.279425,17893.91,0.529889,0.022759,0.049793,0.176930,0.779370,0.010482,12,322939,322939,1844000,6596,0,0,0,17006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9956984490397157422,9956984490397157422,9956984490397157422,4792244797816134197,4792244797816134197,4792244797816134197
4,50,5000,24,10,0.519503,9624.59,0.435669,11476.59,0.229476,21788.75,0.160213,31208.49,0.297485,16807.59,0.178931,27943.71,0.285132,17535.74,0.525513,0.021931,0.044496,0.178931,0.770872,0.010417,15,322860,322860,1844000,6958,0,0,0,18619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7973477946360646634,7973477946360646634,7973477946360646634,9910611729580256990,9910611729580256990,9910611729580256990
5,50,5000,24,10,0.517170,9668.00,0.442634,11296.01,0.200200,24975.07,0.153836,32502.05,0.296611,16857.12,0.191369,26127.51,0.284607,17568.08,0.527927,0.020345,0.043587,0.191369,0.783229,0.010441,17,322712,322712,1844000,7286,0,0,0,16724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14337444947292176480,14337444947292176480,14337444947292176480,3981044495736215498,3981044495736215498,3981044495736215498
6,50,5000,24,10,0.518172,9649.30,0.428991,11655.24,0.229789,21759.14,0.159029,31440.75,0.297451,16809.48,0.181757,27509.25,0.283501,17636.60,0.527964,0.025141,0.047295,0.181757,0.782157,0.010336,15,322850,322850,1844000,6950,0,0,0,18859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5185928977745903425,5185928977745903425,5185928977745903425,1254123183073579804,1254123183073579804,1254123183073579804
7,50,5000,24,10,0.516862,9673.76,0.432464,11561.64,0.214347,23326.65,0.157054,31836.13,0.300396,16644.71,0.178703,27979.38,0.283074,17663.21,0.525278,0.022665,0.045011,0.178703,0.771656,0.009949,14,322777,322777,1844000,6805,0,0,0,17010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17549861418890399356,17549861418890399356,17549861418890399356,12042314198714822242,12042314198714822242,12042314198714822242
8,50,5000,24,10,0.515007,9708.61,0.437920,11417.61,0.223156,22405.90,0.161599,30940.73,0.296872,16842.28,0.190537,26241.66,0.282277,17713.09,0.526085,0.023028,0.048883,0.190537,0.788533,0.010599,16,322920,322920,1844000,7195,0,0,0,18102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1844344190282514094,1844344190282514094,1844344190282514094,11693062848658269727,11693062848658269727,11693062848658269727
9,50,5000,24,10,0.516580,9679.05,0.434396,11510.25,0.221977,22524.90,0.162623,30745.91,0.299660,16685.55,0.177738,28131.24,0.282277,17713.09,0.524934,0.024364,0.045599,0.177738,0.772636,0.010134,14,322864,322864,1844000,7062,0,0,0,18903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138430806143830367,2138430806143830367,2138430806143830367,2724353287713175333,2724353287713175333,2724353287713175333
