batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,100,18072,32,10,0.986658,18316.38,0.694782,26011.05,0.645306,28005.34,0.532307,33950.36,0.615856,29344.52,0.506456,35683.29,0.619260,29183.24,0.904047,0.115860,0.185219,0.506456,1.711582,0.078336,63,1623960,1623370,9699106,12279,0,0,0,26817,0,0,0,13110,0,0,0,4459,0,0,0,4851,0,0,0,6070,0,0,0,1430532967664384526,12413065869334957254,12413065869334957254,1461490428528529658,11482356698587734858,16659574379267968746
1,100,17248,32,10,0.898483,19196.81,0.664683,25949.22,0.616704,27968.04,0.481020,35857.13,0.584317,29518.22,0.486633,35443.52,0.595496,28964.08,0.896944,0.105023,0.142473,0.486633,1.631074,0.073609,74,1569215,1568725,9045600,11155,0,0,0,26784,0,0,0,12766,0,0,0,4272,0,0,0,4203,0,0,0,6900,0,0,0,4130579488724180108,10428086648867717756,10428086648867717756,992257602238164445,17292266359759048145,15776793106919785917
2,100,17320,32,10,1.114113,15545.99,1.010907,17133.14,0.800749,21629.74,0.548214,31593.51,0.789850,21928.22,0.577999,29965.47,0.798643,21686.79,1.142715,0.093242,0.135148,0.577999,1.949105,0.077357,80,1645628,1645258,8755758,13108,0,0,0,30223,0,0,0,14321,0,0,0,5181,0,0,0,4759,0,0,0,7070,0,0,0,7898889672829380152,13739408183138436041,13739408183138436041,12172058767698627269,1313611015743841659,17655974532425933836
3,100,17430,32,10,0.910322,19147.07,0.709050,24582.18,0.526189,33124.98,0.491451,35466.42,0.617060,28246.83,0.514091,33904.53,0.623219,27967.70,0.908224,0.114180,0.133034,0.514091,1.669529,0.074569,84,1620472,1619997,7997905,13155,0,0,0,30115,0,0,0,13971,0,0,0,4755,0,0,0,4204,0,0,0,7467,0,0,0,9211652975767646501,13063786808960319444,13063786808960319444,6737284926146220251,9611622371886815643,16190094574097013479
4,100,17481,32,10,1.020819,17124.48,0.889930,19643.12,1.169387,14948.85,1.030248,16967.76,0.697276,25070.42,0.590023,29627.65,0.707690,24701.50,1.021358,0.116732,0.145391,0.590023,1.873504,0.076773,72,1586116,1585721,8501489,12437,0,0,0,0,0,0,0,0,0,0,0,4671,0,0,0,5046,0,0,0,7154,0,0,0,12131714585237044430,4038005661376506925,12131714585237044430,9622113061257539236,10097941669155137639,17921333290269906622
5,100,16498,32,10,0.920776,17917.49,0.755181,21846.40,0.673824,24484.12,0.498906,33068.32,0.624069,26436.19,0.519660,31747.66,0.641093,25734.17,0.949323,0.093442,0.156166,0.519660,1.718592,0.068980,70,1512620,1512195,8771725,10922,0,0,0,27354,0,0,0,14332,0,0,0,5196,0,0,0,5577,0,0,0,7205,0,0,0,124904962644781975,9743398882811414120,9743398882811414120,4529552303737285659,16584040888186203683,5096876248106876122
6,100,16403,32,10,0.954159,17191.05,0.761801,21531.88,0.539694,30393.14,0.490915,33413.13,0.631422,25977.85,0.514539,31879.03,0.638837,25676.36,0.952862,0.123486,0.144382,0.514539,1.735268,0.068949,70,1518827,1518277,7947003,11105,0,0,0,26685,0,0,0,13547,0,0,0,4329,0,0,0,5063,0,0,0,6214,0,0,0,11061162961821425992,10301620130713651826,10301620130713651826,11369676348735476538,14412282519869282287,15655650009127285439
7,100,17219,32,10,0.914478,18829.33,0.728382,23640.06,0.568178,30305.63,0.507370,33937.76,0.609264,28261.98,0.510181,33750.78,0.633053,27199.91,0.923136,0.120440,0.146245,0.510181,1.700001,0.070831,78,1558815,1558420,8618595,11932,0,0,0,28851,0,0,0,13012,0,0,0,4691,0,0,0,4642,0,0,0,7094,0,0,0,4346904379706324807,13026902075663190717,13026902075663190717,3141527499080803412,10309290892754043356,15310563659615271146
8,100,16400,32,10,0.962584,17037.47,0.782363,20962.13,0.513349,31947.07,0.444708,36878.11,0.644229,25456.78,0.504731,32492.55,0.668456,24534.16,0.966059,0.105499,0.154754,0.504731,1.731043,0.070840,65,1496359,1495889,8632083,11013,0,0,0,27349,0,0,0,12233,0,0,0,4535,0,0,0,4295,0,0,0,6377,0,0,0,9066251284379413628,2154059633709946844,2154059633709946844,5578647540093607609,529894381303277166,10051354822973894109
9,100,16675,32,10,0.988066,16876.41,0.797367,20912.58,0.548888,30379.59,0.496524,33583.50,0.646258,25802.38,0.536240,31096.13,0.664466,25095.34,0.994907,0.106568,0.137423,0.536240,1.775139,0.068372,74,1556123,1555698,8482509,11091,0,0,0,26242,0,0,0,13049,0,0,0,4472,0,0,0,4286,0,0,0,6551,0,0,0,9690714261063681671,15230943299641145650,15230943299641145650,1777303770272914945,335810513091467142,16473800831415896283
