batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,50,5000,8,10,9.613658,520.09,3.977064,1257.21,2.261704,2210.72,2.178970,2294.66,3.910393,1278.64,2.497307,2002.16,3.917346,1276.37,9.745522,0.030936,0.033823,2.497307,12.307587,0.010266,22,322675,322675,1844000,8423,0,0,0,20678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000483298424370530,5000483298424370530,5000483298424370530,9632041643660749756,9632041643660749756,9632041643660749756
1,50,5000,8,10,9.580959,521.87,3.980966,1255.98,2.188250,2284.93,2.101050,2379.76,3.906881,1279.79,2.402170,2081.45,3.912331,1278.01,9.757333,0.020372,0.028357,2.402170,12.208232,0.011097,28,322739,322739,1844000,8565,0,0,0,20931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17986033153585794861,17986033153585794861,17986033153585794861,10189238904011307491,10189238904011307491,10189238904011307491
2,50,5000,8,10,9.581023,521.86,3.978657,1256.71,2.312011,2162.62,2.223833,2248.37,3.924997,1273.89,2.370291,2109.45,3.929791,1272.33,9.810817,0.000000,0.028477,2.370291,12.209585,0.010267,25,322923,322923,1844000,8096,0,0,0,20958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9891166355875508464,9891166355875508464,9891166355875508464,3112401942557211173,3112401942557211173,3112401942557211173
3,50,5000,8,10,9.614433,520.05,3.972197,1258.75,2.283124,2189.98,2.189255,2283.88,3.909248,1279.02,2.438668,2050.30,3.913286,1277.70,9.794475,0.002268,0.028818,2.438668,12.264229,0.010634,24,322939,322939,1844000,8221,0,0,0,20525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13359641363463477899,13359641363463477899,13359641363463477899,585832234619197608,585832234619197608,585832234619197608
4,50,5000,8,10,9.577295,522.07,3.976466,1257.40,2.362183,2116.69,2.284074,2189.07,3.903174,1281.01,2.392055,2090.25,3.905217,1280.34,9.791896,0.012045,0.029211,2.392055,12.225208,0.011159,26,322860,322860,1844000,8365,0,0,0,20434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18112540389603391236,18112540389603391236,18112540389603391236,2207419324303273561,2207419324303273561,2207419324303273561
5,50,5000,8,10,9.606523,520.48,3.972109,1258.78,2.132844,2344.29,2.071267,2413.98,3.902058,1281.38,2.501837,1998.53,3.903622,1280.86,9.774031,0.039306,0.026962,2.501837,12.342136,0.010634,27,322712,322712,1844000,8434,0,0,0,20384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9940671735154842946,9940671735154842946,9940671735154842946,7936802289672194959,7936802289672194959,7936802289672194959
6,50,5000,8,10,9.613114,520.12,3.994341,1251.77,2.229280,2242.88,2.160967,2313.78,3.902148,1281.35,2.497683,2001.86,3.911172,1278.39,9.779373,0.014845,0.027622,2.497683,12.319523,0.010536,27,322850,322850,1844000,8185,0,0,0,19660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14012713685102716677,14012713685102716677,14012713685102716677,10966304844818812500,10966304844818812500,10966304844818812500
7,50,5000,8,10,9.662208,517.48,3.980646,1256.08,2.226485,2245.69,2.136918,2339.82,3.908625,1279.22,2.373041,2107.00,3.918082,1276.13,9.767498,0.011345,0.025490,2.373041,12.177374,0.010217,24,322777,322777,1844000,8258,0,0,0,20407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13091270054495229752,13091270054495229752,13091270054495229752,1178856352391584922,1178856352391584922,1178856352391584922
8,50,5000,8,10,9.642578,518.53,3.988542,1253.59,2.355681,2122.53,2.269161,2203.46,3.914541,1277.29,2.491858,2006.53,3.924619,1274.01,9.794691,0.001466,0.028998,2.491858,12.317012,0.010627,25,322920,322920,1844000,8074,0,0,0,22039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12667572551719847313,12667572551719847313,12667572551719847313,14418178631410110161,14418178631410110161,14418178631410110161
9,50,5000,8,10,9.608724,520.36,3.958031,1263.25,2.262651,2209.80,2.156247,2318.84,3.901591,1281.53,2.411394,2073.49,3.909500,1278.94,9.762016,0.016741,0.025278,2.411394,12.215430,0.010119,23,322864,322864,1844000,8451,0,0,0,22508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9338009273470108246,9338009273470108246,9338009273470108246,8826913270316493142,8826913270316493142,8826913270316493142
