batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,100,13679,8,10,1.160429,11787.89,0.544131,25139.18,0.341633,40040.03,0.313307,43660.02,0.499559,27382.14,0.418013,32723.84,0.504582,27109.55,1.194545,0.071456,0.098719,0.418013,1.782733,0.041201,63,1227086,1226766,9639324,7701,0,0,0,13696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8375514492327586675,8375514492327586675,8375514492327586675,10722375002029729137,10722375002029729137,10722375002029729137
1,100,14553,8,10,1.267449,11482.12,0.579710,25103.93,0.322407,45138.57,0.293435,49595.38,0.515899,28209.00,0.451276,32248.58,0.525531,27691.97,1.296821,0.082219,0.085965,0.451276,1.916281,0.043051,67,1249080,1248845,9974468,9289,0,0,0,13112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10413453795590229689,10413453795590229689,10413453795590229689,8880899944250093422,8880899944250093422,8880899944250093422
2,100,13931,8,10,1.204428,11566.48,0.543424,25635.58,0.287630,48433.77,0.262850,52999.85,0.498223,27961.37,0.438825,31746.12,0.513502,27129.41,1.236030,0.062176,0.072197,0.438825,1.809228,0.039091,73,1216128,1215923,9679692,5874,0,0,0,9619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11626910572929523495,11626910572929523495,11626910572929523495,13633893223816926902,13633893223816926902,13633893223816926902
3,100,13901,8,10,1.235830,11248.31,0.613528,22657.47,0.308828,45012.16,0.286485,48522.55,0.551699,25196.72,0.457364,30393.71,0.566695,24529.93,1.285374,0.063764,0.087019,0.457364,1.893522,0.041494,57,1238536,1238291,9646196,7538,0,0,0,11320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5642304013012676735,5642304013012676735,5642304013012676735,5045115739515082982,5045115739515082982,5045115739515082982
4,100,14066,8,10,1.105734,12720.96,0.502818,27974.33,0.324326,43369.90,0.301152,46707.24,0.466235,30169.33,0.424249,33155.02,0.478939,29369.09,1.137758,0.071780,0.072902,0.424249,1.706689,0.039350,73,1202819,1202629,9775528,7651,0,0,0,13622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7247112796779862526,7247112796779862526,7247112796779862526,6501561859238288757,6501561859238288757,6501561859238288757
5,100,13375,8,10,1.201402,11132.82,0.552705,24199.18,0.327752,40808.25,0.287840,46466.71,0.499685,26766.84,0.461106,29006.33,0.508374,26309.39,1.224416,0.088730,0.078905,0.461106,1.853157,0.037957,75,1167153,1166993,9500412,6202,0,0,0,11345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5364795875189808268,5364795875189808268,5364795875189808268,17662204113904636710,17662204113904636710,17662204113904636710
6,100,14060,8,10,1.381689,10175.95,0.755612,18607.44,0.499496,28148.40,0.412442,34089.65,0.677939,20739.33,0.536093,26226.80,0.693032,20287.67,1.421546,0.071833,0.088686,0.536093,2.118157,0.041024,52,1255397,1255142,9881200,7979,0,0,0,11079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6444614479905317068,6444614479905317068,6444614479905317068,4815670505216502995,4815670505216502995,4815670505216502995
7,100,13097,8,10,1.408582,9298.00,0.853813,15339.42,0.520270,25173.46,0.462969,28289.17,0.791021,16557.09,0.597469,21920.79,0.802996,16310.18,1.461674,0.052540,0.087697,0.597469,2.199380,0.037046,36,1141958,1141758,8844708,6887,0,0,0,4037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11098881359422627851,11098881359422627851,11098881359422627851,5199846360596880392,5199846360596880392,5199846360596880392
8,100,13416,8,10,1.132389,11847.52,0.497988,26940.41,0.305886,43859.53,0.283944,47248.73,0.469205,28593.06,0.428427,31314.57,0.473378,28340.99,1.178069,0.074982,0.074602,0.428427,1.756080,0.039739,79,1214705,1214350,9679264,5838,0,0,0,10555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6367356916227568353,6367356916227568353,6367356916227568353,5130426411789306358,5130426411789306358,5130426411789306358
9,100,14084,8,10,1.174434,11992.16,0.502569,28023.99,0.311700,45184.53,0.261782,53800.42,0.445782,31593.90,0.407677,34546.93,0.460482,30585.34,1.209361,0.063390,0.070790,0.407677,1.751219,0.040354,82,1230186,1230006,9799248,6452,0,0,0,9909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18193222520020703880,18193222520020703880,18193222520020703880,8431549261704664013,8431549261704664013,8431549261704664013
