batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,100,13679,8,10,1.185045,11543.02,0.557540,24534.55,0.345016,39647.46,0.321444,42554.85,0.515510,26534.90,0.427480,31999.15,0.784365,17439.59,1.190638,0.073688,0.097962,0.427480,1.789767,0.170716,63,1227086,1373816,9639324,7765,2739,1891,0,13612,3000,2594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920290048218893898,1920290048218893898,1920290048218893898,16959349137311530048,16959349137311530048,16959349137311530048
1,100,14553,8,10,1.279515,11373.84,0.577704,25191.10,0.341800,42577.51,0.299282,48626.41,0.533535,27276.55,0.469801,30976.93,0.846953,17182.78,1.306012,0.064099,0.088501,0.469801,1.928414,0.187071,67,1249080,1627835,9974468,9585,3196,2211,0,13446,3343,2792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8139828644578239864,8139828644578239864,8139828644578239864,12943248391302017839,12943248391302017839,12943248391302017839
2,100,13931,8,10,1.227635,11347.84,0.552837,25199.12,0.294500,47303.85,0.268599,51865.48,0.504888,27592.28,0.445287,31285.45,0.767014,18162.64,1.230328,0.071416,0.085910,0.445287,1.832941,0.173000,73,1216128,1293223,9679692,5965,2192,1358,0,9247,2269,1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6586722304095387995,6586722304095387995,6586722304095387995,15866393844958380146,15866393844958380146,15866393844958380146
3,100,13901,8,10,1.256437,11063.83,0.617495,22511.93,0.313703,44312.68,0.294532,47196.97,0.561244,24768.20,0.462631,30047.69,0.847834,16395.90,1.267296,0.078532,0.086768,0.462631,1.895228,0.171299,57,1238536,1418566,9646196,7634,2485,1690,0,11431,2583,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5374142376106869323,5374142376106869323,5374142376106869323,8497247469720077430,8497247469720077430,8497247469720077430
4,100,14066,8,10,1.131021,12436.55,0.514527,27337.75,0.325494,43214.25,0.309527,45443.50,0.490732,28663.31,0.440910,31902.23,0.742361,18947.64,1.144310,0.064054,0.071940,0.440910,1.721213,0.178451,73,1202819,1381734,9775528,7907,2537,1787,0,13541,2716,2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10499928039665948734,10499928039665948734,10499928039665948734,17981973183286842349,17981973183286842349,17981973183286842349
5,100,13375,8,10,1.208580,11066.71,0.569631,23480.11,0.308839,43307.41,0.302510,44213.46,0.507924,26332.70,0.466635,28662.65,0.778191,17187.30,1.225697,0.061650,0.072503,0.466635,1.826485,0.160214,75,1167153,1255548,9500412,6165,2258,1435,0,10812,2490,2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15214046860631113627,15214046860631113627,15214046860631113627,12766709624763167017,12766709624763167017,12766709624763167017
6,100,14060,8,10,1.407412,9989.96,0.767209,18326.17,0.509500,27595.66,0.419961,33479.32,0.687416,20453.41,0.551596,25489.67,0.997508,14095.12,1.417299,0.066781,0.089414,0.551596,2.125090,0.173326,52,1255397,1440307,9881200,7891,2534,1748,0,10938,2489,2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2826831746047212539,2826831746047212539,2826831746047212539,5966519862970684020,5966519862970684020,5966519862970684020
7,100,13097,8,10,1.463790,8947.32,0.867539,15096.72,0.593056,22083.91,0.473550,27657.05,0.808916,16190.80,0.607890,21545.01,1.077573,12154.16,1.443581,0.064627,0.088470,0.607890,2.204568,0.153138,36,1141958,1310073,8844708,6921,2305,1488,0,5423,1747,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2623493469606782400,2623493469606782400,2623493469606782400,14215656330863946859,14215656330863946859,14215656330863946859
8,100,13416,8,10,1.151812,11647.74,0.507987,26410.12,0.310762,43171.25,0.289432,46352.88,0.476977,28127.15,0.436446,30739.16,0.716952,18712.54,1.169729,0.062037,0.069309,0.436446,1.737522,0.162551,79,1214705,1283920,9679264,5784,2009,1294,0,10594,2249,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12120909458627915201,12120909458627915201,12120909458627915201,14192709255787230170,14192709255787230170,14192709255787230170
9,100,14084,8,10,1.206878,11669.78,0.508756,27683.23,0.323897,43482.98,0.272293,51723.75,0.463580,30380.93,0.421585,33407.28,0.722922,19482.06,1.229214,0.056465,0.078065,0.421585,1.785328,0.184039,82,1230186,1376841,9799248,6540,2221,1432,0,10165,2406,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11446704875698948379,11446704875698948379,11446704875698948379,16357097096410301990,16357097096410301990,16357097096410301990
10,100,14225,8,10,1.377559,10326.23,0.731850,19437.06,0.368030,38651.70,0.342770,41500.08,0.661434,21506.30,0.574088,24778.44,0.934627,15219.98,1.375866,0.062141,0.082203,0.574088,2.094298,0.179842,60,1206396,1378131,9672804,7406,2497,1668,0,6961,2091,1566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14737382284594128830,14737382284594128830,14737382284594128830,2360335727328611722,2360335727328611722,2360335727328611722
11,100,14412,8,10,1.284999,11215.58,0.649896,22175.86,0.361672,39848.30,0.283070,50913.20,0.608221,23695.35,0.500111,28817.62,0.881008,16358.53,1.303905,0.065830,0.092368,0.500111,1.962214,0.186364,51,1256830,1459245,9701776,8951,2922,2032,0,11629,2925,2432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4871449152117127234,4871449152117127234,4871449152117127234,10138512068203968615,10138512068203968615,10138512068203968615
12,100,13180,8,10,1.200666,10977.24,0.569133,23158.03,0.300737,43825.64,0.254184,51852.10,0.528334,24946.33,0.441681,29840.54,0.795097,16576.59,1.232852,0.042998,0.079256,0.441681,1.796787,0.163535,57,1217317,1308797,9116656,5762,2024,1278,0,9406,2374,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2477393881545733651,2477393881545733651,2477393881545733651,3766585629828648727,3766585629828648727,3766585629828648727
13,100,14450,8,10,1.237957,11672.46,0.581296,24858.25,0.327484,44124.28,0.298897,48344.43,0.539792,26769.59,0.493697,29268.99,0.799316,18077.96,1.254618,0.064368,0.077660,0.493697,1.890342,0.196024,69,1229534,1387139,9707464,7902,2602,1744,0,9864,2543,2130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16152923947361046369,16152923947361046369,16152923947361046369,17150300360994070093,17150300360994070093,17150300360994070093
14,100,14110,8,10,1.226149,11507.58,0.594023,23753.28,0.378130,37315.23,0.334368,42199.03,0.559297,25228.11,0.481731,29290.21,0.847636,16646.29,1.235523,0.071214,0.073675,0.481731,1.862143,0.171416,73,1236766,1413026,9782488,8532,2688,1895,0,14722,2942,2621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4189182053868779589,4189182053868779589,4189182053868779589,4075058057430027808,4075058057430027808,4075058057430027808
15,100,13388,8,10,1.092765,12251.49,0.478883,27956.74,0.341369,39218.62,0.322987,41450.58,0.440377,30401.21,0.421298,31777.99,0.689650,19412.74,1.099454,0.063876,0.069964,0.421298,1.654592,0.159735,78,1172065,1294870,9727792,6338,2055,1391,0,13116,2293,2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808952445331042678,808952445331042678,808952445331042678,8078113469980782038,8078113469980782038,8078113469980782038
16,100,14314,8,10,1.236814,11573.29,0.618674,23136.57,0.394971,36240.68,0.351195,40757.94,0.548692,26087.48,0.476901,30014.64,0.865134,16545.42,1.295602,0.015447,0.085673,0.476901,1.873623,0.182254,65,1229086,1487646,9880936,9663,2912,2140,0,16205,3157,2817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9212682327223447577,9212682327223447577,9212682327223447577,1929885482983472583,1929885482983472583,1929885482983472583
17,100,14382,8,10,1.043526,13782.12,0.492566,29198.09,0.381618,37686.89,0.352212,40833.37,0.461203,31183.64,0.426393,33729.47,0.698260,20596.90,1.040960,0.067703,0.070491,0.426393,1.605547,0.176987,75,1163700,1326170,9826168,8641,2804,2042,0,16648,3179,2872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4368852521713196741,4368852521713196741,4368852521713196741,10133098318003730710,10133098318003730710,10133098318003730710
18,100,14191,8,10,1.121466,12653.97,0.515324,27538.03,0.380834,37262.97,0.353587,40134.37,0.486304,29181.33,0.439378,32297.91,0.783194,18119.40,1.132670,0.068562,0.076756,0.439378,1.717367,0.170626,75,1240457,1602327,10057916,10005,3099,2310,0,18331,3327,2987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10824397362195788848,10824397362195788848,10824397362195788848,900650549654809243,900650549654809243,900650549654809243
19,100,14870,8,10,1.241684,11975.67,0.565993,26272.43,0.419786,35422.83,0.381344,38993.63,0.526432,28246.74,0.478936,31047.97,0.821017,18111.69,1.241067,0.070077,0.076668,0.478936,1.866749,0.189876,74,1248380,1414910,10301880,9245,2850,2067,0,16575,3100,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10079147855456339752,10079147855456339752,10079147855456339752,10022748130798800639,10022748130798800639,10022748130798800639
20,100,14874,8,10,1.178239,12623.93,0.498667,29827.54,0.396154,37546.05,0.374140,39755.17,0.478300,31097.61,0.445184,33410.94,0.763828,19472.98,1.173199,0.070169,0.070558,0.445184,1.759109,0.198410,81,1254025,1399220,10133512,8723,2721,1943,0,17025,2974,2627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10868653181746902538,10868653181746902538,10868653181746902538,14088099373754776251,14088099373754776251,14088099373754776251
21,100,15018,8,10,1.041925,14413.70,0.443154,33888.93,0.355363,42261.03,0.334895,44843.95,0.424250,35398.96,0.398769,37660.92,0.678818,22123.75,1.046784,0.069955,0.075143,0.398769,1.590650,0.192528,76,1217456,1364386,9857448,8657,2763,1949,0,16384,3095,2687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5551677504131070647,5551677504131070647,5551677504131070647,16991969219391498747,16991969219391498747,16991969219391498747
22,100,16167,8,10,1.169874,13819.44,0.518931,31154.41,0.406471,39774.05,0.359277,44998.69,0.475071,34030.72,0.430809,37527.10,0.770538,20981.45,1.186517,0.069124,0.082778,0.430809,1.769227,0.220528,69,1304133,1540753,10812188,11332,3380,2388,0,19031,3754,3335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12894486137354470294,12894486137354470294,12894486137354470294,4796698950403147145,4796698950403147145,4796698950403147145
