batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,100,13679,8,10,1.192539,11470.49,0.543210,25181.77,0.344109,39751.99,0.312760,43736.47,0.504942,27090.25,0.421114,32482.90,0.514732,26575.00,1.192808,0.073203,0.098230,0.421114,1.785355,0.041633,63,1227086,1226766,9639324,7777,2733,555,0,14033,2953,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5497256561897812520,5497256561897812520,5497256561897812520,15369826577793029002,15369826577793029002,15369826577793029002
1,100,14553,8,10,1.280195,11367.80,0.566536,25687.68,0.328666,44279.00,0.284424,51166.50,0.521487,27906.75,0.454382,32028.12,0.530696,27422.47,1.284692,0.078559,0.082760,0.454382,1.900393,0.041929,67,1249080,1248845,9974468,9731,3132,529,0,13557,3346,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3741009803384549436,3741009803384549436,3741009803384549436,5135353297513807599,5135353297513807599,5135353297513807599
2,100,13931,8,10,1.251008,11135.82,0.540014,25797.48,0.288631,48265.74,0.264557,52657.75,0.506968,27479.06,0.445571,31265.49,0.521055,26736.15,1.254614,0.064448,0.073709,0.445571,1.838341,0.040780,73,1216128,1215928,9679692,5875,2107,501,0,9383,2239,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18294270705179441938,18294270705179441938,18294270705179441938,16640212524704265919,16640212524704265919,16640212524704265919
3,100,13901,8,10,1.282454,10839.38,0.614789,22611.02,0.313187,44385.56,0.294855,47145.16,0.566404,24542.56,0.470275,29559.29,0.578412,24033.06,1.270572,0.083088,0.088087,0.470275,1.912022,0.043125,57,1238536,1238291,9646196,7798,2518,519,0,11351,2531,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18179631228194183913,18179631228194183913,18179631228194183913,18399278681256236056,18399278681256236056,18399278681256236056
4,100,14066,8,10,1.139503,12343.98,0.502305,28002.93,0.324647,43327.01,0.304570,46183.10,0.474298,29656.46,0.433537,32444.71,0.480636,29265.41,1.149515,0.068513,0.073228,0.433537,1.724793,0.041741,73,1202819,1202624,9775528,7763,2446,449,0,13662,2702,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12318539141601297960,12318539141601297960,12318539141601297960,8384574690551011483,8384574690551011483,8384574690551011483
5,100,13375,8,10,1.224875,10919.48,0.567879,23552.54,0.312723,42769.48,0.296194,45156.16,0.511345,26156.53,0.463151,28878.30,0.525239,25464.60,1.232806,0.075879,0.077238,0.463151,1.849074,0.039548,75,1167153,1166993,9500412,6159,2215,459,0,11030,2506,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7774254054872205074,7774254054872205074,7774254054872205074,13781639812702508660,13781639812702508660,13781639812702508660
6,100,14060,8,10,1.416774,9923.95,0.759443,18513.58,0.506254,27772.64,0.417428,33682.43,0.684027,20554.75,0.544069,25842.30,0.702434,20016.12,1.427110,0.070849,0.091594,0.544069,2.133623,0.041747,52,1255397,1255142,9881200,7865,2531,549,0,10935,2373,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5718689621260017063,5718689621260017063,5718689621260017063,3571265433527033224,3571265433527033224,3571265433527033224
7,100,13097,8,10,1.447283,9049.37,0.846149,15478.37,0.536259,24422.91,0.466420,28079.81,0.796562,16441.91,0.615108,21292.19,0.817846,16014.02,1.452977,0.067358,0.088539,0.615108,2.223981,0.038456,36,1141958,1141758,8844708,6901,2303,465,0,5247,1671,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13371257704101582448,13371257704101582448,13371257704101582448,16545003493543161695,16545003493543161695,16545003493543161695
8,100,13416,8,10,1.165583,11510.12,0.499155,26877.44,0.302085,44411.29,0.288135,46561.43,0.473466,28335.73,0.435381,30814.41,0.484418,27695.10,1.175089,0.066039,0.068336,0.435381,1.744844,0.040099,79,1214705,1214350,9679264,5842,1999,487,0,10630,2275,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11061361451560992946,11061361451560992946,11061361451560992946,16155616406059257969,16155616406059257969,16155616406059257969
9,100,14084,8,10,1.207855,11660.34,0.500673,28130.13,0.308679,45626.75,0.265767,52993.81,0.450360,31272.74,0.406942,34609.39,0.463027,30417.24,1.217802,0.074003,0.078127,0.406942,1.776874,0.042057,82,1230186,1230006,9799248,6499,2251,494,0,9730,2362,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12934579107018875432,12934579107018875432,12934579107018875432,11360101731927833657,11360101731927833657,11360101731927833657
