batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,50,5000,8,10,0.526765,9491.89,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.312208,16014.99,0.528101,0.025153,0.030691,0.000000,0.583945,0.040883,25,312185,413650,1828000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9467264924422868220,0,0,9678112931690334418,0,9678112931690334418
1,50,5000,8,10,0.532451,9390.54,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.309323,16164.36,0.526873,0.021860,0.025614,0.000000,0.574347,0.042548,25,312249,413689,1828000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15823767529674446139,0,0,16055625607677617174,0,16055625607677617174
2,50,5000,8,10,0.528970,9452.33,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.308917,16185.59,0.526802,0.020483,0.023371,0.000000,0.570656,0.041477,26,312423,413823,1828000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11159059949180301638,0,0,5614409867634775645,0,5614409867634775645
3,50,5000,8,10,0.527259,9483.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.309248,16168.25,0.532145,0.019166,0.026240,0.000000,0.577552,0.041246,25,312449,413869,1828000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12615047998748627851,0,0,17260687722238865911,0,17260687722238865911
4,50,5000,8,10,0.528166,9466.73,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.308780,16192.75,0.526955,0.019768,0.023794,0.000000,0.570517,0.040986,25,312360,413820,1828000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9419963915187367661,0,0,550933917141127779,0,550933917141127779
5,50,5000,8,10,0.529196,9448.29,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.310499,16103.11,0.526542,0.019876,0.022528,0.000000,0.568946,0.040966,25,312212,413667,1828000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14785198822715847299,0,0,14299563118098062788,0,14299563118098062788
6,50,5000,8,10,0.529977,9434.36,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.307724,16248.35,0.528262,0.018950,0.023374,0.000000,0.570587,0.041033,25,312355,413755,1828000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17262081730260451307,0,0,17955903053664182547,0,17955903053664182547
7,50,5000,8,10,0.531163,9413.30,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.307914,16238.32,0.525398,0.021494,0.022244,0.000000,0.569136,0.042765,25,312287,413722,1828000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2171526524171052636,0,0,9882961356354251073,0,9882961356354251073
8,50,5000,8,10,0.529950,9434.85,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.310320,16112.38,0.530437,0.017406,0.025204,0.000000,0.573048,0.041085,24,312420,413810,1828000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17186373216383572120,0,0,15135717967879426358,0,15135717967879426358
9,50,5000,8,10,0.528279,9464.69,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.308503,16207.28,0.526363,0.020353,0.023639,0.000000,0.570356,0.040475,25,312364,413784,1828000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2086276347570388114,0,0,6177660741890558243,0,6177660741890558243
