batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,100,13679,8,10,0.651511,20995.80,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.478588,28582.01,0.665098,0.090148,0.194578,0.000000,0.949824,0.125212,17,1338424,1448784,8602654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,16290181522686356851,0,0,8413649451118563891,0,4071082038174601821
1,100,14553,8,10,0.648300,22447.92,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.502619,28954.34,0.662103,0.076090,0.166825,0.000000,0.905018,0.131692,18,1299198,1641343,9646121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,10661044271286872451,0,0,1424694399152275178,0,2800294051974372679
2,100,13931,8,10,0.607616,22927.30,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.435739,31970.99,0.620389,0.082525,0.154679,0.000000,0.857593,0.125180,22,1272456,1326266,9350358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,1490727333569002472,0,0,1049501024281994910,0,2539034738150290684
3,100,13901,8,10,0.653126,21283.80,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.468880,29647.24,0.664128,0.079403,0.158554,0.000000,0.902085,0.123767,18,1258236,1401151,9060965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,14500193851064682657,0,0,15915446536853492252,0,859205285200062744
4,100,14066,8,10,0.677483,20762.14,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.517369,27187.53,0.684595,0.083886,0.162071,0.000000,0.930552,0.133737,20,1332671,1489381,8801525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,4350232754016254307,0,0,14740570392512317464,0,13396446810120057935
5,100,13375,8,10,0.620897,21541.42,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.424788,31486.28,0.633394,0.081702,0.156338,0.000000,0.871434,0.120487,17,1238682,1292737,9867979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,4028395905601630330,0,0,13137333110564342947,0,13733571769277934869
6,100,14060,8,10,0.700849,20061.39,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.516013,27247.36,0.708265,0.090287,0.160813,0.000000,0.959365,0.134234,23,1381802,1529337,9969365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,11317186355931760512,0,0,15493272146988416672,0,2847093830339689770
7,100,13097,8,10,0.621826,21062.15,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.477562,27424.71,0.630030,0.077998,0.147435,0.000000,0.855463,0.116754,18,1187936,1327476,10708072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,13285527963487704739,0,0,4689998498545166420,0,13969450206830234843
8,100,13416,8,10,0.645157,20794.93,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.428336,31321.23,0.657972,0.126128,0.181014,0.000000,0.965115,0.126910,17,1359998,1390348,8974075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,9282029056521524698,0,0,16858406457088217404,0,2690850827300496450
9,100,14084,8,10,0.646746,21776.70,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.449568,31327.89,0.661638,0.081625,0.159672,0.000000,0.902935,0.136674,16,1298055,1414345,9257711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,6442074769590520297,0,0,2889596036050776807,0,11527199335877782775
