batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta
0,100,13679,8,10,1.204976,11352.09,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.801882,17058.62,1.195807,0.074376,0.099333,0.000000,1.369516,0.172293,63,1227086,1373816,9639324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9441999826958856059,0,0,9773571016512010473,0,9773571016512010473
1,100,14553,8,10,1.290281,11278.94,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.857535,16970.73,1.298826,0.084693,0.091700,0.000000,1.475219,0.186499,67,1249080,1627835,9974468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9605765814852653429,0,0,15861880243462658322,0,15861880243462658322
2,100,13931,8,10,1.229772,11328.12,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.778113,17903.58,1.229164,0.069064,0.075019,0.000000,1.373246,0.175728,73,1216128,1293223,9679692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4847520487791323556,0,0,973934445405217285,0,973934445405217285
3,100,13901,8,10,1.265349,10985.91,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.861246,16140.57,1.280075,0.065023,0.086789,0.000000,1.431888,0.167845,57,1238536,1418566,9646196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18446717406012043745,0,0,14478430985906872476,0,14478430985906872476
4,100,14066,8,10,1.134120,12402.57,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.758545,18543.39,1.163991,0.061732,0.087396,0.000000,1.313120,0.176459,73,1202819,1381734,9775528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3938141774299331418,0,0,2859134077471512249,0,2859134077471512249
5,100,13375,8,10,1.213726,11019.78,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.795049,16822.87,1.225248,0.063525,0.070596,0.000000,1.359369,0.158297,75,1167153,1255548,9500412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16461690592892580553,0,0,5444988946503006063,0,5444988946503006063
6,100,14060,8,10,1.410290,9969.58,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.996376,14111.14,1.424545,0.067494,0.088667,0.000000,1.580707,0.172179,52,1255397,1440307,9881200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12906677681568315562,0,0,12439128036762610793,0,12439128036762610793
7,100,13097,8,10,1.442873,9077.03,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,1.085232,12068.39,1.467781,0.063136,0.101231,0.000000,1.632148,0.150133,36,1141958,1310073,8844708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3549136542079411499,0,0,6391090604164275268,0,6391090604164275268
8,100,13416,8,10,1.159928,11566.24,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.720344,18624.45,1.173138,0.063767,0.069640,0.000000,1.306545,0.162382,79,1214705,1283920,9679264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5020872058553664923,0,0,8739290790792606556,0,8739290790792606556
9,100,14084,8,10,1.215480,11587.19,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.000000,0.00,0.718301,19607.39,1.215683,0.062337,0.069311,0.000000,1.347331,0.179043,82,1230186,1376841,9799248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15171005906638246473,0,0,6176482499961091888,0,6176482499961091888
