batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,50,5000,8,10,0.527397,9480.53,0.104071,48044.20,0.089411,55921.74,0.083698,59738.33,0.101277,49369.59,0.102565,48749.78,0.159131,31420.61,0.526925,0.034667,0.036667,0.102565,0.700823,0.048986,50,371190,380190,1796000,522,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7131223776652929524,7131223776652929524,7131223776652929524,7780288911934738302,7780288911934738302,7780288911934738302,0,0,0,0,0,0,0,0,0,0,0
1,50,5000,8,10,0.528576,9459.38,0.102675,48697.43,0.089847,55650.18,0.082071,60922.84,0.104734,47739.92,0.109248,45767.62,0.158049,31635.83,0.523734,0.029606,0.026614,0.109248,0.689201,0.048986,50,371249,380259,1796000,492,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10852596444709035989,10852596444709035989,10852596444709035989,7304523960976701624,7304523960976701624,7304523960976701624,0,0,0,0,0,0,0,0,0,0,0
2,50,5000,8,10,0.530382,9427.18,0.103244,48428.95,0.091055,54911.75,0.083805,59662.43,0.105166,47543.76,0.103037,48526.26,0.160989,31058.07,0.525641,0.027319,0.025786,0.103037,0.681783,0.048313,50,371438,380428,1796000,510,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17434447886493647841,17434447886493647841,17434447886493647841,10428670895379417897,10428670895379417897,10428670895379417897,0,0,0,0,0,0,0,0,0,0,0
3,50,5000,8,10,0.528533,9460.14,0.102644,48711.98,0.089387,55936.85,0.083277,60040.58,0.102583,48740.87,0.102712,48679.87,0.161267,31004.52,0.527143,0.026936,0.028421,0.102712,0.685212,0.048025,50,371464,380474,1796000,464,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15215405853791278486,15215405853791278486,15215405853791278486,9485384595120220510,9485384595120220510,9485384595120220510,0,0,0,0,0,0,0,0,0,0,0
4,50,5000,8,10,0.532697,9386.20,0.101485,49268.34,0.087593,57082.31,0.083162,60123.94,0.103059,48516.00,0.101858,49087.92,0.158661,31513.72,0.530964,0.034730,0.030862,0.101858,0.698415,0.049441,50,371360,380370,1796000,487,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2623309363396861774,2623309363396861774,2623309363396861774,5393175240624962201,5393175240624962201,5393175240624962201,0,0,0,0,0,0,0,0,0,0,0
5,50,5000,8,10,0.533193,9377.47,0.103725,48204.49,0.088289,56632.05,0.082534,60581.25,0.102701,48685.25,0.101779,49126.21,0.159630,31322.36,0.532473,0.027546,0.025983,0.101779,0.687780,0.048265,50,371217,380222,1796000,510,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7811900599455388081,7811900599455388081,7811900599455388081,5894790799763946868,5894790799763946868,5894790799763946868,0,0,0,0,0,0,0,0,0,0,0
6,50,5000,8,10,0.534297,9358.09,0.103497,48310.39,0.087940,56856.81,0.083265,60049.44,0.102981,48552.55,0.102170,48938.23,0.159293,31388.76,0.532546,0.027367,0.025471,0.102170,0.687554,0.048624,50,371355,380355,1796000,508,0,0,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6227800623117468372,6227800623117468372,6227800623117468372,1327144597505212552,1327144597505212552,1327144597505212552,0,0,0,0,0,0,0,0,0,0,0
7,50,5000,8,10,0.528766,9455.97,0.102266,48892.32,0.088333,56604.20,0.082821,60370.88,0.104116,48023.52,0.101864,49084.89,0.157974,31650.69,0.524931,0.028476,0.033556,0.101864,0.688828,0.048511,50,371292,380302,1796000,478,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4346048584847853157,4346048584847853157,4346048584847853157,8393936476253073743,8393936476253073743,8393936476253073743,0,0,0,0,0,0,0,0,0,0,0
8,50,5000,8,10,0.531433,9408.53,0.103473,48321.62,0.087503,57140.61,0.083239,60067.95,0.102946,48568.93,0.102080,48981.39,0.158799,31486.27,0.524760,0.029112,0.025747,0.102080,0.681698,0.048357,50,371425,380430,1796000,517,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4251431162553236072,4251431162553236072,4251431162553236072,7932087065958377567,7932087065958377567,7932087065958377567,0,0,0,0,0,0,0,0,0,0,0
9,50,5000,8,10,0.526698,9493.11,0.101257,49379.23,0.087775,56963.67,0.082440,60649.89,0.101760,49135.06,0.102633,48717.43,0.155729,32107.06,0.524986,0.029492,0.024983,0.102633,0.682094,0.048371,50,371364,380369,1796000,520,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15085455927773097234,15085455927773097234,15085455927773097234,1827555799186929592,1827555799186929592,1827555799186929592,0,0,0,0,0,0,0,0,0,0,0
