batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,50,5000,8,10,0.509279,9817.81,0.140310,35635.44,0.107026,46717.63,0.089848,55649.66,0.139888,35742.87,0.142028,35204.42,0.223218,22399.59,0.516651,0.038034,0.037020,0.142028,0.733732,0.047699,50,381685,424430,1812000,2295,844,671,0,3960,922,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3547020928470540770,3547020928470540770,3547020928470540770,15914539649864670298,15914539649864670298,15914539649864670298,0,0,0,0,0,0,0,0,0,0,0
1,50,5000,8,10,0.513298,9740.94,0.141096,35436.78,0.107964,46311.84,0.089975,55570.87,0.143820,34765.77,0.142115,35182.74,0.224914,22230.75,0.515355,0.028885,0.027358,0.142115,0.713713,0.047802,50,381749,424479,1812000,2245,840,634,0,3751,939,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14366986824508176735,14366986824508176735,14366986824508176735,7359887306904854611,7359887306904854611,7359887306904854611,0,0,0,0,0,0,0,0,0,0,0
2,50,5000,8,10,0.511111,9782.61,0.141447,35349.03,0.108114,46247.44,0.091056,54911.46,0.140981,35465.75,0.140886,35489.67,0.225839,22139.69,0.515826,0.030414,0.026787,0.140886,0.713913,0.047468,50,381928,424653,1812000,2262,839,647,0,3950,953,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13698255969711295099,13698255969711295099,13698255969711295099,11856185832033638131,11856185832033638131,11856185832033638131,0,0,0,0,0,0,0,0,0,0,0
3,50,5000,8,10,0.510381,9796.60,0.139861,35749.69,0.106674,46871.92,0.090663,55149.16,0.141507,35334.06,0.140867,35494.56,0.224940,22228.12,0.521787,0.027742,0.030054,0.140867,0.720449,0.047569,50,381949,424684,1812000,2224,849,637,0,3874,957,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13013822495005545369,13013822495005545369,13013822495005545369,12189172145469781060,12189172145469781060,12189172145469781060,0,0,0,0,0,0,0,0,0,0,0
4,50,5000,8,10,0.509995,9804.01,0.140934,35477.57,0.105414,47431.91,0.091465,54665.66,0.141607,35309.05,0.139853,35751.85,0.224997,22222.51,0.519565,0.026414,0.025698,0.139853,0.711530,0.047798,50,381860,424590,1812000,2259,840,647,0,3780,974,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5274405714597910070,5274405714597910070,5274405714597910070,15164903927070697640,15164903927070697640,15164903927070697640,0,0,0,0,0,0,0,0,0,0,0
5,50,5000,8,10,0.510044,9803.08,0.141422,35355.29,0.107023,46718.91,0.089916,55607.75,0.141890,35238.67,0.139988,35717.40,0.225184,22204.09,0.516282,0.028461,0.024726,0.139988,0.709456,0.047797,50,381717,424452,1812000,2217,833,656,0,3882,921,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17698971604636090682,17698971604636090682,17698971604636090682,13155453027757734603,13155453027757734603,13155453027757734603,0,0,0,0,0,0,0,0,0,0,0
6,50,5000,8,10,0.510112,9801.77,0.138526,36094.22,0.106827,46804.61,0.088372,56578.83,0.140215,35659.50,0.139316,35889.50,0.222997,22421.85,0.514539,0.036626,0.030928,0.139316,0.721409,0.048177,50,381855,424550,1812000,2205,839,645,0,3632,949,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17902286230022061727,17902286230022061727,17902286230022061727,17397236723271180478,17397236723271180478,17397236723271180478,0,0,0,0,0,0,0,0,0,0,0
7,50,5000,8,10,0.517005,9671.09,0.136032,36756.12,0.103678,48226.46,0.088753,56336.08,0.140289,35640.70,0.140961,35470.75,0.223618,22359.55,0.522687,0.029259,0.026352,0.140961,0.719259,0.047829,50,381792,424527,1812000,2205,822,640,0,3900,947,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17533409981095290048,17533409981095290048,17533409981095290048,1924983135370827657,1924983135370827657,1924983135370827657,0,0,0,0,0,0,0,0,0,0,0
8,50,5000,8,10,0.509877,9806.29,0.140698,35537.13,0.106459,46966.26,0.088858,56269.83,0.142767,35022.04,0.142223,35156.13,0.224527,22269.07,0.515783,0.029137,0.025038,0.142223,0.712181,0.047478,50,381920,424605,1812000,2252,828,640,0,3966,964,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16718302135603008413,16718302135603008413,16718302135603008413,15852045904250261222,15852045904250261222,15852045904250261222,0,0,0,0,0,0,0,0,0,0,0
9,50,5000,8,10,0.510593,9792.53,0.139130,35937.50,0.107751,46403.16,0.089721,55728.49,0.142600,35063.09,0.139859,35750.23,0.225907,22132.99,0.515670,0.029065,0.024558,0.139859,0.709152,0.047417,50,381869,424604,1812000,2205,821,627,0,3936,939,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574745049923676907,574745049923676907,574745049923676907,1285014301838665270,1285014301838665270,1285014301838665270,0,0,0,0,0,0,0,0,0,0,0
10,50,5000,8,10,0.508329,9836.14,0.140296,35638.83,0.105984,47176.97,0.088594,56437.53,0.141356,35371.75,0.139781,35770.31,0.224153,22306.20,0.514928,0.029586,0.024795,0.139781,0.709089,0.047855,50,381813,424548,1812000,2260,851,654,0,3966,964,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12989076115199241270,12989076115199241270,12989076115199241270,5791906880255279400,5791906880255279400,5791906880255279400,0,0,0,0,0,0,0,0,0,0,0
11,50,5000,8,10,0.509065,9821.94,0.140111,35686.05,0.107906,46336.78,0.090017,55545.10,0.142131,35178.76,0.139823,35759.49,0.224207,22300.79,0.516112,0.028941,0.025535,0.139823,0.710411,0.048176,50,381988,424733,1812000,2295,840,650,0,3875,949,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5192271445212253868,5192271445212253868,5192271445212253868,8858957212901971040,8858957212901971040,8858957212901971040,0,0,0,0,0,0,0,0,0,0,0
12,50,5000,8,10,0.513723,9732.88,0.138581,36079.89,0.107051,46706.70,0.090945,54978.58,0.140668,35544.57,0.140123,35682.95,0.226105,22113.64,0.521001,0.030151,0.025266,0.140123,0.716541,0.048096,50,381825,424510,1812000,2278,840,655,0,3891,960,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9466413695142927702,9466413695142927702,9466413695142927702,13513980800831268661,13513980800831268661,13513980800831268661,0,0,0,0,0,0,0,0,0,0,0
13,50,5000,8,10,0.519798,9619.11,0.138407,36125.24,0.105504,47391.52,0.089786,55687.72,0.143668,34802.50,0.141503,35334.99,0.224524,22269.37,0.519780,0.030830,0.024975,0.141503,0.717088,0.047472,50,381810,424545,1812000,2240,816,630,0,3847,941,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8732728628574351149,8732728628574351149,8732728628574351149,15239502736905684847,15239502736905684847,15239502736905684847,0,0,0,0,0,0,0,0,0,0,0
14,50,5000,8,10,0.509876,9806.31,0.139702,35790.41,0.104129,48017.21,0.089405,55924.97,0.142252,35148.83,0.139341,35883.18,0.223502,22371.13,0.515030,0.030708,0.025373,0.139341,0.710452,0.047992,50,381852,424572,1812000,2228,817,631,0,3871,922,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18173812853469312319,18173812853469312319,18173812853469312319,1078854821713840937,1078854821713840937,1078854821713840937,0,0,0,0,0,0,0,0,0,0,0
15,50,5000,8,10,0.517353,9664.58,0.138264,36162.62,0.105834,47244.00,0.089800,55679.09,0.140690,35539.21,0.142246,35150.29,0.227417,21986.01,0.521646,0.029633,0.025367,0.142246,0.718893,0.047840,50,381718,424423,1812000,2265,843,661,0,3798,924,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093149383439013875,5093149383439013875,5093149383439013875,1780172980475050475,1780172980475050475,1780172980475050475,0,0,0,0,0,0,0,0,0,0,0
16,50,5000,8,10,0.512707,9752.17,0.137450,36376.91,0.103945,48102.15,0.088764,56329.07,0.141760,35270.91,0.139576,35822.89,0.223330,22388.44,0.517561,0.029177,0.025480,0.139576,0.711793,0.047813,50,381908,424603,1812000,2250,832,656,0,3814,956,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2330541179078125580,2330541179078125580,2330541179078125580,3164187362305090179,3164187362305090179,3164187362305090179,0,0,0,0,0,0,0,0,0,0,0
17,50,5000,8,10,0.511526,9774.67,0.141149,35423.64,0.107463,46527.53,0.090454,55276.50,0.142945,34978.49,0.141772,35267.94,0.224768,22245.14,0.516153,0.027039,0.024986,0.141772,0.709950,0.047339,50,381828,424513,1812000,2227,810,639,0,4202,928,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599155680697896399,3599155680697896399,3599155680697896399,16681932576882597605,16681932576882597605,16681932576882597605,0,0,0,0,0,0,0,0,0,0,0
18,50,5000,8,10,0.512895,9748.59,0.141669,35293.47,0.105164,47544.86,0.090708,55121.63,0.142963,34974.01,0.140355,35624.05,0.224199,22301.63,0.515700,0.033321,0.025194,0.140355,0.714570,0.047480,50,381844,424564,1812000,2246,817,653,0,3909,917,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557014782186044383,557014782186044383,557014782186044383,2780497799467682881,2780497799467682881,2780497799467682881,0,0,0,0,0,0,0,0,0,0,0
19,50,5000,8,10,0.512092,9763.87,0.140566,35570.57,0.106517,46940.83,0.087411,57200.78,0.140516,35583.09,0.139223,35913.61,0.223074,22414.08,0.517740,0.027532,0.024843,0.139223,0.709337,0.048155,50,381738,424428,1812000,2199,815,633,0,3957,935,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14396577424777342365,14396577424777342365,14396577424777342365,11216832000708198019,11216832000708198019,11216832000708198019,0,0,0,0,0,0,0,0,0,0,0
20,50,5000,8,10,0.511243,9780.09,0.137287,36420.02,0.103424,48344.50,0.087369,57228.37,0.141103,35435.23,0.140163,35672.63,0.223654,22355.94,0.524180,0.022678,0.025242,0.140163,0.712264,0.047945,50,381772,424462,1812000,2255,830,633,0,3885,926,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14713769893879965935,14713769893879965935,14713769893879965935,15606506809216775036,15606506809216775036,15606506809216775036,0,0,0,0,0,0,0,0,0,0,0
21,50,5000,8,10,0.520700,9602.46,0.138821,36017.69,0.105421,47429.08,0.087831,56927.64,0.141967,35219.44,0.139038,35961.41,0.223780,22343.41,0.516158,0.029520,0.024858,0.139038,0.709574,0.047451,50,381796,424486,1812000,2220,831,633,0,3879,926,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12440791846181736278,12440791846181736278,12440791846181736278,10752708223325330373,10752708223325330373,10752708223325330373,0,0,0,0,0,0,0,0,0,0,0
22,50,5000,8,10,0.514584,9716.58,0.137455,36375.54,0.107655,46444.54,0.090167,55452.85,0.140949,35473.92,0.140419,35607.79,0.228247,21906.08,0.521940,0.029625,0.025065,0.140419,0.717048,0.048115,50,381884,424609,1812000,2218,837,639,0,3959,942,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14576055968765140667,14576055968765140667,14576055968765140667,15363244127763026586,15363244127763026586,15363244127763026586,0,0,0,0,0,0,0,0,0,0,0
23,50,5000,8,10,0.514889,9710.83,0.139355,35879.69,0.106400,46992.28,0.094179,53090.23,0.140385,35616.25,0.139904,35738.75,0.224698,22252.12,0.522760,0.029264,0.027530,0.139904,0.719458,0.047665,50,381893,424628,1812000,2251,821,642,0,3820,944,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7133954652224637029,7133954652224637029,7133954652224637029,10072941790124843735,10072941790124843735,10072941790124843735,0,0,0,0,0,0,0,0,0,0,0
24,50,5000,8,10,0.510071,9802.56,0.141010,35458.40,0.107217,46634.22,0.091841,54441.96,0.140667,35544.98,0.140674,35543.26,0.223400,22381.40,0.515303,0.029064,0.024823,0.140674,0.709864,0.047595,50,381784,424509,1812000,2295,835,662,0,4219,964,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181305124002691649,2181305124002691649,2181305124002691649,6692807782841415593,6692807782841415593,6692807782841415593,0,0,0,0,0,0,0,0,0,0,0
25,50,5000,8,10,0.515288,9703.31,0.139529,35834.81,0.107679,46434.10,0.090512,55241.12,0.142234,35153.37,0.140878,35491.77,0.225695,22153.77,0.515806,0.028165,0.024762,0.140878,0.709610,0.047729,50,381824,424524,1812000,2234,827,639,0,3888,965,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11365387744002848499,11365387744002848499,11365387744002848499,8281522777282937100,8281522777282937100,8281522777282937100,0,0,0,0,0,0,0,0,0,0,0
26,50,5000,8,10,0.511485,9775.46,0.141438,35351.10,0.108331,46155.00,0.088738,56345.57,0.142525,35081.45,0.140787,35514.60,0.224843,22237.73,0.517258,0.036243,0.025628,0.140787,0.719917,0.048341,50,381623,424353,1812000,2297,834,666,0,3910,947,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547701448025026577,547701448025026577,547701448025026577,13215672114347990149,13215672114347990149,13215672114347990149,0,0,0,0,0,0,0,0,0,0,0
27,50,5000,8,10,0.512884,9748.79,0.140191,35665.57,0.104145,48009.96,0.089807,55675.18,0.140958,35471.62,0.139994,35715.88,0.224847,22237.39,0.515174,0.029513,0.024695,0.139994,0.709376,0.047425,50,381929,424649,1812000,2253,833,639,0,3806,933,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11166431431688443154,11166431431688443154,11166431431688443154,11336622330043946385,11336622330043946385,11336622330043946385,0,0,0,0,0,0,0,0,0,0,0
28,50,5000,8,10,0.512044,9764.78,0.138597,36075.81,0.103686,48222.37,0.089894,55621.04,0.140093,35690.56,0.141298,35386.17,0.223047,22416.83,0.516040,0.033102,0.031464,0.141298,0.721903,0.047680,50,381839,424554,1812000,2237,831,651,0,3847,922,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15034820839999701476,15034820839999701476,15034820839999701476,15974719895571078680,15974719895571078680,15974719895571078680,0,0,0,0,0,0,0,0,0,0,0
29,50,5000,8,10,0.513439,9738.26,0.138756,36034.48,0.104461,47864.86,0.087272,57292.33,0.140610,35559.35,0.140951,35473.28,0.223562,22365.14,0.515040,0.030227,0.025168,0.140951,0.711387,0.047363,50,381745,424485,1812000,2215,826,638,0,3829,938,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099506936844718686,1099506936844718686,1099506936844718686,1960500481117520264,1960500481117520264,1960500481117520264,0,0,0,0,0,0,0,0,0,0,0
30,50,5000,8,10,0.509105,9821.16,0.136949,36509.94,0.104796,47711.64,0.090094,55497.32,0.139867,35748.16,0.139139,35935.25,0.224351,22286.50,0.517576,0.027511,0.024725,0.139139,0.708951,0.047801,50,381884,424624,1812000,2265,837,648,0,4076,946,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457187568068685374,457187568068685374,457187568068685374,6895444844809070091,6895444844809070091,6895444844809070091,0,0,0,0,0,0,0,0,0,0,0
31,50,5000,8,10,0.515893,9691.93,0.138092,36207.74,0.105755,47278.87,0.088828,56288.45,0.140897,35486.83,0.140675,35542.91,0.223442,22377.17,0.521380,0.029895,0.025148,0.140675,0.717097,0.048048,50,381820,424545,1812000,2248,816,645,0,4029,927,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9788123076745185668,9788123076745185668,9788123076745185668,18338671683928076752,18338671683928076752,18338671683928076752,0,0,0,0,0,0,0,0,0,0,0
32,50,5000,8,10,0.509946,9804.97,0.139248,35907.13,0.103106,48493.57,0.087596,57080.50,0.139335,35884.80,0.139838,35755.64,0.222837,22437.95,0.515730,0.027843,0.024554,0.139838,0.707965,0.047353,50,381718,424453,1812000,2224,832,654,0,3852,915,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3848144917962324240,3848144917962324240,3848144917962324240,12552587463791946788,12552587463791946788,12552587463791946788,0,0,0,0,0,0,0,0,0,0,0
33,50,5000,8,10,0.516930,9672.49,0.138286,36156.91,0.105434,47422.95,0.087971,56836.90,0.140536,35578.16,0.140354,35624.33,0.223091,22412.38,0.514902,0.030689,0.024528,0.140354,0.710472,0.047354,50,381767,424502,1812000,2276,832,648,0,3799,943,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13617098351494072069,13617098351494072069,13617098351494072069,15173211266700488619,15173211266700488619,15173211266700488619,0,0,0,0,0,0,0,0,0,0,0
34,50,5000,8,10,0.510098,9802.04,0.139887,35743.23,0.107295,46600.42,0.090144,55466.53,0.142857,34999.96,0.142884,34993.45,0.223878,22333.60,0.515725,0.030410,0.024738,0.142884,0.713758,0.047437,50,381797,424542,1812000,2239,829,630,0,3804,943,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10402837473796454755,10402837473796454755,10402837473796454755,2784988835383200518,2784988835383200518,2784988835383200518,0,0,0,0,0,0,0,0,0,0,0
35,50,5000,8,10,0.511170,9781.49,0.140032,35706.06,0.106013,47164.23,0.087286,57282.96,0.139883,35744.06,0.139392,35870.16,0.223181,22403.31,0.517022,0.028591,0.025315,0.139392,0.710320,0.047905,50,381874,424599,1812000,2225,832,632,0,3927,958,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14361785162649320045,14361785162649320045,14361785162649320045,17546097042466086016,17546097042466086016,17546097042466086016,0,0,0,0,0,0,0,0,0,0,0
36,50,5000,8,10,0.515088,9707.07,0.138175,36186.02,0.107210,46637.24,0.088519,56485.32,0.141273,35392.54,0.139948,35727.48,0.223531,22368.26,0.522004,0.028461,0.025252,0.139948,0.715666,0.048225,50,382015,424710,1812000,2285,840,654,0,3834,946,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14587645640988671506,14587645640988671506,14587645640988671506,3340265780236652122,3340265780236652122,3340265780236652122,0,0,0,0,0,0,0,0,0,0,0
37,50,5000,8,10,0.510590,9792.59,0.139231,35911.66,0.105709,47299.63,0.088492,56502.37,0.142526,35081.29,0.141390,35363.06,0.226208,22103.56,0.515169,0.030198,0.024762,0.141390,0.711520,0.047448,50,381700,424445,1812000,2240,839,657,0,3738,957,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6639059998858068480,6639059998858068480,6639059998858068480,11797230934075261223,11797230934075261223,11797230934075261223,0,0,0,0,0,0,0,0,0,0,0
38,50,5000,8,10,0.510890,9786.84,0.139039,35961.13,0.106291,47040.76,0.090342,55345.12,0.143163,34925.13,0.140716,35532.51,0.223850,22336.43,0.516286,0.030092,0.025038,0.140716,0.712132,0.047825,50,381965,424705,1812000,2252,827,637,0,4080,980,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15812966453740148734,15812966453740148734,15812966453740148734,14864937807500477131,14864937807500477131,14864937807500477131,0,0,0,0,0,0,0,0,0,0,0
39,50,5000,8,10,0.511486,9775.43,0.140390,35615.18,0.105173,47540.84,0.088294,56629.21,0.140820,35506.44,0.142618,35058.76,0.223542,22367.15,0.517171,0.029354,0.024689,0.142618,0.713832,0.047420,50,381970,424685,1812000,2226,834,639,0,4035,961,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13821754854611482033,13821754854611482033,13821754854611482033,4983829505534398763,4983829505534398763,4983829505534398763,0,0,0,0,0,0,0,0,0,0,0
40,50,5000,8,10,0.508634,9830.25,0.139182,35924.29,0.105208,47524.84,0.089532,55846.10,0.139764,35774.50,0.140393,35614.30,0.224481,22273.63,0.516929,0.027998,0.024515,0.140393,0.709835,0.047362,50,381924,424634,1812000,2265,844,644,0,3757,967,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16335499078295221319,16335499078295221319,16335499078295221319,5977812714369774020,5977812714369774020,5977812714369774020,0,0,0,0,0,0,0,0,0,0,0
41,50,5000,8,10,0.512561,9754.94,0.138860,36007.42,0.104501,47846.36,0.089736,55719.08,0.142886,34992.86,0.141053,35447.70,0.234336,21336.89,0.514752,0.031341,0.024669,0.141053,0.711815,0.047340,50,381809,424514,1812000,2310,853,663,0,4014,968,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16268815044569370280,16268815044569370280,16268815044569370280,4097642974050783077,4097642974050783077,4097642974050783077,0,0,0,0,0,0,0,0,0,0,0
