batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,100,13679,8,10,0.654092,20912.96,0.331225,41298.25,0.266644,51300.56,0.308560,44331.79,0.374539,36522.23,0.275658,49623.00,0.473578,28884.35,0.668532,0.154674,0.308906,0.275658,1.407771,0.155163,16,1705005,1824315,8602654,6648,0,0,0,11542,0,0,0,6975,0,0,0,3432,0,0,0,4250,0,0,0,75,0,0,0,16290181522686356851,12660389987259375045,12660389987259375045,8413649451118563891,8159843359983077966,15887818022966254384,0,0,0,0,0,0,0,0,0,0,0
1,100,14553,8,10,0.664479,21901.37,0.295811,49196.88,0.228620,63655.74,0.283379,51355.29,0.350384,41534.40,0.269748,53950.29,0.503398,28909.54,0.661819,0.116929,0.266291,0.269748,1.314787,0.165197,17,1672070,2024275,9646121,5712,0,0,0,9670,0,0,0,7612,0,0,0,3180,0,0,0,3916,0,0,0,60,0,0,0,10661044271286872451,14843584958465260910,14843584958465260910,1424694399152275178,16994961994829185054,286984776628687817,0,0,0,0,0,0,0,0,0,0,0
2,100,13931,8,10,0.610383,22823.37,0.276231,50432.50,0.213138,65361.48,0.274866,50682.90,0.337362,41293.98,0.249957,55733.63,0.438217,31790.21,0.631042,0.108766,0.246895,0.249957,1.236660,0.155758,20,1641096,1705306,9350358,5148,0,0,0,9246,0,0,0,6306,0,0,0,2942,0,0,0,3638,0,0,0,66,0,0,0,1490727333569002472,4402424285216853895,4402424285216853895,1049501024281994910,2055859243136396476,4357915444581620703,0,0,0,0,0,0,0,0,0,0,0
3,100,13901,8,10,0.673371,20643.89,0.327834,42402.50,0.236843,58692.90,0.280470,49563.19,0.376188,36952.22,0.268630,51747.74,0.478183,29070.48,0.680681,0.112146,0.262607,0.268630,1.324064,0.154985,16,1633112,1785472,9060965,5459,0,0,0,9024,0,0,0,6091,0,0,0,3237,0,0,0,3896,0,0,0,69,0,0,0,14500193851064682657,5002308453480877089,5002308453480877089,15915446536853492252,5396634513470018155,275238337536773818,0,0,0,0,0,0,0,0,0,0,0
4,100,14066,8,10,0.698446,20138.99,0.335286,41952.27,0.256500,54838.23,0.317084,44360.42,0.391208,35955.29,0.278858,50441.51,0.526925,26694.49,0.714190,0.098801,0.245833,0.278858,1.337682,0.163200,19,1714123,1880068,8801525,7099,0,0,0,11404,0,0,0,6732,0,0,0,3462,0,0,0,3857,0,0,0,150,0,0,0,4350232754016254307,16059151523650557020,16864411614876087059,14740570392512317464,8677740670395401992,11263940046570397026,0,0,0,0,0,0,0,0,0,0,0
5,100,13375,8,10,0.633383,21116.78,0.289310,46230.75,0.244594,54682.35,0.303577,44057.98,0.350194,38193.06,0.271435,49275.17,0.431288,31011.74,0.651305,0.126079,0.261874,0.271435,1.310694,0.148191,16,1601759,1667209,9867979,5107,0,0,0,10150,0,0,0,7204,0,0,0,3205,0,0,0,4254,0,0,0,74,0,0,0,4028395905601630330,18130115087217178391,18130115087217178391,13137333110564342947,9322347413756406971,9757921840800006188,0,0,0,0,0,0,0,0,0,0,0
6,100,14060,8,10,0.707082,19884.53,0.337317,41681.90,0.268753,52315.66,0.310777,45241.45,0.392319,35838.15,0.283987,49509.29,0.523951,26834.59,0.725078,0.114823,0.244160,0.283987,1.368049,0.163546,20,1766426,1926201,9969365,6995,0,0,0,11265,0,0,0,7813,0,0,0,3743,0,0,0,4335,0,0,0,103,0,0,0,11317186355931760512,15031582686461311345,15031582686461311345,15493272146988416672,16168370080877622881,14461460683636258410,0,0,0,0,0,0,0,0,0,0,0
7,100,13097,8,10,0.630847,20760.98,0.303244,43189.70,0.211791,61839.13,0.265724,49287.93,0.349186,37507.18,0.257599,50842.63,0.483423,27092.20,0.644654,0.099832,0.219965,0.257599,1.222050,0.144201,19,1530842,1677852,10708072,5944,0,0,0,8860,0,0,0,6201,0,0,0,2672,0,0,0,3251,0,0,0,77,0,0,0,13285527963487704739,4382038379163290352,4382038379163290352,4689998498545166420,59392741875070620,2487966954266182801,0,0,0,0,0,0,0,0,0,0,0
8,100,13416,8,10,0.657122,20416.29,0.282612,47471.48,0.242730,55271.25,0.303601,44189.65,0.349820,38351.13,0.273312,49086.69,0.442501,30318.61,0.675687,0.111675,0.254735,0.273312,1.315409,0.151152,17,1733666,1773871,8974075,5058,0,0,0,9746,0,0,0,7959,0,0,0,3553,0,0,0,4476,0,0,0,68,0,0,0,9282029056521524698,3812576794807007700,3812576794807007700,16858406457088217404,1458775821152129488,2500018394892371479,0,0,0,0,0,0,0,0,0,0,0
9,100,14084,8,10,0.661470,21291.96,0.294480,47826.67,0.231969,60715.07,0.298042,47255.07,0.361128,39000.06,0.272281,51726.00,0.458384,30725.33,0.680223,0.110566,0.252514,0.272281,1.315583,0.166715,16,1679023,1805543,9257711,5178,0,0,0,9042,0,0,0,6705,0,0,0,3055,0,0,0,3905,0,0,0,78,0,0,0,6442074769590520297,16936450751885753835,16936450751885753835,2889596036050776807,5464968525177748147,3507736507723744895,0,0,0,0,0,0,0,0,0,0,0
