batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,100,18072,8,10,0.998881,18092.24,0.449576,40197.92,0.388177,46556.13,0.470172,38436.96,0.540164,33456.49,0.440522,41024.02,0.746079,24222.64,0.907506,0.157052,0.337970,0.440522,1.843051,0.267420,20,2130932,3240912,9699106,11515,3694,2807,36,18460,3864,3556,41,9513,5237,3918,0,4972,2199,1438,0,5410,2702,1666,0,221,0,0,0,1430532967664384526,12413065869334957254,12413065869334957254,1461490428528529658,11039185994146495882,16166866146743104358,1464,1249,0,0,1660,996,0,0,0,0,0
1,100,17248,8,10,0.895895,19252.25,0.436506,39513.74,0.371867,46382.23,0.447935,38505.59,0.512400,33661.20,0.454173,37976.74,0.646041,26697.98,0.898747,0.145304,0.294449,0.454173,1.792673,0.256871,19,2059574,2205004,9045600,10685,3520,2680,57,16868,3563,3272,67,9684,5370,3973,0,4968,2265,1473,0,4640,2392,1515,1,204,0,0,0,4130579488724180108,10428086648867717756,10428086648867717756,992257602238164445,11720173108905966017,10001545694717847885,1436,1199,0,0,1449,888,0,0,0,0,2
2,100,17320,8,10,1.113831,15549.94,0.653817,26490.59,0.519785,33321.45,0.524314,33033.62,0.719654,24067.14,0.535494,32343.94,0.876395,19762.78,1.136119,0.146801,0.308453,0.535494,2.126868,0.248922,19,2149430,2314675,8755758,12704,3909,2982,54,18778,3950,3652,88,10982,6107,4721,0,5921,2614,1773,0,6280,3002,1980,0,189,0,0,0,7898889672829380152,13739408183138436041,13739408183138436041,12172058767698627269,3949057696072395827,9848535875795032510,1566,1377,0,0,1806,1178,0,0,0,0,0
3,100,17430,8,10,0.912449,19102.44,0.467943,37248.14,0.399467,43633.17,0.466617,37353.96,0.540319,32258.72,0.413573,42144.90,0.686311,25396.66,0.919621,0.144123,0.298389,0.413573,1.775706,0.255484,19,2121121,2296546,7997905,12174,3857,2937,61,19555,4008,3738,70,10844,6001,4601,0,5607,2536,1660,0,5560,2742,1777,0,257,0,0,0,9211652975767646501,13063786808960319444,13063786808960319444,6737284926146220251,9366842346084976875,15619100615596586961,1612,1418,0,0,1666,1088,0,0,0,0,0
4,100,17481,8,10,1.035920,16874.86,0.553962,31556.32,1.097390,15929.61,1.056598,16544.61,0.628611,27808.92,0.490273,35655.64,0.769096,22729.28,1.036914,0.140535,0.292767,0.490273,1.960489,0.253920,20,2085754,2241304,8501489,11517,3642,2835,29,0,0,0,0,0,0,0,0,5501,2456,1623,0,6434,3101,2120,1,252,0,0,0,12131714585237044430,4038005661376506925,12131714585237044430,9622113061257539236,1012625557549636354,15292687672863287833,0,0,0,0,1890,1280,0,1,1,0,0
5,100,16498,8,10,0.914193,18046.52,0.481925,34233.55,0.401764,41063.93,0.453600,36371.22,0.551248,29928.43,0.409825,40256.17,0.667805,24704.81,0.933527,0.125332,0.304190,0.409825,1.772874,0.217981,17,1989120,2099795,8771725,10868,3546,2674,41,17879,3678,3471,54,9875,5405,4084,0,5939,2585,1735,0,6058,3015,1890,0,213,0,0,0,124904962644781975,9743398882811414120,9743398882811414120,4529552303737285659,17477926283653557961,83862109412190468,1547,1322,0,0,2014,1247,0,0,0,0,0
6,100,16403,8,10,0.942748,17399.14,0.488050,33609.27,0.378912,43289.79,0.468151,35037.87,0.564174,29074.35,0.419660,39086.42,0.707261,23192.27,0.956759,0.125666,0.293402,0.419660,1.795487,0.225132,18,1996279,2146014,7947003,10641,3376,2556,34,16578,3638,3394,46,9332,5122,3868,0,4859,2171,1407,0,5429,2622,1738,2,209,0,0,0,11061162961821425992,10301620130713651826,10301620130713651826,11369676348735476538,13013862989327385097,2895021414066339196,1302,1121,0,0,1594,1056,0,0,0,0,0
7,100,17219,8,10,0.903895,19049.77,0.468167,36779.65,0.388181,44358.14,0.466179,36936.42,0.553579,31104.88,0.425360,40480.99,0.695025,24774.67,0.924632,0.133713,0.286949,0.425360,1.770655,0.241525,20,2059526,2240441,8618595,11793,3575,2790,44,18563,3641,3416,51,9755,5352,4012,0,5356,2373,1536,0,6102,2851,1964,1,198,0,0,0,4346904379706324807,13026902075663190717,13026902075663190717,3141527499080803412,319876959554919435,12078405730224226247,1355,1149,0,0,1699,1168,0,0,0,0,0
8,100,16400,8,10,0.939815,17450.25,0.495768,33079.99,0.370503,44264.12,0.431504,38006.62,0.573963,28573.27,0.394910,41528.42,0.713390,22988.81,0.960725,0.125759,0.273182,0.394910,1.754577,0.224377,19,1972866,2098376,8632083,10427,3383,2572,43,16474,3464,3194,68,9437,5238,3955,0,5203,2329,1562,0,5022,2472,1587,1,166,0,0,0,9066251284379413628,2154059633709946844,2154059633709946844,5578647540093607609,16404621235882077472,5131294450007558655,1327,1139,0,0,1519,967,0,0,0,0,0
9,100,16675,8,10,1.001633,16647.82,0.514532,32408.10,0.413607,40316.04,0.462799,36030.79,0.577688,28865.07,0.416220,40062.99,0.737373,22614.05,1.022110,0.114201,0.290367,0.416220,1.842898,0.236165,19,2066686,2221001,8482509,10889,3436,2663,43,17564,3660,3419,57,9308,5095,3805,0,5378,2408,1651,0,5320,2600,1672,1,211,0,0,0,9690714261063681671,15230943299641145650,15230943299641145650,1777303770272914945,4506843517512081550,14357341235718536801,1262,1048,0,0,1587,1011,0,0,0,0,0
10,100,17175,8,10,0.933547,18397.58,0.465185,36920.76,0.397765,43178.81,0.465294,36912.11,0.547356,31378.13,0.417771,41110.99,0.703010,24430.68,0.932776,0.142463,0.295673,0.417771,1.788683,0.235714,18,2040386,2584916,8513351,10932,3440,2646,32,17402,3609,3332,40,9762,5294,4024,0,5443,2386,1660,0,6274,2997,2166,0,173,0,0,0,7492563281631761603,5033384789185522564,5033384789185522564,16763330670668123676,1632301564086312839,6047593932763814773,1321,1176,0,0,1918,1382,0,0,0,0,0
11,100,17921,8,10,0.931623,19236.32,0.463979,38624.62,0.389022,46066.79,0.457077,39207.86,0.521125,34389.04,0.383414,46740.59,0.726306,24674.16,0.951512,0.137023,0.316852,0.383414,1.788801,0.255022,19,2111794,2594649,8314334,12417,4004,3073,43,18180,4218,3838,59,10642,5863,4627,0,4911,2268,1499,0,5428,2639,1719,2,181,0,0,0,2491875668951503182,14699982648759344177,14699982648759344177,778999604140187300,2244925291417949576,4605631442435494788,1520,1327,0,0,1687,1097,0,0,0,0,0
12,100,16987,8,10,0.943773,17999.03,0.467743,36316.96,0.399659,42503.76,0.460080,36921.81,0.542659,31303.28,0.402955,42156.10,0.693437,24496.82,0.945928,0.142786,0.323375,0.402955,1.815044,0.235830,18,2065211,2310976,8340850,10473,3428,2614,36,16589,3644,3352,56,8453,4619,3401,0,4904,2198,1469,0,4898,2481,1623,1,182,0,0,0,12497154053472034141,12676623284844050995,12676623284844050995,11683425151731416422,11967676925179033077,14664255576014933869,1125,961,0,0,1590,1055,0,0,0,0,0
13,100,15859,8,10,1.040982,15234.65,0.510937,31039.04,0.378952,41849.66,0.428545,37006.58,0.584050,27153.49,0.422541,37532.42,0.773824,20494.33,1.046254,0.142957,0.316979,0.422541,1.928731,0.220390,18,2137978,2305768,8739109,8844,3064,2250,62,14543,3334,3081,81,8887,4947,3804,0,4598,2177,1454,0,5719,2753,1886,1,176,0,0,0,4936276234304797675,5108429322599425090,5108429322599425090,16962774697707941805,6531182229439945857,5935379699802335054,1450,1245,0,0,1704,1160,0,0,0,0,0
14,100,16527,8,10,1.397049,11829.94,0.754188,21913.63,0.489869,33737.59,0.519667,31803.06,0.779072,21213.69,0.428010,38613.55,1.084623,15237.55,1.396594,0.130793,0.284411,0.428010,2.239808,0.230291,19,1951887,2084717,8474442,9287,3047,2235,64,11407,3369,2985,62,10305,5557,4398,0,4847,2197,1437,0,5340,2601,1730,0,222,0,0,0,4498985342474570422,16671188957242065597,16671188957242065597,8733327509953192242,13298626978843156815,17033091007579086946,1470,1340,0,0,1690,1152,0,0,0,0,0
15,100,17001,8,10,1.328330,12798.78,0.708447,23997.55,0.467891,36335.35,0.550916,30859.50,0.741238,22935.95,0.401126,42383.19,1.070590,15880.03,1.330158,0.139331,0.285686,0.401126,2.156300,0.241483,18,1994338,2283358,8381152,11297,3783,2869,42,10423,3307,2807,31,10580,5770,4701,0,4676,2128,1401,0,5144,2582,1719,0,158,0,0,0,6245922439938972308,13270407928430701178,13270407928430701178,16354472107837423680,18085308160054610256,3006283563637803566,1573,1401,0,0,1683,1114,0,0,0,0,0
16,100,16078,8,10,1.345779,11946.99,0.747614,21505.75,0.530797,30290.31,0.573743,28023.01,0.760216,21149.26,0.380003,42310.18,1.077543,14920.98,1.357105,0.123069,0.282996,0.380003,2.143172,0.214691,17,1908527,2049567,9077299,9139,3175,2357,46,10379,3098,2727,43,9407,5156,3988,0,4723,2166,1431,0,5332,2686,1797,0,133,0,0,0,12415473380632260829,9680002158339358741,9680002158339358741,6507142326095602646,6542547645970030942,566007126441162266,1493,1299,0,0,1799,1217,0,0,0,0,0
17,100,16639,8,10,1.361032,12225.28,0.700869,23740.53,0.493063,33746.20,0.536123,31035.77,0.754269,22059.76,0.403150,41272.50,1.072152,15519.25,1.386423,0.129467,0.286149,0.403150,2.205189,0.250957,19,2069676,2241281,9854623,8780,2998,2054,53,9580,2848,2351,53,10736,6417,5271,0,4911,2294,1452,0,5965,3124,2006,0,169,0,0,0,12953889967018965222,6479305178860945379,6479305178860945379,9915522878828262370,9764816607839875801,5114126962491109899,2380,2146,0,0,2000,1251,0,0,0,0,0
18,100,16464,8,10,1.079719,15248.41,0.560931,29351.22,0.426438,38608.23,0.465996,35330.79,0.616750,26694.78,0.390774,42131.76,0.816777,20157.27,1.096466,0.126074,0.277365,0.390774,1.890679,0.234752,20,1965884,2096819,9454712,9935,3267,2403,54,15549,3629,3377,63,9785,5413,4100,0,5015,2317,1508,0,5534,2817,1843,0,159,0,0,0,8562143461666359035,6393202080229524428,6393202080229524428,12629285274995561239,13151583950165299513,15969896431071408216,1578,1356,0,0,1717,1105,0,0,0,0,0
