batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,50,5000,8,10,0.507001,9861.91,0.238630,20952.98,0.152360,32817.11,0.138244,36167.99,0.241143,20734.62,0.157875,31670.70,0.370692,13488.30,0.512933,0.037864,0.075143,0.157875,0.783815,0.045505,18,402675,587830,1844000,7598,0,0,0,10932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020851285091650651,1020851285091650651,1020851285091650651,5849807550114376653,5849807550114376653,5849807550114376653,0,0,0,0,0,0,0,0,0,0,0
1,50,5000,8,10,0.507068,9860.62,0.237819,21024.39,0.146850,34048.45,0.130825,38219.07,0.243185,20560.51,0.143509,34841.02,0.367272,13613.88,0.515022,0.025220,0.081976,0.143509,0.765727,0.045615,10,402739,587839,1844000,7543,0,0,0,10953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6851227387029103750,6851227387029103750,6851227387029103750,5979703467200002424,5979703467200002424,5979703467200002424,0,0,0,0,0,0,0,0,0,0,0
2,50,5000,8,10,0.511979,9766.02,0.235450,21235.95,0.143218,34911.69,0.137424,36383.82,0.242405,20626.65,0.145952,34257.84,0.370536,13493.96,0.517234,0.030444,0.072114,0.145952,0.765743,0.045125,12,402923,587973,1844000,7685,0,0,0,11008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5158846282198010370,5158846282198010370,5158846282198010370,4522187086900471156,4522187086900471156,4522187086900471156,0,0,0,0,0,0,0,0,0,0,0
3,50,5000,8,10,0.514804,9712.44,0.234718,21302.15,0.146371,34159.67,0.135264,36964.84,0.240908,20754.80,0.150224,33283.53,0.364382,13721.85,0.522374,0.024457,0.071052,0.150224,0.768107,0.045446,14,402939,587999,1844000,7188,0,0,0,11126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15990562095299897143,15990562095299897143,15990562095299897143,16993739483099563180,16993739483099563180,16993739483099563180,0,0,0,0,0,0,0,0,0,0,0
4,50,5000,8,10,0.508022,9842.09,0.238381,20974.85,0.148053,33771.77,0.141404,35359.63,0.242961,20579.44,0.151696,32960.64,0.365835,13667.37,0.514301,0.028737,0.073401,0.151696,0.768135,0.045642,11,402860,587985,1844000,7660,0,0,0,11218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3227007648588278986,3227007648588278986,3227007648588278986,13657747663647421438,13657747663647421438,13657747663647421438,0,0,0,0,0,0,0,0,0,0,0
5,50,5000,8,10,0.512699,9752.32,0.240124,20822.56,0.142493,35089.53,0.128632,38870.44,0.242600,20610.04,0.156214,32007.28,0.366519,13641.85,0.512946,0.029449,0.064639,0.156214,0.763249,0.045263,17,402712,587857,1844000,7289,0,0,0,10946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8724808274962997330,8724808274962997330,8724808274962997330,8667263151700433144,8667263151700433144,8667263151700433144,0,0,0,0,0,0,0,0,0,0,0
6,50,5000,8,10,0.506301,9875.54,0.238389,20974.08,0.143734,34786.47,0.134569,37155.53,0.243288,20551.77,0.148803,33601.52,0.366453,13644.31,0.514841,0.027158,0.067717,0.148803,0.758520,0.045194,13,402850,587920,1844000,7351,0,0,0,10718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18086967085402921129,18086967085402921129,18086967085402921129,1549731877436199156,1549731877436199156,1549731877436199156,0,0,0,0,0,0,0,0,0,0,0
7,50,5000,8,10,0.510049,9802.98,0.239867,20844.91,0.146197,34200.48,0.132559,37719.09,0.243482,20535.39,0.153656,32540.28,0.365490,13680.25,0.517696,0.029220,0.070203,0.153656,0.770775,0.045548,16,402777,587847,1844000,7598,0,0,0,10643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8971622720551102915,8971622720551102915,8971622720551102915,15454859802180499037,15454859802180499037,15454859802180499037,0,0,0,0,0,0,0,0,0,0,0
8,50,5000,8,10,0.505998,9881.46,0.239653,20863.47,0.150637,33192.36,0.140422,35606.92,0.243608,20524.80,0.144364,34634.70,0.366489,13642.99,0.515195,0.025475,0.066837,0.144364,0.751872,0.045267,15,402920,587970,1844000,7536,0,0,0,11369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7024773739243118549,7024773739243118549,7024773739243118549,7143645325310263268,7143645325310263268,7143645325310263268,0,0,0,0,0,0,0,0,0,0,0
9,50,5000,8,10,0.510201,9800.07,0.240771,20766.65,0.148190,33740.46,0.136205,36709.25,0.242699,20601.69,0.149242,33502.66,0.367233,13615.35,0.512120,0.029181,0.069642,0.149242,0.760184,0.045239,12,402864,587969,1844000,7501,0,0,0,11264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16179794401881759380,16179794401881759380,16179794401881759380,15378582471543855470,15378582471543855470,15378582471543855470,0,0,0,0,0,0,0,0,0,0,0
