batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,100,14635,8,10,0.871346,16795.86,0.517743,28266.90,0.426624,34304.17,0.378116,38705.02,0.573279,25528.57,0.377799,38737.58,0.666817,21947.54,0.897509,0.111586,0.348646,0.377799,1.735540,0.158999,11,1766808,1941383,22094225,9435,0,0,0,16500,0,0,0,8682,0,0,0,5860,0,0,0,6564,0,0,0,120,0,0,0,18111129282136864069,16261080356400210771,16261080356400210771,11107107755229032479,11295401290680013046,16919633628257972101,0,0,0,0,0,0,0,0,0,0,0
1,100,14705,8,10,0.736056,19978.09,0.387950,37904.38,0.317867,46261.49,0.371984,39531.22,0.458868,32046.25,0.320036,45947.91,0.555234,26484.34,0.744356,0.109148,0.303369,0.320036,1.476909,0.161502,12,1696974,2012634,20187281,8595,0,0,0,15063,0,0,0,8419,0,0,0,4806,0,0,0,5564,0,0,0,107,0,0,0,9000018135908271896,6723795891784292468,6723795891784292468,5259523344058782267,15644608614437555679,236669536858407794,0,0,0,0,0,0,0,0,0,0,0
2,100,13744,8,10,0.756103,18177.41,0.436633,31477.24,0.364629,37693.07,0.369137,37232.79,0.479400,28669.15,0.406543,33806.98,0.561932,24458.46,0.772018,0.126944,0.304532,0.406543,1.610037,0.140989,12,1606769,1929289,23846738,8436,0,0,0,15388,0,0,0,8891,0,0,0,5494,0,0,0,4664,0,0,0,105,0,0,0,10220326392778295776,5065984277857055916,5065984277857055916,9561297146667156146,2837501062629799113,8953103660135846580,0,0,0,0,0,0,0,0,0,0,2
3,100,13339,8,10,0.905132,14737.08,0.583199,22872.13,0.503059,26515.78,0.411665,32402.55,0.642306,20767.36,0.331641,40221.20,0.698232,19103.96,0.917630,0.108375,0.279303,0.331641,1.636949,0.138712,12,1620285,1714910,27449382,8982,0,0,0,15165,0,0,0,8773,0,0,0,5700,0,0,0,6114,0,0,0,87,0,0,0,3519313317099163269,15508550740924659546,15508550740924659546,3335811462863732833,3484207026660408361,15252580668176233436,0,0,0,0,0,0,0,0,0,0,0
4,100,13302,8,10,0.810369,16414.73,0.454213,29285.82,0.369997,35951.60,0.396238,33570.73,0.510741,26044.52,0.296884,44805.31,0.582826,22823.27,0.816216,0.091720,0.284578,0.296884,1.489398,0.132690,10,1512529,1582124,22869434,8351,0,0,0,14388,0,0,0,8264,0,0,0,5498,0,0,0,5500,0,0,0,70,0,0,0,12581275282157189482,15050661091968202056,15050661091968202056,158337216414622080,7346728512656048823,17054653257485178665,0,0,0,0,0,0,0,0,0,0,0
5,100,15419,8,10,0.817286,18866.09,0.518059,29763.01,0.370589,41606.78,0.375430,41070.21,0.544617,28311.65,0.342241,45053.03,0.668975,23048.69,0.833888,0.104015,0.305363,0.342241,1.585508,0.184434,10,1704870,1999360,20117251,10653,0,0,0,15722,0,0,0,9059,0,0,0,5268,0,0,0,5439,0,0,0,70,0,0,0,15384952364892125095,10207557416939216461,10207557416939216461,6446403440801708138,8718914008991847670,16956560707048985289,0,0,0,0,0,0,0,0,0,0,0
6,100,15541,8,10,0.797557,19485.74,0.475570,32678.68,0.400042,38848.45,0.376794,41245.32,0.531926,29216.44,0.385769,40285.74,0.659406,23568.19,0.819056,0.110619,0.326000,0.385769,1.641444,0.193659,11,1774448,2103738,11734392,8983,0,0,0,15040,0,0,0,8362,0,0,0,5425,0,0,0,6016,0,0,0,74,0,0,0,13420583423186344780,2294733371085494131,2294733371085494131,13377165188986900438,2962192280930731597,15307422220423773351,0,0,0,0,0,0,0,0,0,0,0
7,100,14202,8,10,0.669650,21208.08,0.352722,40264.01,0.289108,49123.54,0.322183,44080.52,0.412864,34398.74,0.301261,47141.90,0.513180,27674.51,0.685213,0.100668,0.299082,0.301261,1.386223,0.145452,11,1627141,1898166,13564975,7443,0,0,0,13592,0,0,0,8003,0,0,0,4583,0,0,0,4875,0,0,0,98,0,0,0,14267620282648399980,8887842914046754239,8887842914046754239,10580157487357107558,8492679945808958178,1500952928710189107,0,0,0,0,0,0,0,0,0,0,0
8,100,13584,8,10,0.744335,18249.85,0.358158,37927.36,0.285263,47619.28,0.322607,42107.02,0.410073,33125.77,0.369487,36764.50,0.503701,26968.39,0.758381,0.099406,0.310012,0.369487,1.537285,0.139328,11,1631503,1688633,17832872,7198,0,0,0,13088,0,0,0,7962,0,0,0,4663,0,0,0,4214,0,0,0,100,0,0,0,12177246722060402814,1716622752997557053,1716622752997557053,13266003745347935784,5742540307498126177,10269736437138603867,0,0,0,0,0,0,0,0,0,0,1
9,100,14206,8,10,0.758168,18737.27,0.383078,37083.79,0.289228,49116.97,0.327923,43321.17,0.435957,32585.77,0.292224,48613.31,0.550433,25808.76,0.774998,0.104034,0.309267,0.292224,1.480524,0.155645,10,1652951,1758761,15988339,7715,0,0,0,13712,0,0,0,7559,0,0,0,4589,0,0,0,5257,0,0,0,82,0,0,0,17025451624199801075,5153805153840347514,5153805153840347514,2134703549142460168,14201360599863448435,2113341513104530759,0,0,0,0,0,0,0,0,0,0,0
