batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,100,18072,8,50,0.972255,18587.71,0.417770,43258.22,0.368107,49094.44,0.447055,40424.52,0.508470,35541.94,0.424066,42615.99,0.717383,25191.57,0.915047,0.128523,0.885067,0.424066,2.352702,0.258384,5,2130932,3240912,9699106,11565,0,0,0,17579,0,0,0,9540,0,0,0,4917,0,0,0,5688,0,0,0,221,0,0,0,1430532967664384526,12413065869334957254,12413065869334957254,1461490428528529658,4656230217684089715,16166866146743104358,0,0,0,0,0,0,0,0,0,0,0
1,100,17248,8,50,0.865065,19938.39,0.408138,42260.25,0.346092,49836.44,0.424964,40586.95,0.481302,35836.11,0.597957,28844.87,0.615248,28034.22,0.876871,0.125267,0.755181,0.597957,2.355276,0.242505,7,2059574,2205004,9045600,10433,0,0,0,16625,0,0,0,9903,0,0,0,5088,0,0,0,2934,0,0,0,204,0,0,0,4130579488724180108,10428086648867717756,10428086648867717756,992257602238164445,7705847971420498956,10001545694717847885,0,0,0,0,0,0,0,0,0,0,1
2,100,17320,8,50,1.096732,15792.38,0.619289,27967.56,0.486122,35628.94,0.494510,35024.59,0.682461,25378.73,0.481697,35956.18,0.839229,20637.99,1.114243,0.132101,0.769705,0.481697,2.497746,0.238465,6,2149430,2314675,8755758,12498,0,0,0,17967,0,0,0,11122,0,0,0,5987,0,0,0,6535,0,0,0,189,0,0,0,7898889672829380152,13739408183138436041,13739408183138436041,12172058767698627269,8192700787975039891,9848535875795032510,0,0,0,0,0,0,0,0,0,0,0
3,100,17430,8,50,0.884651,19702.68,0.439412,39666.68,0.375851,46374.71,0.446568,39031.04,0.507902,34317.66,0.399621,43616.32,0.658787,26457.72,0.896609,0.131829,0.807125,0.399621,2.235185,0.242112,7,2121121,2296546,7997905,12239,0,0,0,19398,0,0,0,10286,0,0,0,5600,0,0,0,5708,0,0,0,257,0,0,0,9211652975767646501,13063786808960319444,13063786808960319444,6737284926146220251,11816194454337742925,15619100615596586961,0,0,0,0,0,0,0,0,0,0,0
4,100,17481,8,50,1.011143,17288.36,0.524236,33345.66,1.062455,16453.41,1.031819,16941.93,0.597550,29254.47,0.448083,39012.90,0.745959,23434.26,1.012833,0.122465,0.778886,0.448083,2.362268,0.244023,7,2085754,2241304,8501489,11453,0,0,0,0,0,0,0,0,0,0,0,5460,0,0,0,6491,0,0,0,252,0,0,0,12131714585237044430,4038005661376506925,12131714585237044430,9622113061257539236,11798992542236117721,15292687672863287833,0,0,0,0,0,0,0,1,1,0,0
5,100,16498,8,50,0.896468,18403.34,0.458480,35984.14,0.382078,43179.63,0.435245,37905.08,0.520065,31722.99,0.620039,26608.00,0.634776,25990.26,0.903715,0.138718,0.784476,0.620039,2.446947,0.209839,8,1989120,2099795,8771725,10566,0,0,0,18298,0,0,0,10147,0,0,0,5891,0,0,0,2689,0,0,0,213,0,0,0,124904962644781975,9743398882811414120,9743398882811414120,4529552303737285659,9210204600335868753,83862109412190468,0,0,0,0,0,0,0,0,0,0,1
6,100,16403,8,50,0.910854,18008.38,0.459986,35659.77,0.358377,45770.19,0.442253,37089.61,0.538653,30451.91,0.392674,41772.61,0.677094,24225.59,0.929313,0.121789,0.924382,0.392674,2.368158,0.218701,4,1996279,2146014,7947003,10376,0,0,0,16649,0,0,0,9169,0,0,0,4766,0,0,0,6021,0,0,0,209,0,0,0,11061162961821425992,10301620130713651826,10301620130713651826,11369676348735476538,13341758348873383684,2895021414066339196,0,0,0,0,0,0,0,0,0,0,0
7,100,17219,8,50,0.885773,19439.52,0.441885,38967.12,0.368899,46676.75,0.448073,38429.00,0.521511,33017.55,0.623711,27607.33,0.657904,26172.50,0.902752,0.124630,0.796394,0.623711,2.447488,0.232681,6,2059526,2240441,8618595,11842,0,0,0,18178,0,0,0,9557,0,0,0,5379,0,0,0,2309,0,0,0,198,0,0,0,4346904379706324807,13026902075663190717,13026902075663190717,3141527499080803412,12763500211818895681,12078405730224226247,0,0,0,0,0,0,0,0,0,0,1
8,100,16400,8,50,0.923423,17760.01,0.477497,34345.80,0.349217,46962.25,0.405364,40457.47,0.543147,30194.40,0.379507,43213.91,0.678485,24171.49,0.936300,0.119918,0.519601,0.379507,1.955326,0.213249,7,1972866,2098376,8632083,10457,0,0,0,15997,0,0,0,9319,0,0,0,5056,0,0,0,5466,0,0,0,166,0,0,0,9066251284379413628,2154059633709946844,2154059633709946844,5578647540093607609,7802671328091197692,5131294450007558655,0,0,0,0,0,0,0,0,0,0,0
9,100,16675,8,50,0.961155,17348.91,0.484511,34416.17,0.385605,43243.72,0.438696,38010.40,0.549120,30366.75,0.381137,43750.64,0.703541,23701.54,0.978351,0.120745,0.720778,0.381137,2.201011,0.223898,7,2066686,2221001,8482509,10578,0,0,0,17359,0,0,0,9290,0,0,0,5313,0,0,0,5185,0,0,0,211,0,0,0,9690714261063681671,15230943299641145650,15230943299641145650,1777303770272914945,9879275992690937653,14357341235718536801,0,0,0,0,0,0,0,0,0,0,0
10,100,17175,8,50,0.916218,18745.54,0.431986,39758.20,0.375417,45749.09,0.443705,38708.19,0.514818,33361.28,0.403565,42558.18,0.672409,25542.49,0.940114,0.098538,0.849512,0.403565,2.291729,0.228532,7,2040386,2584916,8513351,10650,0,0,0,17108,0,0,0,9578,0,0,0,5412,0,0,0,5376,0,0,0,173,0,0,0,7492563281631761603,5033384789185522564,5033384789185522564,16763330670668123676,16449839829842010361,6047593932763814773,0,0,0,0,0,0,0,0,0,0,0
11,100,17921,8,50,0.893162,20064.66,0.441004,40636.84,0.359483,49852.11,0.436984,41010.69,0.498087,35979.63,0.385222,46521.17,0.691916,25900.54,0.908038,0.123644,0.970850,0.385222,2.387754,0.243237,4,2111794,2594649,8314334,11814,0,0,0,18147,0,0,0,10280,0,0,0,4902,0,0,0,5709,0,0,0,181,0,0,0,2491875668951503182,14699982648759344177,14699982648759344177,778999604140187300,12342028294797295485,4605631442435494788,0,0,0,0,0,0,0,0,0,0,0
