batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,50,5000,8,1000,0.506063,9880.19,0.237695,21035.33,0.150052,33321.81,0.136560,36613.91,0.241415,20711.26,0.158590,31527.76,0.366158,13655.32,0.507647,0.037506,0.047748,0.158590,0.751491,0.045739,27,402675,587830,1844000,7733,0,0,0,11058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4565748246743235918,4565748246743235918,4565748246743235918,13079240721386490712,13079240721386490712,13079240721386490712,0,0,0,0,0,0,0,0,0,0,0
1,50,5000,8,1000,0.510222,9799.65,0.239990,20834.17,0.148235,33730.22,0.132420,37758.70,0.243544,20530.19,0.167438,29861.72,0.362622,13788.45,0.505955,0.029112,0.039396,0.167438,0.741901,0.045487,26,402739,587839,1844000,7723,0,0,0,11186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16278501266611916015,16278501266611916015,16278501266611916015,17303994642895149201,17303994642895149201,17303994642895149201,0,0,0,0,0,0,0,0,0,0,0
2,50,5000,8,1000,0.506028,9880.87,0.239454,20880.86,0.146243,34189.57,0.137049,36483.21,0.241877,20671.70,0.162528,30763.91,0.362698,13785.57,0.506996,0.028322,0.038695,0.162528,0.736541,0.045203,26,402923,587973,1844000,7548,0,0,0,10935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4521764170332547892,4521764170332547892,4521764170332547892,13869056722447348034,13869056722447348034,13869056722447348034,0,0,0,0,0,0,0,0,0,0,0
3,50,5000,8,1000,0.508156,9839.49,0.239950,20837.66,0.152482,32790.76,0.137580,36342.54,0.241824,20676.18,0.151766,32945.49,0.362520,13792.36,0.510823,0.029762,0.043655,0.151766,0.736006,0.045206,24,402939,587999,1844000,7725,0,0,0,12053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568042095339076322,2568042095339076322,2568042095339076322,14930426939330897401,14930426939330897401,14930426939330897401,0,0,0,0,0,0,0,0,0,0,0
4,50,5000,8,1000,0.507595,9850.38,0.238014,21007.14,0.148255,33725.61,0.140183,35667.55,0.240905,20755.06,0.156821,31883.49,0.362665,13786.84,0.507104,0.028091,0.040477,0.156821,0.732493,0.045531,23,402860,587985,1844000,7595,0,0,0,11017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5408427009112383319,5408427009112383319,5408427009112383319,13822043421366823395,13822043421366823395,13822043421366823395,0,0,0,0,0,0,0,0,0,0,0
5,50,5000,8,1000,0.505974,9881.94,0.240141,20821.14,0.145119,34454.36,0.128732,38840.36,0.242549,20614.42,0.160945,31066.57,0.361465,13832.60,0.509399,0.026512,0.035668,0.160945,0.732524,0.045499,28,402712,587857,1844000,7249,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15334148609188033490,15334148609188033490,15334148609188033490,13718290170163636856,13718290170163636856,13718290170163636856,0,0,0,0,0,0,0,0,0,0,0
6,50,5000,8,1000,0.508187,9838.90,0.242016,20659.78,0.141495,35337.02,0.133073,37573.28,0.242465,20621.51,0.154240,32417.11,0.361134,13845.29,0.508260,0.026335,0.036759,0.154240,0.725593,0.045427,26,402850,587920,1844000,7389,0,0,0,10896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15172403596247211701,15172403596247211701,15172403596247211701,1636179823709522152,1636179823709522152,1636179823709522152,0,0,0,0,0,0,0,0,0,0,0
7,50,5000,8,1000,0.509619,9811.25,0.243946,20496.35,0.148368,33700.09,0.131750,37950.69,0.242985,20577.44,0.151228,33062.65,0.365115,13694.30,0.505863,0.035735,0.044500,0.151228,0.737326,0.045765,24,402777,587847,1844000,7760,0,0,0,11298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5831449623931918783,5831449623931918783,5831449623931918783,802252071391745057,802252071391745057,802252071391745057,0,0,0,0,0,0,0,0,0,0,0
8,50,5000,8,1000,0.506941,9863.08,0.239354,20889.56,0.151133,33083.36,0.139882,35744.48,0.242586,20611.26,0.156050,32041.05,0.363979,13737.07,0.507054,0.027527,0.039763,0.156050,0.730394,0.045568,23,402920,587970,1844000,7514,0,0,0,11268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13144512397379639054,13144512397379639054,13144512397379639054,4381813538796490687,4381813538796490687,4381813538796490687,0,0,0,0,0,0,0,0,0,0,0
9,50,5000,8,1000,0.507042,9861.12,0.237975,21010.63,0.144716,34550.47,0.135003,37036.09,0.242313,20634.45,0.156262,31997.51,0.362136,13806.97,0.506418,0.028560,0.036922,0.156262,0.728163,0.045930,26,402864,587969,1844000,7530,0,0,0,11310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005622062761028518,8005622062761028518,8005622062761028518,17411471425662817116,17411471425662817116,17411471425662817116,0,0,0,0,0,0,0,0,0,0,0
