batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,100,18072,8,25,1.011585,17865.03,0.418537,43178.97,0.372546,48509.44,0.452468,39940.97,0.510941,35370.01,0.421000,42926.41,0.719619,25113.28,0.908312,0.148785,0.340257,0.421000,1.818354,0.257189,20,2130932,3240912,9699106,11584,0,0,0,17940,0,0,0,9465,0,0,0,4944,0,0,0,5391,0,0,0,221,0,0,0,1430532967664384526,12413065869334957254,12413065869334957254,1461490428528529658,11039185994146495882,16166866146743104358,0,0,0,0,0,0,0,0,0,0,0
1,100,17248,8,25,0.877186,19662.88,0.410921,41974.02,0.351048,49132.94,0.428979,40207.10,0.485984,35490.85,0.442852,38947.58,0.623553,27660.82,0.882002,0.137041,0.299044,0.442852,1.760940,0.245117,19,2059574,2205004,9045600,10599,0,0,0,16599,0,0,0,9785,0,0,0,5023,0,0,0,4673,0,0,0,204,0,0,0,4130579488724180108,10428086648867717756,10428086648867717756,992257602238164445,11720173108905966017,10001545694717847885,0,0,0,0,0,0,0,0,0,0,2
2,100,17320,8,25,1.096655,15793.48,0.625460,27691.63,0.500872,34579.68,0.498084,34773.28,0.683884,25325.92,0.513025,33760.56,0.839276,20636.83,1.108328,0.143193,0.299748,0.513025,2.064294,0.243398,19,2149430,2314675,8755758,12824,0,0,0,18161,0,0,0,11153,0,0,0,5918,0,0,0,6194,0,0,0,189,0,0,0,7898889672829380152,13739408183138436041,13739408183138436041,12172058767698627269,3949057696072395827,9848535875795032510,0,0,0,0,0,0,0,0,0,0,0
3,100,17430,8,25,0.889304,19599.59,0.446947,38997.95,0.392535,44403.68,0.453605,38425.52,0.516060,33775.17,0.395511,44069.62,0.660434,26391.75,0.894866,0.142364,0.297828,0.395511,1.730568,0.244099,19,2121121,2296546,7997905,12005,0,0,0,19612,0,0,0,10631,0,0,0,5571,0,0,0,5709,0,0,0,257,0,0,0,9211652975767646501,13063786808960319444,13063786808960319444,6737284926146220251,9366842346084976875,15619100615596586961,0,0,0,0,0,0,0,0,0,0,0
4,100,17481,8,25,1.006300,17371.55,0.527118,33163.36,1.099694,15896.25,1.042202,16773.14,0.608301,28737.42,0.471246,37095.27,0.738457,23672.34,1.011634,0.132729,0.287304,0.471246,1.902912,0.248514,20,2085754,2241304,8501489,11165,0,0,0,0,0,0,0,0,0,0,0,5528,0,0,0,6204,0,0,0,252,0,0,0,12131714585237044430,4038005661376506925,12131714585237044430,9622113061257539236,1012625557549636354,15292687672863287833,0,0,0,0,0,0,0,1,1,0,0
5,100,16498,8,25,0.894998,18433.57,0.458819,35957.51,0.380289,43382.81,0.436179,37823.88,0.524568,31450.66,0.384346,42924.83,0.640637,25752.49,0.910214,0.122162,0.364779,0.384346,1.781501,0.209763,16,1989120,2099795,8771725,10738,0,0,0,17253,0,0,0,10047,0,0,0,5906,0,0,0,5734,0,0,0,213,0,0,0,124904962644781975,9743398882811414120,9743398882811414120,4529552303737285659,2273420965563455464,83862109412190468,0,0,0,0,0,0,0,0,0,0,0
6,100,16403,8,25,0.927955,17676.51,0.460317,35634.18,0.370788,44238.17,0.443501,36985.23,0.541162,30310.73,0.382726,42858.30,0.678715,24167.74,0.935694,0.120013,0.442551,0.382726,1.880984,0.220587,13,1996279,2146014,7947003,10539,0,0,0,16621,0,0,0,9121,0,0,0,4903,0,0,0,5067,0,0,0,209,0,0,0,11061162961821425992,10301620130713651826,10301620130713651826,11369676348735476538,6719774378725066212,2895021414066339196,0,0,0,0,0,0,0,0,0,0,0
7,100,17219,8,25,0.886077,19432.85,0.443660,38811.22,0.374919,45927.25,0.448356,38404.79,0.523161,32913.36,0.404137,42606.81,0.661101,26045.95,0.906158,0.123593,0.284250,0.404137,1.718139,0.234597,20,2059526,2240441,8618595,11527,0,0,0,18302,0,0,0,9675,0,0,0,5362,0,0,0,6040,0,0,0,198,0,0,0,4346904379706324807,13026902075663190717,13026902075663190717,3141527499080803412,319876959554919435,12078405730224226247,0,0,0,0,0,0,0,0,0,0,0
8,100,16400,8,25,0.926117,17708.35,0.473205,34657.28,0.354815,46221.30,0.407763,40219.47,0.550531,29789.40,0.381677,42968.29,0.675514,24277.80,0.959122,0.119318,0.270164,0.381677,1.730281,0.213627,19,1972866,2098376,8632083,10320,0,0,0,15984,0,0,0,9130,0,0,0,5170,0,0,0,5136,0,0,0,166,0,0,0,9066251284379413628,2154059633709946844,2154059633709946844,5578647540093607609,16404621235882077472,5131294450007558655,0,0,0,0,0,0,0,0,0,0,0
9,100,16675,8,25,0.997597,16715.16,0.485948,34314.38,0.398868,41805.84,0.439514,37939.63,0.551666,30226.62,0.399667,41722.26,0.706120,23614.97,0.996190,0.126986,0.303788,0.399667,1.826631,0.227582,19,2066686,2221001,8482509,10891,0,0,0,17096,0,0,0,9376,0,0,0,5317,0,0,0,5430,0,0,0,211,0,0,0,9690714261063681671,15230943299641145650,15230943299641145650,1777303770272914945,4506843517512081550,14357341235718536801,0,0,0,0,0,0,0,0,0,0,0
10,100,17175,8,25,0.937384,18322.27,0.438550,39163.14,0.390619,43968.68,0.447034,38419.86,0.518235,33141.31,0.399852,42953.38,0.674968,25445.63,0.928875,0.138174,0.305226,0.399852,1.772127,0.229547,18,2040386,2584916,8513351,10558,0,0,0,17279,0,0,0,9581,0,0,0,5419,0,0,0,6161,0,0,0,173,0,0,0,7492563281631761603,5033384789185522564,5033384789185522564,16763330670668123676,1632301564086312839,6047593932763814773,0,0,0,0,0,0,0,0,0,0,0
