batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,20,2000,8,10,0.200944,9953.00,0.095871,20861.44,0.065494,30537.34,0.059865,33408.23,0.096772,20667.11,0.069800,28653.09,0.143859,13902.48,0.202216,0.013615,0.017440,0.069800,0.303071,0.018008,12,161152,235217,737600,3025,0,0,0,4740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6255985451960479965,6255985451960479965,6255985451960479965,13641072274222029474,13641072274222029474,13641072274222029474,0,0,0,0,0,0,0,0,0,0,0
1,20,2000,8,10,0.202630,9870.19,0.096822,20656.40,0.062567,31965.56,0.058927,33940.05,0.098637,20276.41,0.071160,28105.51,0.144940,13798.85,0.203222,0.012773,0.015237,0.071160,0.302392,0.018011,13,161059,235104,737600,3012,0,0,0,4457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15166231270290605128,15166231270290605128,15166231270290605128,12864326083252226144,12864326083252226144,12864326083252226144,0,0,0,0,0,0,0,0,0,0,0
2,20,2000,8,10,0.202007,9900.64,0.095131,21023.60,0.063530,31481.15,0.058288,34312.52,0.097427,20528.29,0.063928,31285.02,0.144717,13820.09,0.201845,0.011160,0.013050,0.063928,0.289983,0.018113,12,161100,235120,737600,3036,0,0,0,4552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10007725098510356683,10007725098510356683,10007725098510356683,3599140221265099889,3599140221265099889,3599140221265099889,0,0,0,0,0,0,0,0,0,0,0
3,20,2000,8,10,0.203824,9812.40,0.095944,20845.43,0.063860,31318.35,0.059524,33599.63,0.097125,20591.92,0.068441,29222.17,0.145047,13788.68,0.202729,0.010246,0.014954,0.068441,0.296370,0.018093,10,161170,235190,737600,2906,0,0,0,4713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8913864121186882704,8913864121186882704,8913864121186882704,15027858581492907521,15027858581492907521,15027858581492907521,0,0,0,0,0,0,0,0,0,0,0
4,20,2000,8,10,0.202195,9891.46,0.096528,20719.28,0.065464,30550.98,0.061435,32554.80,0.096736,20674.78,0.067136,29790.20,0.144719,13819.85,0.204062,0.011349,0.015447,0.067136,0.297994,0.018313,12,161100,235160,737600,3006,0,0,0,4736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11361040380026738991,11361040380026738991,11361040380026738991,5494350682077941190,5494350682077941190,5494350682077941190,0,0,0,0,0,0,0,0,0,0,0
5,20,2000,8,10,0.203437,9831.07,0.094721,21114.59,0.062357,32073.59,0.057510,34776.67,0.096425,20741.47,0.066237,30194.66,0.145205,13773.61,0.204012,0.011047,0.013972,0.066237,0.295269,0.018144,12,161018,235078,737600,2932,0,0,0,4551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17838542559396836567,17838542559396836567,17838542559396836567,903504347202813838,903504347202813838,903504347202813838,0,0,0,0,0,0,0,0,0,0,0
6,20,2000,8,10,0.203671,9819.76,0.094326,21203.16,0.062245,32131.22,0.059294,33730.46,0.096178,20794.77,0.068262,29298.83,0.143041,13982.01,0.203918,0.011236,0.014533,0.068262,0.297949,0.018262,11,161140,235165,737600,3094,0,0,0,4853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10158880658924770164,10158880658924770164,10158880658924770164,4054688351219535706,4054688351219535706,4054688351219535706,0,0,0,0,0,0,0,0,0,0,0
7,20,2000,8,10,0.205692,9723.29,0.095499,20942.56,0.062694,31901.06,0.056897,35151.00,0.097320,20550.75,0.067901,29454.54,0.143767,13911.39,0.203920,0.011259,0.013625,0.067901,0.296704,0.018480,12,161084,235124,737600,3073,0,0,0,4605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5142093013994164046,5142093013994164046,5142093013994164046,10796053827361088207,10796053827361088207,10796053827361088207,0,0,0,0,0,0,0,0,0,0,0
8,20,2000,8,10,0.204174,9795.57,0.094796,21097.93,0.063915,31291.70,0.058916,33946.38,0.096788,20663.73,0.064396,31057.87,0.144357,13854.53,0.203749,0.011524,0.015771,0.064396,0.295441,0.017971,10,161170,235200,737600,2962,0,0,0,4543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3845077004875964235,3845077004875964235,3845077004875964235,3056263399735282667,3056263399735282667,3056263399735282667,0,0,0,0,0,0,0,0,0,0,0
9,20,2000,8,10,0.202675,9868.01,0.095725,20893.24,0.064915,30809.73,0.061806,32359.21,0.097223,20571.29,0.071438,27996.12,0.144190,13870.55,0.201719,0.010651,0.012995,0.071438,0.296804,0.018011,13,161094,235139,737600,2999,0,0,0,4692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16205529640777076627,16205529640777076627,16205529640777076627,4909152354676572428,4909152354676572428,4909152354676572428,0,0,0,0,0,0,0,0,0,0,0
