batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,50,6989,8,10,0.320939,21776.73,0.172583,40496.52,0.129932,53789.75,0.156158,44755.94,0.192082,36385.48,0.146092,47839.69,0.234607,29790.29,0.323436,0.067855,0.144555,0.146092,0.681938,0.079411,9,860347,939492,4440036,3998,0,0,0,6126,0,0,0,3593,0,0,0,1783,0,0,0,2145,0,0,0,43,0,0,0,567376449241603365,14768394612228475496,14768394612228475496,14863608227758106996,7626383554233857766,1741404426013073594,0,0,0,0,0,0,0,0,0,0,0
1,50,6690,8,10,0.333607,20053.52,0.156196,42830.77,0.129387,51705.39,0.138670,48243.89,0.177960,37592.81,0.139920,47813.01,0.229780,29114.77,0.332110,0.063013,0.129517,0.139920,0.664560,0.070801,8,859157,899592,4162618,2884,0,0,0,5216,0,0,0,3253,0,0,0,1694,0,0,0,2322,0,0,0,29,0,0,0,782965219948955661,2335377738107941884,2335377738107941884,11605090605112580283,18131097338849615106,8954536252152348345,0,0,0,0,0,0,0,0,0,0,0
2,50,7072,8,10,0.305884,23119.85,0.146391,48308.89,0.114921,61537.78,0.144855,48821.33,0.177941,39743.51,0.145170,48715.44,0.236124,29950.40,0.313492,0.054904,0.121293,0.145170,0.634859,0.074039,8,828649,895944,4622702,2797,0,0,0,4941,0,0,0,3426,0,0,0,1514,0,0,0,2020,0,0,0,30,0,0,0,12266269558142910597,15563641306123582883,15563641306123582883,1679660531823441858,4885707641031996502,3974152139367196945,0,0,0,0,0,0,0,0,0,0,0
3,50,7481,8,10,0.324008,23088.94,0.146649,51012.83,0.114529,65319.77,0.131156,57038.75,0.170306,43926.87,0.122108,61265.48,0.246350,30367.40,0.325471,0.063374,0.135030,0.122108,0.645983,0.087162,9,854525,1139755,5023419,2886,0,0,0,4963,0,0,0,3274,0,0,0,1652,0,0,0,2109,0,0,0,19,0,0,0,15662026562015968325,1950214886139854863,1950214886139854863,6839013008469099433,2933375959279785782,12915269332725948838,0,0,0,0,0,0,0,0,0,0,0
4,50,6855,8,10,0.315144,21751.99,0.144187,47542.57,0.106635,64284.59,0.139325,49201.56,0.166893,41074.27,0.131621,52081.38,0.215416,31822.18,0.322026,0.057431,0.127043,0.131621,0.638121,0.075700,9,870351,897696,4883596,2791,0,0,0,4784,0,0,0,2939,0,0,0,1617,0,0,0,1981,0,0,0,38,0,0,0,15874264918040013810,192371655217240786,192371655217240786,3876213696454382404,11301435586792508562,10801526973558221345,0,0,0,0,0,0,0,0,0,0,0
5,50,7076,8,10,0.291200,24299.43,0.132546,53385.35,0.103825,68153.03,0.129430,54670.34,0.161395,43842.81,0.119659,59134.54,0.211704,33424.08,0.300236,0.053864,0.118721,0.119659,0.592480,0.077328,8,791515,828750,4466762,2555,0,0,0,4633,0,0,0,2859,0,0,0,1452,0,0,0,1854,0,0,0,37,0,0,0,7937087752874640620,12032863404836177292,12032863404836177292,6208079983973191717,13834660989801184414,13421333713392253450,0,0,0,0,0,0,0,0,0,0,0
6,50,7277,8,10,0.341314,21320.57,0.170710,42627.78,0.119043,61129.19,0.150799,48256.13,0.196634,37007.81,0.149386,48712.86,0.250634,29034.42,0.342234,0.061478,0.128313,0.149386,0.681411,0.084204,9,852266,956551,4472397,3209,0,0,0,4991,0,0,0,3024,0,0,0,1517,0,0,0,1965,0,0,0,40,0,0,0,9559748921887842360,9616188219125683411,9616188219125683411,11508632655727811656,16300765058360972529,14407523251380754908,0,0,0,0,0,0,0,0,0,0,0
7,50,6624,8,10,0.323284,20489.73,0.161930,40906.57,0.124284,53297.16,0.145700,45463.40,0.187969,35239.89,0.141104,46943.98,0.229144,28907.63,0.329306,0.051068,0.115080,0.141104,0.636558,0.068506,9,823443,874963,4588568,3037,0,0,0,5449,0,0,0,2994,0,0,0,1785,0,0,0,2075,0,0,0,48,0,0,0,16687135644937226356,1459365638343750205,1459365638343750205,18382476403573464664,7553656388207085888,6337991730758294966,0,0,0,0,0,0,0,0,0,0,0
8,50,7057,8,10,0.343323,20554.96,0.176686,39940.93,0.136698,51624.84,0.166690,42336.07,0.202757,34805.22,0.148419,47547.93,0.259044,27242.44,0.353679,0.052640,0.117735,0.148419,0.672473,0.080184,10,897727,1016847,4040680,4593,0,0,0,6639,0,0,0,3575,0,0,0,1977,0,0,0,2074,0,0,0,112,0,0,0,3028058308435877553,9858881767308648464,2701349318787946638,8140090382908123256,14178163879830894321,9698367362665837624,0,0,0,0,0,0,0,0,0,0,0
9,50,7009,8,10,0.328343,21346.61,0.146047,47991.42,0.112414,62350.06,0.149428,46905.65,0.184687,37950.73,0.143899,48707.71,0.239892,29217.29,0.338356,0.054045,0.117257,0.143899,0.653557,0.079910,8,827765,874990,4760845,2684,0,0,0,4520,0,0,0,3060,0,0,0,1546,0,0,0,2149,0,0,0,35,0,0,0,6033697834224381327,6266279226570910557,6266279226570910557,6111250077491149873,11645068077129790624,16745320489690557043,0,0,0,0,0,0,0,0,0,0,0
10,50,6704,8,10,0.312282,21467.79,0.145751,45996.37,0.112562,59558.47,0.139939,47906.45,0.172971,38757.94,0.136379,49157.01,0.209668,31974.31,0.320119,0.056151,0.122104,0.136379,0.634753,0.071417,8,819061,844631,4684926,2466,0,0,0,4729,0,0,0,3770,0,0,0,1548,0,0,0,2468,0,0,0,36,0,0,0,16122378428579252508,17101182858667281459,17101182858667281459,5256612502043158636,6957365779937326057,17805034056162543192,0,0,0,0,0,0,0,0,0,0,0
11,50,6671,8,10,0.312490,21347.91,0.138958,48007.45,0.128073,52087.58,0.151179,44126.55,0.170288,39174.82,0.134655,49541.39,0.206647,32282.09,0.312806,0.061217,0.119526,0.134655,0.628205,0.073099,9,800619,841164,5183053,2997,0,0,0,5380,0,0,0,3068,0,0,0,1707,0,0,0,2022,0,0,0,37,0,0,0,7820276483610459325,13346840486526359071,13346840486526359071,14754626875494172300,6813235509836771543,17748969868465334171,0,0,0,0,0,0,0,0,0,0,0
12,50,7300,8,10,0.337398,21636.16,0.154315,47305.79,0.135291,53957.68,0.159231,45845.44,0.183429,39797.31,0.146716,49755.82,0.253597,28785.87,0.345642,0.059686,0.126191,0.146716,0.678235,0.085401,11,964022,1088797,4474146,4038,0,0,0,6781,0,0,0,3702,0,0,0,1890,0,0,0,2401,0,0,0,68,0,0,0,14678225192039441318,4652092016585307156,4652092016585307156,3221109055693492591,16772101718172863259,17773627858337897263,0,0,0,0,0,0,0,0,0,0,0
13,50,6760,8,10,0.360893,18731.30,0.171445,39429.61,0.118953,56829.06,0.143429,47131.36,0.194187,34811.78,0.139059,48612.29,0.256539,26350.77,0.369208,0.051487,0.109831,0.139059,0.669585,0.074787,9,817774,853169,5495219,3086,0,0,0,4962,0,0,0,3159,0,0,0,1764,0,0,0,1999,0,0,0,40,0,0,0,6265345796487280658,11523311733453087241,11523311733453087241,3063511241427187114,6595746498238344076,10227307038668523061,0,0,0,0,0,0,0,0,0,0,0
14,50,6207,8,10,0.307711,20171.52,0.146490,42371.38,0.106871,58079.20,0.129292,48007.65,0.171914,36105.19,0.136634,45427.93,0.233154,26621.88,0.314813,0.049390,0.107040,0.136634,0.607878,0.061513,11,753507,808592,5520437,3040,0,0,0,5079,0,0,0,2721,0,0,0,1351,0,0,0,1843,0,0,0,49,0,0,0,12618045922210261193,7852752227183292210,7852752227183292210,11973905092816812718,12576101649022626132,9592199591424179005,0,0,0,0,0,0,0,0,0,0,0
15,50,6890,8,10,0.314346,21918.55,0.155926,44187.54,0.099105,69522.51,0.131786,52281.81,0.178782,38538.57,0.133221,51718.62,0.242937,28361.21,0.323265,0.051573,0.102971,0.133221,0.611031,0.077642,11,795923,892608,5187635,3014,0,0,0,3995,0,0,0,2315,0,0,0,1380,0,0,0,1875,0,0,0,37,0,0,0,9219822392993144725,2636181409949474495,2636181409949474495,10611809272475750126,6658909036020809884,825280993416880153,0,0,0,0,0,0,0,0,0,0,0
16,50,6469,8,10,0.309508,20900.94,0.127988,50543.62,0.110946,58307.50,0.140030,46197.31,0.157419,41094.19,0.129865,49813.44,0.199762,32383.49,0.307766,0.054340,0.126043,0.129865,0.618013,0.068178,8,812176,830696,4601626,2335,0,0,0,4796,0,0,0,3596,0,0,0,1731,0,0,0,2319,0,0,0,40,0,0,0,6113891984371224807,5768546498955745867,5768546498955745867,4590080715384214984,4565599744445001689,9184076520727837032,0,0,0,0,0,0,0,0,0,0,0
17,50,6947,8,10,0.349773,19861.48,0.159962,43428.96,0.139281,49877.60,0.164528,42223.92,0.190687,36431.46,0.149219,46555.88,0.232822,29838.19,0.360832,0.058861,0.125141,0.149219,0.694052,0.081278,9,953644,977399,4372449,3274,0,0,0,5802,0,0,0,3875,0,0,0,1949,0,0,0,2220,0,0,0,50,0,0,0,6200538046426327374,6611429770126531735,6611429770126531735,15756527402633237672,1602222163218466752,16261653276260860630,0,0,0,0,0,0,0,0,0,0,0
18,50,7262,8,10,0.323228,22467.09,0.140708,51610.49,0.117475,61817.56,0.156878,46290.83,0.170135,42683.66,0.142218,51062.50,0.222260,32673.48,0.331977,0.056723,0.124374,0.142218,0.655291,0.086389,8,875200,973270,4618309,3023,0,0,0,5055,0,0,0,3381,0,0,0,1621,0,0,0,2422,0,0,0,41,0,0,0,1719230914330446572,7338553736995356832,7338553736995356832,1689668092540040035,14034934788604672538,11011360296261188301,0,0,0,0,0,0,0,0,0,0,0
19,50,6822,8,10,0.326463,20896.68,0.151636,44989.35,0.108986,62595.46,0.134296,50798.25,0.179527,37999.89,0.135936,50185.34,0.223320,30548.07,0.332008,0.053830,0.125850,0.135936,0.647624,0.076690,7,820755,852420,4639402,2443,0,0,0,4302,0,0,0,3228,0,0,0,1572,0,0,0,1942,0,0,0,36,0,0,0,7390305090231408169,12523887341519338538,12523887341519338538,14712590800957317494,1719017748568848276,8262834548135544852,0,0,0,0,0,0,0,0,0,0,0
20,50,6743,8,10,0.302574,22285.47,0.139729,48257.60,0.112675,59844.69,0.139188,48445.14,0.165027,40859.97,0.156292,43143.63,0.223350,30190.23,0.310162,0.051059,0.111768,0.156292,0.629281,0.075744,8,782882,853577,5401999,2783,0,0,0,4753,0,0,0,3026,0,0,0,1344,0,0,0,1422,0,0,0,34,0,0,0,10675810131418450145,14163319405225790863,14163319405225790863,2982253725782375372,15764819828150705624,1004125227120135968,0,0,0,0,0,0,0,0,0,0,1
21,50,7482,8,10,0.340526,21971.89,0.172437,43389.88,0.118271,63261.33,0.143891,51997.82,0.201405,37149.12,0.141179,52996.47,0.259673,28813.16,0.349559,0.054473,0.122395,0.141179,0.667606,0.085345,8,830902,906167,4790204,3415,0,0,0,5030,0,0,0,3240,0,0,0,1504,0,0,0,2010,0,0,0,21,0,0,0,8941308682438635214,8194750486155864507,8194750486155864507,8716470627072898339,9223389274585035539,15134393612139663959,0,0,0,0,0,0,0,0,0,0,0
22,50,7153,8,10,0.323217,22130.62,0.163426,43769.16,0.119559,59828.25,0.141406,50584.91,0.185213,38620.39,0.135478,52798.26,0.229124,31218.85,0.332573,0.053826,0.116707,0.135478,0.638583,0.081177,9,852917,892567,4349919,2899,0,0,0,5164,0,0,0,3072,0,0,0,1415,0,0,0,1955,0,0,0,25,0,0,0,100060859540698607,3317519467624933859,3317519467624933859,18000279462766266172,5684673731624005954,11140106191402922735,0,0,0,0,0,0,0,0,0,0,0
23,50,7259,8,10,0.304653,23827.09,0.143189,50695.18,0.115545,62824.27,0.152306,47660.64,0.174534,41590.84,0.140243,51760.21,0.258321,28100.70,0.314244,0.057020,0.123550,0.140243,0.635057,0.087466,8,885978,1031438,4558378,4746,0,0,0,6961,0,0,0,2998,0,0,0,1509,0,0,0,1866,0,0,0,58,0,0,0,15777292221038225621,9453527991519317553,9453527991519317553,478481264602900567,6898546774220079937,1367270703432970103,0,0,0,0,0,0,0,0,0,0,0
24,50,6930,8,10,0.323605,21414.98,0.158855,43624.73,0.109937,63035.89,0.143744,48210.73,0.184220,37618.17,0.138820,49920.65,0.245921,28179.77,0.331843,0.058233,0.130111,0.138820,0.659007,0.077112,9,895823,950888,4333400,2837,0,0,0,4640,0,0,0,3269,0,0,0,1442,0,0,0,1933,0,0,0,33,0,0,0,5155572642818747549,11694762764035386084,11694762764035386084,18292248790973321635,3983893562579522619,9899506278281521817,0,0,0,0,0,0,0,0,0,0,0
25,50,6250,8,10,0.296409,21085.74,0.138688,45065.23,0.101937,61312.48,0.128325,48704.52,0.168333,37128.86,0.131280,47608.34,0.213149,29322.24,0.304850,0.051034,0.115133,0.131280,0.602296,0.062167,10,821857,848397,4509088,2344,0,0,0,4056,0,0,0,3232,0,0,0,1336,0,0,0,1552,0,0,0,26,0,0,0,12592887473049734152,12774382332175390616,12774382332175390616,1451326123909379137,5663133467014206370,362116686982873950,0,0,0,0,0,0,0,0,0,0,0
26,50,7357,8,10,0.332600,22119.68,0.142366,51676.66,0.118815,61919.81,0.152493,48244.81,0.172255,42709.98,0.136664,53832.77,0.239737,30687.84,0.341289,0.054598,0.116392,0.136664,0.648943,0.108816,11,887198,976833,5071675,3916,0,0,0,5644,0,0,0,3878,0,0,0,1931,0,0,0,2021,0,0,0,58,0,0,0,11091288698822173898,3721254213093576490,3721254213093576490,10046108298318918491,17397715680306741808,14769518310685848243,0,0,0,0,0,0,0,0,0,0,0
27,50,7093,8,10,0.324115,21884.18,0.147996,47926.95,0.121591,58334.72,0.151214,46907.12,0.184066,38535.13,0.146572,48392.53,0.233444,30384.18,0.329869,0.055964,0.121922,0.146572,0.654327,0.079272,9,871827,913822,4521266,3003,0,0,0,4962,0,0,0,3735,0,0,0,1902,0,0,0,2351,0,0,0,29,0,0,0,16628032828667729865,7440080604536662053,7440080604536662053,10827257497194043745,13041212714178245785,13384118628001153363,0,0,0,0,0,0,0,0,0,0,0
28,50,6667,8,10,0.344983,19325.60,0.174828,38134.70,0.142447,46803.40,0.173140,38506.39,0.208261,32012.78,0.152822,43626.02,0.251791,26478.30,0.357495,0.055742,0.124089,0.152822,0.690148,0.072765,9,926144,953279,4341515,4134,0,0,0,7224,0,0,0,3837,0,0,0,2375,0,0,0,2358,0,0,0,55,0,0,0,13076778949288411869,1370563419460522863,1370563419460522863,5551823867099886366,8031364515592521835,9556569538821390391,0,0,0,0,0,0,0,0,0,0,0
29,50,7443,8,10,0.411023,18108.46,0.208816,35643.76,0.135922,54759.20,0.154445,48192.03,0.234658,31718.55,0.138658,53678.78,0.310655,23959.04,0.419797,0.060252,0.134405,0.138658,0.753113,0.089104,8,973915,1089525,4703638,3542,0,0,0,5246,0,0,0,3812,0,0,0,2002,0,0,0,2730,0,0,0,38,0,0,0,6408645780521089803,16446096047995374360,16446096047995374360,17899443030246102882,1869495169597233591,11590769111889937374,0,0,0,0,0,0,0,0,0,0,0
30,50,6455,8,10,0.327660,19700.28,0.158219,40797.92,0.135699,47568.54,0.163195,39553.87,0.186351,34638.94,0.153088,42165.37,0.229775,28092.72,0.337612,0.057052,0.122777,0.153088,0.670529,0.072403,9,897809,919249,4356426,2895,0,0,0,5906,0,0,0,2968,0,0,0,1711,0,0,0,1950,0,0,0,27,0,0,0,14751555298555475688,10166451020182860005,10166451020182860005,11432108134493883344,12185701086185473975,2896212579877125204,0,0,0,0,0,0,0,0,0,0,0
31,50,6933,8,10,0.318497,21767.87,0.153526,45158.40,0.123956,55931.04,0.147988,46848.49,0.179012,38729.18,0.138155,50182.72,0.222110,31214.31,0.326199,0.053423,0.132835,0.138155,0.650612,0.073729,7,828961,897261,4087245,2933,0,0,0,5182,0,0,0,3983,0,0,0,2041,0,0,0,2247,0,0,0,38,0,0,0,1956321544930554684,12841885035201252619,12841885035201252619,14410936663386420518,2276116063298061250,16700316408786104591,0,0,0,0,0,0,0,0,0,0,0
