batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,50,6989,8,10,0.560646,12465.98,0.245075,28517.81,0.171425,40769.90,0.150184,46536.19,0.238614,29290.00,0.205196,34060.09,0.369876,18895.53,0.562391,0.059465,0.086370,0.205196,0.913422,0.100554,35,717531,812411,4866580,4225,0,0,0,6797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350018457966453032,2350018457966453032,2350018457966453032,14141728738370052035,14141728738370052035,14141728738370052035,0,0,0,0,0,0,0,0,0,0,0
1,50,6690,8,10,0.584276,11450.07,0.273152,24491.88,0.177871,37611.59,0.154739,43234.13,0.263818,25358.41,0.221027,30267.75,0.380547,17579.98,0.588904,0.055800,0.073926,0.221027,0.939657,0.090686,31,728419,780269,4772744,3466,0,0,0,6697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8785099674039504287,8785099674039504287,8785099674039504287,5227599102374643357,5227599102374643357,5227599102374643357,0,0,0,0,0,0,0,0,0,0,0
2,50,7072,8,10,0.638100,11082.89,0.298210,23714.85,0.168373,42001.87,0.140777,50235.42,0.280844,25181.25,0.242694,29139.61,0.405082,17458.20,0.634191,0.061228,0.081305,0.242694,1.019419,0.097039,32,741468,818348,4892640,4101,0,0,0,5598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8194106616253099690,8194106616253099690,8194106616253099690,11849158330551750894,11849158330551750894,11849158330551750894,0,0,0,0,0,0,0,0,0,0,0
3,50,7481,8,10,0.617920,12106.74,0.260064,28765.99,0.160741,46540.73,0.143134,52265.54,0.244583,30586.81,0.222670,33596.81,0.401722,18622.35,0.617691,0.049974,0.061003,0.222670,0.951337,0.113597,36,741155,1043030,5081828,5344,0,0,0,7466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16255290218482491724,16255290218482491724,16255290218482491724,9068499689375717678,9068499689375717678,9068499689375717678,0,0,0,0,0,0,0,0,0,0,0
4,50,6855,8,10,0.626681,10938.58,0.292262,23454.95,0.136956,50052.60,0.131387,52174.19,0.275735,24860.85,0.238182,28780.50,0.400817,17102.55,0.630859,0.044209,0.059770,0.238182,0.973020,0.095285,33,706519,746219,4906812,3054,0,0,0,4403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5420783388557551595,5420783388557551595,5420783388557551595,10185916246296414258,10185916246296414258,10185916246296414258,0,0,0,0,0,0,0,0,0,0,0
5,50,7076,8,10,0.567190,12475.55,0.229407,30844.68,0.149161,47438.63,0.125962,56175.72,0.227668,31080.28,0.206165,34322.07,0.337423,20970.71,0.570715,0.044630,0.059718,0.206165,0.881227,0.099481,38,732505,769900,4772880,2893,0,0,0,4739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8987276219614230969,8987276219614230969,8987276219614230969,4899433814838380369,4899433814838380369,4899433814838380369,0,0,0,0,0,0,0,0,0,0,0
6,50,7277,8,10,0.634310,11472.30,0.303783,23954.60,0.152783,47629.75,0.142019,51239.48,0.283087,25705.85,0.240346,30277.18,0.419626,17341.61,0.633576,0.054403,0.069779,0.240346,0.998104,0.104302,32,749835,864000,4958516,4340,0,0,0,5851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8383692892522893201,8383692892522893201,8383692892522893201,11536924081738728681,11536924081738728681,11536924081738728681,0,0,0,0,0,0,0,0,0,0,0
7,50,6624,8,10,0.598787,11062.37,0.290260,22820.93,0.146200,45307.93,0.138379,47868.41,0.276282,23975.53,0.224745,29473.42,0.394130,16806.62,0.617985,0.025669,0.066823,0.224745,0.935222,0.083719,27,711117,776982,4687680,3236,0,0,0,5384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18039994662545522868,18039994662545522868,18039994662545522868,17095299070494194310,17095299070494194310,17095299070494194310,0,0,0,0,0,0,0,0,0,0,0
8,50,7057,8,10,0.529092,13337.96,0.240994,29282.86,0.156578,45070.13,0.152647,46230.83,0.236294,29865.31,0.215166,32797.87,0.361355,19529.28,0.527301,0.049947,0.056727,0.215166,0.849141,0.099036,35,712543,831883,4911652,4715,0,0,0,8251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8950958425298765016,8950958425298765016,8950958425298765016,10944433958774327992,10944433958774327992,10944433958774327992,0,0,0,0,0,0,0,0,0,0,0
9,50,7009,8,10,0.567402,12352.79,0.244778,28634.07,0.150276,46640.75,0.140138,50015.04,0.236397,29649.32,0.216368,32393.94,0.348534,20109.96,0.570154,0.045576,0.056561,0.216368,0.888659,0.098354,39,715332,774907,4863876,2957,0,0,0,5153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581928787806602405,581928787806602405,581928787806602405,1831328005320206476,1831328005320206476,1831328005320206476,0,0,0,0,0,0,0,0,0,0,0
