batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,20,3581,8,10,0.166898,21456.20,0.078097,45853.38,0.071958,49765.08,0.087893,40742.68,0.095138,37639.95,0.085375,41944.41,0.124412,28783.45,0.165191,0.027973,0.059143,0.085375,0.337682,0.050141,4,419843,452253,2019539,2067,0,0,0,3715,0,0,0,1824,0,0,0,977,0,0,0,1177,0,0,0,38,0,0,0,17554680179821975904,480799813751158280,480799813751158280,641202001546944654,12688273350801195948,8904724039637564371,0,0,0,0,0,0,0,0,0,0,0
1,20,3457,8,10,0.316527,10921.65,0.119448,28941.40,0.080973,42693.15,0.096678,35757.83,0.135541,25505.22,0.099954,34586.01,0.174355,19827.35,0.230166,0.030642,0.060621,0.099954,0.421383,0.050177,5,468832,504312,1898021,2301,0,0,0,3349,0,0,0,1630,0,0,0,973,0,0,0,1241,0,0,0,54,0,0,0,13115029974119982373,6992143374556064064,6992143374556064064,9652185741122260577,14231027933126284018,2344750491864441786,0,0,0,0,0,0,0,0,0,0,0
2,20,3457,8,10,0.154196,22419.55,0.074066,46674.79,0.069392,49818.51,0.083014,41643.66,0.092874,37222.37,0.080824,42772.00,0.120495,28690.00,0.169599,0.022790,0.054219,0.080824,0.327432,0.048614,5,427468,483298,1780166,2648,0,0,0,3876,0,0,0,1549,0,0,0,920,0,0,0,1042,0,0,0,47,0,0,0,12255549477380423524,17347824269425375614,17347824269425375614,17230975503633110027,15820938819386175480,5187625965851066843,0,0,0,0,0,0,0,0,0,0,0
3,20,3344,8,10,0.168681,19824.43,0.078389,42659.22,0.074494,44889.79,0.084266,39683.76,0.092983,35963.65,0.080847,41361.91,0.113800,29384.96,0.172460,0.028513,0.056410,0.080847,0.338230,0.046001,4,421828,447848,1943196,2245,0,0,0,3443,0,0,0,1566,0,0,0,1019,0,0,0,1238,0,0,0,40,0,0,0,10647510117482847531,9643151559139622403,9643151559139622403,1721246989472889240,15747531591362458350,18444476202709340042,0,0,0,0,0,0,0,0,0,0,0
4,20,4233,8,10,0.179879,23532.44,0.090459,46794.54,0.075315,56203.99,0.095511,44319.54,0.114148,37083.50,0.090061,47001.65,0.213299,19845.42,0.184771,0.028938,0.051694,0.090061,0.355464,0.070545,5,450605,1411600,2058184,2560,0,0,0,3639,0,0,0,1692,0,0,0,1063,0,0,0,1209,0,0,0,40,0,0,0,4391353852542060984,12923800895606048518,12923800895606048518,8354617998789030081,7243640793950575312,15025832214897285778,0,0,0,0,0,0,0,0,0,0,0
5,20,3365,8,10,0.162508,20706.73,0.086787,38773.12,0.073207,45965.76,0.089473,37609.20,0.100001,33649.61,0.084930,39620.96,0.120528,27918.86,0.166003,0.027223,0.048440,0.084930,0.326595,0.042906,7,392078,415688,1838065,2207,0,0,0,3962,0,0,0,1861,0,0,0,1004,0,0,0,1242,0,0,0,42,0,0,0,12184275449070674345,8846048098463005458,8846048098463005458,17755835961529833940,15457245945039141898,388871303103193138,0,0,0,0,0,0,0,0,0,0,0
6,20,3707,8,10,0.183890,20158.79,0.085397,43409.00,0.079552,46598.17,0.096031,38602.08,0.104708,35403.31,0.087967,42140.67,0.127799,29006.46,0.196840,0.024397,0.063901,0.087967,0.373105,0.060076,4,454438,488193,1808130,2399,0,0,0,3647,0,0,0,1790,0,0,0,1098,0,0,0,1225,0,0,0,49,0,0,0,5951870978562727527,1677888431700693894,1677888431700693894,4309133730144030349,14574078912953234478,16972685285191657257,0,0,0,0,0,0,0,0,0,0,0
7,20,3460,8,10,0.166115,20828.91,0.081445,42482.64,0.068429,50563.35,0.087562,39514.99,0.097399,35523.96,0.117580,29426.69,0.122189,28316.85,0.169598,0.028481,0.057024,0.117580,0.372684,0.053770,3,409395,437370,1738390,2198,0,0,0,3495,0,0,0,1490,0,0,0,956,0,0,0,796,0,0,0,19,0,0,0,4449137134751985120,10580372433126110944,10580372433126110944,6768876252126085456,7169910725582517635,10726696848524084555,0,0,0,0,0,0,0,0,0,0,1
8,20,3436,8,10,0.194672,17650.19,0.091018,37750.62,0.070457,48767.66,0.084293,40762.79,0.106929,32133.46,0.083936,40935.92,0.143375,23965.16,0.197614,0.027424,0.052922,0.083936,0.361895,0.048318,5,436441,466401,1930403,1998,0,0,0,3052,0,0,0,1629,0,0,0,1052,0,0,0,1208,0,0,0,55,0,0,0,1206229753922581163,15841357949867770487,15841357949867770487,1739032293593949591,17837728723513825936,6721447379207450100,0,0,0,0,0,0,0,0,0,0,0
9,20,3280,8,10,0.163694,20037.42,0.075618,43376.09,0.060637,54092.44,0.076960,42619.50,0.086495,37921.44,0.106687,30744.02,0.120259,27274.53,0.167632,0.026260,0.052804,0.106687,0.353383,0.043511,4,413282,444487,1730612,1920,0,0,0,2852,0,0,0,1420,0,0,0,895,0,0,0,793,0,0,0,23,0,0,0,4114368917043024431,16449314270858123450,16449314270858123450,7350411514777739781,12171745133244066541,5801097663065256578,0,0,0,0,0,0,0,0,0,0,1
10,20,3593,8,10,0.210327,17082.89,0.110391,32548.00,0.084067,42739.69,0.094180,38150.34,0.120693,29769.64,0.084088,42729.24,0.159114,22581.23,0.218170,0.025901,0.057832,0.084088,0.385990,0.054544,4,458839,503899,1821748,2582,0,0,0,3889,0,0,0,1793,0,0,0,1207,0,0,0,1274,0,0,0,27,0,0,0,2087100032741499801,9005287658510520396,9005287658510520396,4728582652714790274,5610811387461677805,10123808591758773903,0,0,0,0,0,0,0,0,0,0,0
11,20,3328,8,10,0.292211,11389.03,0.211005,15772.14,0.165723,20081.74,0.167338,19887.93,0.216138,15397.57,0.194238,17133.59,0.233769,14236.26,0.297378,0.025545,0.051599,0.194238,0.568760,0.043255,4,410822,438957,1710163,2965,0,0,0,2640,0,0,0,2145,0,0,0,1319,0,0,0,1359,0,0,0,33,0,0,0,3526761533511934135,8106669421731761474,8106669421731761474,8435991631074633472,9569852932217449035,2922908254579125512,0,0,0,0,0,0,0,0,0,0,0
12,20,3566,8,10,0.193800,18400.42,0.108628,32827.73,0.089478,39853.30,0.101223,35229.09,0.118795,30018.07,0.109440,32584.14,0.145215,24556.72,0.199222,0.027794,0.045590,0.109440,0.382046,0.049539,10,428815,463275,1811990,3013,0,0,0,4364,0,0,0,2031,0,0,0,1379,0,0,0,1349,0,0,0,37,0,0,0,17786658914620801354,5061741357694800771,5061741357694800771,2120707514899815619,1982111925713217857,884562640162405665,0,0,0,0,0,0,0,0,0,0,0
13,20,3215,8,10,0.161116,19954.61,0.081167,39609.62,0.074003,43444.29,0.093296,34460.04,0.102645,31321.57,0.087223,36859.40,0.118466,27138.57,0.164535,0.025175,0.047787,0.087223,0.324720,0.040505,4,378918,407118,1663264,2347,0,0,0,3710,0,0,0,1633,0,0,0,1043,0,0,0,1213,0,0,0,29,0,0,0,5019244025158648483,15978701169237245928,15978701169237245928,5875099138289926329,11076104011148778787,10541113339581166017,0,0,0,0,0,0,0,0,0,0,0
14,20,3618,8,10,0.248125,14581.36,0.122372,29565.55,0.092718,39021.37,0.094600,38245.43,0.137308,26349.58,0.099278,36443.18,0.187927,19252.11,0.254808,0.031652,0.067986,0.099278,0.453723,0.057544,4,508577,538517,1748593,2296,0,0,0,3920,0,0,0,1848,0,0,0,1145,0,0,0,1214,0,0,0,37,0,0,0,16331047323442845208,3379477461563274681,3379477461563274681,16033827295469374797,14685664524479741151,12747266821300679473,0,0,0,0,0,0,0,0,0,0,0
