batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups,par_fallbacks,concat_fallbacks,integ_fallbacks
0,100,18072,20000,4.073697,1.688775,1.340352,2.006404,3.993154,0.139659,0.324813,10707,5403,20,0,0,0
1,100,17248,20000,3.879654,1.602025,1.295974,1.643326,3.907079,0.092499,0.298042,9737,4732,19,0,0,2
2,100,17320,20000,4.235990,1.938388,1.485839,1.561292,4.236378,0.134965,0.342304,11849,6103,19,0,0,0
3,100,17430,20000,3.939342,1.729824,1.433370,1.492097,3.939960,0.136257,0.294184,11381,5659,19,0,0,0
4,100,17481,20000,4.093090,1.722461,2.682579,1.461887,4.076085,0.136809,0.315377,10769,6155,20,0,1,0
5,100,16498,20000,3.830367,1.624039,1.342437,1.364334,3.848071,0.117424,0.332064,10062,5730,17,0,0,0
6,100,16403,20000,3.894573,1.644656,1.270350,1.435644,3.916300,0.145331,0.314026,9905,5512,18,0,0,0
7,100,17219,20000,3.874532,1.643518,1.367135,1.492740,3.876832,0.123472,0.292397,11135,5973,20,0,0,0
8,100,16400,20000,3.797815,1.576280,1.279181,1.343882,3.813378,0.119827,0.274958,9855,5342,19,0,0,0
9,100,16675,20000,3.861162,1.618314,1.323328,1.414704,3.918926,0.084082,0.281467,9951,5198,19,0,0,0
10,100,17175,20000,3.748640,1.563236,1.337995,1.431358,3.762045,0.125649,0.297420,10027,5977,18,0,0,0
11,100,17921,20000,3.775687,1.588139,1.279545,1.395872,3.795847,0.122429,0.287126,10413,5372,19,0,0,0
12,100,16987,20000,3.833522,1.543196,1.285415,1.386971,3.838446,0.100333,0.307693,9525,4927,18,0,0,0
13,100,15859,20000,4.292929,1.851108,1.412979,1.647519,4.297530,0.148849,0.347363,8023,5381,18,0,0,0
14,100,16527,20000,4.192560,1.608987,1.200997,1.274652,4.198805,0.104487,0.299210,8867,5190,19,0,0,0
15,100,17001,20000,4.150348,1.544259,1.160276,1.227358,4.155830,0.129393,0.314043,9631,5037,18,0,0,0
16,100,16078,20000,4.069694,1.582667,1.259103,1.288888,4.102486,0.115787,0.301730,8220,5422,17,0,0,0
17,100,16639,20000,4.362730,1.501474,1.093145,1.238898,4.423124,0.072898,0.310834,8038,5796,19,0,0,0
18,100,16464,20000,3.876152,1.569691,1.258035,1.269959,3.881079,0.132901,0.303442,9287,5310,20,0,0,0
19,100,15786,20000,4.264088,1.710606,1.167238,1.255742,4.279107,0.148704,0.300626,7823,4600,19,0,0,0
