batch_idx,num_blocks,num_txs,delay_ns,seq_time_s,par_time_s,concat_time_s,integrated_time_s,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,par_re_exec,integ_re_exec,num_integrated_groups,par_fallbacks,concat_fallbacks,integ_fallbacks
0,100,18072,50000,8.636197,3.853421,3.014300,5.849243,8.575123,0.122684,0.252904,13755,4182,70,0,0,1
1,100,17248,50000,8.323674,3.592714,2.795671,3.286484,8.329941,0.105242,0.233627,12982,4276,74,0,0,0
2,100,17320,50000,8.899183,4.344855,3.130579,3.847307,8.907237,0.138690,0.215596,14409,4585,81,0,0,0
3,100,17430,50000,8.456793,3.928908,3.113596,3.502561,8.444777,0.126808,0.218419,14387,4561,83,0,0,0
4,100,17481,50000,8.533479,3.891047,4.955648,3.407615,8.578007,0.097702,0.241108,13651,5260,69,0,1,0
5,100,16498,50000,8.191448,3.723364,3.027423,3.382705,8.238259,0.084985,0.251064,12663,5232,70,0,0,0
6,100,16403,50000,8.218754,3.772999,2.910773,3.405432,8.219092,0.145772,0.241230,11999,4400,71,0,0,0
7,100,17219,50000,8.231694,3.759677,3.087916,3.385289,8.240903,0.114639,0.226438,13542,4395,77,0,0,0
8,100,16400,50000,8.083521,3.597149,3.033912,3.103607,8.105232,0.094717,0.250301,12065,4534,69,0,0,0
9,100,16675,50000,8.200812,3.709013,2.952380,3.219814,8.192670,0.126922,0.249024,12357,4307,67,0,0,0
10,100,17175,50000,7.999277,3.597479,3.025570,3.221549,7.985426,0.123246,0.199836,12252,4063,87,0,0,0
11,100,17921,50000,8.077778,3.654161,2.857461,3.210572,8.087298,0.108331,0.222408,14476,4149,79,0,0,0
12,100,16987,50000,8.089561,3.524405,2.930821,3.125921,8.138076,0.092911,0.225868,12426,4022,78,0,0,0
13,100,15859,50000,9.126554,4.238410,3.005892,3.879112,9.171658,0.102416,0.263512,11204,4440,70,0,0,0
14,100,16527,50000,8.351702,3.404681,2.677598,2.970991,8.355498,0.102042,0.230822,11656,3927,72,0,0,0
15,100,17001,50000,8.286137,3.421927,2.512009,2.913028,8.315890,0.099377,0.255046,14021,3934,70,0,0,0
16,100,16078,50000,8.133569,3.422092,2.894224,3.025769,8.171127,0.100110,0.222147,11688,4090,74,0,0,0
17,100,16639,50000,8.741272,3.202554,2.267321,2.680749,8.722951,0.143281,0.280041,12599,5048,53,0,0,0
18,100,16464,50000,7.967985,3.489898,2.877196,2.976850,8.008594,0.097876,0.238226,12363,4086,69,0,0,0
19,100,15786,50000,8.467560,3.695570,2.657614,2.937112,8.465853,0.155423,0.248082,11073,3433,67,0,0,0
