batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,50,5000,4,10,0.509345,9816.53,0.247828,20175.30,0.218820,22849.79,0.160830,31088.72,0.243993,20492.40,0.242139,20649.26,0.406698,12294.12,0.514766,0.036204,0.037484,0.242139,0.830593,0.046068,50,402675,587830,1844000,6462,0,0,0,7822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13641141229128051143,13641141229128051143,13641141229128051143,3589283713411336017,3589283713411336017,3589283713411336017,0,0,0,0,0,0,0,0,0,0,0
1,50,5000,4,10,0.509629,9811.05,0.248499,20120.79,0.216586,23085.50,0.158245,31596.66,0.245156,20395.16,0.245000,20408.13,0.401512,12452.93,0.513824,0.029936,0.028436,0.245000,0.817197,0.045520,50,402739,587839,1844000,6647,0,0,0,7843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7034283415103824615,7034283415103824615,7034283415103824615,374170910217866393,374170910217866393,374170910217866393,0,0,0,0,0,0,0,0,0,0,0
2,50,5000,4,10,0.505198,9897.11,0.248401,20128.73,0.221727,22550.29,0.156568,31934.99,0.241717,20685.32,0.241079,20740.10,0.399163,12526.22,0.512608,0.029841,0.025770,0.241079,0.809297,0.045471,50,402923,587973,1844000,6409,0,0,0,7769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15211376041587336879,15211376041587336879,15211376041587336879,15436130223871787609,15436130223871787609,15436130223871787609,0,0,0,0,0,0,0,0,0,0,0
3,50,5000,4,10,0.508024,9842.05,0.247646,20190.12,0.217433,22995.54,0.155548,32144.43,0.242982,20577.64,0.241793,20678.84,0.401354,12457.82,0.520245,0.028966,0.030543,0.241793,0.821547,0.045100,50,402939,587999,1844000,6506,0,0,0,7482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17418406047253379780,17418406047253379780,17418406047253379780,13735535257590012127,13735535257590012127,13735535257590012127,0,0,0,0,0,0,0,0,0,0,0
4,50,5000,4,10,0.507237,9857.32,0.246425,20290.14,0.214297,23332.15,0.163930,30500.88,0.241877,20671.67,0.242183,20645.52,0.398748,12539.24,0.516011,0.028301,0.025651,0.242183,0.812145,0.045380,50,402860,587985,1844000,6431,0,0,0,7695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11134625433567728490,11134625433567728490,11134625433567728490,16953022887741778270,16953022887741778270,16953022887741778270,0,0,0,0,0,0,0,0,0,0,0
5,50,5000,4,10,0.507222,9857.62,0.244516,20448.54,0.212145,23568.78,0.159391,31369.45,0.242123,20650.63,0.241470,20706.48,0.399927,12502.27,0.519222,0.024946,0.025104,0.241470,0.810743,0.045491,50,402712,587857,1844000,6280,0,0,0,7732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6402965729144793096,6402965729144793096,6402965729144793096,5078457174922317730,5078457174922317730,5078457174922317730,0,0,0,0,0,0,0,0,0,0,0
6,50,5000,4,10,0.507237,9857.32,0.247518,20200.54,0.212156,23567.53,0.156204,32009.43,0.243055,20571.45,0.242403,20626.78,0.398908,12534.21,0.518430,0.025332,0.024904,0.242403,0.811069,0.045399,50,402850,587920,1844000,6278,0,0,0,7809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337101821340448980,337101821340448980,337101821340448980,3893679211625016073,3893679211625016073,3893679211625016073,0,0,0,0,0,0,0,0,0,0,0
7,50,5000,4,10,0.505623,9888.79,0.245743,20346.45,0.214326,23328.91,0.157542,31737.58,0.242005,20660.71,0.242496,20618.92,0.398294,12553.55,0.512841,0.034819,0.030934,0.242496,0.821090,0.045555,50,402777,587847,1844000,6572,0,0,0,7627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13630440397360365421,13630440397360365421,13630440397360365421,16267969217219433459,16267969217219433459,16267969217219433459,0,0,0,0,0,0,0,0,0,0,0
8,50,5000,4,10,0.506912,9863.64,0.248856,20091.93,0.214921,23264.41,0.159370,31373.47,0.241299,20721.19,0.241290,20721.92,0.398737,12539.59,0.514126,0.029776,0.025165,0.241290,0.810357,0.045287,50,402920,587970,1844000,6541,0,0,0,7913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9628806605411111761,9628806605411111761,9628806605411111761,4671795138359083616,4671795138359083616,4671795138359083616,0,0,0,0,0,0,0,0,0,0,0
9,50,5000,4,10,0.508525,9832.35,0.245379,20376.61,0.210227,23783.84,0.154249,32415.03,0.241704,20686.44,0.242037,20658.00,0.400614,12480.83,0.515065,0.026575,0.024976,0.242037,0.808653,0.045418,50,402864,587969,1844000,6408,0,0,0,7692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15353312004013017680,15353312004013017680,15353312004013017680,12800860872598806442,12800860872598806442,12800860872598806442,0,0,0,0,0,0,0,0,0,0,0
