batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,100,18072,4,10,0.996305,18139.02,0.464128,38937.55,0.421706,42854.47,0.462537,39071.47,0.519080,34815.47,0.435965,41452.90,0.739656,24432.98,0.893852,0.143549,0.284885,0.435965,1.758251,0.257043,35,2131102,3240912,9699106,6633,0,0,0,6740,0,0,0,6254,0,0,0,4742,0,0,0,4720,0,0,0,221,0,0,0,1430532967664384526,12413065869334957254,12413065869334957254,1461490428528529658,9554576278227185688,16166866146743104358,0,0,0,0,0,0,0,0,0,0,0
1,100,17248,4,10,0.867840,19874.62,0.443869,38858.34,0.393566,43824.90,0.453119,38065.05,0.502424,34329.60,0.428232,40277.25,0.654988,26333.30,0.875114,0.138811,0.227350,0.428232,1.669507,0.243665,41,2059739,2205004,9045600,5633,0,0,0,6032,0,0,0,6106,0,0,0,4743,0,0,0,4836,0,0,0,204,0,0,0,4130579488724180108,10428086648867717756,10428086648867717756,992257602238164445,18338984195942868031,10001545694717847885,0,0,0,0,0,0,0,0,0,0,0
2,100,17320,4,10,1.087992,15919.23,0.654804,26450.68,0.540223,32060.84,0.564166,30700.18,0.693849,24962.20,0.546182,31711.07,0.861226,20110.86,1.110683,0.137375,0.261925,0.546182,2.056164,0.241802,31,2149625,2314675,8755758,7172,0,0,0,7245,0,0,0,6201,0,0,0,5467,0,0,0,5492,0,0,0,189,0,0,0,7898889672829380152,13739408183138436041,13739408183138436041,12172058767698627269,6082242696805422100,9848535875795032510,0,0,0,0,0,0,0,0,0,0,0
3,100,17430,4,10,0.895270,19468.99,0.483960,36015.39,0.429166,40613.63,0.471322,36981.06,0.520343,33497.12,0.442694,39372.59,0.684845,25451.01,0.898438,0.138950,0.217234,0.442694,1.697317,0.241429,51,2121241,2296546,7997905,6706,0,0,0,7595,0,0,0,6610,0,0,0,5305,0,0,0,5010,0,0,0,257,0,0,0,9211652975767646501,13063786808960319444,13063786808960319444,6737284926146220251,7985191887972660211,15619100615596586961,0,0,0,0,0,0,0,0,0,0,0
4,100,17481,4,10,0.999154,17495.81,0.566477,30859.18,1.091202,16019.94,1.118722,15625.86,0.615801,28387.41,0.503905,34691.04,0.768018,22761.20,1.004720,0.132895,0.228511,0.503905,1.870031,0.243574,36,2085909,2241304,8501489,6047,0,0,0,0,0,0,0,0,0,0,0,4972,0,0,0,4721,0,0,0,252,0,0,0,12131714585237044430,4038005661376506925,12131714585237044430,9622113061257539236,1896266682480615756,15292687672863287833,0,0,0,0,0,0,0,1,1,0,0
5,100,16498,4,10,0.902067,18289.11,0.487194,33863.30,0.421149,39173.79,0.464233,35538.20,0.541063,30491.80,0.418201,39449.92,0.669522,24641.47,0.909514,0.129924,0.252257,0.418201,1.709896,0.210124,29,1989330,2099795,8771725,6109,0,0,0,6858,0,0,0,6639,0,0,0,5234,0,0,0,5026,0,0,0,213,0,0,0,124904962644781975,9743398882811414120,9743398882811414120,4529552303737285659,1354250431093615054,83862109412190468,0,0,0,0,0,0,0,0,0,0,0
6,100,16403,4,10,0.927276,17689.45,0.502567,32638.46,0.412733,39742.43,0.466974,35126.16,0.546855,29995.17,0.435196,37691.03,0.707906,23171.16,0.952099,0.133716,0.271113,0.435196,1.792125,0.220549,27,1996364,2146014,7947003,5861,0,0,0,6138,0,0,0,6043,0,0,0,4396,0,0,0,4577,0,0,0,209,0,0,0,11061162961821425992,10301620130713651826,10301620130713651826,11369676348735476538,16534631560219436662,2895021414066339196,0,0,0,0,0,0,0,0,0,0,0
7,100,17219,4,10,0.892074,19302.21,0.485028,35501.04,0.414205,41571.18,0.469144,36703.03,0.534742,32200.55,0.427954,40235.60,0.693417,24832.10,0.905453,0.127872,0.234495,0.427954,1.695774,0.231432,32,2059546,2240441,8618595,6344,0,0,0,6584,0,0,0,6665,0,0,0,5065,0,0,0,5039,0,0,0,198,0,0,0,4346904379706324807,13026902075663190717,13026902075663190717,3141527499080803412,819737941537968224,12078405730224226247,0,0,0,0,0,0,0,0,0,0,0
8,100,16400,4,10,0.934054,17557.88,0.509886,32164.04,0.409415,40057.17,0.443731,36959.36,0.555882,29502.69,0.428711,38254.22,0.714568,22950.93,0.940735,0.120069,0.214874,0.428711,1.704388,0.213440,36,1972851,2098376,8632083,5583,0,0,0,5924,0,0,0,5478,0,0,0,4764,0,0,0,4518,0,0,0,166,0,0,0,9066251284379413628,2154059633709946844,2154059633709946844,5578647540093607609,10599094042127103823,5131294450007558655,0,0,0,0,0,0,0,0,0,0,0
9,100,16675,4,10,0.972401,17148.27,0.527030,31639.58,0.440055,37892.95,0.472600,35283.55,0.559346,29811.63,0.448018,37219.48,0.737510,22609.85,0.984496,0.119189,0.221764,0.448018,1.773468,0.224819,36,2066811,2221001,8482509,5772,0,0,0,6692,0,0,0,5941,0,0,0,4514,0,0,0,4361,0,0,0,211,0,0,0,9690714261063681671,15230943299641145650,15230943299641145650,1777303770272914945,7385811889777126899,14357341235718536801,0,0,0,0,0,0,0,0,0,0,0
