batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,50,5000,8,10,9.446880,529.28,3.865550,1293.48,2.198008,2274.79,2.130092,2347.32,3.821212,1308.49,2.445061,2044.94,4.618189,1082.68,9.327324,0.070777,0.052667,2.445061,11.895830,0.045616,22,402675,587830,1844000,8266,0,0,0,17942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18143162673573308949,18143162673573308949,18143162673573308949,13128604412353735499,13128604412353735499,13128604412353735499,0,0,0,0,0,0,0,0,0,0,0
1,50,5000,8,10,9.447046,529.27,3.857613,1296.14,2.137322,2339.38,2.051330,2437.44,3.833678,1304.23,2.363424,2115.58,4.582864,1091.02,9.418079,0.000000,0.043487,2.363424,11.824990,0.045823,28,402739,587839,1844000,8485,0,0,0,19340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5403688428514583957,5403688428514583957,5403688428514583957,3289972223449217883,3289972223449217883,3289972223449217883,0,0,0,0,0,0,0,0,0,0,0
2,50,5000,8,10,9.454502,528.85,3.853432,1297.54,2.236750,2235.39,2.164782,2309.70,3.820888,1308.60,2.301623,2172.38,4.574113,1093.11,9.356424,0.031021,0.037975,2.301623,11.727042,0.045736,25,402923,587973,1844000,8141,0,0,0,19594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1615688022380343049,1615688022380343049,1615688022380343049,17079060616649390684,17079060616649390684,17079060616649390684,0,0,0,0,0,0,0,0,0,0,0
3,50,5000,8,10,9.464519,528.29,3.853020,1297.68,2.203126,2269.50,2.138737,2337.83,3.820996,1308.56,2.383585,2097.68,4.658749,1073.25,9.346510,0.049763,0.043489,2.383585,11.823346,0.046133,24,402939,587999,1844000,8193,0,0,0,20496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850269810473055605,1850269810473055605,1850269810473055605,5968778440824348758,5968778440824348758,5968778440824348758,0,0,0,0,0,0,0,0,0,0,0
4,50,5000,8,10,9.437409,529.81,3.870731,1291.75,2.299482,2174.40,2.267365,2205.20,3.820126,1308.86,2.344615,2132.55,4.623805,1081.36,9.374230,0.016409,0.042299,2.344615,11.777553,0.046334,26,402860,587985,1844000,8181,0,0,0,21324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17194487068970660878,17194487068970660878,17194487068970660878,7671182286567697491,7671182286567697491,7671182286567697491,0,0,0,0,0,0,0,0,0,0,0
5,50,5000,8,10,9.506946,525.93,3.861075,1294.98,2.084982,2398.10,2.025330,2468.73,3.824019,1307.52,2.452281,2038.92,4.610947,1084.38,9.381976,0.000000,0.037442,2.452281,11.871699,0.045867,27,402712,587857,1844000,8301,0,0,0,19765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15462500163875699074,15462500163875699074,15462500163875699074,2842472547478671183,2842472547478671183,2842472547478671183,0,0,0,0,0,0,0,0,0,0,0
6,50,5000,8,10,9.434725,529.96,3.867528,1292.82,2.164789,2309.69,2.100384,2380.52,3.837933,1302.78,2.449196,2041.49,4.561212,1096.20,9.391556,0.010115,0.037826,2.449196,11.888693,0.045987,27,402850,587920,1844000,8141,0,0,0,20759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3358486020629094938,3358486020629094938,3358486020629094938,37592329137670091,37592329137670091,37592329137670091,0,0,0,0,0,0,0,0,0,0,0
7,50,5000,8,10,9.434055,529.99,3.856376,1296.55,2.167575,2306.73,2.085341,2397.69,3.820230,1308.82,2.319914,2155.25,4.680313,1068.30,9.394516,0.000000,0.043728,2.319914,11.758158,0.045520,24,402777,587847,1844000,8449,0,0,0,19045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11698585311286549465,11698585311286549465,11698585311286549465,17269645937795804155,17269645937795804155,17269645937795804155,0,0,0,0,0,0,0,0,0,0,0
8,50,5000,8,10,9.448295,529.20,3.870913,1291.69,2.297274,2176.49,2.220897,2251.34,3.833993,1304.12,2.448932,2041.71,4.689854,1066.13,9.364858,0.025893,0.039005,2.448932,11.878689,0.045584,25,402920,587970,1844000,8261,0,0,0,21406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7347224460957498319,7347224460957498319,7347224460957498319,7635965036831242127,7635965036831242127,7635965036831242127,0,0,0,0,0,0,0,0,0,0,0
9,50,5000,8,10,9.462721,528.39,3.849611,1298.83,2.199758,2272.98,2.123979,2354.07,3.827353,1306.39,2.367041,2112.34,4.566212,1095.00,9.368949,0.020995,0.038520,2.367041,11.795505,0.045733,23,402864,587969,1844000,8076,0,0,0,19599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7605434633283685646,7605434633283685646,7605434633283685646,7887239295837816334,7887239295837816334,7887239295837816334,0,0,0,0,0,0,0,0,0,0,0
10,50,5000,8,10,9.509939,525.77,3.860492,1295.17,2.198499,2274.28,2.131847,2345.38,3.822895,1307.91,2.404830,2079.15,4.692641,1065.50,9.454890,0.013926,0.041451,2.404830,11.915097,0.045375,23,402798,587878,1844000,8291,0,0,0,20464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9404845087436977490,9404845087436977490,9404845087436977490,17635797578341908885,17635797578341908885,17635797578341908885,0,0,0,0,0,0,0,0,0,0,0
11,50,5000,8,10,9.448042,529.21,3.864670,1293.77,2.269211,2203.41,2.203856,2268.75,3.832527,1304.62,2.498295,2001.37,4.691591,1065.74,9.365975,0.010844,0.038663,2.498295,11.913777,0.045320,24,402983,588048,1844000,7985,0,0,0,22119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12175606303290674875,12175606303290674875,12175606303290674875,7772465425431626049,7772465425431626049,7772465425431626049,0,0,0,0,0,0,0,0,0,0,0
12,50,5000,8,10,9.432163,530.10,3.853251,1297.61,2.171809,2302.23,2.111700,2367.76,3.824725,1307.28,2.469688,2024.55,4.695314,1064.89,9.371931,0.018386,0.040173,2.469688,11.900178,0.045272,22,402815,587885,1844000,8310,0,0,0,20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699781832434189815,699781832434189815,699781832434189815,14601615980062010559,14601615980062010559,14601615980062010559,0,0,0,0,0,0,0,0,0,0,0
13,50,5000,8,10,9.440165,529.65,3.856476,1296.52,2.190835,2282.24,2.128099,2349.51,3.822567,1308.02,2.456936,2035.06,4.699701,1063.90,9.356277,0.018589,0.038510,2.456936,11.870311,0.045992,25,402785,587855,1844000,8070,0,0,0,21186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13184706118881329534,13184706118881329534,13184706118881329534,17831213838256064951,17831213838256064951,17831213838256064951,0,0,0,0,0,0,0,0,0,0,0
14,50,5000,8,10,9.461413,528.46,3.862252,1294.58,2.238306,2233.83,2.175547,2298.27,3.820148,1308.85,2.379070,2101.66,4.558806,1096.78,9.356735,0.023427,0.038482,2.379070,11.797715,0.046214,25,402847,587937,1844000,8088,0,0,0,22286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16671174590863895908,16671174590863895908,16671174590863895908,2473410613544874198,2473410613544874198,2473410613544874198,0,0,0,0,0,0,0,0,0,0,0
15,50,5000,8,10,9.576386,522.12,3.849675,1298.81,2.196616,2276.23,2.133068,2344.04,3.827309,1306.40,2.528072,1977.79,4.566873,1094.84,9.484373,0.000000,0.039818,2.528072,12.052262,0.046424,24,402718,587803,1844000,8241,0,0,0,21110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13571826160986114802,13571826160986114802,13571826160986114802,14008966591178774147,14008966591178774147,14008966591178774147,0,0,0,0,0,0,0,0,0,0,0
16,50,5000,8,10,9.538501,524.19,3.837438,1302.95,2.224533,2247.66,2.150513,2325.03,3.820237,1308.82,2.313180,2161.53,4.676110,1069.26,9.527842,0.000000,0.039061,2.313180,11.880084,0.046101,26,402908,587918,1844000,8158,0,0,0,20919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3144284350904731163,3144284350904731163,3144284350904731163,11176966961638010769,11176966961638010769,11176966961638010769,0,0,0,0,0,0,0,0,0,0,0
17,50,5000,8,10,9.431228,530.15,3.862325,1294.56,2.184012,2289.36,2.120612,2357.81,3.833397,1304.33,2.513164,1989.52,4.693892,1065.21,9.354808,0.022907,0.036670,2.513164,11.927547,0.045367,27,402823,587838,1844000,8277,0,0,0,20792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7072185600732014789,7072185600732014789,7072185600732014789,8090357438807382135,8090357438807382135,8090357438807382135,0,0,0,0,0,0,0,0,0,0,0
18,50,5000,8,10,9.473859,527.77,3.856974,1296.35,2.355769,2122.45,2.290002,2183.40,3.823218,1307.80,2.298593,2175.24,4.582009,1091.22,9.411033,0.000000,0.036144,2.298593,11.745770,0.045689,26,402844,587939,1844000,8214,0,0,0,23547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16764350522515107434,16764350522515107434,16764350522515107434,16013924979346301402,16013924979346301402,16013924979346301402,0,0,0,0,0,0,0,0,0,0,0
19,50,5000,8,10,9.481697,527.33,3.867169,1292.94,2.100394,2380.51,2.036760,2454.88,3.823322,1307.76,2.400161,2083.19,4.571911,1093.63,9.413096,0.000000,0.038913,2.400161,11.852170,0.045868,23,402728,587788,1844000,8192,0,0,0,19930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2936164863006006919,2936164863006006919,2936164863006006919,3911501535246268832,3911501535246268832,3911501535246268832,0,0,0,0,0,0,0,0,0,0,0
20,50,5000,8,10,9.575575,522.16,3.851384,1298.23,2.179437,2294.17,2.102422,2378.21,3.822430,1308.07,2.318730,2156.35,4.568138,1094.54,9.462059,0.014761,0.038266,2.318730,11.833816,0.045847,25,402767,587847,1844000,8286,0,0,0,21251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6660861118688305936,6660861118688305936,6660861118688305936,1598923835939039176,1598923835939039176,1598923835939039176,0,0,0,0,0,0,0,0,0,0,0
21,50,5000,8,10,9.474801,527.72,3.843963,1300.74,2.086421,2396.45,2.020595,2474.52,3.822384,1308.08,2.431051,2056.72,4.611180,1084.32,9.386856,0.000000,0.036114,2.431051,11.854020,0.045915,28,402801,587876,1844000,8402,0,0,0,19706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11647304753186201999,11647304753186201999,11647304753186201999,4896014170468462831,4896014170468462831,4896014170468462831,0,0,0,0,0,0,0,0,0,0,0
