batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,100,13679,8,10,1.180893,11583.61,0.544790,25108.78,0.340408,40184.12,0.317544,43077.50,0.521086,26250.95,0.435068,31441.06,0.791419,17284.14,1.201143,0.113896,0.163466,0.435068,1.913573,0.194276,63,1445950,1592680,9639324,7789,0,0,0,13386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11578481481906838678,11578481481906838678,11578481481906838678,6328662595696416304,6328662595696416304,6328662595696416304,0,0,0,0,0,0,0,0,0,0,0
1,100,14553,8,10,1.281313,11357.88,0.570579,25505.67,0.319696,45521.35,0.290248,50139.95,0.535176,27192.92,0.467084,31157.11,0.842877,17265.87,1.301621,0.112633,0.143674,0.467084,2.025012,0.215740,67,1482623,1861378,9974468,9280,0,0,0,13071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2447225625518091681,2447225625518091681,2447225625518091681,1471749092842949350,1471749092842949350,1471749092842949350,0,0,0,0,0,0,0,0,0,0,0
2,100,13931,8,10,1.218252,11435.23,0.544850,25568.51,0.293451,47473.00,0.264007,52767.44,0.521635,26706.41,0.454254,30667.86,0.777838,17909.89,1.231011,0.116296,0.138014,0.454254,1.939575,0.199158,73,1439024,1516119,9679692,5858,0,0,0,9621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11928620308964559272,11928620308964559272,11928620308964559272,1534657115827174617,1534657115827174617,1534657115827174617,0,0,0,0,0,0,0,0,0,0,0
3,100,13901,8,10,1.259834,11034.00,0.614156,22634.32,0.313558,44333.12,0.293022,47440.12,0.574102,24213.45,0.475033,29263.22,0.860327,16157.81,1.275672,0.104016,0.138346,0.475033,1.993067,0.194359,57,1460952,1640982,9646196,7622,0,0,0,10925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3059151294855533196,3059151294855533196,3059151294855533196,16044865441203425245,16044865441203425245,16044865441203425245,0,0,0,0,0,0,0,0,0,0,0
4,100,14066,8,10,1.142831,12308.03,0.502372,27999.18,0.321091,43806.96,0.304045,46262.89,0.488793,28776.98,0.444977,31610.60,0.755898,18608.33,1.151216,0.093875,0.117943,0.444977,1.808011,0.206005,73,1427875,1606790,9775528,7623,0,0,0,13149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2413414823936110217,2413414823936110217,2413414823936110217,8476062780552042722,8476062780552042722,8476062780552042722,0,0,0,0,0,0,0,0,0,0,0
5,100,13375,8,10,1.212943,11026.90,0.554310,24129.11,0.323594,41332.67,0.295681,45234.57,0.522563,25594.98,0.481925,27753.27,0.790614,16917.23,1.229573,0.096856,0.117757,0.481925,1.926111,0.184345,75,1381153,1469548,9500412,6098,0,0,0,10784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8786436575716183375,8786436575716183375,8786436575716183375,4220369488416639941,4220369488416639941,4220369488416639941,0,0,0,0,0,0,0,0,0,0,0
6,100,14060,8,10,1.399897,10043.59,0.755207,18617.41,0.504811,27852.01,0.418118,33626.85,0.692075,20315.72,0.552309,25456.78,1.010749,13910.48,1.427249,0.099451,0.146393,0.552309,2.225402,0.199402,52,1480357,1665267,9881200,8025,0,0,0,10531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16854838862828928362,16854838862828928362,16854838862828928362,9482588877258535913,9482588877258535913,9482588877258535913,0,0,0,0,0,0,0,0,0,0,0
7,100,13097,8,10,1.449048,9038.35,0.851445,15382.09,0.545206,24022.12,0.468968,27927.26,0.812261,16124.13,0.615216,21288.46,1.088172,12035.78,1.459435,0.096270,0.144115,0.615216,2.315037,0.175776,36,1351510,1519625,8844708,6836,0,0,0,4854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18016178696429666066,18016178696429666066,18016178696429666066,16956957993726201005,16956957993726201005,16956957993726201005,0,0,0,0,0,0,0,0,0,0,0
8,100,13416,8,10,1.160527,11560.26,0.497293,26978.06,0.299379,44812.73,0.289953,46269.63,0.488300,27474.89,0.442772,30300.05,0.717197,18706.16,1.186457,0.100995,0.116674,0.442772,1.846896,0.188392,79,1429361,1498576,9679264,5698,0,0,0,10194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5683126752344305919,5683126752344305919,5683126752344305919,2427042124666065436,2427042124666065436,2427042124666065436,0,0,0,0,0,0,0,0,0,0,0
9,100,14084,8,10,1.197022,11765.87,0.501756,28069.41,0.317350,44380.03,0.269058,52345.53,0.463069,30414.46,0.422910,33302.60,0.725825,19404.12,1.222267,0.091795,0.116909,0.422910,1.853881,0.208642,82,1455530,1602185,9799248,6422,0,0,0,9833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14232249309787726981,14232249309787726981,14232249309787726981,12788653381408118036,12788653381408118036,12788653381408118036,0,0,0,0,0,0,0,0,0,0,0
10,100,14225,8,10,1.370348,10380.57,0.689257,20638.17,0.378295,37602.89,0.340953,41721.25,0.665199,21384.59,0.581522,24461.68,0.942208,15097.51,1.376351,0.102801,0.130618,0.581522,2.191291,0.204793,60,1433996,1605731,9672804,7538,0,0,0,7012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996332459043271456,996332459043271456,996332459043271456,14922018283114326200,14922018283114326200,14922018283114326200,0,0,0,0,0,0,0,0,0,0,0
11,100,14412,8,10,1.284126,11223.20,0.642094,22445.32,0.339477,42453.53,0.281087,51272.41,0.619275,23272.39,0.510833,28212.74,0.897008,16066.74,1.318770,0.092314,0.147527,0.510833,2.069444,0.215893,51,1487422,1689837,9701776,9051,0,0,0,11739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5471570309133350923,5471570309133350923,5471570309133350923,16079954648952006422,16079954648952006422,16079954648952006422,0,0,0,0,0,0,0,0,0,0,0
12,100,13180,8,10,1.217322,10827.05,0.559621,23551.67,0.277480,47498.91,0.252212,52257.67,0.534153,24674.57,0.446286,29532.60,0.787364,16739.41,1.231851,0.100033,0.132509,0.446286,1.910680,0.173615,57,1428197,1519677,9116656,5631,0,0,0,9004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15877376249193406348,15877376249193406348,15877376249193406348,4780426716528850880,4780426716528850880,4780426716528850880,0,0,0,0,0,0,0,0,0,0,0
13,100,14450,8,10,1.240611,11647.49,0.570131,25345.05,0.320155,45134.40,0.293387,49252.27,0.546578,26437.23,0.495390,29168.96,0.815198,17725.76,1.257267,0.102434,0.123676,0.495390,1.978767,0.226154,69,1460734,1618339,9707464,7983,0,0,0,10349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5616057351243026361,5616057351243026361,5616057351243026361,660354215252387573,660354215252387573,660354215252387573,0,0,0,0,0,0,0,0,0,0,0
14,100,14110,8,10,1.246117,11323.17,0.595283,23702.99,0.360637,39125.23,0.330001,42757.50,0.569037,24796.30,0.491828,28688.87,0.850296,16594.22,1.267558,0.101383,0.123517,0.491828,1.984286,0.197083,73,1462526,1638786,9782488,8433,0,0,0,14520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7027500292651810829,7027500292651810829,7027500292651810829,11594100967916711788,11594100967916711788,11594100967916711788,0,0,0,0,0,0,0,0,0,0,0
15,100,13388,8,10,1.093354,12244.89,0.465580,28755.50,0.337108,39714.29,0.316852,42253.12,0.449767,29766.54,0.428173,31267.76,0.702309,19062.84,1.106134,0.097130,0.116585,0.428173,1.748021,0.180973,78,1386273,1509078,9727792,6318,0,0,0,13379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15355257310424399684,15355257310424399684,15355257310424399684,15597455802906322312,15597455802906322312,15597455802906322312,0,0,0,0,0,0,0,0,0,0,0
16,100,14314,8,10,1.244381,11502.91,0.609727,23476.08,0.396791,36074.40,0.346510,41309.07,0.555852,25751.47,0.483105,29629.18,0.871002,16433.95,1.253769,0.098884,0.138646,0.483105,1.974404,0.210307,65,1458110,1716670,9880936,9700,0,0,0,15865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11376635594116533325,11376635594116533325,11376635594116533325,2121557147116161503,2121557147116161503,2121557147116161503,0,0,0,0,0,0,0,0,0,0,0
17,100,14382,8,10,1.028514,13983.28,0.471814,30482.34,0.371353,38728.66,0.346786,41472.32,0.463336,31040.08,0.427752,33622.31,0.703868,20432.80,1.048444,0.097396,0.113659,0.427752,1.687250,0.203317,75,1393812,1556282,9826168,8584,0,0,0,16315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12872957139800679737,12872957139800679737,12872957139800679737,8044726754540362094,8044726754540362094,8044726754540362094,0,0,0,0,0,0,0,0,0,0,0
18,100,14191,8,10,1.121650,12651.90,0.501871,28276.17,0.372809,38065.08,0.353840,40105.70,0.494462,28699.89,0.445175,31877.37,0.789515,17974.33,1.139761,0.101430,0.122689,0.445175,1.809054,0.196256,75,1467513,1829383,10057916,9966,0,0,0,18475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5044015593649117992,5044015593649117992,5044015593649117992,1723065040908439575,1723065040908439575,1723065040908439575,0,0,0,0,0,0,0,0,0,0,0
19,100,14870,8,10,1.226491,12124.01,0.559920,26557.38,0.417256,35637.62,0.375972,39550.84,0.535572,27764.70,0.485261,30643.33,0.825575,18011.69,1.249183,0.099290,0.124581,0.485261,1.958314,0.221523,74,1486300,1652830,10301880,9205,0,0,0,16772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10316263909552184965,10316263909552184965,10316263909552184965,1876913073423210870,1876913073423210870,1876913073423210870,0,0,0,0,0,0,0,0,0,0,0
20,100,14874,8,10,1.157532,12849.76,0.491340,30272.35,0.401765,37021.66,0.375836,39575.73,0.488961,30419.62,0.454758,32707.47,0.771781,19272.31,1.181544,0.109935,0.121771,0.454758,1.868008,0.235837,81,1492009,1637204,10133512,8735,0,0,0,18383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10058092313648857800,10058092313648857800,10058092313648857800,4801825485843065749,4801825485843065749,4801825485843065749,0,0,0,0,0,0,0,0,0,0,0
