batch_idx,num_blocks,num_txs,threads,merge_cap,seq_time_s,seq_tput,par_time_s,par_tput,concat_time_s,concat_tput,cgraph_time_s,cgraph_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,vegeta_time_s,vegeta_tput,phase_pre_execute_s,phase_graph_build_s,phase_integrate_s,phase_execute_s,phase_total_s,vegeta_speculate_s,num_integrated_groups,omakase_graph_bytes,vegeta_sched_bytes,calldata_bytes,par_re_exec,par_validation_aborts,par_cascade_aborts,par_wrote_new_loc,concat_re_exec,concat_validation_aborts,concat_cascade_aborts,concat_wrote_new_loc,cgraph_re_exec,cgraph_validation_aborts,cgraph_cascade_aborts,cgraph_wrote_new_loc,graph_re_exec,graph_validation_aborts,graph_cascade_aborts,graph_wrote_new_loc,integ_re_exec,integ_validation_aborts,integ_cascade_aborts,integ_wrote_new_loc,vegeta_re_exec,vegeta_validation_aborts,vegeta_cascade_aborts,vegeta_wrote_new_loc,digest_seq,digest_par,digest_concat,logical_seq,logical_integ,logical_vegeta,cgraph_cross_block_aborts,cgraph_cross_block_cascade,graph_cross_block_aborts,graph_cross_block_cascade,integ_cross_block_aborts,integ_cross_block_cascade,par_fallbacks,concat_fallbacks,cgraph_fallbacks,graph_fallbacks,integ_fallbacks
0,100,13679,8,10,1.188689,11507.63,0.547573,24981.13,0.341779,40022.94,0.320881,42629.47,0.523928,26108.55,0.440286,31068.46,0.790404,17306.33,1.206233,0.108086,0.162398,0.440286,1.917003,0.198495,63,1445950,1592680,9639324,7776,2776,1912,0,13303,2977,2557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9661228169090347715,9661228169090347715,9661228169090347715,1270564038166983209,1270564038166983209,1270564038166983209,0,0,0,0,0,0,0,0,0,0,0
1,100,14553,8,10,1.283604,11337.61,0.581803,25013.60,0.346354,42017.72,0.296913,49014.32,0.548072,26553.06,0.478982,30383.19,0.849536,17130.53,1.302038,0.108440,0.139427,0.478982,2.028887,0.218474,67,1482623,1861378,9974468,9627,3108,2151,0,13734,3362,2849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11496058207661763758,11496058207661763758,11496058207661763758,2675235884656344713,2675235884656344713,2675235884656344713,0,0,0,0,0,0,0,0,0,0,0
2,100,13931,8,10,1.225720,11365.57,0.552306,25223.36,0.297169,46879.04,0.271092,51388.54,0.525253,26522.47,0.462031,30151.67,0.777980,17906.63,1.245966,0.104067,0.133204,0.462031,1.945267,0.201972,73,1439024,1516119,9679692,5956,2171,1337,0,9222,2242,1831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7646253668222506424,7646253668222506424,7646253668222506424,17308162951565296717,17308162951565296717,17308162951565296717,0,0,0,0,0,0,0,0,0,0,0
3,100,13901,8,10,1.270464,10941.68,0.615003,22603.13,0.311504,44625.37,0.292259,47564.04,0.578777,24017.87,0.477425,29116.60,0.853477,16287.49,1.296617,0.088973,0.144017,0.477425,2.007033,0.199058,57,1460952,1640982,9646196,7660,2551,1748,0,11507,2550,2172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13633150816457798751,13633150816457798751,13633150816457798751,3996916542939092162,3996916542939092162,3996916542939092162,0,0,0,0,0,0,0,0,0,0,0
4,100,14066,8,10,1.163681,12087.51,0.506604,27765.30,0.326110,43132.66,0.307050,45810.09,0.492264,28574.09,0.446737,31486.11,0.745899,18857.78,1.148848,0.098809,0.117225,0.446737,1.811619,0.207666,73,1427875,1606790,9775528,7743,2466,1719,0,13398,2706,2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6111062501825353486,6111062501825353486,6111062501825353486,1859324357885046753,1859324357885046753,1859324357885046753,0,0,0,0,0,0,0,0,0,0,0
5,100,13375,8,10,1.242656,10763.24,0.558376,23953.38,0.330289,40494.86,0.298306,44836.56,0.529940,25238.69,0.486998,27464.20,0.783166,17078.11,1.231190,0.098144,0.117109,0.486998,1.933440,0.186712,75,1381153,1469548,9500412,6048,2211,1411,0,10487,2497,2127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9815113740517118732,9815113740517118732,9815113740517118732,1603397932678435326,1603397932678435326,1603397932678435326,0,0,0,0,0,0,0,0,0,0,0
6,100,14060,8,10,1.420778,9895.98,0.761164,18471.71,0.488165,28801.76,0.421170,33383.17,0.700072,20083.64,0.563962,24930.77,1.002130,14030.11,1.429464,0.100460,0.146247,0.563962,2.240132,0.201701,52,1480357,1665267,9881200,7875,2532,1741,0,10576,2400,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8884154441844230936,8884154441844230936,8884154441844230936,2949977511760572823,2949977511760572823,2949977511760572823,0,0,0,0,0,0,0,0,0,0,0
7,100,13097,8,10,1.454753,9002.90,0.856652,15288.59,0.613519,21347.35,0.471057,27803.44,0.820473,15962.74,0.617327,21215.66,1.080865,12117.15,1.461440,0.093851,0.161883,0.617327,2.334502,0.177137,36,1351510,1519625,8844708,6861,2323,1481,0,6146,1927,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10284796316934578040,10284796316934578040,10284796316934578040,13857966327809336887,13857966327809336887,13857966327809336887,0,0,0,0,0,0,0,0,0,0,0
8,100,13416,8,10,1.158066,11584.84,0.507164,26453.00,0.307283,43660.01,0.290291,46215.75,0.491643,27288.10,0.449299,29859.85,0.724785,18510.32,1.177132,0.099236,0.113913,0.449299,1.839580,0.191647,79,1429361,1498576,9679264,5751,2026,1301,0,10485,2216,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11606642632972518415,11606642632972518415,11606642632972518415,7155924272690163976,7155924272690163976,7155924272690163976,0,0,0,0,0,0,0,0,0,0,0
9,100,14084,8,10,1.201972,11717.41,0.506761,27792.19,0.310792,45316.52,0.269951,52172.38,0.471284,29884.34,0.426002,33060.88,0.721372,19523.90,1.250246,0.074278,0.117072,0.426002,1.867598,0.211120,82,1455530,1602185,9799248,6490,2230,1428,0,9615,2353,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15391175189959396577,15391175189959396577,15391175189959396577,3697744666840105000,3697744666840105000,3697744666840105000,0,0,0,0,0,0,0,0,0,0,0
