batch_idx,start_block,end_block,num_blocks,num_txs,seq_time_s,seq_tput,par_time_s,par_tput,graph_time_s,graph_tput,integrated_time_s,integrated_tput,num_integrated_groups
0,16774645,16774744,100,13679,0.663983,20601.43,0.474312,28839.67,0.455305,30043.58,0.340333,40192.96,19
1,16774745,16774844,100,14553,0.644743,22571.78,0.425135,34231.47,0.424180,34308.51,0.326610,44557.77,17
2,16774845,16774944,100,13931,0.634809,21945.18,0.411915,33820.10,0.408822,34075.92,0.307299,45333.64,15
3,16774945,16775044,100,13901,0.668014,20809.44,0.479391,28997.23,0.452182,30742.04,0.353150,39362.86,15
4,16775045,16775144,100,14066,0.680491,20670.36,0.477273,29471.62,0.484368,29039.91,0.357987,39291.96,19
5,16775145,16775244,100,13375,0.626757,21340.01,0.402095,33263.31,0.428893,31184.91,0.338701,39489.05,18
6,16775245,16775344,100,14060,0.709521,19816.20,0.479846,29301.10,0.483198,29097.79,0.330168,42584.35,26
7,16775345,16775444,100,13097,0.629805,20795.31,0.439591,29793.61,0.426290,30723.24,0.327625,39975.63,23
8,16775445,16775544,100,13416,0.654022,20513.07,0.395930,33884.81,0.420111,31934.41,0.339403,39528.24,19
9,16775545,16775644,100,14084,0.652269,21592.30,0.425598,33092.23,0.436448,32269.61,0.334257,42135.23,19
10,16775645,16775744,100,14225,0.644026,22087.63,0.445685,31917.13,0.445709,31915.45,0.324451,43843.30,12
11,16775745,16775844,100,14412,0.637959,22590.78,0.451676,31907.85,0.432666,33309.73,0.334344,43105.33,14
12,16775845,16775944,100,13180,0.636340,20712.18,0.435545,30260.93,0.439820,29966.79,0.308214,42762.46,15
13,16775945,16776044,100,14450,0.668404,21618.65,0.415343,34790.56,0.430725,33548.10,0.317892,45455.67,16
14,16776045,16776144,100,14110,0.775293,18199.57,0.602068,23435.89,0.502606,28073.69,0.373768,37750.68,19
15,16776145,16776244,100,13388,0.659964,20285.95,0.448280,29865.23,0.450089,29745.21,0.351596,38077.83,18
16,16776245,16776344,100,14314,0.743943,19240.73,0.536178,26696.35,0.479672,29841.20,0.392624,36457.29,22
17,16776345,16776444,100,14382,0.669031,21496.77,0.455065,31604.31,0.456394,31512.27,0.354629,40555.10,11
18,16776445,16776544,100,14191,0.724292,19592.92,0.534520,26549.05,0.524483,27057.11,0.416548,34068.11,31
19,16776545,16776644,100,14870,0.794230,18722.53,0.585807,25383.78,0.595750,24960.15,0.459405,32367.93,28
20,16776645,16776744,100,14874,0.768377,19357.68,0.549505,27068.00,0.562213,26456.18,0.424641,35027.22,25
21,16776745,16776844,100,15018,0.682223,22013.34,0.498259,30140.95,0.495304,30320.76,0.359702,41751.25,16
22,16776845,16776944,100,16167,0.687500,23515.63,0.439537,36781.85,0.489541,33024.83,0.390631,41386.87,28
23,16776945,16777044,100,15610,0.702361,22225.05,0.472817,33014.92,0.481319,32431.73,0.364889,42780.19,13
24,16777045,16777144,100,15393,0.723100,21287.50,0.499196,30835.57,0.503982,30542.75,0.426071,36127.82,37
25,16777145,16777244,100,15575,0.819777,18999.06,0.483111,32238.98,0.539653,28861.15,0.468363,33254.10,36
26,16777245,16777344,100,15004,0.773600,19395.03,0.503076,29824.52,0.527030,28468.96,0.435118,34482.61,34
27,16777345,16777444,100,15907,0.782341,20332.57,0.510858,31137.82,0.508968,31253.43,0.419091,37955.98,31
28,16777445,16777544,100,17133,0.691763,24767.17,0.442886,38684.92,0.449959,38076.79,0.339435,50475.06,30
29,16777545,16777644,100,15750,0.718806,21911.34,0.461149,34153.81,0.488173,32263.12,0.396453,39727.32,34
